<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPBTC,D,20100719,000000,232.13,232.13,232.13,232.13,0,0
CLPBTC,D,20100720,000000,251.5,251.5,251.5,251.5,0,0
CLPBTC,D,20100721,000000,241.12,241.12,241.12,241.12,0,0
CLPBTC,D,20100722,000000,385.06,385.06,385.06,385.06,0,0
CLPBTC,D,20100723,000000,304.36,304.36,304.36,304.36,0,0
CLPBTC,D,20100726,000000,348.68,348.68,348.68,348.68,0,0
CLPBTC,D,20100727,000000,320.95,320.95,320.95,320.95,0,0
CLPBTC,D,20100728,000000,324.59,324.59,324.59,324.59,0,0
CLPBTC,D,20100729,000000,273.05,273.05,273.05,273.05,0,0
CLPBTC,D,20100730,000000,306.68,306.68,306.68,306.68,0,0
CLPBTC,D,20100802,000000,323.01,323.01,323.01,323.01,0,0
CLPBTC,D,20100803,000000,321.81,321.81,321.81,321.81,0,0
CLPBTC,D,20100804,000000,341.26,341.26,341.26,341.26,0,0
CLPBTC,D,20100805,000000,317.63,317.63,317.63,317.63,0,0
CLPBTC,D,20100806,000000,313.58,313.58,313.58,313.58,0,0
CLPBTC,D,20100809,000000,275.52,275.52,275.52,275.52,0,0
CLPBTC,D,20100810,000000,276.18,276.18,276.18,276.18,0,0
CLPBTC,D,20100811,000000,287.26,287.26,287.26,287.26,0,0
CLPBTC,D,20100812,000000,282.19,282.19,282.19,282.19,0,0
CLPBTC,D,20100813,000000,302.31,302.31,302.31,302.31,0,0
CLPBTC,D,20100816,000000,304.48,304.48,304.48,304.48,0,0
CLPBTC,D,20100817,000000,285.91,285.91,285.91,285.91,0,0
CLPBTC,D,20100818,000000,295.98,295.98,295.98,295.98,0,0
CLPBTC,D,20100819,000000,296,296,296,296,0,0
CLPBTC,D,20100820,000000,300.17,300.17,300.17,300.17,0,0
CLPBTC,D,20100823,000000,303.36,303.36,303.36,303.36,0,0
CLPBTC,D,20100824,000000,305.89,305.89,305.89,305.89,0,0
CLPBTC,D,20100825,000000,303.86,303.86,303.86,303.86,0,0
CLPBTC,D,20100826,000000,311.23,311.23,311.23,311.23,0,0
CLPBTC,D,20100827,000000,309.31,309.31,309.31,309.31,0,0
CLPBTC,D,20100830,000000,305.73,305.73,305.73,305.73,0,0
CLPBTC,D,20100831,000000,332.5,332.5,332.5,332.5,0,0
CLPBTC,D,20100901,000000,321.81,321.81,321.81,321.81,0,0
CLPBTC,D,20100902,000000,317.49,317.49,317.49,317.49,0,0
CLPBTC,D,20100903,000000,335.85,335.85,335.85,335.85,0,0
CLPBTC,D,20100906,000000,327.63,327.63,327.63,327.63,0,0
CLPBTC,D,20100907,000000,329.06,329.06,329.06,329.06,0,0
CLPBTC,D,20100908,000000,326.8,326.8,326.8,326.8,0,0
CLPBTC,D,20100909,000000,330.63,330.63,330.63,330.63,0,0
CLPBTC,D,20100910,000000,324.94,324.94,324.94,324.94,0,0
CLPBTC,D,20100913,000000,326.7,326.7,326.7,326.7,0,0
CLPBTC,D,20100914,000000,331.82,331.82,331.82,331.82,0,0
CLPBTC,D,20100915,000000,335.37,335.37,335.37,335.37,0,0
CLPBTC,D,20100916,000000,324.65,324.65,324.65,324.65,0,0
CLPBTC,D,20100917,000000,338.59,338.59,338.59,338.59,0,0
CLPBTC,D,20100920,000000,324.69,324.69,324.69,324.69,0,0
CLPBTC,D,20100921,000000,320.16,320.16,320.16,320.16,0,0
CLPBTC,D,20100922,000000,326.53,326.53,326.53,326.53,0,0
CLPBTC,D,20100923,000000,329.24,329.24,329.24,329.24,0,0
CLPBTC,D,20100924,000000,334.94,334.94,334.94,334.94,0,0
CLPBTC,D,20100927,000000,332.58,332.58,332.58,332.58,0,0
CLPBTC,D,20100928,000000,337.61,337.61,337.61,337.61,0,0
CLPBTC,D,20100929,000000,333.72,333.72,333.72,333.72,0,0
CLPBTC,D,20100930,000000,335.29,335.29,335.29,335.29,0,0
CLPBTC,D,20101001,000000,337.84,337.84,337.84,337.84,0,0
CLPBTC,D,20101004,000000,335.34,335.34,335.34,335.34,0,0
CLPBTC,D,20101005,000000,340.62,340.62,340.62,340.62,0,0
CLPBTC,D,20101006,000000,330.14,330.14,330.14,330.14,0,0
CLPBTC,D,20101007,000000,305.99,305.99,305.99,305.99,0,0
CLPBTC,D,20101008,000000,240.24,240.24,240.24,240.24,0,0
CLPBTC,D,20101011,000000,218.62,218.62,218.62,218.62,0,0
CLPBTC,D,20101012,000000,223.33,223.33,223.33,223.33,0,0
CLPBTC,D,20101013,000000,201.66,201.66,201.66,201.66,0,0
CLPBTC,D,20101014,000000,203.97,203.97,203.97,203.97,0,0
CLPBTC,D,20101015,000000,197.87,197.87,197.87,197.87,0,0
CLPBTC,D,20101018,000000,204.86,204.86,204.86,204.86,0,0
CLPBTC,D,20101019,000000,209.02,209.02,209.02,209.02,0,0
CLPBTC,D,20101020,000000,211.56,211.56,211.56,211.56,0,0
CLPBTC,D,20101021,000000,191,191,191,191,0,0
CLPBTC,D,20101022,000000,201.2,201.2,201.2,201.2,0,0
CLPBTC,D,20101025,000000,155.61,155.61,155.61,155.61,0,0
CLPBTC,D,20101026,000000,134.98,134.98,134.98,134.98,0,0
CLPBTC,D,20101027,000000,106.84,106.84,106.84,106.84,0,0
CLPBTC,D,20101028,000000,118.52,118.52,118.52,118.52,0,0
CLPBTC,D,20101029,000000,108.9,108.9,108.9,108.9,0,0
CLPBTC,D,20101102,000000,106.65,106.65,106.65,106.65,0,0
CLPBTC,D,20101103,000000,106.35,106.35,106.35,106.35,0,0
CLPBTC,D,20101104,000000,90.301,90.301,90.301,90.301,0,0
CLPBTC,D,20101105,000000,79.874,79.874,79.874,79.874,0,0
CLPBTC,D,20101108,000000,85.597,85.597,85.597,85.597,0,0
CLPBTC,D,20101109,000000,100.47,100.47,100.47,100.47,0,0
CLPBTC,D,20101110,000000,86.216,86.216,86.216,86.216,0,0
CLPBTC,D,20101112,000000,77.487,77.487,77.487,77.487,0,0
CLPBTC,D,20101115,000000,77.524,77.524,77.524,77.524,0,0
CLPBTC,D,20101116,000000,90.87,90.87,90.87,90.87,0,0
CLPBTC,D,20101117,000000,90.056,90.056,90.056,90.056,0,0
CLPBTC,D,20101118,000000,77.566,77.566,77.566,77.566,0,0
CLPBTC,D,20101119,000000,74.14,74.14,74.14,74.14,0,0
CLPBTC,D,20101122,000000,71.262,71.262,71.262,71.262,0,0
CLPBTC,D,20101123,000000,71.833,71.833,71.833,71.833,0,0
CLPBTC,D,20101124,000000,73.842,73.842,73.842,73.842,0,0
CLPBTC,D,20101125,000000,74.597,74.597,74.597,74.597,0,0
CLPBTC,D,20101126,000000,72.595,72.595,72.595,72.595,0,0
CLPBTC,D,20101129,000000,86.825,86.825,86.825,86.825,0,0
CLPBTC,D,20101130,000000,100.09,100.09,100.09,100.09,0,0
CLPBTC,D,20101201,000000,91.416,91.416,91.416,91.416,0,0
CLPBTC,D,20101202,000000,81.194,81.194,81.194,81.194,0,0
CLPBTC,D,20101203,000000,84.09,84.09,84.09,84.09,0,0
CLPBTC,D,20101206,000000,102.12,102.12,102.12,102.12,0,0
CLPBTC,D,20101207,000000,89.188,89.188,89.188,89.188,0,0
CLPBTC,D,20101208,000000,87.922,87.922,87.922,87.922,0,0
CLPBTC,D,20101209,000000,105.06,105.06,105.06,105.06,0,0
CLPBTC,D,20101210,000000,102.94,102.94,102.94,102.94,0,0
CLPBTC,D,20101213,000000,93.438,93.438,93.438,93.438,0,0
CLPBTC,D,20101214,000000,85.714,85.714,85.714,85.714,0,0
CLPBTC,D,20101215,000000,88.477,88.477,88.477,88.477,0,0
CLPBTC,D,20101216,000000,84.688,84.688,84.688,84.688,0,0
CLPBTC,D,20101217,000000,86.932,86.932,86.932,86.932,0,0
CLPBTC,D,20101220,000000,79.51,79.51,79.51,79.51,0,0
CLPBTC,D,20101221,000000,88.617,88.617,88.617,88.617,0,0
CLPBTC,D,20101222,000000,84.922,84.922,84.922,84.922,0,0
CLPBTC,D,20101223,000000,85.527,85.527,85.527,85.527,0,0
CLPBTC,D,20101224,000000,85.749,85.749,85.749,85.749,0,0
CLPBTC,D,20101227,000000,80.02,80.02,80.02,80.02,0,0
CLPBTC,D,20101228,000000,75.028,75.028,75.028,75.028,0,0
