<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPCAD,D,19931025,000000,0.31654,0.31654,0.31654,0.31654,0,0
CLPCAD,D,19931026,000000,0.3172,0.3172,0.3172,0.3172,0,0
CLPCAD,D,19931027,000000,0.31972,0.31972,0.31972,0.31972,0,0
CLPCAD,D,19931028,000000,0.32025,0.32025,0.32025,0.32025,0,0
CLPCAD,D,19931029,000000,0.32046,0.32046,0.32046,0.32046,0,0
CLPCAD,D,19931102,000000,0.32083,0.32083,0.32083,0.32083,0,0
CLPCAD,D,19931103,000000,0.31841,0.31841,0.31841,0.31841,0,0
CLPCAD,D,19931104,000000,0.31828,0.31828,0.31828,0.31828,0,0
CLPCAD,D,19931105,000000,0.31868,0.31868,0.31868,0.31868,0,0
CLPCAD,D,19931108,000000,0.31456,0.31456,0.31456,0.31456,0,0
CLPCAD,D,19931109,000000,0.31611,0.31611,0.31611,0.31611,0,0
CLPCAD,D,19931110,000000,0.31618,0.31618,0.31618,0.31618,0,0
CLPCAD,D,19931112,000000,0.31773,0.31773,0.31773,0.31773,0,0
CLPCAD,D,19931115,000000,0.319,0.319,0.319,0.319,0,0
CLPCAD,D,19931116,000000,0.32172,0.32172,0.32172,0.32172,0,0
CLPCAD,D,19931117,000000,0.32134,0.32134,0.32134,0.32134,0,0
CLPCAD,D,19931118,000000,0.32014,0.32014,0.32014,0.32014,0,0
CLPCAD,D,19931119,000000,0.31849,0.31849,0.31849,0.31849,0,0
CLPCAD,D,19931122,000000,0.32065,0.32065,0.32065,0.32065,0,0
CLPCAD,D,19931123,000000,0.32147,0.32147,0.32147,0.32147,0,0
CLPCAD,D,19931124,000000,0.32074,0.32074,0.32074,0.32074,0,0
CLPCAD,D,19931125,000000,0.32078,0.32078,0.32078,0.32078,0,0
CLPCAD,D,19931126,000000,0.31927,0.31927,0.31927,0.31927,0,0
CLPCAD,D,19931129,000000,0.31625,0.31625,0.31625,0.31625,0,0
CLPCAD,D,19931130,000000,0.31816,0.31816,0.31816,0.31816,0,0
CLPCAD,D,19931201,000000,0.31927,0.31927,0.31927,0.31927,0,0
CLPCAD,D,19931202,000000,0.3178,0.3178,0.3178,0.3178,0,0
CLPCAD,D,19931203,000000,0.31566,0.31566,0.31566,0.31566,0,0
CLPCAD,D,19931206,000000,0.31158,0.31158,0.31158,0.31158,0,0
CLPCAD,D,19931207,000000,0.3097,0.3097,0.3097,0.3097,0,0
CLPCAD,D,19931208,000000,0.30932,0.30932,0.30932,0.30932,0,0
CLPCAD,D,19931209,000000,0.31155,0.31155,0.31155,0.31155,0,0
CLPCAD,D,19931210,000000,0.31292,0.31292,0.31292,0.31292,0,0
CLPCAD,D,19931213,000000,0.31372,0.31372,0.31372,0.31372,0,0
CLPCAD,D,19931214,000000,0.31203,0.31203,0.31203,0.31203,0,0
