<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPCZK,D,19951023,000000,6.3404,6.3404,6.3404,6.3404,0,0
CLPCZK,D,19951024,000000,6.3797,6.3797,6.3797,6.3797,0,0
CLPCZK,D,19951025,000000,6.3343,6.3343,6.3343,6.3343,0,0
CLPCZK,D,19951026,000000,6.2648,6.2648,6.2648,6.2648,0,0
CLPCZK,D,19951027,000000,6.2541,6.2541,6.2541,6.2541,0,0
CLPCZK,D,19951030,000000,6.3001,6.3001,6.3001,6.3001,0,0
CLPCZK,D,19951031,000000,6.3108,6.3108,6.3108,6.3108,0,0
CLPCZK,D,19951102,000000,6.3212,6.3212,6.3212,6.3212,0,0
CLPCZK,D,19951103,000000,6.2843,6.2843,6.2843,6.2843,0,0
CLPCZK,D,19951106,000000,6.2984,6.2984,6.2984,6.2984,0,0
CLPCZK,D,19951107,000000,6.3475,6.3475,6.3475,6.3475,0,0
CLPCZK,D,19951108,000000,6.369,6.369,6.369,6.369,0,0
CLPCZK,D,19951109,000000,6.3962,6.3962,6.3962,6.3962,0,0
CLPCZK,D,19951110,000000,6.3448,6.3448,6.3448,6.3448,0,0
CLPCZK,D,19951113,000000,6.4188,6.4188,6.4188,6.4188,0,0
CLPCZK,D,19951114,000000,6.49,6.49,6.49,6.49,0,0
CLPCZK,D,19951115,000000,6.4478,6.4478,6.4478,6.4478,0,0
CLPCZK,D,19951116,000000,6.4513,6.4513,6.4513,6.4513,0,0
CLPCZK,D,19951117,000000,6.4018,6.4018,6.4018,6.4018,0,0
CLPCZK,D,19951120,000000,6.4005,6.4005,6.4005,6.4005,0,0
CLPCZK,D,19951121,000000,6.3923,6.3923,6.3923,6.3923,0,0
CLPCZK,D,19951122,000000,6.3725,6.3725,6.3725,6.3725,0,0
CLPCZK,D,19951123,000000,6.3572,6.3572,6.3572,6.3572,0,0
CLPCZK,D,19951124,000000,6.3034,6.3034,6.3034,6.3034,0,0
CLPCZK,D,19951127,000000,6.3905,6.3905,6.3905,6.3905,0,0
CLPCZK,D,19951128,000000,6.4044,6.4044,6.4044,6.4044,0,0
CLPCZK,D,19951129,000000,6.4279,6.4279,6.4279,6.4279,0,0
CLPCZK,D,19951130,000000,6.394,6.394,6.394,6.394,0,0
CLPCZK,D,19951201,000000,6.4442,6.4442,6.4442,6.4442,0,0
CLPCZK,D,19951204,000000,6.4141,6.4141,6.4141,6.4141,0,0
CLPCZK,D,19951205,000000,6.4427,6.4427,6.4427,6.4427,0,0
CLPCZK,D,19951206,000000,6.4748,6.4748,6.4748,6.4748,0,0
CLPCZK,D,19951207,000000,6.4421,6.4421,6.4421,6.4421,0,0
CLPCZK,D,19951208,000000,6.4635,6.4635,6.4635,6.4635,0,0
CLPCZK,D,19951211,000000,6.456,6.456,6.456,6.456,0,0
CLPCZK,D,19951212,000000,6.4628,6.4628,6.4628,6.4628,0,0
CLPCZK,D,19951213,000000,6.4891,6.4891,6.4891,6.4891,0,0
CLPCZK,D,19951214,000000,6.512,6.512,6.512,6.512,0,0
CLPCZK,D,19951215,000000,6.5223,6.5223,6.5223,6.5223,0,0
CLPCZK,D,19951218,000000,6.5356,6.5356,6.5356,6.5356,0,0
CLPCZK,D,19951219,000000,6.5325,6.5325,6.5325,6.5325,0,0
CLPCZK,D,19951220,000000,6.5821,6.5821,6.5821,6.5821,0,0
CLPCZK,D,19951221,000000,6.5631,6.5631,6.5631,6.5631,0,0
CLPCZK,D,19951222,000000,6.5711,6.5711,6.5711,6.5711,0,0
CLPCZK,D,19951227,000000,6.5584,6.5584,6.5584,6.5584,0,0
CLPCZK,D,19951228,000000,6.5223,6.5223,6.5223,6.5223,0,0
CLPCZK,D,19951229,000000,6.5497,6.5497,6.5497,6.5497,0,0
CLPCZK,D,19960102,000000,6.5431,6.5431,6.5431,6.5431,0,0
CLPCZK,D,19960103,000000,6.5513,6.5513,6.5513,6.5513,0,0
CLPCZK,D,19960104,000000,6.5726,6.5726,6.5726,6.5726,0,0
CLPCZK,D,19960105,000000,6.559,6.559,6.559,6.559,0,0
