<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPJPY,D,19931025,000000,0.26218,0.26218,0.26218,0.26218,0,0
CLPJPY,D,19931026,000000,0.26373,0.26373,0.26373,0.26373,0,0
CLPJPY,D,19931027,000000,0.26263,0.26263,0.26263,0.26263,0,0
CLPJPY,D,19931028,000000,0.26304,0.26304,0.26304,0.26304,0,0
CLPJPY,D,19931029,000000,0.26318,0.26318,0.26318,0.26318,0,0
CLPJPY,D,19931102,000000,0.26323,0.26323,0.26323,0.26323,0,0
CLPJPY,D,19931103,000000,0.26332,0.26332,0.26332,0.26332,0,0
CLPJPY,D,19931104,000000,0.26157,0.26157,0.26157,0.26157,0,0
CLPJPY,D,19931105,000000,0.26259,0.26259,0.26259,0.26259,0,0
CLPJPY,D,19931108,000000,0.26326,0.26326,0.26326,0.26326,0,0
CLPJPY,D,19931109,000000,0.26386,0.26386,0.26386,0.26386,0,0
CLPJPY,D,19931110,000000,0.26352,0.26352,0.26352,0.26352,0,0
CLPJPY,D,19931112,000000,0.26038,0.26038,0.26038,0.26038,0,0
CLPJPY,D,19931115,000000,0.25905,0.25905,0.25905,0.25905,0,0
CLPJPY,D,19931116,000000,0.25758,0.25758,0.25758,0.25758,0,0
CLPJPY,D,19931117,000000,0.26015,0.26015,0.26015,0.26015,0,0
CLPJPY,D,19931118,000000,0.26127,0.26127,0.26127,0.26127,0,0
CLPJPY,D,19931119,000000,0.25788,0.25788,0.25788,0.25788,0,0
CLPJPY,D,19931122,000000,0.26192,0.26192,0.26192,0.26192,0,0
CLPJPY,D,19931123,000000,0.26228,0.26228,0.26228,0.26228,0,0
CLPJPY,D,19931124,000000,0.26272,0.26272,0.26272,0.26272,0,0
CLPJPY,D,19931125,000000,0.26102,0.26102,0.26102,0.26102,0,0
CLPJPY,D,19931126,000000,0.26013,0.26013,0.26013,0.26013,0,0
CLPJPY,D,19931129,000000,0.25875,0.25875,0.25875,0.25875,0,0
CLPJPY,D,19931130,000000,0.26067,0.26067,0.26067,0.26067,0,0
CLPJPY,D,19931201,000000,0.26019,0.26019,0.26019,0.26019,0,0
CLPJPY,D,19931202,000000,0.25817,0.25817,0.25817,0.25817,0,0
CLPJPY,D,19931203,000000,0.25654,0.25654,0.25654,0.25654,0,0
CLPJPY,D,19931206,000000,0.25548,0.25548,0.25548,0.25548,0,0
CLPJPY,D,19931207,000000,0.25258,0.25258,0.25258,0.25258,0,0
CLPJPY,D,19931208,000000,0.25149,0.25149,0.25149,0.25149,0,0
CLPJPY,D,19931209,000000,0.25547,0.25547,0.25547,0.25547,0,0
CLPJPY,D,19931210,000000,0.25784,0.25784,0.25784,0.25784,0,0
CLPJPY,D,19931213,000000,0.25759,0.25759,0.25759,0.25759,0,0
CLPJPY,D,19931214,000000,0.25577,0.25577,0.25577,0.25577,0,0
CLPJPY,D,19931215,000000,0.25606,0.25606,0.25606,0.25606,0,0
CLPJPY,D,19931216,000000,0.25799,0.25799,0.25799,0.25799,0,0
CLPJPY,D,19931217,000000,0.25866,0.25866,0.25866,0.25866,0,0
CLPJPY,D,19931220,000000,0.25835,0.25835,0.25835,0.25835,0,0
CLPJPY,D,19931221,000000,0.25938,0.25938,0.25938,0.25938,0,0
CLPJPY,D,19931222,000000,0.25952,0.25952,0.25952,0.25952,0,0
CLPJPY,D,19931223,000000,0.2603,0.2603,0.2603,0.2603,0,0
CLPJPY,D,19931224,000000,0.25823,0.25823,0.25823,0.25823,0,0
CLPJPY,D,19931227,000000,0.25834,0.25834,0.25834,0.25834,0,0
CLPJPY,D,19931228,000000,0.25897,0.25897,0.25897,0.25897,0,0
CLPJPY,D,19931229,000000,0.25863,0.25863,0.25863,0.25863,0,0
CLPJPY,D,19931230,000000,0.26072,0.26072,0.26072,0.26072,0,0
CLPJPY,D,19931231,000000,0.26063,0.26063,0.26063,0.26063,0,0
CLPJPY,D,19940103,000000,0.26025,0.26025,0.26025,0.26025,0,0
CLPJPY,D,19940104,000000,0.26018,0.26018,0.26018,0.26018,0,0
CLPJPY,D,19940105,000000,0.26231,0.26231,0.26231,0.26231,0,0
CLPJPY,D,19940106,000000,0.26203,0.26203,0.26203,0.26203,0,0
CLPJPY,D,19940107,000000,0.26203,0.26203,0.26203,0.26203,0,0
CLPJPY,D,19940110,000000,0.26146,0.26146,0.26146,0.26146,0,0
CLPJPY,D,19940111,000000,0.26149,0.26149,0.26149,0.26149,0,0
