<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPRUB,D,19951023,000000,1.1021,1.1021,1.1021,1.1021,0,0
CLPRUB,D,19951024,000000,1.1101,1.1101,1.1101,1.1101,0,0
CLPRUB,D,19951025,000000,1.0985,1.0985,1.0985,1.0985,0,0
CLPRUB,D,19951026,000000,1.0878,1.0878,1.0878,1.0878,0,0
CLPRUB,D,19951027,000000,1.0864,1.0864,1.0864,1.0864,0,0
CLPRUB,D,19951030,000000,1.0844,1.0844,1.0844,1.0844,0,0
CLPRUB,D,19951031,000000,1.086,1.086,1.086,1.086,0,0
CLPRUB,D,19951102,000000,1.0878,1.0878,1.0878,1.0878,0,0
CLPRUB,D,19951103,000000,1.0831,1.0831,1.0831,1.0831,0,0
CLPRUB,D,19951106,000000,1.0872,1.0872,1.0872,1.0872,0,0
CLPRUB,D,19951107,000000,1.0951,1.0951,1.0951,1.0951,0,0
CLPRUB,D,19951108,000000,1.0966,1.0966,1.0966,1.0966,0,0
CLPRUB,D,19951109,000000,1.0971,1.0971,1.0971,1.0971,0,0
CLPRUB,D,19951110,000000,1.095,1.095,1.095,1.095,0,0
CLPRUB,D,19951113,000000,1.1108,1.1108,1.1108,1.1108,0,0
CLPRUB,D,19951114,000000,1.1207,1.1207,1.1207,1.1207,0,0
CLPRUB,D,19951115,000000,1.1209,1.1209,1.1209,1.1209,0,0
CLPRUB,D,19951116,000000,1.1171,1.1171,1.1171,1.1171,0,0
CLPRUB,D,19951117,000000,1.117,1.117,1.117,1.117,0,0
CLPRUB,D,19951120,000000,1.1133,1.1133,1.1133,1.1133,0,0
CLPRUB,D,19951121,000000,1.1137,1.1137,1.1137,1.1137,0,0
CLPRUB,D,19951122,000000,1.1137,1.1137,1.1137,1.1137,0,0
CLPRUB,D,19951123,000000,1.1111,1.1111,1.1111,1.1111,0,0
CLPRUB,D,19951124,000000,1.1003,1.1003,1.1003,1.1003,0,0
CLPRUB,D,19951127,000000,1.105,1.105,1.105,1.105,0,0
CLPRUB,D,19951128,000000,1.1068,1.1068,1.1068,1.1068,0,0
CLPRUB,D,19951129,000000,1.1104,1.1104,1.1104,1.1104,0,0
CLPRUB,D,19951130,000000,1.1049,1.1049,1.1049,1.1049,0,0
CLPRUB,D,19951201,000000,1.1096,1.1096,1.1096,1.1096,0,0
CLPRUB,D,19951204,000000,1.1096,1.1096,1.1096,1.1096,0,0
CLPRUB,D,19951205,000000,1.1166,1.1166,1.1166,1.1166,0,0
CLPRUB,D,19951206,000000,1.1204,1.1204,1.1204,1.1204,0,0
CLPRUB,D,19951207,000000,1.1166,1.1166,1.1166,1.1166,0,0
CLPRUB,D,19951208,000000,1.1134,1.1134,1.1134,1.1134,0,0
CLPRUB,D,19951211,000000,1.1135,1.1135,1.1135,1.1135,0,0
CLPRUB,D,19951212,000000,1.1136,1.1136,1.1136,1.1136,0,0
CLPRUB,D,19951213,000000,1.1256,1.1256,1.1256,1.1256,0,0
CLPRUB,D,19951214,000000,1.1316,1.1316,1.1316,1.1316,0,0
CLPRUB,D,19951215,000000,1.1362,1.1362,1.1362,1.1362,0,0
CLPRUB,D,19951218,000000,1.1412,1.1412,1.1412,1.1412,0,0
CLPRUB,D,19951219,000000,1.1416,1.1416,1.1416,1.1416,0,0
CLPRUB,D,19951220,000000,1.1416,1.1416,1.1416,1.1416,0,0
CLPRUB,D,19951221,000000,1.1416,1.1416,1.1416,1.1416,0,0
CLPRUB,D,19951222,000000,1.1416,1.1416,1.1416,1.1416,0,0
CLPRUB,D,19951227,000000,1.1386,1.1386,1.1386,1.1386,0,0
CLPRUB,D,19951228,000000,1.1374,1.1374,1.1374,1.1374,0,0
CLPRUB,D,19951229,000000,1.1398,1.1398,1.1398,1.1398,0,0
CLPRUB,D,19960102,000000,1.1402,1.1402,1.1402,1.1402,0,0
CLPRUB,D,19960103,000000,1.1402,1.1402,1.1402,1.1402,0,0
CLPRUB,D,19960104,000000,1.1402,1.1402,1.1402,1.1402,0,0
CLPRUB,D,19960105,000000,1.139,1.139,1.139,1.139,0,0
CLPRUB,D,19960108,000000,1.1424,1.1424,1.1424,1.1424,0,0
CLPRUB,D,19960109,000000,1.1454,1.1454,1.1454,1.1454,0,0
CLPRUB,D,19960110,000000,1.1453,1.1453,1.1453,1.1453,0,0
CLPRUB,D,19960111,000000,1.1454,1.1454,1.1454,1.1454,0,0
CLPRUB,D,19960112,000000,1.1457,1.1457,1.1457,1.1457,0,0
CLPRUB,D,19960115,000000,1.1469,1.1469,1.1469,1.1469,0,0
CLPRUB,D,19960116,000000,1.1511,1.1511,1.1511,1.1511,0,0
CLPRUB,D,19960117,000000,1.1511,1.1511,1.1511,1.1511,0,0
CLPRUB,D,19960118,000000,1.1498,1.1498,1.1498,1.1498,0,0
CLPRUB,D,19960119,000000,1.149,1.149,1.149,1.149,0,0
CLPRUB,D,19960122,000000,1.1431,1.1431,1.1431,1.1431,0,0
CLPRUB,D,19960123,000000,1.143,1.143,1.143,1.143,0,0
CLPRUB,D,19960124,000000,1.1474,1.1474,1.1474,1.1474,0,0
CLPRUB,D,19960125,000000,1.1461,1.1461,1.1461,1.1461,0,0
CLPRUB,D,19960126,000000,1.1485,1.1485,1.1485,1.1485,0,0
CLPRUB,D,19960129,000000,1.1438,1.1438,1.1438,1.1438,0,0
CLPRUB,D,19960130,000000,1.1448,1.1448,1.1448,1.1448,0,0
CLPRUB,D,19960131,000000,1.1489,1.1489,1.1489,1.1489,0,0
CLPRUB,D,19960201,000000,1.1496,1.1496,1.1496,1.1496,0,0
CLPRUB,D,19960202,000000,1.1538,1.1538,1.1538,1.1538,0,0
CLPRUB,D,19960205,000000,1.1567,1.1567,1.1567,1.1567,0,0
CLPRUB,D,19960206,000000,1.1569,1.1569,1.1569,1.1569,0,0
CLPRUB,D,19960207,000000,1.1563,1.1563,1.1563,1.1563,0,0
CLPRUB,D,19960208,000000,1.1518,1.1518,1.1518,1.1518,0,0
CLPRUB,D,19960209,000000,1.1542,1.1542,1.1542,1.1542,0,0
CLPRUB,D,19960212,000000,1.1599,1.1599,1.1599,1.1599,0,0
CLPRUB,D,19960213,000000,1.1599,1.1599,1.1599,1.1599,0,0
CLPRUB,D,19960214,000000,1.1604,1.1604,1.1604,1.1604,0,0
CLPRUB,D,19960215,000000,1.16,1.16,1.16,1.16,0,0
CLPRUB,D,19960216,000000,1.1587,1.1587,1.1587,1.1587,0,0
CLPRUB,D,19960219,000000,1.1625,1.1625,1.1625,1.1625,0,0
CLPRUB,D,19960220,000000,1.1605,1.1605,1.1605,1.1605,0,0
CLPRUB,D,19960221,000000,1.1583,1.1583,1.1583,1.1583,0,0
CLPRUB,D,19960222,000000,1.1575,1.1575,1.1575,1.1575,0,0
CLPRUB,D,19960223,000000,1.1598,1.1598,1.1598,1.1598,0,0
CLPRUB,D,19960226,000000,1.157,1.157,1.157,1.157,0,0
CLPRUB,D,19960227,000000,1.1604,1.1604,1.1604,1.1604,0,0
CLPRUB,D,19960228,000000,1.1708,1.1708,1.1708,1.1708,0,0
CLPRUB,D,19960229,000000,1.1673,1.1673,1.1673,1.1673,0,0
CLPRUB,D,19960301,000000,1.169,1.169,1.169,1.169,0,0
CLPRUB,D,19960304,000000,1.1673,1.1673,1.1673,1.1673,0,0
CLPRUB,D,19960305,000000,1.1712,1.1712,1.1712,1.1712,0,0
CLPRUB,D,19960306,000000,1.1741,1.1741,1.1741,1.1741,0,0
CLPRUB,D,19960307,000000,1.1737,1.1737,1.1737,1.1737,0,0
CLPRUB,D,19960308,000000,1.1754,1.1754,1.1754,1.1754,0,0
CLPRUB,D,19960311,000000,1.1739,1.1739,1.1739,1.1739,0,0
CLPRUB,D,19960312,000000,1.1702,1.1702,1.1702,1.1702,0,0
CLPRUB,D,19960313,000000,1.1736,1.1736,1.1736,1.1736,0,0
CLPRUB,D,19960314,000000,1.1755,1.1755,1.1755,1.1755,0,0
CLPRUB,D,19960315,000000,1.1712,1.1712,1.1712,1.1712,0,0
CLPRUB,D,19960318,000000,1.1724,1.1724,1.1724,1.1724,0,0
CLPRUB,D,19960319,000000,1.1708,1.1708,1.1708,1.1708,0,0
CLPRUB,D,19960320,000000,1.1705,1.1705,1.1705,1.1705,0,0
CLPRUB,D,19960321,000000,1.1728,1.1728,1.1728,1.1728,0,0
CLPRUB,D,19960322,000000,1.1747,1.1747,1.1747,1.1747,0,0
CLPRUB,D,19960325,000000,1.1747,1.1747,1.1747,1.1747,0,0
CLPRUB,D,19960326,000000,1.1792,1.1792,1.1792,1.1792,0,0
CLPRUB,D,19960327,000000,1.1784,1.1784,1.1784,1.1784,0,0
