<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPTRY,D,19931025,000000,0.00311,0.00311,0.00311,0.00311,0,0
CLPTRY,D,19931026,000000,0.00315,0.00315,0.00315,0.00315,0,0
CLPTRY,D,19931027,000000,0.00313,0.00313,0.00313,0.00313,0,0
CLPTRY,D,19931028,000000,0.00313,0.00313,0.00313,0.00313,0,0
CLPTRY,D,19931029,000000,0.00313,0.00313,0.00313,0.00313,0,0
CLPTRY,D,19931102,000000,0.00323,0.00323,0.00323,0.00323,0,0
CLPTRY,D,19931103,000000,0.00318,0.00318,0.00318,0.00318,0,0
CLPTRY,D,19931104,000000,0.00316,0.00316,0.00316,0.00316,0,0
CLPTRY,D,19931105,000000,0.00316,0.00316,0.00316,0.00316,0,0
CLPTRY,D,19931108,000000,0.00319,0.00319,0.00319,0.00319,0,0
CLPTRY,D,19931109,000000,0.00319,0.00319,0.00319,0.00319,0,0
CLPTRY,D,19931110,000000,0.00322,0.00322,0.00322,0.00322,0,0
CLPTRY,D,19931112,000000,0.00323,0.00323,0.00323,0.00323,0,0
CLPTRY,D,19931115,000000,0.00323,0.00323,0.00323,0.00323,0,0
CLPTRY,D,19931116,000000,0.00324,0.00324,0.00324,0.00324,0,0
CLPTRY,D,19931117,000000,0.00327,0.00327,0.00327,0.00327,0,0
CLPTRY,D,19931118,000000,0.00326,0.00326,0.00326,0.00326,0,0
CLPTRY,D,19931119,000000,0.00327,0.00327,0.00327,0.00327,0,0
CLPTRY,D,19931122,000000,0.00327,0.00327,0.00327,0.00327,0,0
CLPTRY,D,19931123,000000,0.00327,0.00327,0.00327,0.00327,0,0
CLPTRY,D,19931124,000000,0.00326,0.00326,0.00326,0.00326,0,0
CLPTRY,D,19931125,000000,0.00325,0.00325,0.00325,0.00325,0,0
CLPTRY,D,19931126,000000,0.00326,0.00326,0.00326,0.00326,0,0
CLPTRY,D,19931129,000000,0.00326,0.00326,0.00326,0.00326,0,0
CLPTRY,D,19931130,000000,0.00327,0.00327,0.00327,0.00327,0,0
CLPTRY,D,19931201,000000,0.00329,0.00329,0.00329,0.00329,0,0
CLPTRY,D,19931202,000000,0.00328,0.00328,0.00328,0.00328,0,0
CLPTRY,D,19931203,000000,0.00328,0.00328,0.00328,0.00328,0,0
CLPTRY,D,19931206,000000,0.00328,0.00328,0.00328,0.00328,0,0
CLPTRY,D,19931207,000000,0.00326,0.00326,0.00326,0.00326,0,0
CLPTRY,D,19931208,000000,0.00327,0.00327,0.00327,0.00327,0,0
CLPTRY,D,19931209,000000,0.00329,0.00329,0.00329,0.00329,0,0
CLPTRY,D,19931210,000000,0.00327,0.00327,0.00327,0.00327,0,0
CLPTRY,D,19931213,000000,0.00328,0.00328,0.00328,0.00328,0,0
CLPTRY,D,19931214,000000,0.00329,0.00329,0.00329,0.00329,0,0
CLPTRY,D,19931215,000000,0.00331,0.00331,0.00331,0.00331,0,0
CLPTRY,D,19931216,000000,0.00332,0.00332,0.00332,0.00332,0,0
CLPTRY,D,19931217,000000,0.00331,0.00331,0.00331,0.00331,0,0
CLPTRY,D,19931220,000000,0.00334,0.00334,0.00334,0.00334,0,0
CLPTRY,D,19931221,000000,0.00334,0.00334,0.00334,0.00334,0,0
CLPTRY,D,19931222,000000,0.00333,0.00333,0.00333,0.00333,0,0
CLPTRY,D,19931223,000000,0.00332,0.00332,0.00332,0.00332,0,0
CLPTRY,D,19931224,000000,0.00331,0.00331,0.00331,0.00331,0,0
CLPTRY,D,19931227,000000,0.00334,0.00334,0.00334,0.00334,0,0
