<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPUAH,D,19960902,000000,0.42839,0.42839,0.42839,0.42839,0,0
CLPUAH,D,19960903,000000,0.42743,0.42743,0.42743,0.42743,0,0
CLPUAH,D,19960904,000000,0.4274,0.4274,0.4274,0.4274,0,0
CLPUAH,D,19960905,000000,0.42808,0.42808,0.42808,0.42808,0,0
CLPUAH,D,19960906,000000,0.42756,0.42756,0.42756,0.42756,0,0
CLPUAH,D,19960909,000000,0.42787,0.42787,0.42787,0.42787,0,0
CLPUAH,D,19960910,000000,0.42726,0.42726,0.42726,0.42726,0,0
CLPUAH,D,19960911,000000,0.4273,0.4273,0.4273,0.4273,0,0
CLPUAH,D,19960912,000000,0.42739,0.42739,0.42739,0.42739,0,0
CLPUAH,D,19960913,000000,0.42785,0.42785,0.42785,0.42785,0,0
CLPUAH,D,19960916,000000,0.42823,0.42823,0.42823,0.42823,0,0
CLPUAH,D,19960917,000000,0.42766,0.42766,0.42766,0.42766,0,0
CLPUAH,D,19960918,000000,0.42781,0.42781,0.42781,0.42781,0,0
CLPUAH,D,19960919,000000,0.42777,0.42777,0.42777,0.42777,0,0
CLPUAH,D,19960920,000000,0.42778,0.42778,0.42778,0.42778,0,0
CLPUAH,D,19960923,000000,0.42757,0.42757,0.42757,0.42757,0,0
CLPUAH,D,19960924,000000,0.42743,0.42743,0.42743,0.42743,0,0
CLPUAH,D,19960925,000000,0.42761,0.42761,0.42761,0.42761,0,0
CLPUAH,D,19960926,000000,0.42726,0.42726,0.42726,0.42726,0,0
CLPUAH,D,19960927,000000,0.42635,0.42635,0.42635,0.42635,0,0
CLPUAH,D,19960930,000000,0.42613,0.42613,0.42613,0.42613,0,0
CLPUAH,D,19961001,000000,0.42591,0.42591,0.42591,0.42591,0,0
CLPUAH,D,19961002,000000,0.42559,0.42559,0.42559,0.42559,0,0
CLPUAH,D,19961003,000000,0.42586,0.42586,0.42586,0.42586,0,0
CLPUAH,D,19961004,000000,0.42605,0.42605,0.42605,0.42605,0,0
CLPUAH,D,19961007,000000,0.42592,0.42592,0.42592,0.42592,0,0
CLPUAH,D,19961008,000000,0.42814,0.42814,0.42814,0.42814,0,0
CLPUAH,D,19961009,000000,0.42806,0.42806,0.42806,0.42806,0,0
CLPUAH,D,19961010,000000,0.4283,0.4283,0.4283,0.4283,0,0
CLPUAH,D,19961011,000000,0.42821,0.42821,0.42821,0.42821,0,0
CLPUAH,D,19961014,000000,0.42821,0.42821,0.42821,0.42821,0,0
CLPUAH,D,19961015,000000,0.4264,0.4264,0.4264,0.4264,0,0
CLPUAH,D,19961016,000000,0.4273,0.4273,0.4273,0.4273,0,0
CLPUAH,D,19961017,000000,0.42659,0.42659,0.42659,0.42659,0,0
CLPUAH,D,19961018,000000,0.42613,0.42613,0.42613,0.42613,0,0
CLPUAH,D,19961021,000000,0.42663,0.42663,0.42663,0.42663,0,0
CLPUAH,D,19961022,000000,0.42594,0.42594,0.42594,0.42594,0,0
CLPUAH,D,19961023,000000,0.42701,0.42701,0.42701,0.42701,0,0
CLPUAH,D,19961024,000000,0.4272,0.4272,0.4272,0.4272,0,0
CLPUAH,D,19961025,000000,0.42699,0.42699,0.42699,0.42699,0,0
CLPUAH,D,19961028,000000,0.42611,0.42611,0.42611,0.42611,0,0
CLPUAH,D,19961029,000000,0.42764,0.42764,0.42764,0.42764,0,0
CLPUAH,D,19961030,000000,0.42813,0.42813,0.42813,0.42813,0,0
CLPUAH,D,19961031,000000,0.43074,0.43074,0.43074,0.43074,0,0
CLPUAH,D,19961104,000000,0.42992,0.42992,0.42992,0.42992,0,0
CLPUAH,D,19961105,000000,0.43643,0.43643,0.43643,0.43643,0,0
CLPUAH,D,19961106,000000,0.44009,0.44009,0.44009,0.44009,0,0
CLPUAH,D,19961107,000000,0.44367,0.44367,0.44367,0.44367,0,0
CLPUAH,D,19961108,000000,0.44286,0.44286,0.44286,0.44286,0,0
CLPUAH,D,19961112,000000,0.4447,0.4447,0.4447,0.4447,0,0
CLPUAH,D,19961113,000000,0.44643,0.44643,0.44643,0.44643,0,0
CLPUAH,D,19961114,000000,0.44664,0.44664,0.44664,0.44664,0,0
CLPUAH,D,19961115,000000,0.44687,0.44687,0.44687,0.44687,0,0
CLPUAH,D,19961118,000000,0.44472,0.44472,0.44472,0.44472,0,0
CLPUAH,D,19961119,000000,0.44492,0.44492,0.44492,0.44492,0,0
CLPUAH,D,19961120,000000,0.44499,0.44499,0.44499,0.44499,0,0
CLPUAH,D,19961121,000000,0.4452,0.4452,0.4452,0.4452,0,0
CLPUAH,D,19961122,000000,0.44477,0.44477,0.44477,0.44477,0,0
CLPUAH,D,19961125,000000,0.44548,0.44548,0.44548,0.44548,0,0
CLPUAH,D,19961126,000000,0.4462,0.4462,0.4462,0.4462,0,0
CLPUAH,D,19961127,000000,0.44597,0.44597,0.44597,0.44597,0,0
CLPUAH,D,19961128,000000,0.44613,0.44613,0.44613,0.44613,0,0
CLPUAH,D,19961129,000000,0.44546,0.44546,0.44546,0.44546,0,0
CLPUAH,D,19961202,000000,0.44444,0.44444,0.44444,0.44444,0,0
CLPUAH,D,19961203,000000,0.44438,0.44438,0.44438,0.44438,0,0
CLPUAH,D,19961204,000000,0.44591,0.44591,0.44591,0.44591,0,0
CLPUAH,D,19961205,000000,0.4472,0.4472,0.4472,0.4472,0,0
CLPUAH,D,19961206,000000,0.44843,0.44843,0.44843,0.44843,0,0
CLPUAH,D,19961209,000000,0.44704,0.44704,0.44704,0.44704,0,0
CLPUAH,D,19961210,000000,0.4468,0.4468,0.4468,0.4468,0,0
CLPUAH,D,19961211,000000,0.44616,0.44616,0.44616,0.44616,0,0
CLPUAH,D,19961212,000000,0.44583,0.44583,0.44583,0.44583,0,0
CLPUAH,D,19961213,000000,0.44714,0.44714,0.44714,0.44714,0,0
CLPUAH,D,19961216,000000,0.4459,0.4459,0.4459,0.4459,0,0
CLPUAH,D,19961217,000000,0.44622,0.44622,0.44622,0.44622,0,0
CLPUAH,D,19961218,000000,0.44592,0.44592,0.44592,0.44592,0,0
CLPUAH,D,19961219,000000,0.44606,0.44606,0.44606,0.44606,0,0
CLPUAH,D,19961220,000000,0.44549,0.44549,0.44549,0.44549,0,0
