<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPXAG,D,19931025,000000,5.489,5.489,5.489,5.489,0,0
CLPXAG,D,19931026,000000,5.5276,5.5276,5.5276,5.5276,0,0
CLPXAG,D,19931027,000000,5.4428,5.4428,5.4428,5.4428,0,0
CLPXAG,D,19931028,000000,5.5329,5.5329,5.5329,5.5329,0,0
CLPXAG,D,19931029,000000,5.5529,5.5529,5.5529,5.5529,0,0
CLPXAG,D,19931102,000000,5.7956,5.7956,5.7956,5.7956,0,0
CLPXAG,D,19931103,000000,5.6377,5.6377,5.6377,5.6377,0,0
CLPXAG,D,19931104,000000,5.5536,5.5536,5.5536,5.5536,0,0
CLPXAG,D,19931105,000000,5.4029,5.4029,5.4029,5.4029,0,0
CLPXAG,D,19931108,000000,5.4069,5.4069,5.4069,5.4069,0,0
CLPXAG,D,19931109,000000,5.3776,5.3776,5.3776,5.3776,0,0
CLPXAG,D,19931110,000000,5.3195,5.3195,5.3195,5.3195,0,0
CLPXAG,D,19931112,000000,5.3883,5.3883,5.3883,5.3883,0,0
CLPXAG,D,19931115,000000,5.3416,5.3416,5.3416,5.3416,0,0
CLPXAG,D,19931116,000000,5.3461,5.3461,5.3461,5.3461,0,0
CLPXAG,D,19931117,000000,5.2971,5.2971,5.2971,5.2971,0,0
CLPXAG,D,19931118,000000,5.2139,5.2139,5.2139,5.2139,0,0
CLPXAG,D,19931119,000000,5.1402,5.1402,5.1402,5.1402,0,0
CLPXAG,D,19931122,000000,5.1567,5.1567,5.1567,5.1567,0,0
CLPXAG,D,19931123,000000,5.1445,5.1445,5.1445,5.1445,0,0
CLPXAG,D,19931124,000000,5.1515,5.1515,5.1515,5.1515,0,0
CLPXAG,D,19931125,000000,5.1409,5.1409,5.1409,5.1409,0,0
CLPXAG,D,19931126,000000,5.1181,5.1181,5.1181,5.1181,0,0
CLPXAG,D,19931129,000000,5.294,5.294,5.294,5.294,0,0
CLPXAG,D,19931130,000000,5.3518,5.3518,5.3518,5.3518,0,0
CLPXAG,D,19931201,000000,5.0858,5.0858,5.0858,5.0858,0,0
CLPXAG,D,19931202,000000,5.106,5.106,5.106,5.106,0,0
CLPXAG,D,19931203,000000,4.8628,4.8628,4.8628,4.8628,0,0
CLPXAG,D,19931206,000000,4.8267,4.8267,4.8267,4.8267,0,0
CLPXAG,D,19931207,000000,4.7101,4.7101,4.7101,4.7101,0,0
CLPXAG,D,19931208,000000,4.6636,4.6636,4.6636,4.6636,0,0
CLPXAG,D,19931209,000000,4.7034,4.7034,4.7034,4.7034,0,0
CLPXAG,D,19931210,000000,4.6765,4.6765,4.6765,4.6765,0,0
CLPXAG,D,19931213,000000,4.5672,4.5672,4.5672,4.5672,0,0
CLPXAG,D,19931214,000000,4.6011,4.6011,4.6011,4.6011,0,0
CLPXAG,D,19931215,000000,4.6006,4.6006,4.6006,4.6006,0,0
CLPXAG,D,19931216,000000,4.6943,4.6943,4.6943,4.6943,0,0
CLPXAG,D,19931217,000000,4.6713,4.6713,4.6713,4.6713,0,0
CLPXAG,D,19931220,000000,4.6019,4.6019,4.6019,4.6019,0,0
CLPXAG,D,19931221,000000,4.6419,4.6419,4.6419,4.6419,0,0
CLPXAG,D,19931222,000000,4.6386,4.6386,4.6386,4.6386,0,0
CLPXAG,D,19931223,000000,4.6267,4.6267,4.6267,4.6267,0,0
CLPXAG,D,19931224,000000,4.6477,4.6477,4.6477,4.6477,0,0
CLPXAG,D,19931227,000000,4.5738,4.5738,4.5738,4.5738,0,0
CLPXAG,D,19931228,000000,4.5779,4.5779,4.5779,4.5779,0,0
CLPXAG,D,19931229,000000,4.5511,4.5511,4.5511,4.5511,0,0
CLPXAG,D,19931230,000000,4.5886,4.5886,4.5886,4.5886,0,0
CLPXAG,D,19931231,000000,4.5813,4.5813,4.5813,4.5813,0,0
CLPXAG,D,19940103,000000,4.4655,4.4655,4.4655,4.4655,0,0
CLPXAG,D,19940104,000000,4.4705,4.4705,4.4705,4.4705,0,0
CLPXAG,D,19940105,000000,4.6,4.6,4.6,4.6,0,0
CLPXAG,D,19940106,000000,4.5568,4.5568,4.5568,4.5568,0,0
CLPXAG,D,19940107,000000,4.6566,4.6566,4.6566,4.6566,0,0
CLPXAG,D,19940110,000000,4.6375,4.6375,4.6375,4.6375,0,0
CLPXAG,D,19940111,000000,4.5643,4.5643,4.5643,4.5643,0,0
CLPXAG,D,19940112,000000,4.5993,4.5993,4.5993,4.5993,0,0
CLPXAG,D,19940113,000000,4.4804,4.4804,4.4804,4.4804,0,0
CLPXAG,D,19940114,000000,4.4561,4.4561,4.4561,4.4561,0,0
CLPXAG,D,19940117,000000,4.3787,4.3787,4.3787,4.3787,0,0
CLPXAG,D,19940118,000000,4.3771,4.3771,4.3771,4.3771,0,0
CLPXAG,D,19940119,000000,4.3591,4.3591,4.3591,4.3591,0,0
CLPXAG,D,19940120,000000,4.412,4.412,4.412,4.412,0,0
CLPXAG,D,19940121,000000,4.5346,4.5346,4.5346,4.5346,0,0
CLPXAG,D,19940124,000000,4.5065,4.5065,4.5065,4.5065,0,0
CLPXAG,D,19940125,000000,4.5615,4.5615,4.5615,4.5615,0,0
CLPXAG,D,19940126,000000,4.5364,4.5364,4.5364,4.5364,0,0
CLPXAG,D,19940127,000000,4.6919,4.6919,4.6919,4.6919,0,0
CLPXAG,D,19940128,000000,4.6387,4.6387,4.6387,4.6387,0,0
CLPXAG,D,19940131,000000,4.5238,4.5238,4.5238,4.5238,0,0
CLPXAG,D,19940201,000000,4.3958,4.3958,4.3958,4.3958,0,0
CLPXAG,D,19940202,000000,4.3755,4.3755,4.3755,4.3755,0,0
CLPXAG,D,19940203,000000,4.2944,4.2944,4.2944,4.2944,0,0
CLPXAG,D,19940204,000000,4.3166,4.3166,4.3166,4.3166,0,0
CLPXAG,D,19940207,000000,4.4939,4.4939,4.4939,4.4939,0,0
CLPXAG,D,19940208,000000,4.4368,4.4368,4.4368,4.4368,0,0
CLPXAG,D,19940209,000000,4.4048,4.4048,4.4048,4.4048,0,0
CLPXAG,D,19940210,000000,4.4208,4.4208,4.4208,4.4208,0,0
CLPXAG,D,19940211,000000,4.4468,4.4468,4.4468,4.4468,0,0
CLPXAG,D,19940214,000000,4.3677,4.3677,4.3677,4.3677,0,0
CLPXAG,D,19940215,000000,4.4658,4.4658,4.4658,4.4658,0,0
CLPXAG,D,19940216,000000,4.4508,4.4508,4.4508,4.4508,0,0
CLPXAG,D,19940217,000000,4.4778,4.4778,4.4778,4.4778,0,0
CLPXAG,D,19940218,000000,4.5245,4.5245,4.5245,4.5245,0,0
CLPXAG,D,19940221,000000,4.5243,4.5243,4.5243,4.5243,0,0
CLPXAG,D,19940222,000000,4.4908,4.4908,4.4908,4.4908,0,0
CLPXAG,D,19940223,000000,4.4633,4.4633,4.4633,4.4633,0,0
CLPXAG,D,19940224,000000,4.5151,4.5151,4.5151,4.5151,0,0
CLPXAG,D,19940225,000000,4.4614,4.4614,4.4614,4.4614,0,0
CLPXAG,D,19940228,000000,4.3473,4.3473,4.3473,4.3473,0,0
CLPXAG,D,19940301,000000,4.408,4.408,4.408,4.408,0,0
CLPXAG,D,19940302,000000,4.3953,4.3953,4.3953,4.3953,0,0
CLPXAG,D,19940303,000000,4.413,4.413,4.413,4.413,0,0
CLPXAG,D,19940304,000000,4.4115,4.4115,4.4115,4.4115,0,0
CLPXAG,D,19940307,000000,4.4716,4.4716,4.4716,4.4716,0,0
CLPXAG,D,19940308,000000,4.4619,4.4619,4.4619,4.4619,0,0
CLPXAG,D,19940309,000000,4.3793,4.3793,4.3793,4.3793,0,0
CLPXAG,D,19940310,000000,4.3112,4.3112,4.3112,4.3112,0,0
CLPXAG,D,19940311,000000,4.3106,4.3106,4.3106,4.3106,0,0
CLPXAG,D,19940314,000000,4.2601,4.2601,4.2601,4.2601,0,0
CLPXAG,D,19940315,000000,4.249,4.249,4.249,4.249,0,0
CLPXAG,D,19940316,000000,4.3062,4.3062,4.3062,4.3062,0,0
CLPXAG,D,19940317,000000,4.3454,4.3454,4.3454,4.3454,0,0
CLPXAG,D,19940318,000000,4.3096,4.3096,4.3096,4.3096,0,0
CLPXAG,D,19940321,000000,4.3089,4.3089,4.3089,4.3089,0,0
CLPXAG,D,19940322,000000,4.1327,4.1327,4.1327,4.1327,0,0
CLPXAG,D,19940323,000000,4.174,4.174,4.174,4.174,0,0
CLPXAG,D,19940324,000000,4.0857,4.0857,4.0857,4.0857,0,0
CLPXAG,D,19940325,000000,4.0399,4.0399,4.0399,4.0399,0,0
CLPXAG,D,19940328,000000,4.1,4.1,4.1,4.1,0,0
CLPXAG,D,19940329,000000,4.1455,4.1455,4.1455,4.1455,0,0
CLPXAG,D,19940330,000000,4.171,4.171,4.171,4.171,0,0
CLPXAG,D,19940331,000000,4.0716,4.0716,4.0716,4.0716,0,0
CLPXAG,D,19940401,000000,4.0715,4.0715,4.0715,4.0715,0,0
CLPXAG,D,19940405,000000,4.2395,4.2395,4.2395,4.2395,0,0
CLPXAG,D,19940406,000000,4.2889,4.2889,4.2889,4.2889,0,0
CLPXAG,D,19940407,000000,4.3275,4.3275,4.3275,4.3275,0,0
CLPXAG,D,19940408,000000,4.3263,4.3263,4.3263,4.3263,0,0
CLPXAG,D,19940411,000000,4.5152,4.5152,4.5152,4.5152,0,0
CLPXAG,D,19940412,000000,4.4753,4.4753,4.4753,4.4753,0,0
CLPXAG,D,19940413,000000,4.4724,4.4724,4.4724,4.4724,0,0
CLPXAG,D,19940414,000000,4.4745,4.4745,4.4745,4.4745,0,0
CLPXAG,D,19940415,000000,4.5009,4.5009,4.5009,4.5009,0,0
CLPXAG,D,19940418,000000,4.47,4.47,4.47,4.47,0,0
CLPXAG,D,19940419,000000,4.557,4.557,4.557,4.557,0,0
CLPXAG,D,19940420,000000,4.5094,4.5094,4.5094,4.5094,0,0
CLPXAG,D,19940421,000000,4.5129,4.5129,4.5129,4.5129,0,0
CLPXAG,D,19940422,000000,4.6281,4.6281,4.6281,4.6281,0,0
CLPXAG,D,19940425,000000,4.5845,4.5845,4.5845,4.5845,0,0
CLPXAG,D,19940426,000000,4.5253,4.5253,4.5253,4.5253,0,0
CLPXAG,D,19940427,000000,4.5322,4.5322,4.5322,4.5322,0,0
CLPXAG,D,19940428,000000,4.4575,4.4575,4.4575,4.4575,0,0
CLPXAG,D,19940429,000000,4.4042,4.4042,4.4042,4.4042,0,0
CLPXAG,D,19940504,000000,4.537,4.537,4.537,4.537,0,0
CLPXAG,D,19940505,000000,4.6038,4.6038,4.6038,4.6038,0,0
CLPXAG,D,19940506,000000,4.3002,4.3002,4.3002,4.3002,0,0
CLPXAG,D,19940509,000000,4.3506,4.3506,4.3506,4.3506,0,0
CLPXAG,D,19940510,000000,4.449,4.449,4.449,4.449,0,0
CLPXAG,D,19940511,000000,4.3358,4.3358,4.3358,4.3358,0,0
CLPXAG,D,19940512,000000,4.3924,4.3924,4.3924,4.3924,0,0
CLPXAG,D,19940513,000000,4.3599,4.3599,4.3599,4.3599,0,0
CLPXAG,D,19940516,000000,4.2516,4.2516,4.2516,4.2516,0,0
CLPXAG,D,19940517,000000,4.2922,4.2922,4.2922,4.2922,0,0
CLPXAG,D,19940518,000000,4.271,4.271,4.271,4.271,0,0
CLPXAG,D,19940519,000000,4.2776,4.2776,4.2776,4.2776,0,0
CLPXAG,D,19940520,000000,4.1853,4.1853,4.1853,4.1853,0,0
CLPXAG,D,19940523,000000,4.1071,4.1071,4.1071,4.1071,0,0
CLPXAG,D,19940524,000000,4.1991,4.1991,4.1991,4.1991,0,0
CLPXAG,D,19940525,000000,4.2612,4.2612,4.2612,4.2612,0,0
CLPXAG,D,19940526,000000,4.3313,4.3313,4.3313,4.3313,0,0
CLPXAG,D,19940527,000000,4.3372,4.3372,4.3372,4.3372,0,0
CLPXAG,D,19940530,000000,4.3441,4.3441,4.3441,4.3441,0,0
CLPXAG,D,19940531,000000,4.2917,4.2917,4.2917,4.2917,0,0
CLPXAG,D,19940601,000000,4.4481,4.4481,4.4481,4.4481,0,0
CLPXAG,D,19940603,000000,4.4732,4.4732,4.4732,4.4732,0,0
CLPXAG,D,19940606,000000,4.5014,4.5014,4.5014,4.5014,0,0
CLPXAG,D,19940607,000000,4.4785,4.4785,4.4785,4.4785,0,0
CLPXAG,D,19940608,000000,4.4273,4.4273,4.4273,4.4273,0,0
CLPXAG,D,19940609,000000,4.4247,4.4247,4.4247,4.4247,0,0
CLPXAG,D,19940610,000000,4.4219,4.4219,4.4219,4.4219,0,0
CLPXAG,D,19940613,000000,4.4088,4.4088,4.4088,4.4088,0,0
CLPXAG,D,19940614,000000,4.41,4.41,4.41,4.41,0,0
CLPXAG,D,19940615,000000,4.3322,4.3322,4.3322,4.3322,0,0
CLPXAG,D,19940616,000000,4.3607,4.3607,4.3607,4.3607,0,0
CLPXAG,D,19940617,000000,4.2624,4.2624,4.2624,4.2624,0,0
CLPXAG,D,19940620,000000,4.3729,4.3729,4.3729,4.3729,0,0
CLPXAG,D,19940621,000000,4.3031,4.3031,4.3031,4.3031,0,0
CLPXAG,D,19940622,000000,4.4407,4.4407,4.4407,4.4407,0,0
CLPXAG,D,19940623,000000,4.4298,4.4298,4.4298,4.4298,0,0
CLPXAG,D,19940624,000000,4.4279,4.4279,4.4279,4.4279,0,0
CLPXAG,D,19940627,000000,4.5482,4.5482,4.5482,4.5482,0,0
CLPXAG,D,19940628,000000,4.5149,4.5149,4.5149,4.5149,0,0
CLPXAG,D,19940629,000000,4.532,4.532,4.532,4.532,0,0
CLPXAG,D,19940630,000000,4.4617,4.4617,4.4617,4.4617,0,0
CLPXAG,D,19940701,000000,4.3979,4.3979,4.3979,4.3979,0,0
