<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNYBRL,D,19950103,000000,0.09982,0.09982,0.09982,0.09982,0,0
CNYBRL,D,19950104,000000,0.09984,0.09984,0.09984,0.09984,0,0
CNYBRL,D,19950105,000000,0.09961,0.09961,0.09961,0.09961,0,0
CNYBRL,D,19950106,000000,0.09927,0.09927,0.09927,0.09927,0,0
CNYBRL,D,19950109,000000,0.09975,0.09975,0.09975,0.09975,0,0
CNYBRL,D,19950110,000000,0.10011,0.10011,0.10011,0.10011,0,0
CNYBRL,D,19950111,000000,0.10059,0.10059,0.10059,0.10059,0,0
CNYBRL,D,19950112,000000,0.09987,0.09987,0.09987,0.09987,0,0
CNYBRL,D,19950113,000000,0.1001,0.1001,0.1001,0.1001,0,0
CNYBRL,D,19950116,000000,0.10011,0.10011,0.10011,0.10011,0,0
CNYBRL,D,19950117,000000,0.09997,0.09997,0.09997,0.09997,0,0
CNYBRL,D,19950118,000000,0.09999,0.09999,0.09999,0.09999,0,0
CNYBRL,D,19950119,000000,0.10023,0.10023,0.10023,0.10023,0,0
CNYBRL,D,19950120,000000,0.10024,0.10024,0.10024,0.10024,0,0
CNYBRL,D,19950123,000000,0.10048,0.10048,0.10048,0.10048,0,0
CNYBRL,D,19950124,000000,0.10061,0.10061,0.10061,0.10061,0,0
CNYBRL,D,19950125,000000,0.10061,0.10061,0.10061,0.10061,0,0
CNYBRL,D,19950126,000000,0.09989,0.09989,0.09989,0.09989,0,0
CNYBRL,D,19950127,000000,0.09977,0.09977,0.09977,0.09977,0,0
CNYBRL,D,19950130,000000,0.10001,0.10001,0.10001,0.10001,0,0
CNYBRL,D,19950131,000000,0.09943,0.09943,0.09943,0.09943,0,0
CNYBRL,D,19950201,000000,0.09954,0.09954,0.09954,0.09954,0,0
CNYBRL,D,19950202,000000,0.0992,0.0992,0.0992,0.0992,0,0
CNYBRL,D,19950203,000000,0.09918,0.09918,0.09918,0.09918,0,0
CNYBRL,D,19950206,000000,0.09883,0.09883,0.09883,0.09883,0,0
CNYBRL,D,19950207,000000,0.09884,0.09884,0.09884,0.09884,0,0
CNYBRL,D,19950208,000000,0.09873,0.09873,0.09873,0.09873,0,0
CNYBRL,D,19950209,000000,0.0985,0.0985,0.0985,0.0985,0,0
CNYBRL,D,19950210,000000,0.09862,0.09862,0.09862,0.09862,0,0
CNYBRL,D,19950213,000000,0.09839,0.09839,0.09839,0.09839,0,0
CNYBRL,D,19950214,000000,0.09863,0.09863,0.09863,0.09863,0,0
CNYBRL,D,19950215,000000,0.09889,0.09889,0.09889,0.09889,0,0
CNYBRL,D,19950216,000000,0.09982,0.09982,0.09982,0.09982,0,0
CNYBRL,D,19950217,000000,0.10051,0.10051,0.10051,0.10051,0,0
CNYBRL,D,19950220,000000,0.09948,0.09948,0.09948,0.09948,0,0
CNYBRL,D,19950221,000000,0.09961,0.09961,0.09961,0.09961,0,0
CNYBRL,D,19950222,000000,0.10033,0.10033,0.10033,0.10033,0,0
CNYBRL,D,19950223,000000,0.10022,0.10022,0.10022,0.10022,0,0
CNYBRL,D,19950224,000000,0.10091,0.10091,0.10091,0.10091,0,0
CNYBRL,D,19950227,000000,0.10068,0.10068,0.10068,0.10068,0,0
CNYBRL,D,19950228,000000,0.1007,0.1007,0.1007,0.1007,0,0
CNYBRL,D,19950301,000000,0.10084,0.10084,0.10084,0.10084,0,0
CNYBRL,D,19950302,000000,0.10072,0.10072,0.10072,0.10072,0,0
CNYBRL,D,19950303,000000,0.10154,0.10154,0.10154,0.10154,0,0
CNYBRL,D,19950306,000000,0.10249,0.10249,0.10249,0.10249,0,0
CNYBRL,D,19950307,000000,0.10501,0.10501,0.10501,0.10501,0,0
CNYBRL,D,19950308,000000,0.10527,0.10527,0.10527,0.10527,0,0
