<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNYHRK,D,19951023,000000,0.6314,0.6314,0.6314,0.6314,0,0
CNYHRK,D,19951024,000000,0.6314,0.6314,0.6314,0.6314,0,0
CNYHRK,D,19951025,000000,0.6164,0.6164,0.6164,0.6164,0,0
CNYHRK,D,19951026,000000,0.6182,0.6182,0.6182,0.6182,0,0
CNYHRK,D,19951027,000000,0.6182,0.6182,0.6182,0.6182,0,0
CNYHRK,D,19951030,000000,0.6185,0.6185,0.6185,0.6185,0,0
CNYHRK,D,19951031,000000,0.6185,0.6185,0.6185,0.6185,0,0
CNYHRK,D,19951102,000000,0.6262,0.6262,0.6262,0.6262,0,0
CNYHRK,D,19951103,000000,0.6299,0.6299,0.6299,0.6299,0,0
CNYHRK,D,19951106,000000,0.6297,0.6297,0.6297,0.6297,0,0
CNYHRK,D,19951107,000000,0.627,0.627,0.627,0.627,0,0
CNYHRK,D,19951108,000000,0.627,0.627,0.627,0.627,0,0
CNYHRK,D,19951109,000000,0.631,0.631,0.631,0.631,0,0
CNYHRK,D,19951110,000000,0.6311,0.6311,0.6311,0.6311,0,0
CNYHRK,D,19951113,000000,0.631,0.631,0.631,0.631,0,0
CNYHRK,D,19951114,000000,0.6312,0.6312,0.6312,0.6312,0,0
CNYHRK,D,19951115,000000,0.631,0.631,0.631,0.631,0,0
CNYHRK,D,19951116,000000,0.6311,0.6311,0.6311,0.6311,0,0
CNYHRK,D,19951117,000000,0.631,0.631,0.631,0.631,0,0
CNYHRK,D,19951120,000000,0.6311,0.6311,0.6311,0.6311,0,0
CNYHRK,D,19951121,000000,0.6311,0.6311,0.6311,0.6311,0,0
CNYHRK,D,19951122,000000,0.6312,0.6312,0.6312,0.6312,0,0
CNYHRK,D,19951123,000000,0.6311,0.6311,0.6311,0.6311,0,0
CNYHRK,D,19951124,000000,0.6311,0.6311,0.6311,0.6311,0,0
