<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNYTWD,D,19840109,000000,11.246,11.246,11.246,11.246,0,0
CNYTWD,D,19840116,000000,11.003,11.003,11.003,11.003,0,0
CNYTWD,D,19840123,000000,11.003,11.003,11.003,11.003,0,0
CNYTWD,D,19840130,000000,11.012,11.012,11.012,11.012,0,0
CNYTWD,D,19840206,000000,11.012,11.012,11.012,11.012,0,0
CNYTWD,D,19840213,000000,11.012,11.012,11.012,11.012,0,0
CNYTWD,D,19840220,000000,10.879,10.879,10.879,10.879,0,0
CNYTWD,D,19840301,000000,11.148,11.148,11.148,11.148,0,0
CNYTWD,D,19840305,000000,11.021,11.021,11.021,11.021,0,0
CNYTWD,D,19840312,000000,10.917,10.917,10.917,10.917,0,0
CNYTWD,D,19840319,000000,10.901,10.901,10.901,10.901,0,0
CNYTWD,D,19840326,000000,10.777,10.777,10.777,10.777,0,0
CNYTWD,D,19840402,000000,10.96,10.96,10.96,10.96,0,0
CNYTWD,D,19840409,000000,10.777,10.777,10.777,10.777,0,0
CNYTWD,D,19840416,000000,10.73,10.73,10.73,10.73,0,0
CNYTWD,D,19840424,000000,10.61,10.61,10.61,10.61,0,0
CNYTWD,D,19840502,000000,10.386,10.386,10.386,10.386,0,0
CNYTWD,D,19840507,000000,10.286,10.286,10.286,10.286,0,0
CNYTWD,D,19840514,000000,10.286,10.286,10.286,10.286,0,0
CNYTWD,D,19840521,000000,10.1,10.1,10.1,10.1,0,0
CNYTWD,D,19840528,000000,10.1,10.1,10.1,10.1,0,0
CNYTWD,D,19840604,000000,10.378,10.378,10.378,10.378,0,0
CNYTWD,D,19840611,000000,10.217,10.217,10.217,10.217,0,0
CNYTWD,D,19840618,000000,10.115,10.115,10.115,10.115,0,0
CNYTWD,D,19840625,000000,10.111,10.111,10.111,10.111,0,0
CNYTWD,D,19840702,000000,9.989,9.989,9.989,9.989,0,0
CNYTWD,D,19840709,000000,9.785,9.785,9.785,9.785,0,0
CNYTWD,D,19840716,000000,9.771,9.771,9.771,9.771,0,0
CNYTWD,D,19840723,000000,9.685,9.685,9.685,9.685,0,0
CNYTWD,D,19840730,000000,9.4163,9.4163,9.4163,9.4163,0,0
CNYTWD,D,19840806,000000,9.588,9.588,9.588,9.588,0,0
CNYTWD,D,19840813,000000,9.1727,9.1727,9.1727,9.1727,0,0
CNYTWD,D,19840820,000000,9.3707,9.3707,9.3707,9.3707,0,0
