<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNYXAG,D,19840109,000000,3.5063,3.5063,3.5063,3.5063,0,0
CNYXAG,D,19840116,000000,3.3457,3.3457,3.3457,3.3457,0,0
CNYXAG,D,19840123,000000,3.3875,3.3875,3.3875,3.3875,0,0
CNYXAG,D,19840130,000000,3.2651,3.2651,3.2651,3.2651,0,0
CNYXAG,D,19840206,000000,3.1149,3.1149,3.1149,3.1149,0,0
CNYXAG,D,19840213,000000,3.1512,3.1512,3.1512,3.1512,0,0
CNYXAG,D,19840220,000000,3.0814,3.0814,3.0814,3.0814,0,0
CNYXAG,D,19840301,000000,2.8241,2.8241,2.8241,2.8241,0,0
CNYXAG,D,19840305,000000,2.6937,2.6937,2.6937,2.6937,0,0
CNYXAG,D,19840312,000000,2.7736,2.7736,2.7736,2.7736,0,0
CNYXAG,D,19840319,000000,2.8,2.8,2.8,2.8,0,0
CNYXAG,D,19840326,000000,2.8,2.8,2.8,2.8,0,0
CNYXAG,D,19840402,000000,2.9314,2.9314,2.9314,2.9314,0,0
CNYXAG,D,19840409,000000,2.8824,2.8824,2.8824,2.8824,0,0
CNYXAG,D,19840416,000000,2.94,2.94,2.94,2.94,0,0
CNYXAG,D,19840424,000000,2.8824,2.8824,2.8824,2.8824,0,0
CNYXAG,D,19840502,000000,2.8515,2.8515,2.8515,2.8515,0,0
CNYXAG,D,19840507,000000,2.9691,2.9691,2.9691,2.9691,0,0
CNYXAG,D,19840514,000000,2.88,2.88,2.88,2.88,0,0
CNYXAG,D,19840521,000000,2.7647,2.7647,2.7647,2.7647,0,0
CNYXAG,D,19840528,000000,2.7647,2.7647,2.7647,2.7647,0,0
CNYXAG,D,19840604,000000,2.7429,2.7429,2.7429,2.7429,0,0
CNYXAG,D,19840611,000000,2.9375,2.9375,2.9375,2.9375,0,0
CNYXAG,D,19840618,000000,2.9375,2.9375,2.9375,2.9375,0,0
CNYXAG,D,19840625,000000,3.0323,3.0323,3.0323,3.0323,0,0
CNYXAG,D,19840702,000000,2.9684,2.9684,2.9684,2.9684,0,0
CNYXAG,D,19840709,000000,3.1839,3.1839,3.1839,3.1839,0,0
CNYXAG,D,19840716,000000,3.2588,3.2588,3.2588,3.2588,0,0
CNYXAG,D,19840723,000000,3.3781,3.3781,3.3781,3.3781,0,0
CNYXAG,D,19840730,000000,3.3457,3.3457,3.3457,3.3457,0,0
CNYXAG,D,19840806,000000,3.2209,3.2209,3.2209,3.2209,0,0
CNYXAG,D,19840813,000000,2.9775,2.9775,2.9775,2.9775,0,0
CNYXAG,D,19840820,000000,3.1882,3.1882,3.1882,3.1882,0,0
CNYXAG,D,19840827,000000,3.0814,3.0814,3.0814,3.0814,0,0
CNYXAG,D,19840901,000000,3.0638,3.0638,3.0638,3.0638,0,0
CNYXAG,D,19840910,000000,3.0109,3.0109,3.0109,3.0109,0,0
CNYXAG,D,19840917,000000,3.0778,3.0778,3.0778,3.0778,0,0
CNYXAG,D,19840924,000000,2.8265,2.8265,2.8265,2.8265,0,0
CNYXAG,D,19841001,000000,2.7938,2.7938,2.7938,2.7938,0,0
CNYXAG,D,19841008,000000,2.914,2.914,2.914,2.914,0,0
CNYXAG,D,19841015,000000,2.8495,2.8495,2.8495,2.8495,0,0
