<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKAUD,D,19951023,000000,5.1535,5.1535,5.1535,5.1535,0,0
CZKAUD,D,19951024,000000,5.1555,5.1555,5.1555,5.1555,0,0
CZKAUD,D,19951025,000000,5.1284,5.1284,5.1284,5.1284,0,0
CZKAUD,D,19951026,000000,5.086,5.086,5.086,5.086,0,0
CZKAUD,D,19951027,000000,5.1058,5.1058,5.1058,5.1058,0,0
CZKAUD,D,19951030,000000,5.0266,5.0266,5.0266,5.0266,0,0
CZKAUD,D,19951031,000000,5.019,5.019,5.019,5.019,0,0
CZKAUD,D,19951102,000000,5.0137,5.0137,5.0137,5.0137,0,0
CZKAUD,D,19951103,000000,5.0322,5.0322,5.0322,5.0322,0,0
CZKAUD,D,19951106,000000,5.0431,5.0431,5.0431,5.0431,0,0
CZKAUD,D,19951107,000000,5.0774,5.0774,5.0774,5.0774,0,0
CZKAUD,D,19951108,000000,5.0728,5.0728,5.0728,5.0728,0,0
CZKAUD,D,19951109,000000,5.1397,5.1397,5.1397,5.1397,0,0
CZKAUD,D,19951110,000000,5.1563,5.1563,5.1563,5.1563,0,0
CZKAUD,D,19951113,000000,5.1718,5.1718,5.1718,5.1718,0,0
CZKAUD,D,19951114,000000,5.1253,5.1253,5.1253,5.1253,0,0
CZKAUD,D,19951115,000000,5.191,5.191,5.191,5.191,0,0
CZKAUD,D,19951116,000000,5.1801,5.1801,5.1801,5.1801,0,0
CZKAUD,D,19951117,000000,5.1823,5.1823,5.1823,5.1823,0,0
CZKAUD,D,19951120,000000,5.1212,5.1212,5.1212,5.1212,0,0
CZKAUD,D,19951121,000000,5.1335,5.1335,5.1335,5.1335,0,0
CZKAUD,D,19951122,000000,5.156,5.156,5.156,5.156,0,0
CZKAUD,D,19951123,000000,5.1781,5.1781,5.1781,5.1781,0,0
CZKAUD,D,19951124,000000,5.164,5.164,5.164,5.164,0,0
CZKAUD,D,19951127,000000,5.1025,5.1025,5.1025,5.1025,0,0
CZKAUD,D,19951128,000000,5.0328,5.0328,5.0328,5.0328,0,0
CZKAUD,D,19951129,000000,5.0295,5.0295,5.0295,5.0295,0,0
CZKAUD,D,19951130,000000,5.0728,5.0728,5.0728,5.0728,0,0
CZKAUD,D,19951201,000000,5.0633,5.0633,5.0633,5.0633,0,0
CZKAUD,D,19951204,000000,5.0995,5.0995,5.0995,5.0995,0,0
CZKAUD,D,19951205,000000,5.1192,5.1192,5.1192,5.1192,0,0
CZKAUD,D,19951206,000000,5.0892,5.0892,5.0892,5.0892,0,0
CZKAUD,D,19951207,000000,5.0878,5.0878,5.0878,5.0878,0,0
CZKAUD,D,19951208,000000,5.1003,5.1003,5.1003,5.1003,0,0
CZKAUD,D,19951211,000000,5.1082,5.1082,5.1082,5.1082,0,0
CZKAUD,D,19951212,000000,5.076,5.076,5.076,5.076,0,0
CZKAUD,D,19951213,000000,5.0472,5.0472,5.0472,5.0472,0,0
CZKAUD,D,19951214,000000,5.0676,5.0676,5.0676,5.0676,0,0
CZKAUD,D,19951215,000000,5.0847,5.0847,5.0847,5.0847,0,0
CZKAUD,D,19951218,000000,5.0814,5.0814,5.0814,5.0814,0,0
CZKAUD,D,19951219,000000,5.0799,5.0799,5.0799,5.0799,0,0
CZKAUD,D,19951220,000000,5.0412,5.0412,5.0412,5.0412,0,0
CZKAUD,D,19951221,000000,5.0548,5.0548,5.0548,5.0548,0,0
CZKAUD,D,19951222,000000,5.0537,5.0537,5.0537,5.0537,0,0
CZKAUD,D,19951227,000000,5.0068,5.0068,5.0068,5.0068,0,0
