<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKBRL,D,19951023,000000,3.7075,3.7075,3.7075,3.7075,0,0
CZKBRL,D,19951024,000000,3.7131,3.7131,3.7131,3.7131,0,0
CZKBRL,D,19951025,000000,3.7005,3.7005,3.7005,3.7005,0,0
CZKBRL,D,19951026,000000,3.7023,3.7023,3.7023,3.7023,0,0
CZKBRL,D,19951027,000000,3.7006,3.7006,3.7006,3.7006,0,0
CZKBRL,D,19951030,000000,3.6706,3.6706,3.6706,3.6706,0,0
CZKBRL,D,19951031,000000,3.6723,3.6723,3.6723,3.6723,0,0
CZKBRL,D,19951102,000000,3.6611,3.6611,3.6611,3.6611,0,0
CZKBRL,D,19951103,000000,3.6652,3.6652,3.6652,3.6652,0,0
CZKBRL,D,19951106,000000,3.6682,3.6682,3.6682,3.6682,0,0
CZKBRL,D,19951107,000000,3.6647,3.6647,3.6647,3.6647,0,0
CZKBRL,D,19951108,000000,3.662,3.662,3.662,3.662,0,0
CZKBRL,D,19951109,000000,3.6484,3.6484,3.6484,3.6484,0,0
CZKBRL,D,19951110,000000,3.6699,3.6699,3.6699,3.6699,0,0
CZKBRL,D,19951113,000000,3.6738,3.6738,3.6738,3.6738,0,0
CZKBRL,D,19951114,000000,3.6628,3.6628,3.6628,3.6628,0,0
CZKBRL,D,19951115,000000,3.6881,3.6881,3.6881,3.6881,0,0
CZKBRL,D,19951116,000000,3.6814,3.6814,3.6814,3.6814,0,0
CZKBRL,D,19951117,000000,3.6837,3.6837,3.6837,3.6837,0,0
CZKBRL,D,19951120,000000,3.6656,3.6656,3.6656,3.6656,0,0
CZKBRL,D,19951121,000000,3.685,3.685,3.685,3.685,0,0
CZKBRL,D,19951122,000000,3.6868,3.6868,3.6868,3.6868,0,0
CZKBRL,D,19951123,000000,3.6847,3.6847,3.6847,3.6847,0,0
CZKBRL,D,19951124,000000,3.6811,3.6811,3.6811,3.6811,0,0
CZKBRL,D,19951127,000000,3.6395,3.6395,3.6395,3.6395,0,0
CZKBRL,D,19951128,000000,3.6355,3.6355,3.6355,3.6355,0,0
CZKBRL,D,19951129,000000,3.6382,3.6382,3.6382,3.6382,0,0
CZKBRL,D,19951130,000000,3.6469,3.6469,3.6469,3.6469,0,0
CZKBRL,D,19951201,000000,3.625,3.625,3.625,3.625,0,0
CZKBRL,D,19951204,000000,3.6435,3.6435,3.6435,3.6435,0,0
CZKBRL,D,19951205,000000,3.6459,3.6459,3.6459,3.6459,0,0
CZKBRL,D,19951206,000000,3.6454,3.6454,3.6454,3.6454,0,0
CZKBRL,D,19951207,000000,3.6436,3.6436,3.6436,3.6436,0,0
CZKBRL,D,19951208,000000,3.6334,3.6334,3.6334,3.6334,0,0
CZKBRL,D,19951211,000000,3.6388,3.6388,3.6388,3.6388,0,0
CZKBRL,D,19951212,000000,3.6346,3.6346,3.6346,3.6346,0,0
CZKBRL,D,19951213,000000,3.6268,3.6268,3.6268,3.6268,0,0
CZKBRL,D,19951214,000000,3.6283,3.6283,3.6283,3.6283,0,0
CZKBRL,D,19951215,000000,3.6384,3.6384,3.6384,3.6384,0,0
CZKBRL,D,19951218,000000,3.6439,3.6439,3.6439,3.6439,0,0
CZKBRL,D,19951219,000000,3.6462,3.6462,3.6462,3.6462,0,0
CZKBRL,D,19951220,000000,3.6188,3.6188,3.6188,3.6188,0,0
CZKBRL,D,19951221,000000,3.6364,3.6364,3.6364,3.6364,0,0
CZKBRL,D,19951222,000000,3.6361,3.6361,3.6361,3.6361,0,0
CZKBRL,D,19951227,000000,3.6347,3.6347,3.6347,3.6347,0,0
CZKBRL,D,19951228,000000,3.6479,3.6479,3.6479,3.6479,0,0
CZKBRL,D,19951229,000000,3.6401,3.6401,3.6401,3.6401,0,0
CZKBRL,D,19960102,000000,3.6514,3.6514,3.6514,3.6514,0,0
CZKBRL,D,19960103,000000,3.6495,3.6495,3.6495,3.6495,0,0
CZKBRL,D,19960104,000000,3.6347,3.6347,3.6347,3.6347,0,0
CZKBRL,D,19960105,000000,3.6382,3.6382,3.6382,3.6382,0,0
CZKBRL,D,19960108,000000,3.6457,3.6457,3.6457,3.6457,0,0
CZKBRL,D,19960109,000000,3.6349,3.6349,3.6349,3.6349,0,0
CZKBRL,D,19960110,000000,3.6401,3.6401,3.6401,3.6401,0,0
CZKBRL,D,19960111,000000,3.6457,3.6457,3.6457,3.6457,0,0
CZKBRL,D,19960112,000000,3.6371,3.6371,3.6371,3.6371,0,0
CZKBRL,D,19960115,000000,3.6351,3.6351,3.6351,3.6351,0,0
CZKBRL,D,19960116,000000,3.6443,3.6443,3.6443,3.6443,0,0
CZKBRL,D,19960117,000000,3.6029,3.6029,3.6029,3.6029,0,0
CZKBRL,D,19960118,000000,3.5934,3.5934,3.5934,3.5934,0,0
CZKBRL,D,19960119,000000,3.58,3.58,3.58,3.58,0,0
CZKBRL,D,19960122,000000,3.5803,3.5803,3.5803,3.5803,0,0
CZKBRL,D,19960123,000000,3.6013,3.6013,3.6013,3.6013,0,0
CZKBRL,D,19960124,000000,3.5887,3.5887,3.5887,3.5887,0,0
CZKBRL,D,19960125,000000,3.601,3.601,3.601,3.601,0,0
CZKBRL,D,19960126,000000,3.5854,3.5854,3.5854,3.5854,0,0
CZKBRL,D,19960129,000000,3.5865,3.5865,3.5865,3.5865,0,0
CZKBRL,D,19960130,000000,3.5956,3.5956,3.5956,3.5956,0,0
CZKBRL,D,19960131,000000,3.5889,3.5889,3.5889,3.5889,0,0
