<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKCLP,D,19951023,000000,15.772,15.772,15.772,15.772,0,0
CZKCLP,D,19951024,000000,15.675,15.675,15.675,15.675,0,0
CZKCLP,D,19951025,000000,15.787,15.787,15.787,15.787,0,0
CZKCLP,D,19951026,000000,15.962,15.962,15.962,15.962,0,0
CZKCLP,D,19951027,000000,15.989,15.989,15.989,15.989,0,0
CZKCLP,D,19951030,000000,15.873,15.873,15.873,15.873,0,0
CZKCLP,D,19951031,000000,15.846,15.846,15.846,15.846,0,0
CZKCLP,D,19951102,000000,15.82,15.82,15.82,15.82,0,0
CZKCLP,D,19951103,000000,15.913,15.913,15.913,15.913,0,0
CZKCLP,D,19951106,000000,15.877,15.877,15.877,15.877,0,0
CZKCLP,D,19951107,000000,15.754,15.754,15.754,15.754,0,0
CZKCLP,D,19951108,000000,15.701,15.701,15.701,15.701,0,0
CZKCLP,D,19951109,000000,15.634,15.634,15.634,15.634,0,0
CZKCLP,D,19951110,000000,15.761,15.761,15.761,15.761,0,0
CZKCLP,D,19951113,000000,15.579,15.579,15.579,15.579,0,0
CZKCLP,D,19951114,000000,15.408,15.408,15.408,15.408,0,0
CZKCLP,D,19951115,000000,15.509,15.509,15.509,15.509,0,0
CZKCLP,D,19951116,000000,15.501,15.501,15.501,15.501,0,0
CZKCLP,D,19951117,000000,15.621,15.621,15.621,15.621,0,0
CZKCLP,D,19951120,000000,15.624,15.624,15.624,15.624,0,0
CZKCLP,D,19951121,000000,15.644,15.644,15.644,15.644,0,0
CZKCLP,D,19951122,000000,15.692,15.692,15.692,15.692,0,0
CZKCLP,D,19951123,000000,15.73,15.73,15.73,15.73,0,0
CZKCLP,D,19951124,000000,15.865,15.865,15.865,15.865,0,0
CZKCLP,D,19951127,000000,15.648,15.648,15.648,15.648,0,0
CZKCLP,D,19951128,000000,15.614,15.614,15.614,15.614,0,0
CZKCLP,D,19951129,000000,15.557,15.557,15.557,15.557,0,0
CZKCLP,D,19951130,000000,15.64,15.64,15.64,15.64,0,0
CZKCLP,D,19951201,000000,15.518,15.518,15.518,15.518,0,0
CZKCLP,D,19951204,000000,15.591,15.591,15.591,15.591,0,0
CZKCLP,D,19951205,000000,15.521,15.521,15.521,15.521,0,0
CZKCLP,D,19951206,000000,15.445,15.445,15.445,15.445,0,0
CZKCLP,D,19951207,000000,15.523,15.523,15.523,15.523,0,0
CZKCLP,D,19951208,000000,15.472,15.472,15.472,15.472,0,0
CZKCLP,D,19951211,000000,15.49,15.49,15.49,15.49,0,0
CZKCLP,D,19951212,000000,15.473,15.473,15.473,15.473,0,0
CZKCLP,D,19951213,000000,15.41,15.41,15.41,15.41,0,0
CZKCLP,D,19951214,000000,15.356,15.356,15.356,15.356,0,0
CZKCLP,D,19951215,000000,15.332,15.332,15.332,15.332,0,0
CZKCLP,D,19951218,000000,15.301,15.301,15.301,15.301,0,0
CZKCLP,D,19951219,000000,15.308,15.308,15.308,15.308,0,0
CZKCLP,D,19951220,000000,15.193,15.193,15.193,15.193,0,0
CZKCLP,D,19951221,000000,15.237,15.237,15.237,15.237,0,0
CZKCLP,D,19951222,000000,15.218,15.218,15.218,15.218,0,0
CZKCLP,D,19951227,000000,15.248,15.248,15.248,15.248,0,0
CZKCLP,D,19951228,000000,15.332,15.332,15.332,15.332,0,0
CZKCLP,D,19951229,000000,15.268,15.268,15.268,15.268,0,0
CZKCLP,D,19960102,000000,15.283,15.283,15.283,15.283,0,0
CZKCLP,D,19960103,000000,15.264,15.264,15.264,15.264,0,0
CZKCLP,D,19960104,000000,15.215,15.215,15.215,15.215,0,0
CZKCLP,D,19960105,000000,15.246,15.246,15.246,15.246,0,0
CZKCLP,D,19960108,000000,15.233,15.233,15.233,15.233,0,0
CZKCLP,D,19960109,000000,15.214,15.214,15.214,15.214,0,0
CZKCLP,D,19960110,000000,15.258,15.258,15.258,15.258,0,0
CZKCLP,D,19960111,000000,15.27,15.27,15.27,15.27,0,0
CZKCLP,D,19960112,000000,15.202,15.202,15.202,15.202,0,0
CZKCLP,D,19960115,000000,15.196,15.196,15.196,15.196,0,0
CZKCLP,D,19960116,000000,15.099,15.099,15.099,15.099,0,0
CZKCLP,D,19960117,000000,15.047,15.047,15.047,15.047,0,0
CZKCLP,D,19960118,000000,15.078,15.078,15.078,15.078,0,0
CZKCLP,D,19960119,000000,15.043,15.043,15.043,15.043,0,0
CZKCLP,D,19960122,000000,15.05,15.05,15.05,15.05,0,0
CZKCLP,D,19960123,000000,15.106,15.106,15.106,15.106,0,0
CZKCLP,D,19960124,000000,15.094,15.094,15.094,15.094,0,0
CZKCLP,D,19960125,000000,15.143,15.143,15.143,15.143,0,0
CZKCLP,D,19960126,000000,15.04,15.04,15.04,15.04,0,0
CZKCLP,D,19960129,000000,15.147,15.147,15.147,15.147,0,0
CZKCLP,D,19960130,000000,15.211,15.211,15.211,15.211,0,0
CZKCLP,D,19960131,000000,15.141,15.141,15.141,15.141,0,0
CZKCLP,D,19960201,000000,15.132,15.132,15.132,15.132,0,0
CZKCLP,D,19960202,000000,15.095,15.095,15.095,15.095,0,0
CZKCLP,D,19960205,000000,15.127,15.127,15.127,15.127,0,0
CZKCLP,D,19960206,000000,15.176,15.176,15.176,15.176,0,0
CZKCLP,D,19960207,000000,15.138,15.138,15.138,15.138,0,0
CZKCLP,D,19960208,000000,15.18,15.18,15.18,15.18,0,0
CZKCLP,D,19960209,000000,15.165,15.165,15.165,15.165,0,0
CZKCLP,D,19960212,000000,15.162,15.162,15.162,15.162,0,0
CZKCLP,D,19960213,000000,15.165,15.165,15.165,15.165,0,0
CZKCLP,D,19960214,000000,15.227,15.227,15.227,15.227,0,0
CZKCLP,D,19960215,000000,15.225,15.225,15.225,15.225,0,0
CZKCLP,D,19960216,000000,15.203,15.203,15.203,15.203,0,0
CZKCLP,D,19960219,000000,15.312,15.312,15.312,15.312,0,0
CZKCLP,D,19960220,000000,15.247,15.247,15.247,15.247,0,0
CZKCLP,D,19960221,000000,15.296,15.296,15.296,15.296,0,0
CZKCLP,D,19960222,000000,15.303,15.303,15.303,15.303,0,0
CZKCLP,D,19960223,000000,15.263,15.263,15.263,15.263,0,0
CZKCLP,D,19960226,000000,15.322,15.322,15.322,15.322,0,0
CZKCLP,D,19960227,000000,15.296,15.296,15.296,15.296,0,0
CZKCLP,D,19960228,000000,15.283,15.283,15.283,15.283,0,0
CZKCLP,D,19960229,000000,15.128,15.128,15.128,15.128,0,0
CZKCLP,D,19960301,000000,15.096,15.096,15.096,15.096,0,0
CZKCLP,D,19960304,000000,15.149,15.149,15.149,15.149,0,0
CZKCLP,D,19960305,000000,15.096,15.096,15.096,15.096,0,0
CZKCLP,D,19960306,000000,15.128,15.128,15.128,15.128,0,0
CZKCLP,D,19960307,000000,15.077,15.077,15.077,15.077,0,0
CZKCLP,D,19960308,000000,15.09,15.09,15.09,15.09,0,0
CZKCLP,D,19960311,000000,15.079,15.079,15.079,15.079,0,0
