<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKCNY,D,19951023,000000,0.32144,0.32144,0.32144,0.32144,0,0
CZKCNY,D,19951024,000000,0.32167,0.32167,0.32167,0.32167,0,0
CZKCNY,D,19951025,000000,0.32092,0.32092,0.32092,0.32092,0,0
CZKCNY,D,19951026,000000,0.32093,0.32093,0.32093,0.32093,0,0
CZKCNY,D,19951027,000000,0.32066,0.32066,0.32066,0.32066,0,0
CZKCNY,D,19951030,000000,0.31814,0.31814,0.31814,0.31814,0,0
CZKCNY,D,19951031,000000,0.31815,0.31815,0.31815,0.31815,0,0
CZKCNY,D,19951102,000000,0.31697,0.31697,0.31697,0.31697,0,0
CZKCNY,D,19951103,000000,0.31766,0.31766,0.31766,0.31766,0,0
CZKCNY,D,19951106,000000,0.31783,0.31783,0.31783,0.31783,0,0
CZKCNY,D,19951107,000000,0.31775,0.31775,0.31775,0.31775,0,0
CZKCNY,D,19951108,000000,0.31764,0.31764,0.31764,0.31764,0,0
CZKCNY,D,19951109,000000,0.31636,0.31636,0.31636,0.31636,0,0
CZKCNY,D,19951110,000000,0.3181,0.3181,0.3181,0.3181,0,0
CZKCNY,D,19951113,000000,0.31844,0.31844,0.31844,0.31844,0,0
CZKCNY,D,19951114,000000,0.31694,0.31694,0.31694,0.31694,0,0
CZKCNY,D,19951115,000000,0.31934,0.31934,0.31934,0.31934,0,0
CZKCNY,D,19951116,000000,0.31858,0.31858,0.31858,0.31858,0,0
CZKCNY,D,19951117,000000,0.31924,0.31924,0.31924,0.31924,0,0
CZKCNY,D,19951120,000000,0.31731,0.31731,0.31731,0.31731,0,0
CZKCNY,D,19951121,000000,0.31852,0.31852,0.31852,0.31852,0,0
CZKCNY,D,19951122,000000,0.31829,0.31829,0.31829,0.31829,0,0
CZKCNY,D,19951123,000000,0.3182,0.3182,0.3182,0.3182,0,0
CZKCNY,D,19951124,000000,0.31777,0.31777,0.31777,0.31777,0,0
CZKCNY,D,19951127,000000,0.3144,0.3144,0.3144,0.3144,0,0
CZKCNY,D,19951128,000000,0.31412,0.31412,0.31412,0.31412,0,0
CZKCNY,D,19951129,000000,0.31427,0.31427,0.31427,0.31427,0,0
CZKCNY,D,19951130,000000,0.31464,0.31464,0.31464,0.31464,0,0
CZKCNY,D,19951201,000000,0.31277,0.31277,0.31277,0.31277,0,0
CZKCNY,D,19951204,000000,0.31412,0.31412,0.31412,0.31412,0,0
CZKCNY,D,19951205,000000,0.31434,0.31434,0.31434,0.31434,0,0
CZKCNY,D,19951206,000000,0.31426,0.31426,0.31426,0.31426,0,0
CZKCNY,D,19951207,000000,0.31405,0.31405,0.31405,0.31405,0,0
CZKCNY,D,19951208,000000,0.31324,0.31324,0.31324,0.31324,0,0
CZKCNY,D,19951211,000000,0.31314,0.31314,0.31314,0.31314,0,0
CZKCNY,D,19951212,000000,0.31347,0.31347,0.31347,0.31347,0,0
CZKCNY,D,19951213,000000,0.31264,0.31264,0.31264,0.31264,0,0
CZKCNY,D,19951214,000000,0.31275,0.31275,0.31275,0.31275,0,0
CZKCNY,D,19951215,000000,0.31357,0.31357,0.31357,0.31357,0,0
CZKCNY,D,19951218,000000,0.31388,0.31388,0.31388,0.31388,0,0
CZKCNY,D,19951219,000000,0.31407,0.31407,0.31407,0.31407,0,0
CZKCNY,D,19951220,000000,0.31184,0.31184,0.31184,0.31184,0,0
CZKCNY,D,19951221,000000,0.31262,0.31262,0.31262,0.31262,0,0
CZKCNY,D,19951222,000000,0.31223,0.31223,0.31223,0.31223,0,0
CZKCNY,D,19951227,000000,0.31206,0.31206,0.31206,0.31206,0,0
CZKCNY,D,19951228,000000,0.31339,0.31339,0.31339,0.31339,0,0
CZKCNY,D,19951229,000000,0.31284,0.31284,0.31284,0.31284,0,0
CZKCNY,D,19960102,000000,0.3133,0.3133,0.3133,0.3133,0,0
CZKCNY,D,19960103,000000,0.3129,0.3129,0.3129,0.3129,0,0
CZKCNY,D,19960104,000000,0.31187,0.31187,0.31187,0.31187,0,0
CZKCNY,D,19960105,000000,0.31231,0.31231,0.31231,0.31231,0,0
CZKCNY,D,19960108,000000,0.31273,0.31273,0.31273,0.31273,0,0
CZKCNY,D,19960109,000000,0.31221,0.31221,0.31221,0.31221,0,0
CZKCNY,D,19960110,000000,0.31231,0.31231,0.31231,0.31231,0,0
CZKCNY,D,19960111,000000,0.31252,0.31252,0.31252,0.31252,0,0
CZKCNY,D,19960112,000000,0.31173,0.31173,0.31173,0.31173,0,0
CZKCNY,D,19960115,000000,0.31139,0.31139,0.31139,0.31139,0,0
CZKCNY,D,19960116,000000,0.31015,0.31015,0.31015,0.31015,0,0
CZKCNY,D,19960117,000000,0.30899,0.30899,0.30899,0.30899,0,0
CZKCNY,D,19960118,000000,0.3083,0.3083,0.3083,0.3083,0,0
CZKCNY,D,19960119,000000,0.30696,0.30696,0.30696,0.30696,0,0
CZKCNY,D,19960122,000000,0.30638,0.30638,0.30638,0.30638,0,0
CZKCNY,D,19960123,000000,0.30739,0.30739,0.30739,0.30739,0,0
CZKCNY,D,19960124,000000,0.3063,0.3063,0.3063,0.3063,0,0
CZKCNY,D,19960125,000000,0.30726,0.30726,0.30726,0.30726,0,0
CZKCNY,D,19960126,000000,0.3055,0.3055,0.3055,0.3055,0,0
CZKCNY,D,19960129,000000,0.30546,0.30546,0.30546,0.30546,0,0
CZKCNY,D,19960130,000000,0.30628,0.30628,0.30628,0.30628,0,0
CZKCNY,D,19960131,000000,0.30568,0.30568,0.30568,0.30568,0,0
CZKCNY,D,19960201,000000,0.30598,0.30598,0.30598,0.30598,0,0
CZKCNY,D,19960202,000000,0.30611,0.30611,0.30611,0.30611,0,0
CZKCNY,D,19960205,000000,0.30774,0.30774,0.30774,0.30774,0,0
CZKCNY,D,19960206,000000,0.30868,0.30868,0.30868,0.30868,0,0
CZKCNY,D,19960207,000000,0.30754,0.30754,0.30754,0.30754,0,0
CZKCNY,D,19960208,000000,0.30726,0.30726,0.30726,0.30726,0,0
CZKCNY,D,19960209,000000,0.3081,0.3081,0.3081,0.3081,0,0
CZKCNY,D,19960212,000000,0.30847,0.30847,0.30847,0.30847,0,0
CZKCNY,D,19960213,000000,0.3086,0.3086,0.3086,0.3086,0,0
CZKCNY,D,19960214,000000,0.30963,0.30963,0.30963,0.30963,0,0
CZKCNY,D,19960215,000000,0.30941,0.30941,0.30941,0.30941,0,0
CZKCNY,D,19960216,000000,0.30863,0.30863,0.30863,0.30863,0,0
CZKCNY,D,19960219,000000,0.3113,0.3113,0.3113,0.3113,0,0
CZKCNY,D,19960220,000000,0.30939,0.30939,0.30939,0.30939,0,0
CZKCNY,D,19960221,000000,0.30953,0.30953,0.30953,0.30953,0,0
CZKCNY,D,19960222,000000,0.30932,0.30932,0.30932,0.30932,0,0
CZKCNY,D,19960223,000000,0.30882,0.30882,0.30882,0.30882,0,0
CZKCNY,D,19960226,000000,0.30969,0.30969,0.30969,0.30969,0,0
CZKCNY,D,19960227,000000,0.30951,0.30951,0.30951,0.30951,0,0
CZKCNY,D,19960228,000000,0.30923,0.30923,0.30923,0.30923,0,0
CZKCNY,D,19960229,000000,0.30576,0.30576,0.30576,0.30576,0,0
CZKCNY,D,19960301,000000,0.30519,0.30519,0.30519,0.30519,0,0
CZKCNY,D,19960304,000000,0.30647,0.30647,0.30647,0.30647,0,0
CZKCNY,D,19960305,000000,0.30639,0.30639,0.30639,0.30639,0,0
CZKCNY,D,19960306,000000,0.30682,0.30682,0.30682,0.30682,0,0
CZKCNY,D,19960307,000000,0.30592,0.30592,0.30592,0.30592,0,0
CZKCNY,D,19960308,000000,0.30662,0.30662,0.30662,0.30662,0,0
CZKCNY,D,19960311,000000,0.30622,0.30622,0.30622,0.30622,0,0
CZKCNY,D,19960312,000000,0.30602,0.30602,0.30602,0.30602,0,0
CZKCNY,D,19960313,000000,0.30774,0.30774,0.30774,0.30774,0,0
CZKCNY,D,19960314,000000,0.30744,0.30744,0.30744,0.30744,0,0
CZKCNY,D,19960315,000000,0.30737,0.30737,0.30737,0.30737,0,0
CZKCNY,D,19960318,000000,0.30714,0.30714,0.30714,0.30714,0,0
CZKCNY,D,19960319,000000,0.3059,0.3059,0.3059,0.3059,0,0
CZKCNY,D,19960320,000000,0.30684,0.30684,0.30684,0.30684,0,0
CZKCNY,D,19960321,000000,0.30667,0.30667,0.30667,0.30667,0,0
CZKCNY,D,19960322,000000,0.3067,0.3067,0.3067,0.3067,0,0
CZKCNY,D,19960325,000000,0.30764,0.30764,0.30764,0.30764,0,0
CZKCNY,D,19960326,000000,0.30739,0.30739,0.30739,0.30739,0,0
CZKCNY,D,19960327,000000,0.30615,0.30615,0.30615,0.30615,0,0
CZKCNY,D,19960328,000000,0.30633,0.30633,0.30633,0.30633,0,0
CZKCNY,D,19960329,000000,0.30772,0.30772,0.30772,0.30772,0,0
CZKCNY,D,19960401,000000,0.30707,0.30707,0.30707,0.30707,0,0
CZKCNY,D,19960402,000000,0.30734,0.30734,0.30734,0.30734,0,0
CZKCNY,D,19960403,000000,0.30772,0.30772,0.30772,0.30772,0,0
CZKCNY,D,19960404,000000,0.30779,0.30779,0.30779,0.30779,0,0
CZKCNY,D,19960405,000000,0.30747,0.30747,0.30747,0.30747,0,0
CZKCNY,D,19960409,000000,0.30629,0.30629,0.30629,0.30629,0,0
CZKCNY,D,19960410,000000,0.30521,0.30521,0.30521,0.30521,0,0
CZKCNY,D,19960411,000000,0.30504,0.30504,0.30504,0.30504,0,0
CZKCNY,D,19960412,000000,0.30475,0.30475,0.30475,0.30475,0,0
CZKCNY,D,19960415,000000,0.30302,0.30302,0.30302,0.30302,0,0
CZKCNY,D,19960416,000000,0.30309,0.30309,0.30309,0.30309,0,0
CZKCNY,D,19960417,000000,0.30238,0.30238,0.30238,0.30238,0,0
CZKCNY,D,19960418,000000,0.30264,0.30264,0.30264,0.30264,0,0
CZKCNY,D,19960419,000000,0.30312,0.30312,0.30312,0.30312,0,0
CZKCNY,D,19960422,000000,0.30196,0.30196,0.30196,0.30196,0,0
CZKCNY,D,19960423,000000,0.30199,0.30199,0.30199,0.30199,0,0
CZKCNY,D,19960424,000000,0.30193,0.30193,0.30193,0.30193,0,0
CZKCNY,D,19960425,000000,0.3012,0.3012,0.3012,0.3012,0,0
CZKCNY,D,19960426,000000,0.30063,0.30063,0.30063,0.30063,0,0
