<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKHRK,D,19951023,000000,0.20294,0.20294,0.20294,0.20294,0,0
CZKHRK,D,19951024,000000,0.20318,0.20318,0.20318,0.20318,0,0
CZKHRK,D,19951025,000000,0.19769,0.19769,0.19769,0.19769,0,0
CZKHRK,D,19951026,000000,0.19842,0.19842,0.19842,0.19842,0,0
CZKHRK,D,19951027,000000,0.19833,0.19833,0.19833,0.19833,0,0
CZKHRK,D,19951030,000000,0.19688,0.19688,0.19688,0.19688,0,0
CZKHRK,D,19951031,000000,0.19683,0.19683,0.19683,0.19683,0,0
CZKHRK,D,19951102,000000,0.19852,0.19852,0.19852,0.19852,0,0
CZKHRK,D,19951103,000000,0.19999,0.19999,0.19999,0.19999,0,0
CZKHRK,D,19951106,000000,0.20021,0.20021,0.20021,0.20021,0,0
CZKHRK,D,19951107,000000,0.19922,0.19922,0.19922,0.19922,0,0
CZKHRK,D,19951108,000000,0.19907,0.19907,0.19907,0.19907,0,0
CZKHRK,D,19951109,000000,0.19961,0.19961,0.19961,0.19961,0,0
CZKHRK,D,19951110,000000,0.20079,0.20079,0.20079,0.20079,0,0
CZKHRK,D,19951113,000000,0.20085,0.20085,0.20085,0.20085,0,0
CZKHRK,D,19951114,000000,0.20003,0.20003,0.20003,0.20003,0,0
CZKHRK,D,19951115,000000,0.20151,0.20151,0.20151,0.20151,0,0
CZKHRK,D,19951116,000000,0.2011,0.2011,0.2011,0.2011,0,0
CZKHRK,D,19951117,000000,0.20144,0.20144,0.20144,0.20144,0,0
CZKHRK,D,19951120,000000,0.20028,0.20028,0.20028,0.20028,0,0
CZKHRK,D,19951121,000000,0.20099,0.20099,0.20099,0.20099,0,0
CZKHRK,D,19951122,000000,0.20098,0.20098,0.20098,0.20098,0,0
CZKHRK,D,19951123,000000,0.20087,0.20087,0.20087,0.20087,0,0
CZKHRK,D,19951124,000000,0.20062,0.20062,0.20062,0.20062,0,0
CZKHRK,D,19951127,000000,0.19844,0.19844,0.19844,0.19844,0,0
CZKHRK,D,19951128,000000,0.19847,0.19847,0.19847,0.19847,0,0
CZKHRK,D,19951129,000000,0.19861,0.19861,0.19861,0.19861,0,0
CZKHRK,D,19951130,000000,0.20014,0.20014,0.20014,0.20014,0,0
CZKHRK,D,19951201,000000,0.19893,0.19893,0.19893,0.19893,0,0
CZKHRK,D,19951204,000000,0.20198,0.20198,0.20198,0.20198,0,0
CZKHRK,D,19951205,000000,0.20038,0.20038,0.20038,0.20038,0,0
CZKHRK,D,19951206,000000,0.20029,0.20029,0.20029,0.20029,0,0
CZKHRK,D,19951207,000000,0.20019,0.20019,0.20019,0.20019,0,0
CZKHRK,D,19951208,000000,0.19967,0.19967,0.19967,0.19967,0,0
CZKHRK,D,19951211,000000,0.20142,0.20142,0.20142,0.20142,0,0
CZKHRK,D,19951212,000000,0.20123,0.20123,0.20123,0.20123,0,0
CZKHRK,D,19951213,000000,0.2007,0.2007,0.2007,0.2007,0,0
CZKHRK,D,19951214,000000,0.20075,0.20075,0.20075,0.20075,0,0
CZKHRK,D,19951215,000000,0.20179,0.20179,0.20179,0.20179,0,0
CZKHRK,D,19951218,000000,0.20204,0.20204,0.20204,0.20204,0,0
CZKHRK,D,19951219,000000,0.20208,0.20208,0.20208,0.20208,0,0
CZKHRK,D,19951220,000000,0.20056,0.20056,0.20056,0.20056,0,0
CZKHRK,D,19951221,000000,0.20114,0.20114,0.20114,0.20114,0,0
CZKHRK,D,19951222,000000,0.2009,0.2009,0.2009,0.2009,0,0
CZKHRK,D,19951227,000000,0.2009,0.2009,0.2009,0.2009,0,0
CZKHRK,D,19951228,000000,0.19915,0.19915,0.19915,0.19915,0,0
CZKHRK,D,19951229,000000,0.19873,0.19873,0.19873,0.19873,0,0
CZKHRK,D,19960102,000000,0.19958,0.19958,0.19958,0.19958,0,0
CZKHRK,D,19960103,000000,0.19894,0.19894,0.19894,0.19894,0,0
CZKHRK,D,19960104,000000,0.19884,0.19884,0.19884,0.19884,0,0
CZKHRK,D,19960105,000000,0.19991,0.19991,0.19991,0.19991,0,0
CZKHRK,D,19960108,000000,0.20016,0.20016,0.20016,0.20016,0,0
CZKHRK,D,19960109,000000,0.19868,0.19868,0.19868,0.19868,0,0
CZKHRK,D,19960110,000000,0.19952,0.19952,0.19952,0.19952,0,0
CZKHRK,D,19960111,000000,0.19914,0.19914,0.19914,0.19914,0,0
CZKHRK,D,19960112,000000,0.19865,0.19865,0.19865,0.19865,0,0
CZKHRK,D,19960115,000000,0.19854,0.19854,0.19854,0.19854,0,0
CZKHRK,D,19960116,000000,0.19831,0.19831,0.19831,0.19831,0,0
CZKHRK,D,19960117,000000,0.19763,0.19763,0.19763,0.19763,0,0
CZKHRK,D,19960118,000000,0.19973,0.19973,0.19973,0.19973,0,0
CZKHRK,D,19960119,000000,0.19893,0.19893,0.19893,0.19893,0,0
CZKHRK,D,19960122,000000,0.19997,0.19997,0.19997,0.19997,0,0
CZKHRK,D,19960123,000000,0.20071,0.20071,0.20071,0.20071,0,0
CZKHRK,D,19960124,000000,0.19967,0.19967,0.19967,0.19967,0,0
CZKHRK,D,19960125,000000,0.2019,0.2019,0.2019,0.2019,0,0
CZKHRK,D,19960126,000000,0.20077,0.20077,0.20077,0.20077,0,0
CZKHRK,D,19960129,000000,0.202,0.202,0.202,0.202,0,0
CZKHRK,D,19960130,000000,0.20199,0.20199,0.20199,0.20199,0,0
CZKHRK,D,19960131,000000,0.20092,0.20092,0.20092,0.20092,0,0
CZKHRK,D,19960201,000000,0.20101,0.20101,0.20101,0.20101,0,0
CZKHRK,D,19960202,000000,0.20113,0.20113,0.20113,0.20113,0,0
CZKHRK,D,19960205,000000,0.20285,0.20285,0.20285,0.20285,0,0
CZKHRK,D,19960206,000000,0.20357,0.20357,0.20357,0.20357,0,0
CZKHRK,D,19960207,000000,0.20134,0.20134,0.20134,0.20134,0,0
CZKHRK,D,19960208,000000,0.20093,0.20093,0.20093,0.20093,0,0
CZKHRK,D,19960209,000000,0.202,0.202,0.202,0.202,0,0
CZKHRK,D,19960212,000000,0.20229,0.20229,0.20229,0.20229,0,0
CZKHRK,D,19960213,000000,0.20194,0.20194,0.20194,0.20194,0,0
CZKHRK,D,19960214,000000,0.202,0.202,0.202,0.202,0,0
