<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKPHP,D,19951023,000000,1.0015,1.0015,1.0015,1.0015,0,0
CZKPHP,D,19951024,000000,1.0021,1.0021,1.0021,1.0021,0,0
CZKPHP,D,19951025,000000,0.9987,0.9987,0.9987,0.9987,0,0
CZKPHP,D,19951026,000000,0.9994,0.9994,0.9994,0.9994,0,0
CZKPHP,D,19951027,000000,1,1,1,1,0,0
CZKPHP,D,19951030,000000,0.9916,0.9916,0.9916,0.9916,0,0
CZKPHP,D,19951031,000000,0.9917,0.9917,0.9917,0.9917,0,0
CZKPHP,D,19951102,000000,0.9888,0.9888,0.9888,0.9888,0,0
CZKPHP,D,19951103,000000,0.9921,0.9921,0.9921,0.9921,0,0
CZKPHP,D,19951106,000000,0.9958,0.9958,0.9958,0.9958,0,0
CZKPHP,D,19951107,000000,0.9942,0.9942,0.9942,0.9942,0,0
CZKPHP,D,19951108,000000,0.9942,0.9942,0.9942,0.9942,0,0
CZKPHP,D,19951109,000000,0.991,0.991,0.991,0.991,0,0
CZKPHP,D,19951110,000000,0.9958,0.9958,0.9958,0.9958,0,0
CZKPHP,D,19951113,000000,0.9972,0.9972,0.9972,0.9972,0,0
CZKPHP,D,19951114,000000,0.9958,0.9958,0.9958,0.9958,0,0
CZKPHP,D,19951115,000000,1.0039,1.0039,1.0039,1.0039,0,0
CZKPHP,D,19951116,000000,1.0036,1.0036,1.0036,1.0036,0,0
CZKPHP,D,19951117,000000,1.0054,1.0054,1.0054,1.0054,0,0
CZKPHP,D,19951120,000000,0.9994,0.9994,0.9994,0.9994,0,0
CZKPHP,D,19951121,000000,1.0035,1.0035,1.0035,1.0035,0,0
CZKPHP,D,19951122,000000,1.0025,1.0025,1.0025,1.0025,0,0
CZKPHP,D,19951123,000000,1.0005,1.0005,1.0005,1.0005,0,0
CZKPHP,D,19951124,000000,0.9993,0.9993,0.9993,0.9993,0,0
CZKPHP,D,19951127,000000,0.9884,0.9884,0.9884,0.9884,0,0
CZKPHP,D,19951128,000000,0.9872,0.9872,0.9872,0.9872,0,0
CZKPHP,D,19951129,000000,0.9873,0.9873,0.9873,0.9873,0,0
CZKPHP,D,19951130,000000,0.9876,0.9876,0.9876,0.9876,0,0
CZKPHP,D,19951201,000000,0.9819,0.9819,0.9819,0.9819,0,0
CZKPHP,D,19951204,000000,0.9865,0.9865,0.9865,0.9865,0,0
CZKPHP,D,19951205,000000,0.9878,0.9878,0.9878,0.9878,0,0
CZKPHP,D,19951206,000000,0.9877,0.9877,0.9877,0.9877,0,0
CZKPHP,D,19951207,000000,0.9874,0.9874,0.9874,0.9874,0,0
CZKPHP,D,19951208,000000,0.9854,0.9854,0.9854,0.9854,0,0
CZKPHP,D,19951211,000000,0.9864,0.9864,0.9864,0.9864,0,0
CZKPHP,D,19951212,000000,0.9858,0.9858,0.9858,0.9858,0,0
CZKPHP,D,19951213,000000,0.983,0.983,0.983,0.983,0,0
CZKPHP,D,19951214,000000,0.9844,0.9844,0.9844,0.9844,0,0
CZKPHP,D,19951215,000000,0.9863,0.9863,0.9863,0.9863,0,0
CZKPHP,D,19951218,000000,0.987,0.987,0.987,0.987,0,0
CZKPHP,D,19951219,000000,0.9873,0.9873,0.9873,0.9873,0,0
CZKPHP,D,19951220,000000,0.9799,0.9799,0.9799,0.9799,0,0
CZKPHP,D,19951221,000000,0.9827,0.9827,0.9827,0.9827,0,0
CZKPHP,D,19951222,000000,0.9816,0.9816,0.9816,0.9816,0,0
CZKPHP,D,19951227,000000,0.9841,0.9841,0.9841,0.9841,0,0
CZKPHP,D,19951228,000000,0.9865,0.9865,0.9865,0.9865,0,0
CZKPHP,D,19951229,000000,0.9835,0.9835,0.9835,0.9835,0,0
CZKPHP,D,19960102,000000,0.9851,0.9851,0.9851,0.9851,0,0
CZKPHP,D,19960103,000000,0.9839,0.9839,0.9839,0.9839,0,0
CZKPHP,D,19960104,000000,0.9807,0.9807,0.9807,0.9807,0,0
CZKPHP,D,19960105,000000,0.9818,0.9818,0.9818,0.9818,0,0
CZKPHP,D,19960108,000000,0.9838,0.9838,0.9838,0.9838,0,0
CZKPHP,D,19960109,000000,0.9823,0.9823,0.9823,0.9823,0,0
CZKPHP,D,19960110,000000,0.9816,0.9816,0.9816,0.9816,0,0
CZKPHP,D,19960111,000000,0.9824,0.9824,0.9824,0.9824,0,0
CZKPHP,D,19960112,000000,0.9814,0.9814,0.9814,0.9814,0,0
