<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKPLN,D,19951023,000000,0.0937,0.0937,0.0937,0.0937,0,0
CZKPLN,D,19951024,000000,0.0938,0.0938,0.0938,0.0938,0,0
CZKPLN,D,19951025,000000,0.0939,0.0939,0.0939,0.0939,0,0
CZKPLN,D,19951026,000000,0.094,0.094,0.094,0.094,0,0
CZKPLN,D,19951027,000000,0.0936,0.0936,0.0936,0.0936,0,0
CZKPLN,D,19951030,000000,0.0935,0.0935,0.0935,0.0935,0,0
CZKPLN,D,19951031,000000,0.0936,0.0936,0.0936,0.0936,0,0
CZKPLN,D,19951102,000000,0.0936,0.0936,0.0936,0.0936,0,0
CZKPLN,D,19951103,000000,0.0939,0.0939,0.0939,0.0939,0,0
CZKPLN,D,19951106,000000,0.0936,0.0936,0.0936,0.0936,0,0
CZKPLN,D,19951107,000000,0.0938,0.0938,0.0938,0.0938,0,0
CZKPLN,D,19951108,000000,0.0938,0.0938,0.0938,0.0938,0,0
CZKPLN,D,19951109,000000,0.0938,0.0938,0.0938,0.0938,0,0
CZKPLN,D,19951110,000000,0.094,0.094,0.094,0.094,0,0
CZKPLN,D,19951113,000000,0.0941,0.0941,0.0941,0.0941,0,0
CZKPLN,D,19951114,000000,0.0941,0.0941,0.0941,0.0941,0,0
CZKPLN,D,19951115,000000,0.0943,0.0943,0.0943,0.0943,0,0
CZKPLN,D,19951116,000000,0.0943,0.0943,0.0943,0.0943,0,0
CZKPLN,D,19951117,000000,0.0944,0.0944,0.0944,0.0944,0,0
CZKPLN,D,19951120,000000,0.0944,0.0944,0.0944,0.0944,0,0
CZKPLN,D,19951121,000000,0.0946,0.0946,0.0946,0.0946,0,0
CZKPLN,D,19951122,000000,0.0945,0.0945,0.0945,0.0945,0,0
CZKPLN,D,19951123,000000,0.0946,0.0946,0.0946,0.0946,0,0
