<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKUAH,D,19960902,000000,0.06809,0.06809,0.06809,0.06809,0,0
CZKUAH,D,19960903,000000,0.06692,0.06692,0.06692,0.06692,0,0
CZKUAH,D,19960904,000000,0.06657,0.06657,0.06657,0.06657,0,0
CZKUAH,D,19960905,000000,0.06657,0.06657,0.06657,0.06657,0,0
CZKUAH,D,19960906,000000,0.06639,0.06639,0.06639,0.06639,0,0
CZKUAH,D,19960909,000000,0.06679,0.06679,0.06679,0.06679,0,0
CZKUAH,D,19960910,000000,0.06653,0.06653,0.06653,0.06653,0,0
CZKUAH,D,19960911,000000,0.06614,0.06614,0.06614,0.06614,0,0
CZKUAH,D,19960912,000000,0.06616,0.06616,0.06616,0.06616,0,0
CZKUAH,D,19960913,000000,0.0662,0.0662,0.0662,0.0662,0,0
CZKUAH,D,19960916,000000,0.06655,0.06655,0.06655,0.06655,0,0
CZKUAH,D,19960917,000000,0.06652,0.06652,0.06652,0.06652,0,0
CZKUAH,D,19960918,000000,0.06648,0.06648,0.06648,0.06648,0,0
CZKUAH,D,19960919,000000,0.06617,0.06617,0.06617,0.06617,0,0
CZKUAH,D,19960920,000000,0.06599,0.06599,0.06599,0.06599,0,0
CZKUAH,D,19960923,000000,0.06573,0.06573,0.06573,0.06573,0,0
CZKUAH,D,19960924,000000,0.06533,0.06533,0.06533,0.06533,0,0
CZKUAH,D,19960925,000000,0.06571,0.06571,0.06571,0.06571,0,0
CZKUAH,D,19960926,000000,0.06533,0.06533,0.06533,0.06533,0,0
CZKUAH,D,19960927,000000,0.06553,0.06553,0.06553,0.06553,0,0
CZKUAH,D,19960930,000000,0.06525,0.06525,0.06525,0.06525,0,0
CZKUAH,D,19961001,000000,0.06526,0.06526,0.06526,0.06526,0,0
CZKUAH,D,19961002,000000,0.06528,0.06528,0.06528,0.06528,0,0
CZKUAH,D,19961003,000000,0.06467,0.06467,0.06467,0.06467,0,0
CZKUAH,D,19961004,000000,0.0646,0.0646,0.0646,0.0646,0,0
CZKUAH,D,19961007,000000,0.06437,0.06437,0.06437,0.06437,0,0
CZKUAH,D,19961008,000000,0.06497,0.06497,0.06497,0.06497,0,0
CZKUAH,D,19961009,000000,0.06497,0.06497,0.06497,0.06497,0,0
CZKUAH,D,19961010,000000,0.06542,0.06542,0.06542,0.06542,0,0
CZKUAH,D,19961011,000000,0.0651,0.0651,0.0651,0.0651,0,0
CZKUAH,D,19961014,000000,0.0651,0.0651,0.0651,0.0651,0,0
CZKUAH,D,19961015,000000,0.06504,0.06504,0.06504,0.06504,0,0
CZKUAH,D,19961016,000000,0.06544,0.06544,0.06544,0.06544,0,0
CZKUAH,D,19961017,000000,0.06487,0.06487,0.06487,0.06487,0,0
CZKUAH,D,19961018,000000,0.06521,0.06521,0.06521,0.06521,0,0
CZKUAH,D,19961021,000000,0.0653,0.0653,0.0653,0.0653,0,0
CZKUAH,D,19961022,000000,0.06553,0.06553,0.06553,0.06553,0,0
CZKUAH,D,19961023,000000,0.06623,0.06623,0.06623,0.06623,0,0
CZKUAH,D,19961024,000000,0.06622,0.06622,0.06622,0.06622,0,0
CZKUAH,D,19961025,000000,0.0664,0.0664,0.0664,0.0664,0,0
CZKUAH,D,19961028,000000,0.0667,0.0667,0.0667,0.0667,0,0
CZKUAH,D,19961029,000000,0.06698,0.06698,0.06698,0.06698,0,0
CZKUAH,D,19961030,000000,0.06677,0.06677,0.06677,0.06677,0,0
CZKUAH,D,19961031,000000,0.06716,0.06716,0.06716,0.06716,0,0
CZKUAH,D,19961104,000000,0.06742,0.06742,0.06742,0.06742,0,0
CZKUAH,D,19961105,000000,0.06812,0.06812,0.06812,0.06812,0,0
CZKUAH,D,19961106,000000,0.06861,0.06861,0.06861,0.06861,0,0
CZKUAH,D,19961107,000000,0.06925,0.06925,0.06925,0.06925,0,0
CZKUAH,D,19961108,000000,0.06927,0.06927,0.06927,0.06927,0,0
CZKUAH,D,19961112,000000,0.06934,0.06934,0.06934,0.06934,0,0
CZKUAH,D,19961113,000000,0.06976,0.06976,0.06976,0.06976,0,0
CZKUAH,D,19961114,000000,0.06941,0.06941,0.06941,0.06941,0,0
CZKUAH,D,19961115,000000,0.06957,0.06957,0.06957,0.06957,0,0
CZKUAH,D,19961118,000000,0.07004,0.07004,0.07004,0.07004,0,0
CZKUAH,D,19961119,000000,0.06998,0.06998,0.06998,0.06998,0,0
CZKUAH,D,19961120,000000,0.07032,0.07032,0.07032,0.07032,0,0
CZKUAH,D,19961121,000000,0.07053,0.07053,0.07053,0.07053,0,0
CZKUAH,D,19961122,000000,0.0702,0.0702,0.0702,0.0702,0,0
CZKUAH,D,19961125,000000,0.06976,0.06976,0.06976,0.06976,0,0
CZKUAH,D,19961126,000000,0.06974,0.06974,0.06974,0.06974,0,0
CZKUAH,D,19961127,000000,0.0695,0.0695,0.0695,0.0695,0,0
CZKUAH,D,19961128,000000,0.06955,0.06955,0.06955,0.06955,0,0
CZKUAH,D,19961129,000000,0.06912,0.06912,0.06912,0.06912,0,0
CZKUAH,D,19961202,000000,0.06867,0.06867,0.06867,0.06867,0,0
CZKUAH,D,19961203,000000,0.06834,0.06834,0.06834,0.06834,0,0
CZKUAH,D,19961204,000000,0.06854,0.06854,0.06854,0.06854,0,0
CZKUAH,D,19961205,000000,0.06861,0.06861,0.06861,0.06861,0,0
CZKUAH,D,19961206,000000,0.06889,0.06889,0.06889,0.06889,0,0
CZKUAH,D,19961209,000000,0.0684,0.0684,0.0684,0.0684,0,0
CZKUAH,D,19961210,000000,0.06875,0.06875,0.06875,0.06875,0,0
CZKUAH,D,19961211,000000,0.0692,0.0692,0.0692,0.0692,0,0
CZKUAH,D,19961212,000000,0.06946,0.06946,0.06946,0.06946,0,0
CZKUAH,D,19961213,000000,0.06919,0.06919,0.06919,0.06919,0,0
CZKUAH,D,19961216,000000,0.069,0.069,0.069,0.069,0,0
CZKUAH,D,19961217,000000,0.069,0.069,0.069,0.069,0,0
CZKUAH,D,19961218,000000,0.06896,0.06896,0.06896,0.06896,0,0
CZKUAH,D,19961219,000000,0.06887,0.06887,0.06887,0.06887,0,0
CZKUAH,D,19961220,000000,0.06891,0.06891,0.06891,0.06891,0,0
CZKUAH,D,19961223,000000,0.06893,0.06893,0.06893,0.06893,0,0
CZKUAH,D,19961224,000000,0.06906,0.06906,0.06906,0.06906,0,0
CZKUAH,D,19961230,000000,0.06892,0.06892,0.06892,0.06892,0,0
CZKUAH,D,19961231,000000,0.06966,0.06966,0.06966,0.06966,0,0
CZKUAH,D,19970102,000000,0.06945,0.06945,0.06945,0.06945,0,0
CZKUAH,D,19970103,000000,0.0691,0.0691,0.0691,0.0691,0,0
CZKUAH,D,19970106,000000,0.06939,0.06939,0.06939,0.06939,0,0
CZKUAH,D,19970107,000000,0.06927,0.06927,0.06927,0.06927,0,0
CZKUAH,D,19970108,000000,0.0691,0.0691,0.0691,0.0691,0,0
CZKUAH,D,19970109,000000,0.06919,0.06919,0.06919,0.06919,0,0
CZKUAH,D,19970110,000000,0.06885,0.06885,0.06885,0.06885,0,0
CZKUAH,D,19970113,000000,0.0688,0.0688,0.0688,0.0688,0,0
CZKUAH,D,19970114,000000,0.06872,0.06872,0.06872,0.06872,0,0
CZKUAH,D,19970115,000000,0.06915,0.06915,0.06915,0.06915,0,0
CZKUAH,D,19970116,000000,0.06925,0.06925,0.06925,0.06925,0,0
CZKUAH,D,19970117,000000,0.06887,0.06887,0.06887,0.06887,0,0
CZKUAH,D,19970120,000000,0.06868,0.06868,0.06868,0.06868,0,0
CZKUAH,D,19970121,000000,0.06859,0.06859,0.06859,0.06859,0,0
CZKUAH,D,19970122,000000,0.06849,0.06849,0.06849,0.06849,0,0
CZKUAH,D,19970123,000000,0.0682,0.0682,0.0682,0.0682,0,0
CZKUAH,D,19970124,000000,0.06817,0.06817,0.06817,0.06817,0,0
CZKUAH,D,19970127,000000,0.06808,0.06808,0.06808,0.06808,0,0
CZKUAH,D,19970128,000000,0.0677,0.0677,0.0677,0.0677,0,0
CZKUAH,D,19970129,000000,0.06769,0.06769,0.06769,0.06769,0,0
CZKUAH,D,19970130,000000,0.0678,0.0678,0.0678,0.0678,0,0
CZKUAH,D,19970131,000000,0.0677,0.0677,0.0677,0.0677,0,0
CZKUAH,D,19970203,000000,0.06791,0.06791,0.06791,0.06791,0,0
CZKUAH,D,19970204,000000,0.0677,0.0677,0.0677,0.0677,0,0
CZKUAH,D,19970205,000000,0.06737,0.06737,0.06737,0.06737,0,0
CZKUAH,D,19970206,000000,0.06744,0.06744,0.06744,0.06744,0,0
