<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKUSD,D,19951023,000000,3.8571,3.8571,3.8571,3.8571,0,0
CZKUSD,D,19951024,000000,3.8617,3.8617,3.8617,3.8617,0,0
CZKUSD,D,19951025,000000,3.8487,3.8487,3.8487,3.8487,0,0
CZKUSD,D,19951026,000000,3.8509,3.8509,3.8509,3.8509,0,0
CZKUSD,D,19951027,000000,3.8492,3.8492,3.8492,3.8492,0,0
CZKUSD,D,19951030,000000,3.8184,3.8184,3.8184,3.8184,0,0
CZKUSD,D,19951031,000000,3.8173,3.8173,3.8173,3.8173,0,0
CZKUSD,D,19951102,000000,3.8037,3.8037,3.8037,3.8037,0,0
CZKUSD,D,19951103,000000,3.8096,3.8096,3.8096,3.8096,0,0
CZKUSD,D,19951106,000000,3.8139,3.8139,3.8139,3.8139,0,0
CZKUSD,D,19951107,000000,3.8118,3.8118,3.8118,3.8118,0,0
CZKUSD,D,19951108,000000,3.8091,3.8091,3.8091,3.8091,0,0
CZKUSD,D,19951109,000000,3.7956,3.7956,3.7956,3.7956,0,0
CZKUSD,D,19951110,000000,3.8181,3.8181,3.8181,3.8181,0,0
CZKUSD,D,19951113,000000,3.8193,3.8193,3.8193,3.8193,0,0
CZKUSD,D,19951114,000000,3.8036,3.8036,3.8036,3.8036,0,0
CZKUSD,D,19951115,000000,3.8318,3.8318,3.8318,3.8318,0,0
CZKUSD,D,19951116,000000,3.824,3.824,3.824,3.824,0,0
CZKUSD,D,19951117,000000,3.8304,3.8304,3.8304,3.8304,0,0
CZKUSD,D,19951120,000000,3.8084,3.8084,3.8084,3.8084,0,0
CZKUSD,D,19951121,000000,3.8218,3.8218,3.8218,3.8218,0,0
CZKUSD,D,19951122,000000,3.8218,3.8218,3.8218,3.8218,0,0
CZKUSD,D,19951123,000000,3.8196,3.8196,3.8196,3.8196,0,0
CZKUSD,D,19951124,000000,3.815,3.815,3.815,3.815,0,0
CZKUSD,D,19951127,000000,3.7734,3.7734,3.7734,3.7734,0,0
CZKUSD,D,19951128,000000,3.7705,3.7705,3.7705,3.7705,0,0
CZKUSD,D,19951129,000000,3.7733,3.7733,3.7733,3.7733,0,0
CZKUSD,D,19951130,000000,3.7749,3.7749,3.7749,3.7749,0,0
CZKUSD,D,19951201,000000,3.7522,3.7522,3.7522,3.7522,0,0
CZKUSD,D,19951204,000000,3.7698,3.7698,3.7698,3.7698,0,0
CZKUSD,D,19951205,000000,3.7735,3.7735,3.7735,3.7735,0,0
CZKUSD,D,19951206,000000,3.7717,3.7717,3.7717,3.7717,0,0
CZKUSD,D,19951207,000000,3.7699,3.7699,3.7699,3.7699,0,0
CZKUSD,D,19951208,000000,3.7601,3.7601,3.7601,3.7601,0,0
CZKUSD,D,19951211,000000,3.7649,3.7649,3.7649,3.7649,0,0
CZKUSD,D,19951212,000000,3.7614,3.7614,3.7614,3.7614,0,0
CZKUSD,D,19951213,000000,3.7514,3.7514,3.7514,3.7514,0,0
