<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CZKXAU,D,19951023,000000,1.0092,1.0092,1.0092,1.0092,0,0
CZKXAU,D,19951024,000000,1.0104,1.0104,1.0104,1.0104,0,0
CZKXAU,D,19951025,000000,1.0061,1.0061,1.0061,1.0061,0,0
CZKXAU,D,19951026,000000,1.007,1.007,1.007,1.007,0,0
CZKXAU,D,19951027,000000,1.0075,1.0075,1.0075,1.0075,0,0
CZKXAU,D,19951030,000000,0.9996,0.9996,0.9996,0.9996,0,0
CZKXAU,D,19951031,000000,0.9983,0.9983,0.9983,0.9983,0,0
CZKXAU,D,19951102,000000,0.9942,0.9942,0.9942,0.9942,0,0
CZKXAU,D,19951103,000000,0.997,0.997,0.997,0.997,0,0
CZKXAU,D,19951106,000000,0.9976,0.9976,0.9976,0.9976,0,0
CZKXAU,D,19951107,000000,0.9909,0.9909,0.9909,0.9909,0,0
CZKXAU,D,19951108,000000,0.9896,0.9896,0.9896,0.9896,0,0
CZKXAU,D,19951109,000000,0.9846,0.9846,0.9846,0.9846,0,0
CZKXAU,D,19951110,000000,0.9815,0.9815,0.9815,0.9815,0,0
CZKXAU,D,19951113,000000,0.9868,0.9868,0.9868,0.9868,0,0
CZKXAU,D,19951114,000000,0.987,0.987,0.987,0.987,0,0
CZKXAU,D,19951115,000000,0.9958,0.9958,0.9958,0.9958,0,0
CZKXAU,D,19951116,000000,0.992,0.992,0.992,0.992,0,0
CZKXAU,D,19951117,000000,0.9905,0.9905,0.9905,0.9905,0,0
CZKXAU,D,19951120,000000,0.9859,0.9859,0.9859,0.9859,0,0
CZKXAU,D,19951121,000000,0.9929,0.9929,0.9929,0.9929,0,0
CZKXAU,D,19951122,000000,0.9989,0.9989,0.9989,0.9989,0,0
CZKXAU,D,19951123,000000,0.9983,0.9983,0.9983,0.9983,0,0
CZKXAU,D,19951124,000000,0.995,0.995,0.995,0.995,0,0
CZKXAU,D,19951127,000000,0.9801,0.9801,0.9801,0.9801,0,0
CZKXAU,D,19951128,000000,0.9705,0.9705,0.9705,0.9705,0,0
CZKXAU,D,19951129,000000,0.971,0.971,0.971,0.971,0,0
CZKXAU,D,19951130,000000,0.9753,0.9753,0.9753,0.9753,0,0
CZKXAU,D,19951201,000000,0.9722,0.9722,0.9722,0.9722,0,0
CZKXAU,D,19951204,000000,0.9769,0.9769,0.9769,0.9769,0,0
CZKXAU,D,19951205,000000,0.9753,0.9753,0.9753,0.9753,0,0
CZKXAU,D,19951206,000000,0.9709,0.9709,0.9709,0.9709,0,0
