<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DKKBRL,D,19950103,000000,0.13824,0.13824,0.13824,0.13824,0,0
DKKBRL,D,19950104,000000,0.13807,0.13807,0.13807,0.13807,0,0
DKKBRL,D,19950105,000000,0.13753,0.13753,0.13753,0.13753,0,0
DKKBRL,D,19950106,000000,0.13743,0.13743,0.13743,0.13743,0,0
DKKBRL,D,19950109,000000,0.13845,0.13845,0.13845,0.13845,0,0
DKKBRL,D,19950110,000000,0.13826,0.13826,0.13826,0.13826,0,0
DKKBRL,D,19950111,000000,0.14049,0.14049,0.14049,0.14049,0,0
DKKBRL,D,19950112,000000,0.13969,0.13969,0.13969,0.13969,0,0
DKKBRL,D,19950113,000000,0.13965,0.13965,0.13965,0.13965,0,0
DKKBRL,D,19950116,000000,0.14024,0.14024,0.14024,0.14024,0,0
DKKBRL,D,19950117,000000,0.1398,0.1398,0.1398,0.1398,0,0
DKKBRL,D,19950118,000000,0.14032,0.14032,0.14032,0.14032,0,0
DKKBRL,D,19950119,000000,0.1409,0.1409,0.1409,0.1409,0,0
DKKBRL,D,19950120,000000,0.14026,0.14026,0.14026,0.14026,0,0
DKKBRL,D,19950123,000000,0.14228,0.14228,0.14228,0.14228,0,0
DKKBRL,D,19950124,000000,0.14244,0.14244,0.14244,0.14244,0,0
DKKBRL,D,19950125,000000,0.14285,0.14285,0.14285,0.14285,0,0
DKKBRL,D,19950126,000000,0.14208,0.14208,0.14208,0.14208,0,0
DKKBRL,D,19950127,000000,0.14101,0.14101,0.14101,0.14101,0,0
DKKBRL,D,19950130,000000,0.14145,0.14145,0.14145,0.14145,0,0
DKKBRL,D,19950131,000000,0.14071,0.14071,0.14071,0.14071,0,0
DKKBRL,D,19950201,000000,0.14134,0.14134,0.14134,0.14134,0,0
DKKBRL,D,19950202,000000,0.13958,0.13958,0.13958,0.13958,0,0
DKKBRL,D,19950203,000000,0.13997,0.13997,0.13997,0.13997,0,0
DKKBRL,D,19950206,000000,0.13952,0.13952,0.13952,0.13952,0,0
DKKBRL,D,19950207,000000,0.13869,0.13869,0.13869,0.13869,0,0
DKKBRL,D,19950208,000000,0.13831,0.13831,0.13831,0.13831,0,0
