<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DKKHKD,D,19840109,000000,0.7717,0.7717,0.7717,0.7717,0,0
DKKHKD,D,19840116,000000,0.7622,0.7622,0.7622,0.7622,0,0
DKKHKD,D,19840123,000000,0.7693,0.7693,0.7693,0.7693,0,0
DKKHKD,D,19840130,000000,0.7622,0.7622,0.7622,0.7622,0,0
DKKHKD,D,19840206,000000,0.7638,0.7638,0.7638,0.7638,0,0
DKKHKD,D,19840213,000000,0.7724,0.7724,0.7724,0.7724,0,0
DKKHKD,D,19840220,000000,0.7818,0.7818,0.7818,0.7818,0,0
DKKHKD,D,19840301,000000,0.7986,0.7986,0.7986,0.7986,0,0
DKKHKD,D,19840305,000000,0.8157,0.8157,0.8157,0.8157,0,0
DKKHKD,D,19840312,000000,0.8317,0.8317,0.8317,0.8317,0,0
DKKHKD,D,19840319,000000,0.8406,0.8406,0.8406,0.8406,0,0
DKKHKD,D,19840326,000000,0.8143,0.8143,0.8143,0.8143,0,0
DKKHKD,D,19840402,000000,0.82,0.82,0.82,0.82,0,0
DKKHKD,D,19840409,000000,0.8107,0.8107,0.8107,0.8107,0,0
DKKHKD,D,19840416,000000,0.81,0.81,0.81,0.81,0,0
DKKHKD,D,19840424,000000,0.8036,0.8036,0.8036,0.8036,0,0
DKKHKD,D,19840502,000000,0.7929,0.7929,0.7929,0.7929,0,0
DKKHKD,D,19840507,000000,0.781,0.781,0.781,0.781,0,0
DKKHKD,D,19840514,000000,0.7732,0.7732,0.7732,0.7732,0,0
DKKHKD,D,19840521,000000,0.7768,0.7768,0.7768,0.7768,0,0
DKKHKD,D,19840528,000000,0.7768,0.7768,0.7768,0.7768,0,0
DKKHKD,D,19840604,000000,0.7782,0.7782,0.7782,0.7782,0,0
DKKHKD,D,19840611,000000,0.7965,0.7965,0.7965,0.7965,0,0
DKKHKD,D,19840618,000000,0.7817,0.7817,0.7817,0.7817,0,0
DKKHKD,D,19840625,000000,0.7754,0.7754,0.7754,0.7754,0,0
DKKHKD,D,19840702,000000,0.7671,0.7671,0.7671,0.7671,0,0
DKKHKD,D,19840709,000000,0.7662,0.7662,0.7662,0.7662,0,0
DKKHKD,D,19840716,000000,0.7601,0.7601,0.7601,0.7601,0,0
DKKHKD,D,19840723,000000,0.7528,0.7528,0.7528,0.7528,0,0
DKKHKD,D,19840730,000000,0.7465,0.7465,0.7465,0.7465,0,0
DKKHKD,D,19840806,000000,0.7438,0.7438,0.7438,0.7438,0,0
DKKHKD,D,19840813,000000,0.7431,0.7431,0.7431,0.7431,0,0
DKKHKD,D,19840820,000000,0.7465,0.7465,0.7465,0.7465,0,0
DKKHKD,D,19840827,000000,0.7465,0.7465,0.7465,0.7465,0,0
DKKHKD,D,19840901,000000,0.7503,0.7503,0.7503,0.7503,0,0
DKKHKD,D,19840910,000000,0.7373,0.7373,0.7373,0.7373,0,0
DKKHKD,D,19840917,000000,0.7208,0.7208,0.7208,0.7208,0,0
DKKHKD,D,19840924,000000,0.7025,0.7025,0.7025,0.7025,0,0
DKKHKD,D,19841001,000000,0.7037,0.7037,0.7037,0.7037,0,0
DKKHKD,D,19841008,000000,0.7119,0.7119,0.7119,0.7119,0,0
