<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DKKMYR,D,19900108,000000,0.40544,0.40544,0.40544,0.40544,0,0
DKKMYR,D,19900115,000000,0.41364,0.41364,0.41364,0.41364,0,0
DKKMYR,D,19900122,000000,0.41303,0.41303,0.41303,0.41303,0,0
DKKMYR,D,19900129,000000,0.40458,0.40458,0.40458,0.40458,0,0
DKKMYR,D,19900205,000000,0.41679,0.41679,0.41679,0.41679,0,0
DKKMYR,D,19900212,000000,0.42185,0.42185,0.42185,0.42185,0,0
DKKMYR,D,19900219,000000,0.41618,0.41618,0.41618,0.41618,0,0
DKKMYR,D,19900226,000000,0.41905,0.41905,0.41905,0.41905,0,0
DKKMYR,D,19900305,000000,0.4175,0.4175,0.4175,0.4175,0,0
DKKMYR,D,19900312,000000,0.41473,0.41473,0.41473,0.41473,0,0
DKKMYR,D,19900319,000000,0.41632,0.41632,0.41632,0.41632,0,0
DKKMYR,D,19900326,000000,0.42355,0.42355,0.42355,0.42355,0,0
DKKMYR,D,19900402,000000,0.41836,0.41836,0.41836,0.41836,0,0
DKKMYR,D,19900409,000000,0.42016,0.42016,0.42016,0.42016,0,0
DKKMYR,D,19900417,000000,0.42319,0.42319,0.42319,0.42319,0,0
DKKMYR,D,19900423,000000,0.4245,0.4245,0.4245,0.4245,0,0
DKKMYR,D,19900430,000000,0.42088,0.42088,0.42088,0.42088,0,0
DKKMYR,D,19900507,000000,0.42351,0.42351,0.42351,0.42351,0,0
DKKMYR,D,19900514,000000,0.42865,0.42865,0.42865,0.42865,0,0
DKKMYR,D,19900521,000000,0.43096,0.43096,0.43096,0.43096,0,0
DKKMYR,D,19900528,000000,0.42541,0.42541,0.42541,0.42541,0,0
DKKMYR,D,19900604,000000,0.42582,0.42582,0.42582,0.42582,0,0
DKKMYR,D,19900611,000000,0.42037,0.42037,0.42037,0.42037,0,0
DKKMYR,D,19900618,000000,0.4209,0.4209,0.4209,0.4209,0,0
DKKMYR,D,19900625,000000,0.42349,0.42349,0.42349,0.42349,0,0
DKKMYR,D,19900702,000000,0.42486,0.42486,0.42486,0.42486,0,0
DKKMYR,D,19900709,000000,0.42938,0.42938,0.42938,0.42938,0,0
DKKMYR,D,19900716,000000,0.43144,0.43144,0.43144,0.43144,0,0
DKKMYR,D,19900723,000000,0.43008,0.43008,0.43008,0.43008,0,0
DKKMYR,D,19900730,000000,0.43716,0.43716,0.43716,0.43716,0,0
DKKMYR,D,19900806,000000,0.44431,0.44431,0.44431,0.44431,0,0
DKKMYR,D,19900813,000000,0.44932,0.44932,0.44932,0.44932,0,0
DKKMYR,D,19900820,000000,0.4485,0.4485,0.4485,0.4485,0,0
DKKMYR,D,19900827,000000,0.45106,0.45106,0.45106,0.45106,0,0
DKKMYR,D,19900903,000000,0.453,0.453,0.453,0.453,0,0
DKKMYR,D,19900910,000000,0.44339,0.44339,0.44339,0.44339,0,0
DKKMYR,D,19900917,000000,0.4432,0.4432,0.4432,0.4432,0,0
DKKMYR,D,19900924,000000,0.45562,0.45562,0.45562,0.45562,0,0
DKKMYR,D,19901001,000000,0.45273,0.45273,0.45273,0.45273,0,0
DKKMYR,D,19901008,000000,0.45303,0.45303,0.45303,0.45303,0,0
DKKMYR,D,19901010,000000,0.45833,0.45833,0.45833,0.45833,0,0
DKKMYR,D,19901015,000000,0.46401,0.46401,0.46401,0.46401,0,0
DKKMYR,D,19901022,000000,0.46465,0.46465,0.46465,0.46465,0,0
DKKMYR,D,19901029,000000,0.46635,0.46635,0.46635,0.46635,0,0
DKKMYR,D,19901105,000000,0.4681,0.4681,0.4681,0.4681,0,0
DKKMYR,D,19901112,000000,0.47454,0.47454,0.47454,0.47454,0,0
DKKMYR,D,19901119,000000,0.47558,0.47558,0.47558,0.47558,0,0
DKKMYR,D,19901126,000000,0.47357,0.47357,0.47357,0.47357,0,0
DKKMYR,D,19901203,000000,0.47422,0.47422,0.47422,0.47422,0,0
DKKMYR,D,19901210,000000,0.46702,0.46702,0.46702,0.46702,0,0
DKKMYR,D,19901217,000000,0.4757,0.4757,0.4757,0.4757,0,0
DKKMYR,D,19901224,000000,0.47242,0.47242,0.47242,0.47242,0,0
DKKMYR,D,19910102,000000,0.46885,0.46885,0.46885,0.46885,0,0
DKKMYR,D,19910103,000000,0.47018,0.47018,0.47018,0.47018,0,0
DKKMYR,D,19910104,000000,0.47131,0.47131,0.47131,0.47131,0,0
DKKMYR,D,19910107,000000,0.47302,0.47302,0.47302,0.47302,0,0
DKKMYR,D,19910108,000000,0.46144,0.46144,0.46144,0.46144,0,0
DKKMYR,D,19910109,000000,0.46014,0.46014,0.46014,0.46014,0,0
DKKMYR,D,19910110,000000,0.4623,0.4623,0.4623,0.4623,0,0
DKKMYR,D,19910111,000000,0.46311,0.46311,0.46311,0.46311,0,0
