<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DKKRUB,D,19951023,000000,0.8328,0.8328,0.8328,0.8328,0,0
DKKRUB,D,19951024,000000,0.8317,0.8317,0.8317,0.8317,0,0
DKKRUB,D,19951025,000000,0.8299,0.8299,0.8299,0.8299,0,0
DKKRUB,D,19951026,000000,0.8285,0.8285,0.8285,0.8285,0,0
DKKRUB,D,19951027,000000,0.8362,0.8362,0.8362,0.8362,0,0
DKKRUB,D,19951030,000000,0.8243,0.8243,0.8243,0.8243,0,0
DKKRUB,D,19951031,000000,0.8231,0.8231,0.8231,0.8231,0,0
DKKRUB,D,19951102,000000,0.8213,0.8213,0.8213,0.8213,0,0
DKKRUB,D,19951103,000000,0.8207,0.8207,0.8207,0.8207,0,0
DKKRUB,D,19951106,000000,0.8274,0.8274,0.8274,0.8274,0,0
DKKRUB,D,19951107,000000,0.825,0.825,0.825,0.825,0,0
DKKRUB,D,19951108,000000,0.8238,0.8238,0.8238,0.8238,0,0
DKKRUB,D,19951109,000000,0.8186,0.8186,0.8186,0.8186,0,0
DKKRUB,D,19951110,000000,0.8251,0.8251,0.8251,0.8251,0,0
DKKRUB,D,19951113,000000,0.83,0.83,0.83,0.83,0,0
DKKRUB,D,19951114,000000,0.8258,0.8258,0.8258,0.8258,0,0
DKKRUB,D,19951115,000000,0.834,0.834,0.834,0.834,0,0
DKKRUB,D,19951116,000000,0.8309,0.8309,0.8309,0.8309,0,0
DKKRUB,D,19951117,000000,0.838,0.838,0.838,0.838,0,0
DKKRUB,D,19951120,000000,0.8333,0.8333,0.8333,0.8333,0,0
DKKRUB,D,19951121,000000,0.8344,0.8344,0.8344,0.8344,0,0
DKKRUB,D,19951122,000000,0.8375,0.8375,0.8375,0.8375,0,0
DKKRUB,D,19951123,000000,0.8365,0.8365,0.8365,0.8365,0,0
DKKRUB,D,19951124,000000,0.8347,0.8347,0.8347,0.8347,0,0
DKKRUB,D,19951127,000000,0.8279,0.8279,0.8279,0.8279,0,0
DKKRUB,D,19951128,000000,0.8254,0.8254,0.8254,0.8254,0,0
DKKRUB,D,19951129,000000,0.8228,0.8228,0.8228,0.8228,0,0
DKKRUB,D,19951130,000000,0.8222,0.8222,0.8222,0.8222,0,0
DKKRUB,D,19951201,000000,0.8177,0.8177,0.8177,0.8177,0,0
DKKRUB,D,19951204,000000,0.8251,0.8251,0.8251,0.8251,0,0
DKKRUB,D,19951205,000000,0.8266,0.8266,0.8266,0.8266,0,0
DKKRUB,D,19951206,000000,0.8227,0.8227,0.8227,0.8227,0,0
DKKRUB,D,19951207,000000,0.8245,0.8245,0.8245,0.8245,0,0
DKKRUB,D,19951208,000000,0.8175,0.8175,0.8175,0.8175,0,0
DKKRUB,D,19951211,000000,0.8198,0.8198,0.8198,0.8198,0,0
DKKRUB,D,19951212,000000,0.8176,0.8176,0.8176,0.8176,0,0
DKKRUB,D,19951213,000000,0.8219,0.8219,0.8219,0.8219,0,0
DKKRUB,D,19951214,000000,0.8245,0.8245,0.8245,0.8245,0,0
DKKRUB,D,19951215,000000,0.8275,0.8275,0.8275,0.8275,0,0
DKKRUB,D,19951218,000000,0.8326,0.8326,0.8326,0.8326,0,0
DKKRUB,D,19951219,000000,0.8344,0.8344,0.8344,0.8344,0,0
DKKRUB,D,19951220,000000,0.8298,0.8298,0.8298,0.8298,0,0
DKKRUB,D,19951221,000000,0.8306,0.8306,0.8306,0.8306,0,0
DKKRUB,D,19951222,000000,0.8291,0.8291,0.8291,0.8291,0,0
DKKRUB,D,19951227,000000,0.8337,0.8337,0.8337,0.8337,0,0
DKKRUB,D,19951228,000000,0.8362,0.8362,0.8362,0.8362,0,0
DKKRUB,D,19951229,000000,0.8368,0.8368,0.8368,0.8368,0,0
DKKRUB,D,19960102,000000,0.8375,0.8375,0.8375,0.8375,0,0
DKKRUB,D,19960103,000000,0.8332,0.8332,0.8332,0.8332,0,0
