<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGPARS,D,19960806,000000,0.28036,0.28036,0.28036,0.28036,0,0
EGPARS,D,19960807,000000,0.28014,0.28014,0.28014,0.28014,0,0
EGPARS,D,19960808,000000,0.28022,0.28022,0.28022,0.28022,0,0
EGPARS,D,19960809,000000,0.28017,0.28017,0.28017,0.28017,0,0
EGPARS,D,19960812,000000,0.28018,0.28018,0.28018,0.28018,0,0
EGPARS,D,19960813,000000,0.28074,0.28074,0.28074,0.28074,0,0
EGPARS,D,19960814,000000,0.28065,0.28065,0.28065,0.28065,0,0
EGPARS,D,19960815,000000,0.28019,0.28019,0.28019,0.28019,0,0
EGPARS,D,19960816,000000,0.28067,0.28067,0.28067,0.28067,0,0
EGPARS,D,19960819,000000,0.28062,0.28062,0.28062,0.28062,0,0
EGPARS,D,19960820,000000,0.28055,0.28055,0.28055,0.28055,0,0
EGPARS,D,19960821,000000,0.28063,0.28063,0.28063,0.28063,0,0
EGPARS,D,19960822,000000,0.2806,0.2806,0.2806,0.2806,0,0
EGPARS,D,19960823,000000,0.28061,0.28061,0.28061,0.28061,0,0
EGPARS,D,19960826,000000,0.28019,0.28019,0.28019,0.28019,0,0
EGPARS,D,19960827,000000,0.28037,0.28037,0.28037,0.28037,0,0
EGPARS,D,19960828,000000,0.27974,0.27974,0.27974,0.27974,0,0
EGPARS,D,19960829,000000,0.28033,0.28033,0.28033,0.28033,0,0
EGPARS,D,19960830,000000,0.28041,0.28041,0.28041,0.28041,0,0
EGPARS,D,19960902,000000,0.28041,0.28041,0.28041,0.28041,0,0
EGPARS,D,19960903,000000,0.2799,0.2799,0.2799,0.2799,0,0
EGPARS,D,19960904,000000,0.28023,0.28023,0.28023,0.28023,0,0
EGPARS,D,19960905,000000,0.28055,0.28055,0.28055,0.28055,0,0
EGPARS,D,19960906,000000,0.28062,0.28062,0.28062,0.28062,0,0
EGPARS,D,19960909,000000,0.28037,0.28037,0.28037,0.28037,0,0
EGPARS,D,19960910,000000,0.27981,0.27981,0.27981,0.27981,0,0
EGPARS,D,19960911,000000,0.28033,0.28033,0.28033,0.28033,0,0
EGPARS,D,19960912,000000,0.28028,0.28028,0.28028,0.28028,0,0
EGPARS,D,19960913,000000,0.28037,0.28037,0.28037,0.28037,0,0
EGPARS,D,19960916,000000,0.28035,0.28035,0.28035,0.28035,0,0
EGPARS,D,19960917,000000,0.28036,0.28036,0.28036,0.28036,0,0
EGPARS,D,19960918,000000,0.28018,0.28018,0.28018,0.28018,0,0
EGPARS,D,19960919,000000,0.28022,0.28022,0.28022,0.28022,0,0
EGPARS,D,19960920,000000,0.2802,0.2802,0.2802,0.2802,0,0
EGPARS,D,19960923,000000,0.28019,0.28019,0.28019,0.28019,0,0
EGPARS,D,19960924,000000,0.28015,0.28015,0.28015,0.28015,0,0
EGPARS,D,19960925,000000,0.28024,0.28024,0.28024,0.28024,0,0
EGPARS,D,19960926,000000,0.28013,0.28013,0.28013,0.28013,0,0
EGPARS,D,19960927,000000,0.28022,0.28022,0.28022,0.28022,0,0
EGPARS,D,19960930,000000,0.28012,0.28012,0.28012,0.28012,0,0
EGPARS,D,19961001,000000,0.28015,0.28015,0.28015,0.28015,0,0
EGPARS,D,19961002,000000,0.28044,0.28044,0.28044,0.28044,0,0
EGPARS,D,19961003,000000,0.28051,0.28051,0.28051,0.28051,0,0
EGPARS,D,19961004,000000,0.28052,0.28052,0.28052,0.28052,0,0
EGPARS,D,19961007,000000,0.27978,0.27978,0.27978,0.27978,0,0
EGPARS,D,19961008,000000,0.28042,0.28042,0.28042,0.28042,0,0
EGPARS,D,19961009,000000,0.28024,0.28024,0.28024,0.28024,0,0
EGPARS,D,19961010,000000,0.28014,0.28014,0.28014,0.28014,0,0
EGPARS,D,19961011,000000,0.28019,0.28019,0.28019,0.28019,0,0
EGPARS,D,19961014,000000,0.28019,0.28019,0.28019,0.28019,0,0
EGPARS,D,19961015,000000,0.28014,0.28014,0.28014,0.28014,0,0
EGPARS,D,19961016,000000,0.28017,0.28017,0.28017,0.28017,0,0
EGPARS,D,19961017,000000,0.28016,0.28016,0.28016,0.28016,0,0
EGPARS,D,19961018,000000,0.28046,0.28046,0.28046,0.28046,0,0
EGPARS,D,19961021,000000,0.28044,0.28044,0.28044,0.28044,0,0
EGPARS,D,19961022,000000,0.28018,0.28018,0.28018,0.28018,0,0
EGPARS,D,19961023,000000,0.28013,0.28013,0.28013,0.28013,0,0
EGPARS,D,19961024,000000,0.28019,0.28019,0.28019,0.28019,0,0
EGPARS,D,19961025,000000,0.28016,0.28016,0.28016,0.28016,0,0
EGPARS,D,19961028,000000,0.28014,0.28014,0.28014,0.28014,0,0
EGPARS,D,19961029,000000,0.28019,0.28019,0.28019,0.28019,0,0
EGPARS,D,19961030,000000,0.28014,0.28014,0.28014,0.28014,0,0
EGPARS,D,19961031,000000,0.2802,0.2802,0.2802,0.2802,0,0
EGPARS,D,19961101,000000,0.2802,0.2802,0.2802,0.2802,0,0
EGPARS,D,19961104,000000,0.28016,0.28016,0.28016,0.28016,0,0
EGPARS,D,19961105,000000,0.28044,0.28044,0.28044,0.28044,0,0
EGPARS,D,19961106,000000,0.28014,0.28014,0.28014,0.28014,0,0
EGPARS,D,19961107,000000,0.27993,0.27993,0.27993,0.27993,0,0
EGPARS,D,19961108,000000,0.27993,0.27993,0.27993,0.27993,0,0
EGPARS,D,19961112,000000,0.2804,0.2804,0.2804,0.2804,0,0
EGPARS,D,19961113,000000,0.28061,0.28061,0.28061,0.28061,0,0
EGPARS,D,19961114,000000,0.28023,0.28023,0.28023,0.28023,0,0
EGPARS,D,19961115,000000,0.28013,0.28013,0.28013,0.28013,0,0
