<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGPBTC,D,20100719,000000,21722,21722,21722,21722,0,0
EGPBTC,D,20100720,000000,23484,23484,23484,23484,0,0
EGPBTC,D,20100721,000000,22152,22152,22152,22152,0,0
EGPBTC,D,20100722,000000,34729,34729,34729,34729,0,0
EGPBTC,D,20100723,000000,27999,27999,27999,27999,0,0
EGPBTC,D,20100726,000000,31312,31312,31312,31312,0,0
EGPBTC,D,20100727,000000,29226,29226,29226,29226,0,0
EGPBTC,D,20100728,000000,29770,29770,29770,29770,0,0
EGPBTC,D,20100729,000000,25095,25095,25095,25095,0,0
EGPBTC,D,20100730,000000,28050,28050,28050,28050,0,0
EGPBTC,D,20100802,000000,29312,29312,29312,29312,0,0
EGPBTC,D,20100803,000000,29289,29289,29289,29289,0,0
EGPBTC,D,20100804,000000,30881,30881,30881,30881,0,0
EGPBTC,D,20100805,000000,28888,28888,28888,28888,0,0
EGPBTC,D,20100806,000000,28359,28359,28359,28359,0,0
EGPBTC,D,20100809,000000,24812,24812,24812,24812,0,0
EGPBTC,D,20100810,000000,25167,25167,25167,25167,0,0
EGPBTC,D,20100811,000000,26299,26299,26299,26299,0,0
EGPBTC,D,20100812,000000,25184,25184,25184,25184,0,0
EGPBTC,D,20100813,000000,27293,27293,27293,27293,0,0
EGPBTC,D,20100816,000000,26817,26817,26817,26817,0,0
EGPBTC,D,20100817,000000,25159,25159,25159,25159,0,0
EGPBTC,D,20100818,000000,25904,25904,25904,25904,0,0
EGPBTC,D,20100819,000000,26368,26368,26368,26368,0,0
EGPBTC,D,20100820,000000,26886,26886,26886,26886,0,0
EGPBTC,D,20100823,000000,27044,27044,27044,27044,0,0
EGPBTC,D,20100824,000000,27092,27092,27092,27092,0,0
EGPBTC,D,20100825,000000,27060,27060,27060,27060,0,0
EGPBTC,D,20100826,000000,27395,27395,27395,27395,0,0
EGPBTC,D,20100827,000000,26974,26974,26974,26974,0,0
EGPBTC,D,20100830,000000,26979,26979,26979,26979,0,0
EGPBTC,D,20100831,000000,29214,29214,29214,29214,0,0
EGPBTC,D,20100901,000000,27867,27867,27867,27867,0,0
EGPBTC,D,20100902,000000,27647,27647,27647,27647,0,0
EGPBTC,D,20100903,000000,28806,28806,28806,28806,0,0
EGPBTC,D,20100906,000000,28456,28456,28456,28456,0,0
EGPBTC,D,20100907,000000,28738,28738,28738,28738,0,0
EGPBTC,D,20100908,000000,28276,28276,28276,28276,0,0
EGPBTC,D,20100909,000000,28688,28688,28688,28688,0,0
EGPBTC,D,20100910,000000,28361,28361,28361,28361,0,0
EGPBTC,D,20100913,000000,28190,28190,28190,28190,0,0
EGPBTC,D,20100914,000000,28281,28281,28281,28281,0,0
EGPBTC,D,20100915,000000,29027,29027,29027,29027,0,0
EGPBTC,D,20100916,000000,28322,28322,28322,28322,0,0
EGPBTC,D,20100917,000000,29715,29715,29715,29715,0,0
EGPBTC,D,20100920,000000,28231,28231,28231,28231,0,0
EGPBTC,D,20100921,000000,27983,27983,27983,27983,0,0
EGPBTC,D,20100922,000000,28185,28185,28185,28185,0,0
EGPBTC,D,20100923,000000,28136,28136,28136,28136,0,0
EGPBTC,D,20100924,000000,28186,28186,28186,28186,0,0
EGPBTC,D,20100927,000000,28185,28185,28185,28185,0,0
EGPBTC,D,20100928,000000,28332,28332,28332,28332,0,0
EGPBTC,D,20100929,000000,28317,28317,28317,28317,0,0
EGPBTC,D,20100930,000000,28323,28323,28323,28323,0,0
EGPBTC,D,20101001,000000,28290,28290,28290,28290,0,0
EGPBTC,D,20101004,000000,28599,28599,28599,28599,0,0
EGPBTC,D,20101005,000000,28553,28553,28553,28553,0,0
EGPBTC,D,20101006,000000,27912,27912,27912,27912,0,0
EGPBTC,D,20101007,000000,26207,26207,26207,26207,0,0
EGPBTC,D,20101008,000000,20214,20214,20214,20214,0,0
EGPBTC,D,20101011,000000,18480,18480,18480,18480,0,0
EGPBTC,D,20101012,000000,18473,18473,18473,18473,0,0
EGPBTC,D,20101013,000000,16703,16703,16703,16703,0,0
EGPBTC,D,20101014,000000,17199,17199,17199,17199,0,0
EGPBTC,D,20101015,000000,16708,16708,16708,16708,0,0
EGPBTC,D,20101018,000000,17090,17090,17090,17090,0,0
EGPBTC,D,20101019,000000,17969,17969,17969,17969,0,0
EGPBTC,D,20101020,000000,17538,17538,17538,17538,0,0
EGPBTC,D,20101021,000000,16226,16226,16226,16226,0,0
EGPBTC,D,20101022,000000,16941,16941,16941,16941,0,0
EGPBTC,D,20101025,000000,13135,13135,13135,13135,0,0
EGPBTC,D,20101026,000000,11525,11525,11525,11525,0,0
EGPBTC,D,20101027,000000,9224.45,9224.45,9224.45,9224.45,0,0
EGPBTC,D,20101028,000000,10002,10002,10002,10002,0,0
EGPBTC,D,20101029,000000,9112.02,9112.02,9112.02,9112.02,0,0
EGPBTC,D,20101101,000000,8856.01,8856.01,8856.01,8856.01,0,0
EGPBTC,D,20101102,000000,8930.74,8930.74,8930.74,8930.74,0,0
EGPBTC,D,20101103,000000,8962.85,8962.85,8962.85,8962.85,0,0
EGPBTC,D,20101104,000000,7606.36,7606.36,7606.36,7606.36,0,0
EGPBTC,D,20101105,000000,6688.94,6688.94,6688.94,6688.94,0,0
EGPBTC,D,20101108,000000,7183.12,7183.12,7183.12,7183.12,0,0
EGPBTC,D,20101109,000000,8286.33,8286.33,8286.33,8286.33,0,0
EGPBTC,D,20101110,000000,7242.52,7242.52,7242.52,7242.52,0,0
EGPBTC,D,20101111,000000,7791.11,7791.11,7791.11,7791.11,0,0
EGPBTC,D,20101112,000000,6481.05,6481.05,6481.05,6481.05,0,0
EGPBTC,D,20101115,000000,6480.99,6480.99,6480.99,6480.99,0,0
EGPBTC,D,20101116,000000,7794.83,7794.83,7794.83,7794.83,0,0
EGPBTC,D,20101117,000000,7560.76,7560.76,7560.76,7560.76,0,0
EGPBTC,D,20101118,000000,6493.97,6493.97,6493.97,6493.97,0,0
EGPBTC,D,20101119,000000,6210.04,6210.04,6210.04,6210.04,0,0
EGPBTC,D,20101122,000000,6040.75,6040.75,6040.75,6040.75,0,0
EGPBTC,D,20101123,000000,6138.9,6138.9,6138.9,6138.9,0,0
EGPBTC,D,20101124,000000,6123.22,6123.22,6123.22,6123.22,0,0
EGPBTC,D,20101125,000000,6183.21,6183.21,6183.21,6183.21,0,0
EGPBTC,D,20101126,000000,6087.59,6087.59,6087.59,6087.59,0,0
EGPBTC,D,20101129,000000,7516.45,7516.45,7516.45,7516.45,0,0
EGPBTC,D,20101130,000000,8295.62,8295.62,8295.62,8295.62,0,0
EGPBTC,D,20101201,000000,7597.22,7597.22,7597.22,7597.22,0,0
EGPBTC,D,20101202,000000,6776.01,6776.01,6776.01,6776.01,0,0
EGPBTC,D,20101203,000000,6883.07,6883.07,6883.07,6883.07,0,0
EGPBTC,D,20101206,000000,8477.8,8477.8,8477.8,8477.8,0,0
EGPBTC,D,20101207,000000,7422.78,7422.78,7422.78,7422.78,0,0
EGPBTC,D,20101208,000000,7234.83,7234.83,7234.83,7234.83,0,0
EGPBTC,D,20101209,000000,8644.47,8644.47,8644.47,8644.47,0,0
EGPBTC,D,20101210,000000,8466.25,8466.25,8466.25,8466.25,0,0
EGPBTC,D,20101213,000000,7500.8,7500.8,7500.8,7500.8,0,0
EGPBTC,D,20101214,000000,6999.07,6999.07,6999.07,6999.07,0,0
EGPBTC,D,20101215,000000,7252.69,7252.69,7252.69,7252.69,0,0
EGPBTC,D,20101216,000000,6902.49,6902.49,6902.49,6902.49,0,0
EGPBTC,D,20101217,000000,7188.85,7188.85,7188.85,7188.85,0,0
EGPBTC,D,20101220,000000,6450.76,6450.76,6450.76,6450.76,0,0
EGPBTC,D,20101221,000000,7174.03,7174.03,7174.03,7174.03,0,0
EGPBTC,D,20101222,000000,6887.85,6887.85,6887.85,6887.85,0,0
EGPBTC,D,20101223,000000,6888.14,6888.14,6888.14,6888.14,0,0
EGPBTC,D,20101224,000000,6943.74,6943.74,6943.74,6943.74,0,0
EGPBTC,D,20101227,000000,6498.31,6498.31,6498.31,6498.31,0,0
EGPBTC,D,20101228,000000,6128.35,6128.35,6128.35,6128.35,0,0
EGPBTC,D,20101229,000000,5742.2,5742.2,5742.2,5742.2,0,0
EGPBTC,D,20101230,000000,5742.32,5742.32,5742.32,5742.32,0,0
EGPBTC,D,20101231,000000,5742.7,5742.7,5742.7,5742.7,0,0
EGPBTC,D,20110103,000000,5839.96,5839.96,5839.96,5839.96,0,0
EGPBTC,D,20110104,000000,5775.36,5775.36,5775.36,5775.36,0,0
EGPBTC,D,20110105,000000,5770.3,5770.3,5770.3,5770.3,0,0
EGPBTC,D,20110106,000000,5785.64,5785.64,5785.64,5785.64,0,0
EGPBTC,D,20110107,000000,5391.68,5391.68,5391.68,5391.68,0,0
EGPBTC,D,20110110,000000,5277,5277,5277,5277,0,0
EGPBTC,D,20110111,000000,5276.34,5276.34,5276.34,5276.34,0,0
EGPBTC,D,20110112,000000,5408.78,5408.78,5408.78,5408.78,0,0
EGPBTC,D,20110113,000000,5429.25,5429.25,5429.25,5429.25,0,0
EGPBTC,D,20110114,000000,4312.56,4312.56,4312.56,4312.56,0,0
EGPBTC,D,20110117,000000,4911.93,4911.93,4911.93,4911.93,0,0
EGPBTC,D,20110118,000000,5486.97,5486.97,5486.97,5486.97,0,0
EGPBTC,D,20110119,000000,5499.42,5499.42,5499.42,5499.42,0,0
EGPBTC,D,20110120,000000,4414.02,4414.02,4414.02,4414.02,0,0
EGPBTC,D,20110121,000000,4102.69,4102.69,4102.69,4102.69,0,0
EGPBTC,D,20110124,000000,4093.39,4093.39,4093.39,4093.39,0,0
EGPBTC,D,20110125,000000,4192.23,4192.23,4192.23,4192.23,0,0
EGPBTC,D,20110126,000000,4111.19,4111.19,4111.19,4111.19,0,0
EGPBTC,D,20110127,000000,4052.87,4052.87,4052.87,4052.87,0,0
EGPBTC,D,20110128,000000,3827.8,3827.8,3827.8,3827.8,0,0
EGPBTC,D,20110131,000000,3283.33,3283.33,3283.33,3283.33,0,0
EGPBTC,D,20110201,000000,2439.09,2439.09,2439.09,2439.09,0,0
EGPBTC,D,20110202,000000,2384.57,2384.57,2384.57,2384.57,0,0
EGPBTC,D,20110203,000000,2474.44,2474.44,2474.44,2474.44,0,0
EGPBTC,D,20110204,000000,2105.24,2105.24,2105.24,2105.24,0,0
EGPBTC,D,20110207,000000,1911.15,1911.15,1911.15,1911.15,0,0
EGPBTC,D,20110208,000000,1853.21,1853.21,1853.21,1853.21,0,0
EGPBTC,D,20110209,000000,1560.12,1560.12,1560.12,1560.12,0,0
EGPBTC,D,20110210,000000,1734.69,1734.69,1734.69,1734.69,0,0
EGPBTC,D,20110211,000000,1589.4,1589.4,1589.4,1589.4,0,0
EGPBTC,D,20110214,000000,1589.97,1589.97,1589.97,1589.97,0,0
EGPBTC,D,20110215,000000,1620.24,1620.24,1620.24,1620.24,0,0
EGPBTC,D,20110216,000000,1627.99,1627.99,1627.99,1627.99,0,0
EGPBTC,D,20110217,000000,1635.84,1635.84,1635.84,1635.84,0,0
EGPBTC,D,20110218,000000,1892.6,1892.6,1892.6,1892.6,0,0
EGPBTC,D,20110221,000000,2034.93,2034.93,2034.93,2034.93,0,0
EGPBTC,D,20110222,000000,1952.13,1952.13,1952.13,1952.13,0,0
EGPBTC,D,20110223,000000,1887.51,1887.51,1887.51,1887.51,0,0
EGPBTC,D,20110224,000000,1703.48,1703.48,1703.48,1703.48,0,0
EGPBTC,D,20110225,000000,1865.03,1865.03,1865.03,1865.03,0,0
