<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGPCZK,D,19951116,000000,7.6866,7.6866,7.6866,7.6866,0,0
EGPCZK,D,19951117,000000,7.6749,7.6749,7.6749,7.6749,0,0
EGPCZK,D,19951120,000000,7.7362,7.7362,7.7362,7.7362,0,0
EGPCZK,D,19951121,000000,7.6965,7.6965,7.6965,7.6965,0,0
EGPCZK,D,19951122,000000,7.6877,7.6877,7.6877,7.6877,0,0
EGPCZK,D,19951123,000000,7.705,7.705,7.705,7.705,0,0
EGPCZK,D,19951124,000000,7.7187,7.7187,7.7187,7.7187,0,0
EGPCZK,D,19951127,000000,7.8104,7.8104,7.8104,7.8104,0,0
EGPCZK,D,19951128,000000,7.7994,7.7994,7.7994,7.7994,0,0
EGPCZK,D,19951129,000000,7.802,7.802,7.802,7.802,0,0
EGPCZK,D,19951130,000000,7.818,7.818,7.818,7.818,0,0
EGPCZK,D,19951201,000000,7.8195,7.8195,7.8195,7.8195,0,0
EGPCZK,D,19951204,000000,7.8087,7.8087,7.8087,7.8087,0,0
EGPCZK,D,19951205,000000,7.7953,7.7953,7.7953,7.7953,0,0
EGPCZK,D,19951206,000000,7.8054,7.8054,7.8054,7.8054,0,0
EGPCZK,D,19951207,000000,7.8039,7.8039,7.8039,7.8039,0,0
EGPCZK,D,19951208,000000,7.8514,7.8514,7.8514,7.8514,0,0
EGPCZK,D,19951211,000000,7.8324,7.8324,7.8324,7.8324,0,0
EGPCZK,D,19951212,000000,7.8503,7.8503,7.8503,7.8503,0,0
EGPCZK,D,19951213,000000,7.8636,7.8636,7.8636,7.8636,0,0
EGPCZK,D,19951214,000000,7.8392,7.8392,7.8392,7.8392,0,0
EGPCZK,D,19951215,000000,7.8446,7.8446,7.8446,7.8446,0,0
EGPCZK,D,19951218,000000,7.808,7.808,7.808,7.808,0,0
EGPCZK,D,19951219,000000,7.8287,7.8287,7.8287,7.8287,0,0
EGPCZK,D,19951220,000000,7.8908,7.8908,7.8908,7.8908,0,0
EGPCZK,D,19951221,000000,7.8659,7.8659,7.8659,7.8659,0,0
