<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGPHRK,D,19951116,000000,1.5455,1.5455,1.5455,1.5455,0,0
EGPHRK,D,19951117,000000,1.5461,1.5461,1.5461,1.5461,0,0
EGPHRK,D,19951120,000000,1.5492,1.5492,1.5492,1.5492,0,0
EGPHRK,D,19951121,000000,1.5472,1.5472,1.5472,1.5472,0,0
EGPHRK,D,19951122,000000,1.5444,1.5444,1.5444,1.5444,0,0
EGPHRK,D,19951123,000000,1.5472,1.5472,1.5472,1.5472,0,0
EGPHRK,D,19951124,000000,1.548,1.548,1.548,1.548,0,0
EGPHRK,D,19951127,000000,1.5499,1.5499,1.5499,1.5499,0,0
EGPHRK,D,19951128,000000,1.5481,1.5481,1.5481,1.5481,0,0
EGPHRK,D,19951129,000000,1.5489,1.5489,1.5489,1.5489,0,0
EGPHRK,D,19951130,000000,1.5656,1.5656,1.5656,1.5656,0,0
EGPHRK,D,19951201,000000,1.556,1.556,1.556,1.556,0,0
EGPHRK,D,19951204,000000,1.577,1.577,1.577,1.577,0,0
EGPHRK,D,19951205,000000,1.5614,1.5614,1.5614,1.5614,0,0
EGPHRK,D,19951206,000000,1.5631,1.5631,1.5631,1.5631,0,0
EGPHRK,D,19951207,000000,1.5618,1.5618,1.5618,1.5618,0,0
EGPHRK,D,19951208,000000,1.5673,1.5673,1.5673,1.5673,0,0
EGPHRK,D,19951211,000000,1.5771,1.5771,1.5771,1.5771,0,0
EGPHRK,D,19951212,000000,1.5797,1.5797,1.5797,1.5797,0,0
EGPHRK,D,19951213,000000,1.578,1.578,1.578,1.578,0,0
EGPHRK,D,19951214,000000,1.5738,1.5738,1.5738,1.5738,0,0
EGPHRK,D,19951215,000000,1.5829,1.5829,1.5829,1.5829,0,0
EGPHRK,D,19951218,000000,1.5772,1.5772,1.5772,1.5772,0,0
EGPHRK,D,19951219,000000,1.5817,1.5817,1.5817,1.5817,0,0
EGPHRK,D,19951220,000000,1.5835,1.5835,1.5835,1.5835,0,0
EGPHRK,D,19951221,000000,1.5825,1.5825,1.5825,1.5825,0,0
EGPHRK,D,19951222,000000,1.5797,1.5797,1.5797,1.5797,0,0
EGPHRK,D,19951227,000000,1.5811,1.5811,1.5811,1.5811,0,0
EGPHRK,D,19951228,000000,1.5617,1.5617,1.5617,1.5617,0,0
EGPHRK,D,19951229,000000,1.5609,1.5609,1.5609,1.5609,0,0
EGPHRK,D,19960102,000000,1.5674,1.5674,1.5674,1.5674,0,0
EGPHRK,D,19960103,000000,1.5651,1.5651,1.5651,1.5651,0,0
EGPHRK,D,19960104,000000,1.5728,1.5728,1.5728,1.5728,0,0
EGPHRK,D,19960105,000000,1.5711,1.5711,1.5711,1.5711,0,0
EGPHRK,D,19960108,000000,1.5744,1.5744,1.5744,1.5744,0,0
EGPHRK,D,19960109,000000,1.5664,1.5664,1.5664,1.5664,0,0
EGPHRK,D,19960110,000000,1.5726,1.5726,1.5726,1.5726,0,0
EGPHRK,D,19960111,000000,1.5696,1.5696,1.5696,1.5696,0,0
EGPHRK,D,19960112,000000,1.567,1.567,1.567,1.567,0,0
EGPHRK,D,19960115,000000,1.57,1.57,1.57,1.57,0,0
EGPHRK,D,19960116,000000,1.5739,1.5739,1.5739,1.5739,0,0
EGPHRK,D,19960117,000000,1.5739,1.5739,1.5739,1.5739,0,0
EGPHRK,D,19960118,000000,1.5935,1.5935,1.5935,1.5935,0,0
EGPHRK,D,19960119,000000,1.5941,1.5941,1.5941,1.5941,0,0
EGPHRK,D,19960122,000000,1.6023,1.6023,1.6023,1.6023,0,0
EGPHRK,D,19960123,000000,1.6078,1.6078,1.6078,1.6078,0,0
EGPHRK,D,19960124,000000,1.6025,1.6025,1.6025,1.6025,0,0
EGPHRK,D,19960125,000000,1.6168,1.6168,1.6168,1.6168,0,0
EGPHRK,D,19960126,000000,1.6195,1.6195,1.6195,1.6195,0,0
EGPHRK,D,19960129,000000,1.6217,1.6217,1.6217,1.6217,0,0
EGPHRK,D,19960130,000000,1.6232,1.6232,1.6232,1.6232,0,0
EGPHRK,D,19960131,000000,1.6134,1.6134,1.6134,1.6134,0,0
EGPHRK,D,19960201,000000,1.6148,1.6148,1.6148,1.6148,0,0
EGPHRK,D,19960202,000000,1.6141,1.6141,1.6141,1.6141,0,0
EGPHRK,D,19960205,000000,1.6161,1.6161,1.6161,1.6161,0,0
EGPHRK,D,19960206,000000,1.6138,1.6138,1.6138,1.6138,0,0
EGPHRK,D,19960207,000000,1.6074,1.6074,1.6074,1.6074,0,0
EGPHRK,D,19960208,000000,1.6061,1.6061,1.6061,1.6061,0,0
EGPHRK,D,19960209,000000,1.6123,1.6123,1.6123,1.6123,0,0
EGPHRK,D,19960212,000000,1.6093,1.6093,1.6093,1.6093,0,0
EGPHRK,D,19960213,000000,1.607,1.607,1.607,1.607,0,0
EGPHRK,D,19960214,000000,1.6032,1.6032,1.6032,1.6032,0,0
EGPHRK,D,19960215,000000,1.6051,1.6051,1.6051,1.6051,0,0
EGPHRK,D,19960216,000000,1.5965,1.5965,1.5965,1.5965,0,0
EGPHRK,D,19960219,000000,1.6002,1.6002,1.6002,1.6002,0,0
EGPHRK,D,19960220,000000,1.6021,1.6021,1.6021,1.6021,0,0
EGPHRK,D,19960221,000000,1.5736,1.5736,1.5736,1.5736,0,0
EGPHRK,D,19960222,000000,1.5765,1.5765,1.5765,1.5765,0,0
EGPHRK,D,19960223,000000,1.5763,1.5763,1.5763,1.5763,0,0
EGPHRK,D,19960226,000000,1.5819,1.5819,1.5819,1.5819,0,0
EGPHRK,D,19960227,000000,1.5713,1.5713,1.5713,1.5713,0,0
EGPHRK,D,19960228,000000,1.5783,1.5783,1.5783,1.5783,0,0
EGPHRK,D,19960229,000000,1.577,1.577,1.577,1.577,0,0
EGPHRK,D,19960301,000000,1.5895,1.5895,1.5895,1.5895,0,0
EGPHRK,D,19960304,000000,1.5918,1.5918,1.5918,1.5918,0,0
EGPHRK,D,19960305,000000,1.5986,1.5986,1.5986,1.5986,0,0
EGPHRK,D,19960306,000000,1.6043,1.6043,1.6043,1.6043,0,0
EGPHRK,D,19960307,000000,1.5991,1.5991,1.5991,1.5991,0,0
EGPHRK,D,19960308,000000,1.6115,1.6115,1.6115,1.6115,0,0
EGPHRK,D,19960311,000000,1.6081,1.6081,1.6081,1.6081,0,0
EGPHRK,D,19960312,000000,1.6076,1.6076,1.6076,1.6076,0,0
EGPHRK,D,19960313,000000,1.6068,1.6068,1.6068,1.6068,0,0
EGPHRK,D,19960314,000000,1.6091,1.6091,1.6091,1.6091,0,0
EGPHRK,D,19960315,000000,1.5919,1.5919,1.5919,1.5919,0,0
EGPHRK,D,19960318,000000,1.5915,1.5915,1.5915,1.5915,0,0
EGPHRK,D,19960319,000000,1.5861,1.5861,1.5861,1.5861,0,0
EGPHRK,D,19960320,000000,1.5844,1.5844,1.5844,1.5844,0,0
EGPHRK,D,19960321,000000,1.5857,1.5857,1.5857,1.5857,0,0
EGPHRK,D,19960322,000000,1.5883,1.5883,1.5883,1.5883,0,0
EGPHRK,D,19960325,000000,1.5863,1.5863,1.5863,1.5863,0,0
EGPHRK,D,19960326,000000,1.5854,1.5854,1.5854,1.5854,0,0
EGPHRK,D,19960327,000000,1.585,1.585,1.585,1.585,0,0
EGPHRK,D,19960328,000000,1.5832,1.5832,1.5832,1.5832,0,0
EGPHRK,D,19960329,000000,1.5853,1.5853,1.5853,1.5853,0,0
EGPHRK,D,19960401,000000,1.5797,1.5797,1.5797,1.5797,0,0
EGPHRK,D,19960402,000000,1.5869,1.5869,1.5869,1.5869,0,0
EGPHRK,D,19960403,000000,1.586,1.586,1.586,1.586,0,0
EGPHRK,D,19960404,000000,1.5874,1.5874,1.5874,1.5874,0,0
EGPHRK,D,19960405,000000,1.5854,1.5854,1.5854,1.5854,0,0
EGPHRK,D,19960409,000000,1.5905,1.5905,1.5905,1.5905,0,0
EGPHRK,D,19960410,000000,1.5855,1.5855,1.5855,1.5855,0,0
EGPHRK,D,19960411,000000,1.5857,1.5857,1.5857,1.5857,0,0
EGPHRK,D,19960412,000000,1.5874,1.5874,1.5874,1.5874,0,0
EGPHRK,D,19960415,000000,1.5721,1.5721,1.5721,1.5721,0,0
EGPHRK,D,19960416,000000,1.5854,1.5854,1.5854,1.5854,0,0
EGPHRK,D,19960417,000000,1.5843,1.5843,1.5843,1.5843,0,0
EGPHRK,D,19960418,000000,1.587,1.587,1.587,1.587,0,0
EGPHRK,D,19960419,000000,1.587,1.587,1.587,1.587,0,0
EGPHRK,D,19960422,000000,1.5858,1.5858,1.5858,1.5858,0,0
EGPHRK,D,19960423,000000,1.5883,1.5883,1.5883,1.5883,0,0
EGPHRK,D,19960424,000000,1.5842,1.5842,1.5842,1.5842,0,0
EGPHRK,D,19960425,000000,1.5909,1.5909,1.5909,1.5909,0,0
EGPHRK,D,19960426,000000,1.5829,1.5829,1.5829,1.5829,0,0
EGPHRK,D,19960429,000000,1.5932,1.5932,1.5932,1.5932,0,0
EGPHRK,D,19960430,000000,1.5866,1.5866,1.5866,1.5866,0,0
EGPHRK,D,19960506,000000,1.5771,1.5771,1.5771,1.5771,0,0
EGPHRK,D,19960507,000000,1.584,1.584,1.584,1.584,0,0
