<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGPINR,D,19951116,000000,10.232,10.232,10.232,10.232,0,0
EGPINR,D,19951117,000000,10.203,10.203,10.203,10.203,0,0
EGPINR,D,19951120,000000,10.269,10.269,10.269,10.269,0,0
EGPINR,D,19951121,000000,10.241,10.241,10.241,10.241,0,0
EGPINR,D,19951122,000000,10.244,10.244,10.244,10.244,0,0
EGPINR,D,19951123,000000,10.239,10.239,10.239,10.239,0,0
EGPINR,D,19951124,000000,10.258,10.258,10.258,10.258,0,0
EGPINR,D,19951127,000000,10.27,10.27,10.27,10.27,0,0
EGPINR,D,19951128,000000,10.267,10.267,10.267,10.267,0,0
EGPINR,D,19951129,000000,10.267,10.267,10.267,10.267,0,0
EGPINR,D,19951130,000000,10.265,10.265,10.265,10.265,0,0
EGPINR,D,19951201,000000,10.274,10.274,10.274,10.274,0,0
EGPINR,D,19951204,000000,10.272,10.272,10.272,10.272,0,0
EGPINR,D,19951205,000000,10.255,10.255,10.255,10.255,0,0
EGPINR,D,19951206,000000,10.245,10.245,10.245,10.245,0,0
EGPINR,D,19951207,000000,10.249,10.249,10.249,10.249,0,0
EGPINR,D,19951208,000000,10.306,10.306,10.306,10.306,0,0
EGPINR,D,19951211,000000,10.274,10.274,10.274,10.274,0,0
EGPINR,D,19951212,000000,10.29,10.29,10.29,10.29,0,0
EGPINR,D,19951213,000000,10.312,10.312,10.312,10.312,0,0
EGPINR,D,19951214,000000,10.315,10.315,10.315,10.315,0,0
EGPINR,D,19951215,000000,10.313,10.313,10.313,10.313,0,0
EGPINR,D,19951218,000000,10.319,10.319,10.319,10.319,0,0
EGPINR,D,19951219,000000,10.318,10.318,10.318,10.318,0,0
EGPINR,D,19951220,000000,10.317,10.317,10.317,10.317,0,0
EGPINR,D,19951221,000000,10.331,10.331,10.331,10.331,0,0
EGPINR,D,19951222,000000,10.32,10.32,10.32,10.32,0,0
EGPINR,D,19951227,000000,10.339,10.339,10.339,10.339,0,0
EGPINR,D,19951228,000000,10.369,10.369,10.369,10.369,0,0
EGPINR,D,19951229,000000,10.376,10.376,10.376,10.376,0,0
EGPINR,D,19960102,000000,10.382,10.382,10.382,10.382,0,0
EGPINR,D,19960103,000000,10.386,10.386,10.386,10.386,0,0
EGPINR,D,19960104,000000,10.417,10.417,10.417,10.417,0,0
EGPINR,D,19960105,000000,10.449,10.449,10.449,10.449,0,0
EGPINR,D,19960108,000000,10.575,10.575,10.575,10.575,0,0
EGPINR,D,19960109,000000,10.588,10.588,10.588,10.588,0,0
EGPINR,D,19960110,000000,10.568,10.568,10.568,10.568,0,0
EGPINR,D,19960111,000000,10.576,10.576,10.576,10.576,0,0
EGPINR,D,19960112,000000,10.563,10.563,10.563,10.563,0,0
EGPINR,D,19960115,000000,10.572,10.572,10.572,10.572,0,0
EGPINR,D,19960116,000000,10.599,10.599,10.599,10.599,0,0
EGPINR,D,19960117,000000,10.583,10.583,10.583,10.583,0,0
EGPINR,D,19960118,000000,10.586,10.586,10.586,10.586,0,0
EGPINR,D,19960119,000000,10.594,10.594,10.594,10.594,0,0
EGPINR,D,19960122,000000,10.572,10.572,10.572,10.572,0,0
EGPINR,D,19960123,000000,10.548,10.548,10.548,10.548,0,0
