<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGPRON,D,19951116,000000,0.07215,0.07215,0.07215,0.07215,0,0
EGPRON,D,19951117,000000,0.07496,0.07496,0.07496,0.07496,0,0
EGPRON,D,19951120,000000,0.07512,0.07512,0.07512,0.07512,0,0
EGPRON,D,19951121,000000,0.07502,0.07502,0.07502,0.07502,0,0
EGPRON,D,19951122,000000,0.07488,0.07488,0.07488,0.07488,0,0
EGPRON,D,19951123,000000,0.07502,0.07502,0.07502,0.07502,0,0
EGPRON,D,19951124,000000,0.07507,0.07507,0.07507,0.07507,0,0
EGPRON,D,19951127,000000,0.07494,0.07494,0.07494,0.07494,0,0
EGPRON,D,19951128,000000,0.07587,0.07587,0.07587,0.07587,0,0
EGPRON,D,19951129,000000,0.07489,0.07489,0.07489,0.07489,0,0
EGPRON,D,19951130,000000,0.075,0.075,0.075,0.075,0,0
EGPRON,D,19951201,000000,0.07454,0.07454,0.07454,0.07454,0,0
EGPRON,D,19951204,000000,0.07594,0.07594,0.07594,0.07594,0,0
EGPRON,D,19951205,000000,0.0763,0.0763,0.0763,0.0763,0,0
EGPRON,D,19951206,000000,0.07565,0.07565,0.07565,0.07565,0,0
EGPRON,D,19951207,000000,0.07681,0.07681,0.07681,0.07681,0,0
EGPRON,D,19951208,000000,0.07688,0.07688,0.07688,0.07688,0,0
EGPRON,D,19951211,000000,0.07687,0.07687,0.07687,0.07687,0,0
EGPRON,D,19951212,000000,0.0764,0.0764,0.0764,0.0764,0,0
EGPRON,D,19951213,000000,0.07669,0.07669,0.07669,0.07669,0,0
EGPRON,D,19951214,000000,0.07619,0.07619,0.07619,0.07619,0,0
EGPRON,D,19951215,000000,0.07701,0.07701,0.07701,0.07701,0,0
EGPRON,D,19951218,000000,0.07673,0.07673,0.07673,0.07673,0,0
EGPRON,D,19951219,000000,0.07696,0.07696,0.07696,0.07696,0,0
EGPRON,D,19951220,000000,0.07703,0.07703,0.07703,0.07703,0,0
EGPRON,D,19951221,000000,0.07699,0.07699,0.07699,0.07699,0,0
EGPRON,D,19951222,000000,0.07685,0.07685,0.07685,0.07685,0,0
EGPRON,D,19951227,000000,0.07691,0.07691,0.07691,0.07691,0,0
EGPRON,D,19951228,000000,0.07692,0.07692,0.07692,0.07692,0,0
EGPRON,D,19951229,000000,0.0774,0.0774,0.0774,0.0774,0,0
EGPRON,D,19960102,000000,0.07751,0.07751,0.07751,0.07751,0,0
EGPRON,D,19960103,000000,0.07751,0.07751,0.07751,0.07751,0,0
EGPRON,D,19960104,000000,0.07761,0.07761,0.07761,0.07761,0,0
EGPRON,D,19960105,000000,0.07744,0.07744,0.07744,0.07744,0,0
EGPRON,D,19960108,000000,0.07743,0.07743,0.07743,0.07743,0,0
EGPRON,D,19960109,000000,0.07777,0.07777,0.07777,0.07777,0,0
EGPRON,D,19960110,000000,0.0785,0.0785,0.0785,0.0785,0,0
EGPRON,D,19960111,000000,0.07738,0.07738,0.07738,0.07738,0,0
EGPRON,D,19960112,000000,0.07792,0.07792,0.07792,0.07792,0,0
EGPRON,D,19960115,000000,0.07903,0.07903,0.07903,0.07903,0,0
EGPRON,D,19960116,000000,0.07924,0.07924,0.07924,0.07924,0,0
EGPRON,D,19960117,000000,0.07859,0.07859,0.07859,0.07859,0,0
EGPRON,D,19960118,000000,0.07937,0.07937,0.07937,0.07937,0,0
EGPRON,D,19960119,000000,0.07922,0.07922,0.07922,0.07922,0,0
EGPRON,D,19960122,000000,0.07892,0.07892,0.07892,0.07892,0,0
EGPRON,D,19960123,000000,0.07801,0.07801,0.07801,0.07801,0,0
EGPRON,D,19960124,000000,0.08109,0.08109,0.08109,0.08109,0,0
EGPRON,D,19960125,000000,0.08324,0.08324,0.08324,0.08324,0,0
EGPRON,D,19960126,000000,0.08352,0.08352,0.08352,0.08352,0,0
EGPRON,D,19960129,000000,0.08346,0.08346,0.08346,0.08346,0,0
EGPRON,D,19960130,000000,0.0821,0.0821,0.0821,0.0821,0,0
EGPRON,D,19960131,000000,0.08131,0.08131,0.08131,0.08131,0,0
EGPRON,D,19960201,000000,0.08152,0.08152,0.08152,0.08152,0,0
EGPRON,D,19960202,000000,0.08141,0.08141,0.08141,0.08141,0,0
EGPRON,D,19960205,000000,0.08162,0.08162,0.08162,0.08162,0,0
EGPRON,D,19960206,000000,0.08151,0.08151,0.08151,0.08151,0,0
EGPRON,D,19960207,000000,0.08182,0.08182,0.08182,0.08182,0,0
EGPRON,D,19960208,000000,0.08184,0.08184,0.08184,0.08184,0,0
EGPRON,D,19960209,000000,0.08368,0.08368,0.08368,0.08368,0,0
EGPRON,D,19960212,000000,0.08279,0.08279,0.08279,0.08279,0,0
EGPRON,D,19960213,000000,0.0847,0.0847,0.0847,0.0847,0,0
EGPRON,D,19960214,000000,0.08495,0.08495,0.08495,0.08495,0,0
EGPRON,D,19960215,000000,0.08561,0.08561,0.08561,0.08561,0,0
EGPRON,D,19960216,000000,0.08536,0.08536,0.08536,0.08536,0,0
EGPRON,D,19960219,000000,0.08672,0.08672,0.08672,0.08672,0,0
EGPRON,D,19960220,000000,0.08645,0.08645,0.08645,0.08645,0,0
EGPRON,D,19960221,000000,0.08538,0.08538,0.08538,0.08538,0,0
EGPRON,D,19960222,000000,0.08546,0.08546,0.08546,0.08546,0,0
EGPRON,D,19960223,000000,0.08479,0.08479,0.08479,0.08479,0,0
EGPRON,D,19960226,000000,0.08493,0.08493,0.08493,0.08493,0,0
EGPRON,D,19960227,000000,0.08487,0.08487,0.08487,0.08487,0,0
EGPRON,D,19960228,000000,0.08641,0.08641,0.08641,0.08641,0,0
EGPRON,D,19960229,000000,0.08427,0.08427,0.08427,0.08427,0,0
EGPRON,D,19960301,000000,0.08634,0.08634,0.08634,0.08634,0,0
EGPRON,D,19960304,000000,0.08562,0.08562,0.08562,0.08562,0,0
EGPRON,D,19960305,000000,0.08753,0.08753,0.08753,0.08753,0,0
EGPRON,D,19960306,000000,0.08577,0.08577,0.08577,0.08577,0,0
EGPRON,D,19960307,000000,0.08587,0.08587,0.08587,0.08587,0,0
EGPRON,D,19960308,000000,0.0882,0.0882,0.0882,0.0882,0,0
EGPRON,D,19960311,000000,0.08697,0.08697,0.08697,0.08697,0,0
EGPRON,D,19960312,000000,0.08702,0.08702,0.08702,0.08702,0,0
EGPRON,D,19960313,000000,0.08923,0.08923,0.08923,0.08923,0,0
EGPRON,D,19960314,000000,0.08421,0.08421,0.08421,0.08421,0,0
EGPRON,D,19960315,000000,0.08542,0.08542,0.08542,0.08542,0,0
EGPRON,D,19960318,000000,0.08753,0.08753,0.08753,0.08753,0,0
EGPRON,D,19960319,000000,0.08674,0.08674,0.08674,0.08674,0,0
EGPRON,D,19960320,000000,0.08869,0.08869,0.08869,0.08869,0,0
EGPRON,D,19960321,000000,0.08731,0.08731,0.08731,0.08731,0,0
EGPRON,D,19960322,000000,0.08707,0.08707,0.08707,0.08707,0,0
EGPRON,D,19960325,000000,0.08528,0.08528,0.08528,0.08528,0,0
EGPRON,D,19960326,000000,0.08559,0.08559,0.08559,0.08559,0,0
EGPRON,D,19960327,000000,0.0852,0.0852,0.0852,0.0852,0,0
EGPRON,D,19960328,000000,0.08525,0.08525,0.08525,0.08525,0,0
EGPRON,D,19960329,000000,0.08536,0.08536,0.08536,0.08536,0,0
EGPRON,D,19960401,000000,0.08506,0.08506,0.08506,0.08506,0,0
EGPRON,D,19960402,000000,0.08551,0.08551,0.08551,0.08551,0,0
EGPRON,D,19960403,000000,0.08528,0.08528,0.08528,0.08528,0,0
EGPRON,D,19960404,000000,0.08537,0.08537,0.08537,0.08537,0,0
EGPRON,D,19960405,000000,0.08529,0.08529,0.08529,0.08529,0,0
EGPRON,D,19960409,000000,0.0855,0.0855,0.0855,0.0855,0,0
EGPRON,D,19960410,000000,0.08524,0.08524,0.08524,0.08524,0,0
EGPRON,D,19960411,000000,0.08539,0.08539,0.08539,0.08539,0,0
EGPRON,D,19960412,000000,0.08564,0.08564,0.08564,0.08564,0,0
EGPRON,D,19960415,000000,0.08481,0.08481,0.08481,0.08481,0,0
EGPRON,D,19960416,000000,0.08553,0.08553,0.08553,0.08553,0,0
EGPRON,D,19960417,000000,0.08546,0.08546,0.08546,0.08546,0,0
EGPRON,D,19960418,000000,0.0856,0.0856,0.0856,0.0856,0,0
EGPRON,D,19960419,000000,0.08565,0.08565,0.08565,0.08565,0,0
EGPRON,D,19960422,000000,0.08547,0.08547,0.08547,0.08547,0,0
EGPRON,D,19960423,000000,0.08567,0.08567,0.08567,0.08567,0,0
EGPRON,D,19960424,000000,0.08547,0.08547,0.08547,0.08547,0,0
