<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGPSGD,D,19951116,000000,0.41529,0.41529,0.41529,0.41529,0,0
EGPSGD,D,19951117,000000,0.41495,0.41495,0.41495,0.41495,0,0
EGPSGD,D,19951120,000000,0.41651,0.41651,0.41651,0.41651,0,0
EGPSGD,D,19951121,000000,0.41586,0.41586,0.41586,0.41586,0,0
EGPSGD,D,19951122,000000,0.41464,0.41464,0.41464,0.41464,0,0
EGPSGD,D,19951123,000000,0.41537,0.41537,0.41537,0.41537,0,0
EGPSGD,D,19951124,000000,0.41575,0.41575,0.41575,0.41575,0,0
EGPSGD,D,19951127,000000,0.41551,0.41551,0.41551,0.41551,0,0
EGPSGD,D,19951128,000000,0.41546,0.41546,0.41546,0.41546,0,0
EGPSGD,D,19951129,000000,0.41549,0.41549,0.41549,0.41549,0,0
EGPSGD,D,19951130,000000,0.4147,0.4147,0.4147,0.4147,0,0
EGPSGD,D,19951201,000000,0.41624,0.41624,0.41624,0.41624,0,0
EGPSGD,D,19951204,000000,0.41625,0.41625,0.41625,0.41625,0,0
EGPSGD,D,19951205,000000,0.41576,0.41576,0.41576,0.41576,0,0
EGPSGD,D,19951206,000000,0.41567,0.41567,0.41567,0.41567,0,0
EGPSGD,D,19951207,000000,0.41587,0.41587,0.41587,0.41587,0,0
EGPSGD,D,19951208,000000,0.4172,0.4172,0.4172,0.4172,0,0
EGPSGD,D,19951211,000000,0.41717,0.41717,0.41717,0.41717,0,0
EGPSGD,D,19951212,000000,0.41772,0.41772,0.41772,0.41772,0,0
EGPSGD,D,19951213,000000,0.41777,0.41777,0.41777,0.41777,0,0
EGPSGD,D,19951214,000000,0.4175,0.4175,0.4175,0.4175,0,0
EGPSGD,D,19951215,000000,0.41791,0.41791,0.41791,0.41791,0,0
EGPSGD,D,19951218,000000,0.4168,0.4168,0.4168,0.4168,0,0
EGPSGD,D,19951219,000000,0.41714,0.41714,0.41714,0.41714,0,0
EGPSGD,D,19951220,000000,0.41714,0.41714,0.41714,0.41714,0,0
EGPSGD,D,19951221,000000,0.41714,0.41714,0.41714,0.41714,0,0
EGPSGD,D,19951222,000000,0.41715,0.41715,0.41715,0.41715,0,0
EGPSGD,D,19951227,000000,0.41738,0.41738,0.41738,0.41738,0,0
EGPSGD,D,19951228,000000,0.41671,0.41671,0.41671,0.41671,0,0
EGPSGD,D,19951229,000000,0.41723,0.41723,0.41723,0.41723,0,0
EGPSGD,D,19960102,000000,0.41751,0.41751,0.41751,0.41751,0,0
EGPSGD,D,19960103,000000,0.41751,0.41751,0.41751,0.41751,0,0
EGPSGD,D,19960104,000000,0.41751,0.41751,0.41751,0.41751,0,0
EGPSGD,D,19960105,000000,0.41977,0.41977,0.41977,0.41977,0,0
EGPSGD,D,19960108,000000,0.4203,0.4203,0.4203,0.4203,0,0
