<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGPXAU,D,19951116,000000,7.63,7.63,7.63,7.63,0,0
EGPXAU,D,19951117,000000,7.6024,7.6024,7.6024,7.6024,0,0
EGPXAU,D,19951120,000000,7.6391,7.6391,7.6391,7.6391,0,0
EGPXAU,D,19951121,000000,7.64,7.64,7.64,7.64,0,0
EGPXAU,D,19951122,000000,7.6877,7.6877,7.6877,7.6877,0,0
EGPXAU,D,19951123,000000,7.6887,7.6887,7.6887,7.6887,0,0
EGPXAU,D,19951124,000000,7.6701,7.6701,7.6701,7.6701,0,0
EGPXAU,D,19951127,000000,7.6399,7.6399,7.6399,7.6399,0,0
EGPXAU,D,19951128,000000,7.5667,7.5667,7.5667,7.5667,0,0
EGPXAU,D,19951129,000000,7.5697,7.5697,7.5697,7.5697,0,0
EGPXAU,D,19951130,000000,7.6015,7.6015,7.6015,7.6015,0,0
EGPXAU,D,19951201,000000,7.6186,7.6186,7.6186,7.6186,0,0
EGPXAU,D,19951204,000000,7.6237,7.6237,7.6237,7.6237,0,0
EGPXAU,D,19951205,000000,7.603,7.603,7.603,7.603,0,0
EGPXAU,D,19951206,000000,7.5742,7.5742,7.5742,7.5742,0,0
EGPXAU,D,19951207,000000,7.565,7.565,7.565,7.565,0,0
EGPXAU,D,19951208,000000,7.5727,7.5727,7.5727,7.5727,0,0
EGPXAU,D,19951211,000000,7.6006,7.6006,7.6006,7.6006,0,0
EGPXAU,D,19951212,000000,7.6028,7.6028,7.6028,7.6028,0,0
EGPXAU,D,19951213,000000,7.6389,7.6389,7.6389,7.6389,0,0
EGPXAU,D,19951214,000000,7.6386,7.6386,7.6386,7.6386,0,0
EGPXAU,D,19951215,000000,7.6439,7.6439,7.6439,7.6439,0,0
EGPXAU,D,19951218,000000,7.616,7.616,7.616,7.616,0,0
EGPXAU,D,19951219,000000,7.6204,7.6204,7.6204,7.6204,0,0
EGPXAU,D,19951220,000000,7.5944,7.5944,7.5944,7.5944,0,0
EGPXAU,D,19951221,000000,7.6099,7.6099,7.6099,7.6099,0,0
EGPXAU,D,19951222,000000,7.6226,7.6226,7.6226,7.6226,0,0
EGPXAU,D,19951227,000000,7.6253,7.6253,7.6253,7.6253,0,0
EGPXAU,D,19951228,000000,7.628,7.628,7.628,7.628,0,0
EGPXAU,D,19951229,000000,7.6274,7.6274,7.6274,7.6274,0,0
EGPXAU,D,19960102,000000,7.5572,7.5572,7.5572,7.5572,0,0
EGPXAU,D,19960103,000000,7.4839,7.4839,7.4839,7.4839,0,0
EGPXAU,D,19960104,000000,7.4816,7.4816,7.4816,7.4816,0,0
EGPXAU,D,19960105,000000,7.4626,7.4626,7.4626,7.4626,0,0
EGPXAU,D,19960108,000000,7.4432,7.4432,7.4432,7.4432,0,0
EGPXAU,D,19960109,000000,7.4518,7.4518,7.4518,7.4518,0,0
