<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURBRL,D,19950103,000000,1.0326,1.0326,1.0326,1.0326,0,0
EURBRL,D,19950104,000000,1.0322,1.0322,1.0322,1.0322,0,0
EURBRL,D,19950105,000000,1.0296,1.0296,1.0296,1.0296,0,0
EURBRL,D,19950106,000000,1.028,1.028,1.028,1.028,0,0
EURBRL,D,19950109,000000,1.0351,1.0351,1.0351,1.0351,0,0
EURBRL,D,19950110,000000,1.0333,1.0333,1.0333,1.0333,0,0
EURBRL,D,19950111,000000,1.0491,1.0491,1.0491,1.0491,0,0
EURBRL,D,19950112,000000,1.0413,1.0413,1.0413,1.0413,0,0
EURBRL,D,19950113,000000,1.0438,1.0438,1.0438,1.0438,0,0
EURBRL,D,19950116,000000,1.0454,1.0454,1.0454,1.0454,0,0
EURBRL,D,19950117,000000,1.0445,1.0445,1.0445,1.0445,0,0
EURBRL,D,19950118,000000,1.0479,1.0479,1.0479,1.0479,0,0
EURBRL,D,19950119,000000,1.0502,1.0502,1.0502,1.0502,0,0
EURBRL,D,19950120,000000,1.047,1.047,1.047,1.047,0,0
EURBRL,D,19950123,000000,1.0609,1.0609,1.0609,1.0609,0,0
EURBRL,D,19950124,000000,1.0636,1.0636,1.0636,1.0636,0,0
EURBRL,D,19950125,000000,1.0657,1.0657,1.0657,1.0657,0,0
EURBRL,D,19950126,000000,1.061,1.061,1.061,1.061,0,0
EURBRL,D,19950127,000000,1.0526,1.0526,1.0526,1.0526,0,0
EURBRL,D,19950130,000000,1.0537,1.0537,1.0537,1.0537,0,0
EURBRL,D,19950131,000000,1.0497,1.0497,1.0497,1.0497,0,0
EURBRL,D,19950201,000000,1.0525,1.0525,1.0525,1.0525,0,0
EURBRL,D,19950202,000000,1.0389,1.0389,1.0389,1.0389,0,0
EURBRL,D,19950203,000000,1.0429,1.0429,1.0429,1.0429,0,0
EURBRL,D,19950206,000000,1.0379,1.0379,1.0379,1.0379,0,0
EURBRL,D,19950207,000000,1.0293,1.0293,1.0293,1.0293,0,0
EURBRL,D,19950208,000000,1.0285,1.0285,1.0285,1.0285,0,0
EURBRL,D,19950209,000000,1.026,1.026,1.026,1.026,0,0
EURBRL,D,19950210,000000,1.0285,1.0285,1.0285,1.0285,0,0
EURBRL,D,19950213,000000,1.0265,1.0265,1.0265,1.0265,0,0
EURBRL,D,19950214,000000,1.0362,1.0362,1.0362,1.0362,0,0
EURBRL,D,19950215,000000,1.0367,1.0367,1.0367,1.0367,0,0
EURBRL,D,19950216,000000,1.0545,1.0545,1.0545,1.0545,0,0
EURBRL,D,19950217,000000,1.0697,1.0697,1.0697,1.0697,0,0
EURBRL,D,19950220,000000,1.065,1.065,1.065,1.065,0,0
EURBRL,D,19950221,000000,1.0725,1.0725,1.0725,1.0725,0,0
EURBRL,D,19950222,000000,1.0749,1.0749,1.0749,1.0749,0,0
EURBRL,D,19950223,000000,1.0741,1.0741,1.0741,1.0741,0,0
EURBRL,D,19950224,000000,1.0833,1.0833,1.0833,1.0833,0,0
EURBRL,D,19950227,000000,1.0824,1.0824,1.0824,1.0824,0,0
EURBRL,D,19950228,000000,1.0844,1.0844,1.0844,1.0844,0,0
EURBRL,D,19950301,000000,1.0817,1.0817,1.0817,1.0817,0,0
EURBRL,D,19950302,000000,1.0813,1.0813,1.0813,1.0813,0,0
EURBRL,D,19950303,000000,1.0938,1.0938,1.0938,1.0938,0,0
EURBRL,D,19950306,000000,1.1104,1.1104,1.1104,1.1104,0,0
EURBRL,D,19950307,000000,1.1694,1.1694,1.1694,1.1694,0,0
EURBRL,D,19950308,000000,1.1711,1.1711,1.1711,1.1711,0,0
EURBRL,D,19950309,000000,1.1803,1.1803,1.1803,1.1803,0,0
EURBRL,D,19950310,000000,1.157,1.157,1.157,1.157,0,0
EURBRL,D,19950313,000000,1.1437,1.1437,1.1437,1.1437,0,0
EURBRL,D,19950314,000000,1.144,1.144,1.144,1.144,0,0
EURBRL,D,19950315,000000,1.1476,1.1476,1.1476,1.1476,0,0
EURBRL,D,19950316,000000,1.1671,1.1671,1.1671,1.1671,0,0
EURBRL,D,19950317,000000,1.1836,1.1836,1.1836,1.1836,0,0
EURBRL,D,19950320,000000,1.1885,1.1885,1.1885,1.1885,0,0
EURBRL,D,19950321,000000,1.1623,1.1623,1.1623,1.1623,0,0
EURBRL,D,19950322,000000,1.1789,1.1789,1.1789,1.1789,0,0
EURBRL,D,19950323,000000,1.1712,1.1712,1.1712,1.1712,0,0
EURBRL,D,19950324,000000,1.1816,1.1816,1.1816,1.1816,0,0
EURBRL,D,19950327,000000,1.182,1.182,1.182,1.182,0,0
EURBRL,D,19950328,000000,1.177,1.177,1.177,1.177,0,0
EURBRL,D,19950329,000000,1.1828,1.1828,1.1828,1.1828,0,0
EURBRL,D,19950330,000000,1.1916,1.1916,1.1916,1.1916,0,0
EURBRL,D,19950331,000000,1.1714,1.1714,1.1714,1.1714,0,0
EURBRL,D,19950403,000000,1.1933,1.1933,1.1933,1.1933,0,0
EURBRL,D,19950404,000000,1.1942,1.1942,1.1942,1.1942,0,0
EURBRL,D,19950405,000000,1.1858,1.1858,1.1858,1.1858,0,0
EURBRL,D,19950406,000000,1.1917,1.1917,1.1917,1.1917,0,0
EURBRL,D,19950407,000000,1.1942,1.1942,1.1942,1.1942,0,0
EURBRL,D,19950410,000000,1.2004,1.2004,1.2004,1.2004,0,0
EURBRL,D,19950411,000000,1.1868,1.1868,1.1868,1.1868,0,0
EURBRL,D,19950412,000000,1.1846,1.1846,1.1846,1.1846,0,0
EURBRL,D,19950413,000000,1.1962,1.1962,1.1962,1.1962,0,0
EURBRL,D,19950414,000000,1.1994,1.1994,1.1994,1.1994,0,0
EURBRL,D,19950418,000000,1.2,1.2,1.2,1.2,0,0
EURBRL,D,19950419,000000,1.2248,1.2248,1.2248,1.2248,0,0
EURBRL,D,19950420,000000,1.2324,1.2324,1.2324,1.2324,0,0
EURBRL,D,19950421,000000,1.2092,1.2092,1.2092,1.2092,0,0
EURBRL,D,19950424,000000,1.2093,1.2093,1.2093,1.2093,0,0
EURBRL,D,19950425,000000,1.2347,1.2347,1.2347,1.2347,0,0
EURBRL,D,19950426,000000,1.2284,1.2284,1.2284,1.2284,0,0
EURBRL,D,19950427,000000,1.217,1.217,1.217,1.217,0,0
EURBRL,D,19950428,000000,1.2143,1.2143,1.2143,1.2143,0,0
EURBRL,D,19950504,000000,1.2028,1.2028,1.2028,1.2028,0,0
EURBRL,D,19950505,000000,1.2026,1.2026,1.2026,1.2026,0,0
EURBRL,D,19950509,000000,1.2034,1.2034,1.2034,1.2034,0,0
EURBRL,D,19950510,000000,1.1953,1.1953,1.1953,1.1953,0,0
