<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUREGP,D,19951116,000000,4.4234,4.4234,4.4234,4.4234,0,0
EUREGP,D,19951117,000000,4.4281,4.4281,4.4281,4.4281,0,0
EUREGP,D,19951120,000000,4.4296,4.4296,4.4296,4.4296,0,0
EUREGP,D,19951121,000000,4.4126,4.4126,4.4126,4.4126,0,0
EUREGP,D,19951122,000000,4.4403,4.4403,4.4403,4.4403,0,0
EUREGP,D,19951123,000000,4.4267,4.4267,4.4267,4.4267,0,0
EUREGP,D,19951124,000000,4.4135,4.4135,4.4135,4.4135,0,0
EUREGP,D,19951127,000000,4.3766,4.3766,4.3766,4.3766,0,0
EUREGP,D,19951128,000000,4.414,4.414,4.414,4.414,0,0
EUREGP,D,19951129,000000,4.3694,4.3694,4.3694,4.3694,0,0
EUREGP,D,19951130,000000,4.3126,4.3126,4.3126,4.3126,0,0
EUREGP,D,19951201,000000,4.3573,4.3573,4.3573,4.3573,0,0
EUREGP,D,19951204,000000,4.3739,4.3739,4.3739,4.3739,0,0
EUREGP,D,19951205,000000,4.3545,4.3545,4.3545,4.3545,0,0
EUREGP,D,19951206,000000,4.3488,4.3488,4.3488,4.3488,0,0
EUREGP,D,19951207,000000,4.3359,4.3359,4.3359,4.3359,0,0
EUREGP,D,19951208,000000,4.3231,4.3231,4.3231,4.3231,0,0
EUREGP,D,19951211,000000,4.3008,4.3008,4.3008,4.3008,0,0
EUREGP,D,19951212,000000,4.2983,4.2983,4.2983,4.2983,0,0
EUREGP,D,19951213,000000,4.2846,4.2846,4.2846,4.2846,0,0
EUREGP,D,19951214,000000,4.3099,4.3099,4.3099,4.3099,0,0
EUREGP,D,19951215,000000,4.3114,4.3114,4.3114,4.3114,0,0
EUREGP,D,19951218,000000,4.3439,4.3439,4.3439,4.3439,0,0
EUREGP,D,19951219,000000,4.3313,4.3313,4.3313,4.3313,0,0
EUREGP,D,19951220,000000,4.3031,4.3031,4.3031,4.3031,0,0
EUREGP,D,19951221,000000,4.3108,4.3108,4.3108,4.3108,0,0
EUREGP,D,19951222,000000,4.4239,4.4239,4.4239,4.4239,0,0
EUREGP,D,19951227,000000,4.342,4.342,4.342,4.342,0,0
EUREGP,D,19951228,000000,4.3311,4.3311,4.3311,4.3311,0,0
EUREGP,D,19951229,000000,4.3461,4.3461,4.3461,4.3461,0,0
EUREGP,D,19960102,000000,4.3457,4.3457,4.3457,4.3457,0,0
EUREGP,D,19960103,000000,4.3332,4.3332,4.3332,4.3332,0,0
EUREGP,D,19960104,000000,4.2686,4.2686,4.2686,4.2686,0,0
EUREGP,D,19960105,000000,4.3648,4.3648,4.3648,4.3648,0,0
EUREGP,D,19960108,000000,4.3503,4.3503,4.3503,4.3503,0,0
EUREGP,D,19960109,000000,4.3798,4.3798,4.3798,4.3798,0,0
EUREGP,D,19960110,000000,4.3544,4.3544,4.3544,4.3544,0,0
EUREGP,D,19960111,000000,4.3553,4.3553,4.3553,4.3553,0,0
EUREGP,D,19960112,000000,4.3648,4.3648,4.3648,4.3648,0,0
EUREGP,D,19960115,000000,4.3378,4.3378,4.3378,4.3378,0,0
EUREGP,D,19960116,000000,4.3108,4.3108,4.3108,4.3108,0,0
EUREGP,D,19960117,000000,4.2866,4.2866,4.2866,4.2866,0,0
EUREGP,D,19960118,000000,4.2724,4.2724,4.2724,4.2724,0,0
EUREGP,D,19960119,000000,4.2322,4.2322,4.2322,4.2322,0,0
EUREGP,D,19960122,000000,4.238,4.238,4.238,4.238,0,0
EUREGP,D,19960123,000000,4.2261,4.2261,4.2261,4.2261,0,0
EUREGP,D,19960124,000000,4.2139,4.2139,4.2139,4.2139,0,0
EUREGP,D,19960125,000000,4.1639,4.1639,4.1639,4.1639,0,0
EUREGP,D,19960126,000000,4.1651,4.1651,4.1651,4.1651,0,0
EUREGP,D,19960129,000000,4.1827,4.1827,4.1827,4.1827,0,0
