<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURHUF,D,19951023,000000,170.58,170.58,170.58,170.58,0,0
EURHUF,D,19951024,000000,170.62,170.62,170.62,170.62,0,0
EURHUF,D,19951025,000000,170.44,170.44,170.44,170.44,0,0
EURHUF,D,19951026,000000,170.32,170.32,170.32,170.32,0,0
EURHUF,D,19951027,000000,172.19,172.19,172.19,172.19,0,0
EURHUF,D,19951030,000000,170.8,170.8,170.8,170.8,0,0
EURHUF,D,19951031,000000,170.93,170.93,170.93,170.93,0,0
EURHUF,D,19951102,000000,170.78,170.78,170.78,170.78,0,0
EURHUF,D,19951103,000000,170.83,170.83,170.83,170.83,0,0
EURHUF,D,19951106,000000,171.38,171.38,171.38,171.38,0,0
EURHUF,D,19951107,000000,171.15,171.15,171.15,171.15,0,0
EURHUF,D,19951108,000000,171.64,171.64,171.64,171.64,0,0
EURHUF,D,19951109,000000,171.35,171.35,171.35,171.35,0,0
EURHUF,D,19951110,000000,171.48,171.48,171.48,171.48,0,0
EURHUF,D,19951113,000000,172.27,172.27,172.27,172.27,0,0
EURHUF,D,19951114,000000,171.8,171.8,171.8,171.8,0,0
EURHUF,D,19951115,000000,172.32,172.32,172.32,172.32,0,0
EURHUF,D,19951116,000000,172.13,172.13,172.13,172.13,0,0
EURHUF,D,19951117,000000,172.74,172.74,172.74,172.74,0,0
EURHUF,D,19951120,000000,173.12,173.12,173.12,173.12,0,0
EURHUF,D,19951121,000000,173.03,173.03,173.03,173.03,0,0
EURHUF,D,19951122,000000,173.11,173.11,173.11,173.11,0,0
EURHUF,D,19951123,000000,173.02,173.02,173.02,173.02,0,0
EURHUF,D,19951124,000000,172.96,172.96,172.96,172.96,0,0
EURHUF,D,19951127,000000,172.11,172.11,172.11,172.11,0,0
EURHUF,D,19951128,000000,173.3,173.3,173.3,173.3,0,0
EURHUF,D,19951129,000000,172.47,172.47,172.47,172.47,0,0
EURHUF,D,19951130,000000,172.81,172.81,172.81,172.81,0,0
EURHUF,D,19951201,000000,173.07,173.07,173.07,173.07,0,0
EURHUF,D,19951204,000000,173.49,173.49,173.49,173.49,0,0
EURHUF,D,19951205,000000,172.92,172.92,172.92,172.92,0,0
EURHUF,D,19951206,000000,172.59,172.59,172.59,172.59,0,0
EURHUF,D,19951207,000000,172.55,172.55,172.55,172.55,0,0
EURHUF,D,19951208,000000,173.14,173.14,173.14,173.14,0,0
EURHUF,D,19951211,000000,172.45,172.45,172.45,172.45,0,0
EURHUF,D,19951212,000000,172.58,172.58,172.58,172.58,0,0
EURHUF,D,19951213,000000,172.78,172.78,172.78,172.78,0,0
EURHUF,D,19951214,000000,173.41,173.41,173.41,173.41,0,0
EURHUF,D,19951215,000000,173.79,173.79,173.79,173.79,0,0
EURHUF,D,19951218,000000,173.72,173.72,173.72,173.72,0,0
EURHUF,D,19951219,000000,173.6,173.6,173.6,173.6,0,0
