<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURIDR,D,19931025,000000,24.067,24.067,24.067,24.067,0,0
EURIDR,D,19931026,000000,23.993,23.993,23.993,23.993,0,0
EURIDR,D,19931027,000000,23.899,23.899,23.899,23.899,0,0
EURIDR,D,19931028,000000,23.993,23.993,23.993,23.993,0,0
EURIDR,D,19931029,000000,23.87,23.87,23.87,23.87,0,0
EURIDR,D,19931102,000000,23.953,23.953,23.953,23.953,0,0
EURIDR,D,19931103,000000,23.699,23.699,23.699,23.699,0,0
EURIDR,D,19931104,000000,23.761,23.761,23.761,23.761,0,0
EURIDR,D,19931105,000000,23.803,23.803,23.803,23.803,0,0
EURIDR,D,19931108,000000,23.71,23.71,23.71,23.71,0,0
EURIDR,D,19931109,000000,23.775,23.775,23.775,23.775,0,0
EURIDR,D,19931110,000000,23.699,23.699,23.699,23.699,0,0
EURIDR,D,19931112,000000,23.621,23.621,23.621,23.621,0,0
EURIDR,D,19931115,000000,23.596,23.596,23.596,23.596,0,0
EURIDR,D,19931116,000000,23.747,23.747,23.747,23.747,0,0
EURIDR,D,19931117,000000,23.709,23.709,23.709,23.709,0,0
EURIDR,D,19931118,000000,23.553,23.553,23.553,23.553,0,0
EURIDR,D,19931119,000000,23.624,23.624,23.624,23.624,0,0
EURIDR,D,19931122,000000,23.605,23.605,23.605,23.605,0,0
EURIDR,D,19931123,000000,23.622,23.622,23.622,23.622,0,0
EURIDR,D,19931124,000000,23.559,23.559,23.559,23.559,0,0
EURIDR,D,19931125,000000,23.704,23.704,23.704,23.704,0,0
EURIDR,D,19931126,000000,23.613,23.613,23.613,23.613,0,0
EURIDR,D,19931129,000000,23.578,23.578,23.578,23.578,0,0
EURIDR,D,19931130,000000,23.561,23.561,23.561,23.561,0,0
EURIDR,D,19931201,000000,23.622,23.622,23.622,23.622,0,0
EURIDR,D,19931202,000000,23.495,23.495,23.495,23.495,0,0
EURIDR,D,19931203,000000,23.529,23.529,23.529,23.529,0,0
EURIDR,D,19931206,000000,23.495,23.495,23.495,23.495,0,0
EURIDR,D,19931207,000000,23.689,23.689,23.689,23.689,0,0
EURIDR,D,19931208,000000,23.822,23.822,23.822,23.822,0,0
EURIDR,D,19931209,000000,23.739,23.739,23.739,23.739,0,0
EURIDR,D,19931210,000000,23.781,23.781,23.781,23.781,0,0
EURIDR,D,19931213,000000,23.876,23.876,23.876,23.876,0,0
EURIDR,D,19931214,000000,23.897,23.897,23.897,23.897,0,0
EURIDR,D,19931215,000000,23.709,23.709,23.709,23.709,0,0
EURIDR,D,19931216,000000,23.675,23.675,23.675,23.675,0,0
EURIDR,D,19931217,000000,23.703,23.703,23.703,23.703,0,0
EURIDR,D,19931220,000000,23.757,23.757,23.757,23.757,0,0
EURIDR,D,19931221,000000,23.701,23.701,23.701,23.701,0,0
EURIDR,D,19931222,000000,23.786,23.786,23.786,23.786,0,0
EURIDR,D,19931223,000000,23.83,23.83,23.83,23.83,0,0
EURIDR,D,19931224,000000,23.922,23.922,23.922,23.922,0,0
EURIDR,D,19931227,000000,24.018,24.018,24.018,24.018,0,0
EURIDR,D,19931228,000000,23.882,23.882,23.882,23.882,0,0
EURIDR,D,19931229,000000,23.887,23.887,23.887,23.887,0,0
EURIDR,D,19931230,000000,23.823,23.823,23.823,23.823,0,0
EURIDR,D,19931231,000000,23.655,23.655,23.655,23.655,0,0
EURIDR,D,19940103,000000,23.516,23.516,23.516,23.516,0,0
EURIDR,D,19940104,000000,23.508,23.508,23.508,23.508,0,0
EURIDR,D,19940105,000000,23.451,23.451,23.451,23.451,0,0
EURIDR,D,19940106,000000,23.528,23.528,23.528,23.528,0,0
EURIDR,D,19940107,000000,23.432,23.432,23.432,23.432,0,0
EURIDR,D,19940110,000000,23.414,23.414,23.414,23.414,0,0
EURIDR,D,19940111,000000,23.497,23.497,23.497,23.497,0,0
EURIDR,D,19940112,000000,23.369,23.369,23.369,23.369,0,0
EURIDR,D,19940113,000000,23.53,23.53,23.53,23.53,0,0
EURIDR,D,19940114,000000,23.61,23.61,23.61,23.61,0,0
EURIDR,D,19940117,000000,23.425,23.425,23.425,23.425,0,0
EURIDR,D,19940118,000000,23.398,23.398,23.398,23.398,0,0
EURIDR,D,19940119,000000,23.367,23.367,23.367,23.367,0,0
EURIDR,D,19940120,000000,23.508,23.508,23.508,23.508,0,0
EURIDR,D,19940121,000000,23.508,23.508,23.508,23.508,0,0
EURIDR,D,19940124,000000,23.618,23.618,23.618,23.618,0,0
EURIDR,D,19940125,000000,23.468,23.468,23.468,23.468,0,0
EURIDR,D,19940126,000000,23.484,23.484,23.484,23.484,0,0
EURIDR,D,19940127,000000,23.533,23.533,23.533,23.533,0,0
EURIDR,D,19940128,000000,23.541,23.541,23.541,23.541,0,0
EURIDR,D,19940131,000000,23.676,23.676,23.676,23.676,0,0
EURIDR,D,19940201,000000,23.583,23.583,23.583,23.583,0,0
EURIDR,D,19940202,000000,23.725,23.725,23.725,23.725,0,0
EURIDR,D,19940203,000000,23.696,23.696,23.696,23.696,0,0
EURIDR,D,19940204,000000,23.638,23.638,23.638,23.638,0,0
EURIDR,D,19940207,000000,23.607,23.607,23.607,23.607,0,0
EURIDR,D,19940208,000000,23.392,23.392,23.392,23.392,0,0
EURIDR,D,19940209,000000,23.322,23.322,23.322,23.322,0,0
EURIDR,D,19940210,000000,23.388,23.388,23.388,23.388,0,0
EURIDR,D,19940211,000000,23.379,23.379,23.379,23.379,0,0
EURIDR,D,19940214,000000,23.435,23.435,23.435,23.435,0,0
EURIDR,D,19940215,000000,23.474,23.474,23.474,23.474,0,0
EURIDR,D,19940216,000000,23.708,23.708,23.708,23.708,0,0
EURIDR,D,19940217,000000,23.78,23.78,23.78,23.78,0,0
EURIDR,D,19940218,000000,23.836,23.836,23.836,23.836,0,0
EURIDR,D,19940221,000000,23.988,23.988,23.988,23.988,0,0
EURIDR,D,19940222,000000,24.039,24.039,24.039,24.039,0,0
EURIDR,D,19940223,000000,23.987,23.987,23.987,23.987,0,0
EURIDR,D,19940224,000000,24.002,24.002,24.002,24.002,0,0
EURIDR,D,19940225,000000,23.92,23.92,23.92,23.92,0,0
EURIDR,D,19940228,000000,24.192,24.192,24.192,24.192,0,0
EURIDR,D,19940301,000000,24.221,24.221,24.221,24.221,0,0
EURIDR,D,19940302,000000,24.365,24.365,24.365,24.365,0,0
EURIDR,D,19940303,000000,24.377,24.377,24.377,24.377,0,0
EURIDR,D,19940304,000000,24.259,24.259,24.259,24.259,0,0
EURIDR,D,19940307,000000,24.219,24.219,24.219,24.219,0,0
EURIDR,D,19940308,000000,24.168,24.168,24.168,24.168,0,0
EURIDR,D,19940309,000000,24.239,24.239,24.239,24.239,0,0
EURIDR,D,19940310,000000,24.313,24.313,24.313,24.313,0,0
EURIDR,D,19940311,000000,24.509,24.509,24.509,24.509,0,0
EURIDR,D,19940314,000000,24.69,24.69,24.69,24.69,0,0
EURIDR,D,19940315,000000,24.594,24.594,24.594,24.594,0,0
EURIDR,D,19940316,000000,24.458,24.458,24.458,24.458,0,0
EURIDR,D,19940317,000000,24.454,24.454,24.454,24.454,0,0
EURIDR,D,19940318,000000,24.598,24.598,24.598,24.598,0,0
EURIDR,D,19940321,000000,24.507,24.507,24.507,24.507,0,0
EURIDR,D,19940322,000000,24.396,24.396,24.396,24.396,0,0
EURIDR,D,19940323,000000,24.552,24.552,24.552,24.552,0,0
EURIDR,D,19940324,000000,24.515,24.515,24.515,24.515,0,0
EURIDR,D,19940325,000000,24.634,24.634,24.634,24.634,0,0
EURIDR,D,19940328,000000,24.847,24.847,24.847,24.847,0,0
EURIDR,D,19940329,000000,24.778,24.778,24.778,24.778,0,0
EURIDR,D,19940330,000000,24.862,24.862,24.862,24.862,0,0
EURIDR,D,19940331,000000,24.721,24.721,24.721,24.721,0,0
EURIDR,D,19940401,000000,24.847,24.847,24.847,24.847,0,0
EURIDR,D,19940405,000000,24.772,24.772,24.772,24.772,0,0
EURIDR,D,19940406,000000,24.564,24.564,24.564,24.564,0,0
EURIDR,D,19940407,000000,24.347,24.347,24.347,24.347,0,0
EURIDR,D,19940408,000000,24.404,24.404,24.404,24.404,0,0
EURIDR,D,19940411,000000,24.384,24.384,24.384,24.384,0,0
EURIDR,D,19940412,000000,24.462,24.462,24.462,24.462,0,0
EURIDR,D,19940413,000000,24.305,24.305,24.305,24.305,0,0
EURIDR,D,19940414,000000,24.3,24.3,24.3,24.3,0,0
EURIDR,D,19940415,000000,24.367,24.367,24.367,24.367,0,0
EURIDR,D,19940418,000000,24.382,24.382,24.382,24.382,0,0
EURIDR,D,19940419,000000,24.401,24.401,24.401,24.401,0,0
EURIDR,D,19940420,000000,24.501,24.501,24.501,24.501,0,0
EURIDR,D,19940421,000000,24.604,24.604,24.604,24.604,0,0
EURIDR,D,19940422,000000,24.7,24.7,24.7,24.7,0,0
EURIDR,D,19940425,000000,24.668,24.668,24.668,24.668,0,0
