<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURNAD,D,19840924,000000,1.1903,1.1903,1.1903,1.1903,0,0
EURNAD,D,19841001,000000,1.2324,1.2324,1.2324,1.2324,0,0
EURNAD,D,19841008,000000,1.2225,1.2225,1.2225,1.2225,0,0
EURNAD,D,19841015,000000,1.2741,1.2741,1.2741,1.2741,0,0
EURNAD,D,19841022,000000,1.2464,1.2464,1.2464,1.2464,0,0
EURNAD,D,19841029,000000,1.3766,1.3766,1.3766,1.3766,0,0
EURNAD,D,19841105,000000,1.2923,1.2923,1.2923,1.2923,0,0
EURNAD,D,19841112,000000,1.3396,1.3396,1.3396,1.3396,0,0
EURNAD,D,19841119,000000,1.3396,1.3396,1.3396,1.3396,0,0
EURNAD,D,19841126,000000,1.3253,1.3253,1.3253,1.3253,0,0
EURNAD,D,19841201,000000,1.3111,1.3111,1.3111,1.3111,0,0
EURNAD,D,19841210,000000,1.2968,1.2968,1.2968,1.2968,0,0
EURNAD,D,19841217,000000,1.3558,1.3558,1.3558,1.3558,0,0
EURNAD,D,19841224,000000,1.3981,1.3981,1.3981,1.3981,0,0
EURNAD,D,19850101,000000,1.3907,1.3907,1.3907,1.3907,0,0
EURNAD,D,19850107,000000,1.4601,1.4601,1.4601,1.4601,0,0
EURNAD,D,19850114,000000,1.5797,1.5797,1.5797,1.5797,0,0
EURNAD,D,19850121,000000,1.5384,1.5384,1.5384,1.5384,0,0
EURNAD,D,19850128,000000,1.4674,1.4674,1.4674,1.4674,0,0
EURNAD,D,19850204,000000,1.3966,1.3966,1.3966,1.3966,0,0
EURNAD,D,19850211,000000,1.2889,1.2889,1.2889,1.2889,0,0
EURNAD,D,19850218,000000,1.2586,1.2586,1.2586,1.2586,0,0
EURNAD,D,19850225,000000,1.4371,1.4371,1.4371,1.4371,0,0
EURNAD,D,19850304,000000,1.3593,1.3593,1.3593,1.3593,0,0
EURNAD,D,19850311,000000,1.2741,1.2741,1.2741,1.2741,0,0
EURNAD,D,19850318,000000,1.3204,1.3204,1.3204,1.3204,0,0
EURNAD,D,19850325,000000,1.3204,1.3204,1.3204,1.3204,0,0
EURNAD,D,19850329,000000,1.2527,1.2527,1.2527,1.2527,0,0
EURNAD,D,19850401,000000,1.3572,1.3572,1.3572,1.3572,0,0
EURNAD,D,19850409,000000,1.4108,1.4108,1.4108,1.4108,0,0
EURNAD,D,19850415,000000,1.3201,1.3201,1.3201,1.3201,0,0
EURNAD,D,19850422,000000,1.3988,1.3988,1.3988,1.3988,0,0
EURNAD,D,19850429,000000,1.4047,1.4047,1.4047,1.4047,0,0
EURNAD,D,19850506,000000,1.4529,1.4529,1.4529,1.4529,0,0
EURNAD,D,19850513,000000,1.3295,1.3295,1.3295,1.3295,0,0
EURNAD,D,19850520,000000,1.4251,1.4251,1.4251,1.4251,0,0
EURNAD,D,19850527,000000,1.4251,1.4251,1.4251,1.4251,0,0
EURNAD,D,19850601,000000,1.4135,1.4135,1.4135,1.4135,0,0
EURNAD,D,19850610,000000,1.4563,1.4563,1.4563,1.4563,0,0
EURNAD,D,19850617,000000,1.4135,1.4135,1.4135,1.4135,0,0
EURNAD,D,19850624,000000,1.4258,1.4258,1.4258,1.4258,0,0
EURNAD,D,19850701,000000,1.4258,1.4258,1.4258,1.4258,0,0
EURNAD,D,19850708,000000,1.4203,1.4203,1.4203,1.4203,0,0
EURNAD,D,19850715,000000,1.415,1.415,1.415,1.415,0,0
EURNAD,D,19850723,000000,1.451,1.451,1.451,1.451,0,0
EURNAD,D,19850729,000000,1.5864,1.5864,1.5864,1.5864,0,0
EURNAD,D,19850805,000000,1.7386,1.7386,1.7386,1.7386,0,0
EURNAD,D,19850812,000000,1.5945,1.5945,1.5945,1.5945,0,0
EURNAD,D,19850819,000000,1.9198,1.9198,1.9198,1.9198,0,0
EURNAD,D,19850826,000000,2.0158,2.0158,2.0158,2.0158,0,0
EURNAD,D,19850902,000000,1.9994,1.9994,1.9994,1.9994,0,0
EURNAD,D,19850909,000000,2.0166,2.0166,2.0166,2.0166,0,0
EURNAD,D,19850916,000000,1.813,1.813,1.813,1.813,0,0
EURNAD,D,19850923,000000,1.9032,1.9032,1.9032,1.9032,0,0
EURNAD,D,19850930,000000,2.0666,2.0666,2.0666,2.0666,0,0
EURNAD,D,19851007,000000,2.1564,2.1564,2.1564,2.1564,0,0
EURNAD,D,19851014,000000,2.1736,2.1736,2.1736,2.1736,0,0
EURNAD,D,19851021,000000,2.1192,2.1192,2.1192,2.1192,0,0
EURNAD,D,19851028,000000,2.1736,2.1736,2.1736,2.1736,0,0
EURNAD,D,19851104,000000,2.204,2.204,2.204,2.204,0,0
EURNAD,D,19851111,000000,2.1531,2.1531,2.1531,2.1531,0,0
EURNAD,D,19851118,000000,2.2124,2.2124,2.2124,2.2124,0,0
EURNAD,D,19851125,000000,2.23,2.23,2.23,2.23,0,0
EURNAD,D,19851202,000000,2.3748,2.3748,2.3748,2.3748,0,0
EURNAD,D,19851209,000000,2.2651,2.2651,2.2651,2.2651,0,0
EURNAD,D,19851216,000000,2.2475,2.2475,2.2475,2.2475,0,0
EURNAD,D,19851223,000000,2.3063,2.3063,2.3063,2.3063,0,0
EURNAD,D,19860101,000000,2.3063,2.3063,2.3063,2.3063,0,0
EURNAD,D,19860106,000000,2.204,2.204,2.204,2.204,0,0
EURNAD,D,19860113,000000,2.0935,2.0935,2.0935,2.0935,0,0
EURNAD,D,19860120,000000,2.0618,2.0618,2.0618,2.0618,0,0
EURNAD,D,19860127,000000,1.9368,1.9368,1.9368,1.9368,0,0
EURNAD,D,19860201,000000,1.9795,1.9795,1.9795,1.9795,0,0
EURNAD,D,19860210,000000,1.9538,1.9538,1.9538,1.9538,0,0
EURNAD,D,19860217,000000,1.9666,1.9666,1.9666,1.9666,0,0
EURNAD,D,19860224,000000,1.7931,1.7931,1.7931,1.7931,0,0
EURNAD,D,19860301,000000,1.86,1.86,1.86,1.86,0,0
EURNAD,D,19860303,000000,1.8378,1.8378,1.8378,1.8378,0,0
EURNAD,D,19860310,000000,1.9074,1.9074,1.9074,1.9074,0,0
EURNAD,D,19860317,000000,1.8718,1.8718,1.8718,1.8718,0,0
EURNAD,D,19860318,000000,1.8718,1.8718,1.8718,1.8718,0,0
EURNAD,D,19860324,000000,1.979,1.979,1.979,1.979,0,0
EURNAD,D,19860401,000000,1.9792,1.9792,1.9792,1.9792,0,0
EURNAD,D,19860407,000000,1.9174,1.9174,1.9174,1.9174,0,0
EURNAD,D,19860409,000000,1.8707,1.8707,1.8707,1.8707,0,0
EURNAD,D,19860414,000000,1.8244,1.8244,1.8244,1.8244,0,0
EURNAD,D,19860421,000000,1.8144,1.8144,1.8144,1.8144,0,0
EURNAD,D,19860428,000000,1.9789,1.9789,1.9789,1.9789,0,0
EURNAD,D,19860505,000000,2.0164,2.0164,2.0164,2.0164,0,0
EURNAD,D,19860512,000000,2.017,2.017,2.017,2.017,0,0
EURNAD,D,19860519,000000,2.1821,2.1821,2.1821,2.1821,0,0
EURNAD,D,19860526,000000,2.1261,2.1261,2.1261,2.1261,0,0
EURNAD,D,19860602,000000,2.2374,2.2374,2.2374,2.2374,0,0
EURNAD,D,19860609,000000,2.4122,2.4122,2.4122,2.4122,0,0
EURNAD,D,19860616,000000,2.4817,2.4817,2.4817,2.4817,0,0
EURNAD,D,19860623,000000,2.4429,2.4429,2.4429,2.4429,0,0
EURNAD,D,19860630,000000,2.3335,2.3335,2.3335,2.3335,0,0
EURNAD,D,19860707,000000,2.4736,2.4736,2.4736,2.4736,0,0
EURNAD,D,19860714,000000,2.5534,2.5534,2.5534,2.5534,0,0
EURNAD,D,19860721,000000,2.4356,2.4356,2.4356,2.4356,0,0
EURNAD,D,19860728,000000,2.5441,2.5441,2.5441,2.5441,0,0
EURNAD,D,19860804,000000,2.5285,2.5285,2.5285,2.5285,0,0
EURNAD,D,19860811,000000,2.5441,2.5441,2.5441,2.5441,0,0
EURNAD,D,19860818,000000,2.6436,2.6436,2.6436,2.6436,0,0
EURNAD,D,19860825,000000,2.6436,2.6436,2.6436,2.6436,0,0
EURNAD,D,19860901,000000,2.6523,2.6523,2.6523,2.6523,0,0
EURNAD,D,19860908,000000,2.4405,2.4405,2.4405,2.4405,0,0
EURNAD,D,19860915,000000,2.3325,2.3325,2.3325,2.3325,0,0
EURNAD,D,19860922,000000,2.2397,2.2397,2.2397,2.2397,0,0
EURNAD,D,19860929,000000,2.2397,2.2397,2.2397,2.2397,0,0
EURNAD,D,19861006,000000,2.2507,2.2507,2.2507,2.2507,0,0
EURNAD,D,19861013,000000,2.2616,2.2616,2.2616,2.2616,0,0
EURNAD,D,19861020,000000,2.3242,2.3242,2.3242,2.3242,0,0
EURNAD,D,19861027,000000,2.3668,2.3668,2.3668,2.3668,0,0
EURNAD,D,19861101,000000,2.317,2.317,2.317,2.317,0,0
EURNAD,D,19861110,000000,2.2428,2.2428,2.2428,2.2428,0,0
EURNAD,D,19861117,000000,2.2649,2.2649,2.2649,2.2649,0,0
EURNAD,D,19861124,000000,2.3018,2.3018,2.3018,2.3018,0,0
