<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURSEK,D,19710104,000000,2.7651,2.7651,2.7651,2.7651,0,0
EURSEK,D,19710105,000000,2.762,2.762,2.762,2.762,0,0
EURSEK,D,19710106,000000,2.7638,2.7638,2.7638,2.7638,0,0
EURSEK,D,19710107,000000,2.7649,2.7649,2.7649,2.7649,0,0
EURSEK,D,19710108,000000,2.7618,2.7618,2.7618,2.7618,0,0
EURSEK,D,19710111,000000,2.7639,2.7639,2.7639,2.7639,0,0
EURSEK,D,19710112,000000,2.7668,2.7668,2.7668,2.7668,0,0
EURSEK,D,19710113,000000,2.7657,2.7657,2.7657,2.7657,0,0
EURSEK,D,19710114,000000,2.7641,2.7641,2.7641,2.7641,0,0
EURSEK,D,19710115,000000,2.7707,2.7707,2.7707,2.7707,0,0
EURSEK,D,19710118,000000,2.7695,2.7695,2.7695,2.7695,0,0
EURSEK,D,19710119,000000,2.7707,2.7707,2.7707,2.7707,0,0
EURSEK,D,19710120,000000,2.7694,2.7694,2.7694,2.7694,0,0
EURSEK,D,19710121,000000,2.7742,2.7742,2.7742,2.7742,0,0
EURSEK,D,19710122,000000,2.7713,2.7713,2.7713,2.7713,0,0
EURSEK,D,19710125,000000,2.7758,2.7758,2.7758,2.7758,0,0
EURSEK,D,19710126,000000,2.7745,2.7745,2.7745,2.7745,0,0
EURSEK,D,19710127,000000,2.773,2.773,2.773,2.773,0,0
EURSEK,D,19710128,000000,2.7749,2.7749,2.7749,2.7749,0,0
EURSEK,D,19710129,000000,2.7772,2.7772,2.7772,2.7772,0,0
EURSEK,D,19710201,000000,2.7807,2.7807,2.7807,2.7807,0,0
EURSEK,D,19710202,000000,2.7781,2.7781,2.7781,2.7781,0,0
EURSEK,D,19710203,000000,2.7789,2.7789,2.7789,2.7789,0,0
EURSEK,D,19710204,000000,2.7771,2.7771,2.7771,2.7771,0,0
EURSEK,D,19710205,000000,2.7822,2.7822,2.7822,2.7822,0,0
EURSEK,D,19710208,000000,2.7834,2.7834,2.7834,2.7834,0,0
EURSEK,D,19710209,000000,2.7842,2.7842,2.7842,2.7842,0,0
EURSEK,D,19710210,000000,2.784,2.784,2.784,2.784,0,0
EURSEK,D,19710211,000000,2.7777,2.7777,2.7777,2.7777,0,0
EURSEK,D,19710216,000000,2.7787,2.7787,2.7787,2.7787,0,0
EURSEK,D,19710217,000000,2.7799,2.7799,2.7799,2.7799,0,0
EURSEK,D,19710218,000000,2.7764,2.7764,2.7764,2.7764,0,0
EURSEK,D,19710219,000000,2.7792,2.7792,2.7792,2.7792,0,0
EURSEK,D,19710222,000000,2.7731,2.7731,2.7731,2.7731,0,0
EURSEK,D,19710223,000000,2.7709,2.7709,2.7709,2.7709,0,0
EURSEK,D,19710224,000000,2.7711,2.7711,2.7711,2.7711,0,0
