<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURSGD,D,19810102,000000,2.0668,2.0668,2.0668,2.0668,0,0
EURSGD,D,19810105,000000,2.093,2.093,2.093,2.093,0,0
EURSGD,D,19810106,000000,2.0964,2.0964,2.0964,2.0964,0,0
EURSGD,D,19810107,000000,2.0827,2.0827,2.0827,2.0827,0,0
EURSGD,D,19810108,000000,2.0677,2.0677,2.0677,2.0677,0,0
EURSGD,D,19810109,000000,2.0566,2.0566,2.0566,2.0566,0,0
EURSGD,D,19810112,000000,2.0467,2.0467,2.0467,2.0467,0,0
EURSGD,D,19810113,000000,2.0417,2.0417,2.0417,2.0417,0,0
EURSGD,D,19810114,000000,2.0433,2.0433,2.0433,2.0433,0,0
EURSGD,D,19810115,000000,2.0324,2.0324,2.0324,2.0324,0,0
EURSGD,D,19810116,000000,2.0202,2.0202,2.0202,2.0202,0,0
EURSGD,D,19810119,000000,2.0158,2.0158,2.0158,2.0158,0,0
EURSGD,D,19810120,000000,2.0203,2.0203,2.0203,2.0203,0,0
EURSGD,D,19810121,000000,2.0225,2.0225,2.0225,2.0225,0,0
EURSGD,D,19810122,000000,2.0027,2.0027,2.0027,2.0027,0,0
EURSGD,D,19810123,000000,1.9952,1.9952,1.9952,1.9952,0,0
EURSGD,D,19810126,000000,1.98,1.98,1.98,1.98,0,0
EURSGD,D,19810127,000000,1.9578,1.9578,1.9578,1.9578,0,0
EURSGD,D,19810128,000000,1.9386,1.9386,1.9386,1.9386,0,0
EURSGD,D,19810129,000000,1.9317,1.9317,1.9317,1.9317,0,0
EURSGD,D,19810130,000000,1.9099,1.9099,1.9099,1.9099,0,0
EURSGD,D,19810202,000000,1.9125,1.9125,1.9125,1.9125,0,0
EURSGD,D,19810203,000000,1.8999,1.8999,1.8999,1.8999,0,0
EURSGD,D,19810204,000000,1.9097,1.9097,1.9097,1.9097,0,0
EURSGD,D,19810205,000000,1.8839,1.8839,1.8839,1.8839,0,0
EURSGD,D,19810206,000000,1.8925,1.8925,1.8925,1.8925,0,0
EURSGD,D,19810209,000000,1.8919,1.8919,1.8919,1.8919,0,0
EURSGD,D,19810210,000000,1.8893,1.8893,1.8893,1.8893,0,0
EURSGD,D,19810211,000000,1.8841,1.8841,1.8841,1.8841,0,0
EURSGD,D,19810213,000000,1.8404,1.8404,1.8404,1.8404,0,0
EURSGD,D,19810217,000000,1.8619,1.8619,1.8619,1.8619,0,0
EURSGD,D,19810218,000000,1.8695,1.8695,1.8695,1.8695,0,0
EURSGD,D,19810219,000000,1.9146,1.9146,1.9146,1.9146,0,0
EURSGD,D,19810220,000000,1.9399,1.9399,1.9399,1.9399,0,0
EURSGD,D,19810223,000000,1.9318,1.9318,1.9318,1.9318,0,0
EURSGD,D,19810224,000000,1.9328,1.9328,1.9328,1.9328,0,0
EURSGD,D,19810225,000000,1.9423,1.9423,1.9423,1.9423,0,0
EURSGD,D,19810226,000000,1.9319,1.9319,1.9319,1.9319,0,0
EURSGD,D,19810227,000000,1.9245,1.9245,1.9245,1.9245,0,0
EURSGD,D,19810302,000000,1.9104,1.9104,1.9104,1.9104,0,0
EURSGD,D,19810303,000000,1.9117,1.9117,1.9117,1.9117,0,0
EURSGD,D,19810304,000000,1.9214,1.9214,1.9214,1.9214,0,0
EURSGD,D,19810305,000000,1.9247,1.9247,1.9247,1.9247,0,0
EURSGD,D,19810306,000000,1.9255,1.9255,1.9255,1.9255,0,0
EURSGD,D,19810309,000000,1.9461,1.9461,1.9461,1.9461,0,0
EURSGD,D,19810310,000000,1.9444,1.9444,1.9444,1.9444,0,0
EURSGD,D,19810311,000000,1.9356,1.9356,1.9356,1.9356,0,0
EURSGD,D,19810312,000000,1.9487,1.9487,1.9487,1.9487,0,0
EURSGD,D,19810313,000000,1.947,1.947,1.947,1.947,0,0
EURSGD,D,19810316,000000,1.9589,1.9589,1.9589,1.9589,0,0
EURSGD,D,19810317,000000,1.9616,1.9616,1.9616,1.9616,0,0
EURSGD,D,19810318,000000,1.9745,1.9745,1.9745,1.9745,0,0
EURSGD,D,19810319,000000,1.9837,1.9837,1.9837,1.9837,0,0
EURSGD,D,19810320,000000,1.969,1.969,1.969,1.969,0,0
EURSGD,D,19810323,000000,1.9614,1.9614,1.9614,1.9614,0,0
EURSGD,D,19810324,000000,1.9641,1.9641,1.9641,1.9641,0,0
EURSGD,D,19810325,000000,1.9555,1.9555,1.9555,1.9555,0,0
EURSGD,D,19810326,000000,1.9331,1.9331,1.9331,1.9331,0,0
EURSGD,D,19810327,000000,1.9191,1.9191,1.9191,1.9191,0,0
EURSGD,D,19810330,000000,1.9398,1.9398,1.9398,1.9398,0,0
EURSGD,D,19810331,000000,1.9322,1.9322,1.9322,1.9322,0,0
EURSGD,D,19810401,000000,1.9431,1.9431,1.9431,1.9431,0,0
EURSGD,D,19810402,000000,1.9331,1.9331,1.9331,1.9331,0,0
EURSGD,D,19810403,000000,1.9217,1.9217,1.9217,1.9217,0,0
EURSGD,D,19810406,000000,1.8982,1.8982,1.8982,1.8982,0,0
EURSGD,D,19810407,000000,1.9364,1.9364,1.9364,1.9364,0,0
EURSGD,D,19810408,000000,1.9216,1.9216,1.9216,1.9216,0,0
EURSGD,D,19810409,000000,1.9107,1.9107,1.9107,1.9107,0,0
EURSGD,D,19810410,000000,1.9048,1.9048,1.9048,1.9048,0,0
EURSGD,D,19810413,000000,1.8951,1.8951,1.8951,1.8951,0,0
EURSGD,D,19810414,000000,1.9043,1.9043,1.9043,1.9043,0,0
EURSGD,D,19810415,000000,1.8927,1.8927,1.8927,1.8927,0,0
EURSGD,D,19810416,000000,1.8837,1.8837,1.8837,1.8837,0,0
EURSGD,D,19810417,000000,1.8862,1.8862,1.8862,1.8862,0,0
EURSGD,D,19810420,000000,1.8927,1.8927,1.8927,1.8927,0,0
EURSGD,D,19810421,000000,1.8988,1.8988,1.8988,1.8988,0,0
EURSGD,D,19810422,000000,1.9124,1.9124,1.9124,1.9124,0,0
EURSGD,D,19810423,000000,1.9008,1.9008,1.9008,1.9008,0,0
EURSGD,D,19810424,000000,1.8987,1.8987,1.8987,1.8987,0,0
EURSGD,D,19810427,000000,1.8882,1.8882,1.8882,1.8882,0,0
EURSGD,D,19810428,000000,1.8855,1.8855,1.8855,1.8855,0,0
EURSGD,D,19810429,000000,1.8691,1.8691,1.8691,1.8691,0,0
EURSGD,D,19810430,000000,1.8705,1.8705,1.8705,1.8705,0,0
EURSGD,D,19810501,000000,1.8804,1.8804,1.8804,1.8804,0,0
EURSGD,D,19810504,000000,1.8514,1.8514,1.8514,1.8514,0,0
EURSGD,D,19810505,000000,1.8422,1.8422,1.8422,1.8422,0,0
EURSGD,D,19810506,000000,1.8467,1.8467,1.8467,1.8467,0,0
EURSGD,D,19810507,000000,1.8401,1.8401,1.8401,1.8401,0,0
EURSGD,D,19810508,000000,1.8438,1.8438,1.8438,1.8438,0,0
EURSGD,D,19810511,000000,1.8302,1.8302,1.8302,1.8302,0,0
EURSGD,D,19810512,000000,1.8299,1.8299,1.8299,1.8299,0,0
EURSGD,D,19810513,000000,1.8299,1.8299,1.8299,1.8299,0,0
EURSGD,D,19810514,000000,1.8228,1.8228,1.8228,1.8228,0,0
EURSGD,D,19810515,000000,1.8219,1.8219,1.8219,1.8219,0,0
EURSGD,D,19810518,000000,1.8224,1.8224,1.8224,1.8224,0,0
EURSGD,D,19810519,000000,1.8201,1.8201,1.8201,1.8201,0,0
EURSGD,D,19810520,000000,1.8212,1.8212,1.8212,1.8212,0,0
EURSGD,D,19810521,000000,1.8072,1.8072,1.8072,1.8072,0,0
EURSGD,D,19810522,000000,1.8157,1.8157,1.8157,1.8157,0,0
EURSGD,D,19810526,000000,1.8065,1.8065,1.8065,1.8065,0,0
EURSGD,D,19810527,000000,1.7971,1.7971,1.7971,1.7971,0,0
EURSGD,D,19810528,000000,1.8105,1.8105,1.8105,1.8105,0,0
EURSGD,D,19810529,000000,1.8045,1.8045,1.8045,1.8045,0,0
EURSGD,D,19810601,000000,1.799,1.799,1.799,1.799,0,0
EURSGD,D,19810602,000000,1.7734,1.7734,1.7734,1.7734,0,0
EURSGD,D,19810603,000000,1.7813,1.7813,1.7813,1.7813,0,0
EURSGD,D,19810604,000000,1.7531,1.7531,1.7531,1.7531,0,0
EURSGD,D,19810605,000000,1.7552,1.7552,1.7552,1.7552,0,0
EURSGD,D,19810608,000000,1.754,1.754,1.754,1.754,0,0
EURSGD,D,19810609,000000,1.7573,1.7573,1.7573,1.7573,0,0
EURSGD,D,19810610,000000,1.7711,1.7711,1.7711,1.7711,0,0
EURSGD,D,19810611,000000,1.7504,1.7504,1.7504,1.7504,0,0
EURSGD,D,19810612,000000,1.7528,1.7528,1.7528,1.7528,0,0
EURSGD,D,19810615,000000,1.769,1.769,1.769,1.769,0,0
EURSGD,D,19810616,000000,1.7662,1.7662,1.7662,1.7662,0,0
EURSGD,D,19810617,000000,1.7694,1.7694,1.7694,1.7694,0,0
EURSGD,D,19810618,000000,1.7528,1.7528,1.7528,1.7528,0,0
EURSGD,D,19810619,000000,1.7481,1.7481,1.7481,1.7481,0,0
EURSGD,D,19810622,000000,1.7601,1.7601,1.7601,1.7601,0,0
EURSGD,D,19810623,000000,1.7635,1.7635,1.7635,1.7635,0,0
EURSGD,D,19810624,000000,1.7494,1.7494,1.7494,1.7494,0,0
