<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURXAU,D,19840924,000000,20.822,20.822,20.822,20.822,0,0
EURXAU,D,19841001,000000,21.186,21.186,21.186,21.186,0,0
EURXAU,D,19841008,000000,21.18,21.18,21.18,21.18,0,0
EURXAU,D,19841015,000000,21.258,21.258,21.258,21.258,0,0
EURXAU,D,19841022,000000,20.827,20.827,20.827,20.827,0,0
EURXAU,D,19841029,000000,21.351,21.351,21.351,21.351,0,0
EURXAU,D,19841105,000000,20.781,20.781,20.781,20.781,0,0
EURXAU,D,19841112,000000,21.734,21.734,21.734,21.734,0,0
EURXAU,D,19841119,000000,21.964,21.964,21.964,21.964,0,0
EURXAU,D,19841126,000000,22.47,22.47,22.47,22.47,0,0
EURXAU,D,19841201,000000,22.024,22.024,22.024,22.024,0,0
EURXAU,D,19841210,000000,21.957,21.957,21.957,21.957,0,0
EURXAU,D,19841217,000000,22.808,22.808,22.808,22.808,0,0
EURXAU,D,19841224,000000,22.785,22.785,22.785,22.785,0,0
EURXAU,D,19850101,000000,22.526,22.526,22.526,22.526,0,0
EURXAU,D,19850107,000000,23.156,23.156,23.156,23.156,0,0
EURXAU,D,19850114,000000,23.427,23.427,23.427,23.427,0,0
EURXAU,D,19850121,000000,22.686,22.686,22.686,22.686,0,0
EURXAU,D,19850128,000000,22.851,22.851,22.851,22.851,0,0
EURXAU,D,19850204,000000,22.987,22.987,22.987,22.987,0,0
EURXAU,D,19850211,000000,22.481,22.481,22.481,22.481,0,0
EURXAU,D,19850218,000000,22.082,22.082,22.082,22.082,0,0
EURXAU,D,19850225,000000,23.718,23.718,23.718,23.718,0,0
EURXAU,D,19850304,000000,22.849,22.849,22.849,22.849,0,0
EURXAU,D,19850311,000000,22.165,22.165,22.165,22.165,0,0
EURXAU,D,19850318,000000,21.935,21.935,21.935,21.935,0,0
EURXAU,D,19850325,000000,21.006,21.006,21.006,21.006,0,0
EURXAU,D,19850329,000000,20.126,20.126,20.126,20.126,0,0
EURXAU,D,19850401,000000,22.029,22.029,22.029,22.029,0,0
EURXAU,D,19850409,000000,21.982,21.982,21.982,21.982,0,0
EURXAU,D,19850415,000000,21.328,21.328,21.328,21.328,0,0
EURXAU,D,19850422,000000,22.444,22.444,22.444,22.444,0,0
EURXAU,D,19850429,000000,22.56,22.56,22.56,22.56,0,0
EURXAU,D,19850506,000000,23.311,23.311,23.311,23.311,0,0
EURXAU,D,19850513,000000,21.272,21.272,21.272,21.272,0,0
EURXAU,D,19850520,000000,23.354,23.354,23.354,23.354,0,0
EURXAU,D,19850527,000000,23.466,23.466,23.466,23.466,0,0
EURXAU,D,19850601,000000,23.08,23.08,23.08,23.08,0,0
EURXAU,D,19850610,000000,23.283,23.283,23.283,23.283,0,0
EURXAU,D,19850617,000000,22.538,22.538,22.538,22.538,0,0
EURXAU,D,19850624,000000,23.168,23.168,23.168,23.168,0,0
EURXAU,D,19850701,000000,23.643,23.643,23.643,23.643,0,0
EURXAU,D,19850708,000000,23.289,23.289,23.289,23.289,0,0
EURXAU,D,19850715,000000,23.667,23.667,23.667,23.667,0,0
EURXAU,D,19850723,000000,24.507,24.507,24.507,24.507,0,0
EURXAU,D,19850729,000000,24.33,24.33,24.33,24.33,0,0
EURXAU,D,19850805,000000,23.929,23.929,23.929,23.929,0,0
EURXAU,D,19850812,000000,23.214,23.214,23.214,23.214,0,0
EURXAU,D,19850819,000000,23.192,23.192,23.192,23.192,0,0
EURXAU,D,19850826,000000,23.433,23.433,23.433,23.433,0,0
EURXAU,D,19850902,000000,23.325,23.325,23.325,23.325,0,0
EURXAU,D,19850909,000000,24.159,24.159,24.159,24.159,0,0
EURXAU,D,19850916,000000,23.332,23.332,23.332,23.332,0,0
EURXAU,D,19850923,000000,23.181,23.181,23.181,23.181,0,0
EURXAU,D,19850930,000000,25.019,25.019,25.019,25.019,0,0
EURXAU,D,19851007,000000,25.037,25.037,25.037,25.037,0,0
EURXAU,D,19851014,000000,25.438,25.438,25.438,25.438,0,0
EURXAU,D,19851021,000000,25.161,25.161,25.161,25.161,0,0
EURXAU,D,19851028,000000,25.505,25.505,25.505,25.505,0,0
EURXAU,D,19851104,000000,26.593,26.593,26.593,26.593,0,0
EURXAU,D,19851111,000000,26.011,26.011,26.011,26.011,0,0
EURXAU,D,19851118,000000,25.909,25.909,25.909,25.909,0,0
EURXAU,D,19851125,000000,25.4,25.4,25.4,25.4,0,0
EURXAU,D,19851202,000000,26.297,26.297,26.297,26.297,0,0
EURXAU,D,19851209,000000,27.211,27.211,27.211,27.211,0,0
EURXAU,D,19851216,000000,26.692,26.692,26.692,26.692,0,0
EURXAU,D,19851223,000000,26.585,26.585,26.585,26.585,0,0
EURXAU,D,19860101,000000,26.486,26.486,26.486,26.486,0,0
EURXAU,D,19860106,000000,26.826,26.826,26.826,26.826,0,0
EURXAU,D,19860113,000000,26.267,26.267,26.267,26.267,0,0
EURXAU,D,19860120,000000,24.916,24.916,24.916,24.916,0,0
EURXAU,D,19860127,000000,24.989,24.989,24.989,24.989,0,0
EURXAU,D,19860201,000000,25.43,25.43,25.43,25.43,0,0
EURXAU,D,19860210,000000,26.357,26.357,26.357,26.357,0,0
EURXAU,D,19860217,000000,26.751,26.751,26.751,26.751,0,0
EURXAU,D,19860224,000000,26.13,26.13,26.13,26.13,0,0
EURXAU,D,19860301,000000,26.992,26.992,26.992,26.992,0,0
EURXAU,D,19860303,000000,27.824,27.824,27.824,27.824,0,0
EURXAU,D,19860310,000000,28.386,28.386,28.386,28.386,0,0
EURXAU,D,19860317,000000,26.975,26.975,26.975,26.975,0,0
EURXAU,D,19860318,000000,27.014,27.014,27.014,27.014,0,0
EURXAU,D,19860324,000000,27.331,27.331,27.331,27.331,0,0
EURXAU,D,19860401,000000,27.888,27.888,27.888,27.888,0,0
EURXAU,D,19860407,000000,27.115,27.115,27.115,27.115,0,0
EURXAU,D,19860409,000000,27.139,27.139,27.139,27.139,0,0
EURXAU,D,19860414,000000,26.423,26.423,26.423,26.423,0,0
EURXAU,D,19860421,000000,26.749,26.749,26.749,26.749,0,0
EURXAU,D,19860428,000000,28.319,28.319,28.319,28.319,0,0
EURXAU,D,19860505,000000,28.654,28.654,28.654,28.654,0,0
EURXAU,D,19860512,000000,28.119,28.119,28.119,28.119,0,0
EURXAU,D,19860519,000000,28.963,28.963,28.963,28.963,0,0
EURXAU,D,19860526,000000,28.464,28.464,28.464,28.464,0,0
EURXAU,D,19860602,000000,27.347,27.347,27.347,27.347,0,0
EURXAU,D,19860609,000000,26.724,26.724,26.724,26.724,0,0
EURXAU,D,19860616,000000,28.482,28.482,28.482,28.482,0,0
EURXAU,D,19860623,000000,28.112,28.112,28.112,28.112,0,0
EURXAU,D,19860630,000000,27.73,27.73,27.73,27.73,0,0
EURXAU,D,19860707,000000,28.413,28.413,28.413,28.413,0,0
EURXAU,D,19860714,000000,28.367,28.367,28.367,28.367,0,0
EURXAU,D,19860721,000000,27.583,27.583,27.583,27.583,0,0
EURXAU,D,19860728,000000,28.113,28.113,28.113,28.113,0,0
EURXAU,D,19860804,000000,27.315,27.315,27.315,27.315,0,0
EURXAU,D,19860811,000000,25.325,25.325,25.325,25.325,0,0
EURXAU,D,19860818,000000,26.641,26.641,26.641,26.641,0,0
EURXAU,D,19860825,000000,26.378,26.378,26.378,26.378,0,0
EURXAU,D,19860901,000000,26.564,26.564,26.564,26.564,0,0
EURXAU,D,19860908,000000,24.918,24.918,24.918,24.918,0,0
EURXAU,D,19860915,000000,24.153,24.153,24.153,24.153,0,0
EURXAU,D,19860922,000000,23.032,23.032,23.032,23.032,0,0
EURXAU,D,19860929,000000,24.018,24.018,24.018,24.018,0,0
EURXAU,D,19861006,000000,23.269,23.269,23.269,23.269,0,0
EURXAU,D,19861013,000000,23.784,23.784,23.784,23.784,0,0
EURXAU,D,19861020,000000,24.407,24.407,24.407,24.407,0,0
EURXAU,D,19861027,000000,25.527,25.527,25.527,25.527,0,0
EURXAU,D,19861101,000000,24.963,24.963,24.963,24.963,0,0
EURXAU,D,19861110,000000,24.843,24.843,24.843,24.843,0,0
EURXAU,D,19861117,000000,26.338,26.338,26.338,26.338,0,0
EURXAU,D,19861124,000000,26.904,26.904,26.904,26.904,0,0
EURXAU,D,19861201,000000,26.078,26.078,26.078,26.078,0,0
EURXAU,D,19861208,000000,26.827,26.827,26.827,26.827,0,0
EURXAU,D,19861215,000000,26.02,26.02,26.02,26.02,0,0
EURXAU,D,19861222,000000,25.96,25.96,25.96,25.96,0,0
EURXAU,D,19861231,000000,25.99,25.99,25.99,25.99,0,0
EURXAU,D,19870112,000000,26.219,26.219,26.219,26.219,0,0
EURXAU,D,19870119,000000,25.869,25.869,25.869,25.869,0,0
EURXAU,D,19870126,000000,27.276,27.276,27.276,27.276,0,0
EURXAU,D,19870201,000000,27.494,27.494,27.494,27.494,0,0
EURXAU,D,19870209,000000,28.456,28.456,28.456,28.456,0,0
EURXAU,D,19870216,000000,27.868,27.868,27.868,27.868,0,0
EURXAU,D,19870223,000000,28.102,28.102,28.102,28.102,0,0
EURXAU,D,19870302,000000,27.682,27.682,27.682,27.682,0,0
EURXAU,D,19870309,000000,27.79,27.79,27.79,27.79,0,0
EURXAU,D,19870316,000000,27.468,27.468,27.468,27.468,0,0
EURXAU,D,19870323,000000,27.601,27.601,27.601,27.601,0,0
EURXAU,D,19870330,000000,26.928,26.928,26.928,26.928,0,0
EURXAU,D,19870406,000000,27.153,27.153,27.153,27.153,0,0
EURXAU,D,19870413,000000,25.882,25.882,25.882,25.882,0,0
EURXAU,D,19870421,000000,25.564,25.564,25.564,25.564,0,0
EURXAU,D,19870427,000000,25.806,25.806,25.806,25.806,0,0
EURXAU,D,19870504,000000,24.835,24.835,24.835,24.835,0,0
EURXAU,D,19870511,000000,25.694,25.694,25.694,25.694,0,0
EURXAU,D,19870518,000000,24.578,24.578,24.578,24.578,0,0
EURXAU,D,19870525,000000,24.649,24.649,24.649,24.649,0,0
EURXAU,D,19870601,000000,25.682,25.682,25.682,25.682,0,0
EURXAU,D,19870608,000000,25.019,25.019,25.019,25.019,0,0
EURXAU,D,19870615,000000,25.269,25.269,25.269,25.269,0,0
EURXAU,D,19870622,000000,25.868,25.868,25.868,25.868,0,0
EURXAU,D,19870629,000000,25.011,25.011,25.011,25.011,0,0
EURXAU,D,19870706,000000,25.164,25.164,25.164,25.164,0,0
EURXAU,D,19870713,000000,25.162,25.162,25.162,25.162,0,0
EURXAU,D,19870720,000000,24.944,24.944,24.944,24.944,0,0
