<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURZAR,D,19840924,000000,1.2194,1.2194,1.2194,1.2194,0,0
EURZAR,D,19841001,000000,1.2489,1.2489,1.2489,1.2489,0,0
EURZAR,D,19841008,000000,1.2376,1.2376,1.2376,1.2376,0,0
EURZAR,D,19841015,000000,1.3059,1.3059,1.3059,1.3059,0,0
EURZAR,D,19841022,000000,1.2795,1.2795,1.2795,1.2795,0,0
EURZAR,D,19841029,000000,1.4011,1.4011,1.4011,1.4011,0,0
EURZAR,D,19841105,000000,1.3122,1.3122,1.3122,1.3122,0,0
EURZAR,D,19841112,000000,1.3699,1.3699,1.3699,1.3699,0,0
EURZAR,D,19841119,000000,1.357,1.357,1.357,1.357,0,0
EURZAR,D,19841126,000000,1.3573,1.3573,1.3573,1.3573,0,0
EURZAR,D,19841201,000000,1.3313,1.3313,1.3313,1.3313,0,0
EURZAR,D,19841210,000000,1.3207,1.3207,1.3207,1.3207,0,0
EURZAR,D,19841217,000000,1.3799,1.3799,1.3799,1.3799,0,0
EURZAR,D,19841224,000000,1.4149,1.4149,1.4149,1.4149,0,0
EURZAR,D,19850101,000000,1.3993,1.3993,1.3993,1.3993,0,0
EURZAR,D,19850107,000000,1.4766,1.4766,1.4766,1.4766,0,0
EURZAR,D,19850114,000000,1.6054,1.6054,1.6054,1.6054,0,0
EURZAR,D,19850121,000000,1.5787,1.5787,1.5787,1.5787,0,0
EURZAR,D,19850128,000000,1.4945,1.4945,1.4945,1.4945,0,0
EURZAR,D,19850204,000000,1.4245,1.4245,1.4245,1.4245,0,0
EURZAR,D,19850211,000000,1.3043,1.3043,1.3043,1.3043,0,0
EURZAR,D,19850218,000000,1.2817,1.2817,1.2817,1.2817,0,0
EURZAR,D,19850225,000000,1.4594,1.4594,1.4594,1.4594,0,0
EURZAR,D,19850304,000000,1.3829,1.3829,1.3829,1.3829,0,0
EURZAR,D,19850311,000000,1.2896,1.2896,1.2896,1.2896,0,0
EURZAR,D,19850318,000000,1.3328,1.3328,1.3328,1.3328,0,0
EURZAR,D,19850325,000000,1.3424,1.3424,1.3424,1.3424,0,0
EURZAR,D,19850329,000000,1.2711,1.2711,1.2711,1.2711,0,0
EURZAR,D,19850401,000000,1.3798,1.3798,1.3798,1.3798,0,0
EURZAR,D,19850409,000000,1.427,1.427,1.427,1.427,0,0
