<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GBPKRW,D,19840109,000000,11.297,11.297,11.297,11.297,0,0
GBPKRW,D,19840116,000000,11.179,11.179,11.179,11.179,0,0
GBPKRW,D,19840123,000000,11.333,11.333,11.333,11.333,0,0
GBPKRW,D,19840130,000000,11.182,11.182,11.182,11.182,0,0
GBPKRW,D,19840206,000000,11.225,11.225,11.225,11.225,0,0
GBPKRW,D,19840213,000000,11.223,11.223,11.223,11.223,0,0
GBPKRW,D,19840220,000000,11.346,11.346,11.346,11.346,0,0
GBPKRW,D,19840301,000000,11.572,11.572,11.572,11.572,0,0
GBPKRW,D,19840305,000000,11.831,11.831,11.831,11.831,0,0
GBPKRW,D,19840312,000000,11.835,11.835,11.835,11.835,0,0
GBPKRW,D,19840319,000000,11.756,11.756,11.756,11.756,0,0
GBPKRW,D,19840326,000000,11.506,11.506,11.506,11.506,0,0
GBPKRW,D,19840402,000000,11.52,11.52,11.52,11.52,0,0
GBPKRW,D,19840409,000000,11.397,11.397,11.397,11.397,0,0
GBPKRW,D,19840416,000000,11.412,11.412,11.412,11.412,0,0
GBPKRW,D,19840424,000000,11.295,11.295,11.295,11.295,0,0
GBPKRW,D,19840502,000000,11.339,11.339,11.339,11.339,0,0
GBPKRW,D,19840507,000000,11.144,11.144,11.144,11.144,0,0
GBPKRW,D,19840514,000000,11.217,11.217,11.217,11.217,0,0
GBPKRW,D,19840521,000000,11.169,11.169,11.169,11.169,0,0
GBPKRW,D,19840528,000000,11.205,11.205,11.205,11.205,0,0
GBPKRW,D,19840604,000000,11.04,11.04,11.04,11.04,0,0
GBPKRW,D,19840611,000000,11.253,11.253,11.253,11.253,0,0
GBPKRW,D,19840618,000000,11.109,11.109,11.109,11.109,0,0
GBPKRW,D,19840625,000000,11.105,11.105,11.105,11.105,0,0
GBPKRW,D,19840702,000000,10.874,10.874,10.874,10.874,0,0
GBPKRW,D,19840709,000000,10.875,10.875,10.875,10.875,0,0
GBPKRW,D,19840716,000000,10.662,10.662,10.662,10.662,0,0
GBPKRW,D,19840723,000000,10.724,10.724,10.724,10.724,0,0
GBPKRW,D,19840730,000000,10.73,10.73,10.73,10.73,0,0
GBPKRW,D,19840806,000000,10.647,10.647,10.647,10.647,0,0
GBPKRW,D,19840813,000000,10.701,10.701,10.701,10.701,0,0
