<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GBPPHP,D,19931025,000000,42.956,42.956,42.956,42.956,0,0
GBPPHP,D,19931026,000000,43.062,43.062,43.062,43.062,0,0
GBPPHP,D,19931027,000000,42.777,42.777,42.777,42.777,0,0
GBPPHP,D,19931028,000000,42.976,42.976,42.976,42.976,0,0
GBPPHP,D,19931029,000000,42.332,42.332,42.332,42.332,0,0
GBPPHP,D,19931102,000000,42.529,42.529,42.529,42.529,0,0
GBPPHP,D,19931103,000000,42.301,42.301,42.301,42.301,0,0
GBPPHP,D,19931104,000000,42.187,42.187,42.187,42.187,0,0
GBPPHP,D,19931105,000000,41.963,41.963,41.963,41.963,0,0
GBPPHP,D,19931108,000000,41.126,41.126,41.126,41.126,0,0
GBPPHP,D,19931109,000000,41.166,41.166,41.166,41.166,0,0
GBPPHP,D,19931110,000000,41.054,41.054,41.054,41.054,0,0
GBPPHP,D,19931112,000000,40.896,40.896,40.896,40.896,0,0
GBPPHP,D,19931115,000000,41.52,41.52,41.52,41.52,0,0
GBPPHP,D,19931116,000000,42.05,42.05,42.05,42.05,0,0
GBPPHP,D,19931117,000000,42.255,42.255,42.255,42.255,0,0
GBPPHP,D,19931118,000000,41.926,41.926,41.926,41.926,0,0
GBPPHP,D,19931119,000000,41.985,41.985,41.985,41.985,0,0
GBPPHP,D,19931122,000000,41.899,41.899,41.899,41.899,0,0
GBPPHP,D,19931123,000000,41.917,41.917,41.917,41.917,0,0
GBPPHP,D,19931124,000000,41.741,41.741,41.741,41.741,0,0
GBPPHP,D,19931125,000000,41.827,41.827,41.827,41.827,0,0
GBPPHP,D,19931126,000000,41.756,41.756,41.756,41.756,0,0
GBPPHP,D,19931129,000000,41.208,41.208,41.208,41.208,0,0
GBPPHP,D,19931130,000000,41.133,41.133,41.133,41.133,0,0
GBPPHP,D,19931201,000000,41.323,41.323,41.323,41.323,0,0
GBPPHP,D,19931202,000000,40.792,40.792,40.792,40.792,0,0
GBPPHP,D,19931203,000000,40.846,40.846,40.846,40.846,0,0
GBPPHP,D,19931206,000000,41.013,41.013,41.013,41.013,0,0
GBPPHP,D,19931207,000000,41.219,41.219,41.219,41.219,0,0
GBPPHP,D,19931208,000000,41.279,41.279,41.279,41.279,0,0
GBPPHP,D,19931209,000000,41.032,41.032,41.032,41.032,0,0
GBPPHP,D,19931210,000000,41.178,41.178,41.178,41.178,0,0
GBPPHP,D,19931213,000000,41.337,41.337,41.337,41.337,0,0
GBPPHP,D,19931214,000000,41.384,41.384,41.384,41.384,0,0
GBPPHP,D,19931215,000000,41.237,41.237,41.237,41.237,0,0
GBPPHP,D,19931216,000000,41.141,41.141,41.141,41.141,0,0
GBPPHP,D,19931217,000000,41.13,41.13,41.13,41.13,0,0
GBPPHP,D,19931220,000000,41.264,41.264,41.264,41.264,0,0
GBPPHP,D,19931221,000000,40.864,40.864,40.864,40.864,0,0
GBPPHP,D,19931222,000000,40.91,40.91,40.91,40.91,0,0
GBPPHP,D,19931223,000000,40.847,40.847,40.847,40.847,0,0
GBPPHP,D,19931224,000000,41.059,41.059,41.059,41.059,0,0
GBPPHP,D,19931227,000000,41.195,41.195,41.195,41.195,0,0
GBPPHP,D,19931228,000000,41.135,41.135,41.135,41.135,0,0
GBPPHP,D,19931229,000000,41.242,41.242,41.242,41.242,0,0
GBPPHP,D,19931230,000000,41.056,41.056,41.056,41.056,0,0
GBPPHP,D,19931231,000000,40.567,40.567,40.567,40.567,0,0
GBPPHP,D,19940103,000000,40.658,40.658,40.658,40.658,0,0
GBPPHP,D,19940104,000000,40.734,40.734,40.734,40.734,0,0
GBPPHP,D,19940105,000000,40.748,40.748,40.748,40.748,0,0
GBPPHP,D,19940106,000000,40.867,40.867,40.867,40.867,0,0
GBPPHP,D,19940107,000000,40.82,40.82,40.82,40.82,0,0
GBPPHP,D,19940110,000000,40.651,40.651,40.651,40.651,0,0
GBPPHP,D,19940111,000000,40.889,40.889,40.889,40.889,0,0
GBPPHP,D,19940112,000000,40.815,40.815,40.815,40.815,0,0
