<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKDCZK,D,19951023,000000,3.3518,3.3518,3.3518,3.3518,0,0
HKDCZK,D,19951024,000000,3.3482,3.3482,3.3482,3.3482,0,0
HKDCZK,D,19951025,000000,3.36,3.36,3.36,3.36,0,0
HKDCZK,D,19951026,000000,3.358,3.358,3.358,3.358,0,0
HKDCZK,D,19951027,000000,3.3585,3.3585,3.3585,3.3585,0,0
HKDCZK,D,19951030,000000,3.3871,3.3871,3.3871,3.3871,0,0
HKDCZK,D,19951031,000000,3.3872,3.3872,3.3872,3.3872,0,0
HKDCZK,D,19951102,000000,3.3997,3.3997,3.3997,3.3997,0,0
HKDCZK,D,19951103,000000,3.3939,3.3939,3.3939,3.3939,0,0
HKDCZK,D,19951106,000000,3.3901,3.3901,3.3901,3.3901,0,0
HKDCZK,D,19951107,000000,3.3927,3.3927,3.3927,3.3927,0,0
HKDCZK,D,19951108,000000,3.3948,3.3948,3.3948,3.3948,0,0
HKDCZK,D,19951109,000000,3.407,3.407,3.407,3.407,0,0
HKDCZK,D,19951110,000000,3.3871,3.3871,3.3871,3.3871,0,0
HKDCZK,D,19951113,000000,3.3856,3.3856,3.3856,3.3856,0,0
HKDCZK,D,19951114,000000,3.3996,3.3996,3.3996,3.3996,0,0
HKDCZK,D,19951115,000000,3.3753,3.3753,3.3753,3.3753,0,0
HKDCZK,D,19951116,000000,3.3814,3.3814,3.3814,3.3814,0,0
HKDCZK,D,19951117,000000,3.3762,3.3762,3.3762,3.3762,0,0
HKDCZK,D,19951120,000000,3.3947,3.3947,3.3947,3.3947,0,0
HKDCZK,D,19951121,000000,3.3831,3.3831,3.3831,3.3831,0,0
HKDCZK,D,19951122,000000,3.3827,3.3827,3.3827,3.3827,0,0
HKDCZK,D,19951123,000000,3.3843,3.3843,3.3843,3.3843,0,0
HKDCZK,D,19951124,000000,3.3887,3.3887,3.3887,3.3887,0,0
HKDCZK,D,19951127,000000,3.4271,3.4271,3.4271,3.4271,0,0
HKDCZK,D,19951128,000000,3.4286,3.4286,3.4286,3.4286,0,0
HKDCZK,D,19951129,000000,3.4277,3.4277,3.4277,3.4277,0,0
HKDCZK,D,19951130,000000,3.4245,3.4245,3.4245,3.4245,0,0
HKDCZK,D,19951201,000000,3.446,3.446,3.446,3.446,0,0
HKDCZK,D,19951204,000000,3.4292,3.4292,3.4292,3.4292,0,0
HKDCZK,D,19951205,000000,3.4275,3.4275,3.4275,3.4275,0,0
HKDCZK,D,19951206,000000,3.4272,3.4272,3.4272,3.4272,0,0
HKDCZK,D,19951207,000000,3.4291,3.4291,3.4291,3.4291,0,0
HKDCZK,D,19951208,000000,3.4392,3.4392,3.4392,3.4392,0,0
HKDCZK,D,19951211,000000,3.4345,3.4345,3.4345,3.4345,0,0
HKDCZK,D,19951212,000000,3.4381,3.4381,3.4381,3.4381,0,0
HKDCZK,D,19951213,000000,3.446,3.446,3.446,3.446,0,0
HKDCZK,D,19951214,000000,3.446,3.446,3.446,3.446,0,0
HKDCZK,D,19951215,000000,3.4376,3.4376,3.4376,3.4376,0,0
HKDCZK,D,19951218,000000,3.4334,3.4334,3.4334,3.4334,0,0
HKDCZK,D,19951219,000000,3.4325,3.4325,3.4325,3.4325,0,0
HKDCZK,D,19951220,000000,3.4594,3.4594,3.4594,3.4594,0,0
HKDCZK,D,19951221,000000,3.4479,3.4479,3.4479,3.4479,0,0
HKDCZK,D,19951222,000000,3.4535,3.4535,3.4535,3.4535,0,0
HKDCZK,D,19951227,000000,3.4531,3.4531,3.4531,3.4531,0,0
HKDCZK,D,19951228,000000,3.4396,3.4396,3.4396,3.4396,0,0
HKDCZK,D,19951229,000000,3.4473,3.4473,3.4473,3.4473,0,0
HKDCZK,D,19960102,000000,3.4437,3.4437,3.4437,3.4437,0,0
