<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKDEUR,D,19840924,000000,17.419,17.419,17.419,17.419,0,0
HKDEUR,D,19841001,000000,17.188,17.188,17.188,17.188,0,0
HKDEUR,D,19841008,000000,17.376,17.376,17.376,17.376,0,0
HKDEUR,D,19841015,000000,17.413,17.413,17.413,17.413,0,0
HKDEUR,D,19841022,000000,17.909,17.909,17.909,17.909,0,0
HKDEUR,D,19841029,000000,17.706,17.706,17.706,17.706,0,0
HKDEUR,D,19841105,000000,17.578,17.578,17.578,17.578,0,0
HKDEUR,D,19841112,000000,16.895,16.895,16.895,16.895,0,0
HKDEUR,D,19841119,000000,16.898,16.898,16.898,16.898,0,0
HKDEUR,D,19841126,000000,17.184,17.184,17.184,17.184,0,0
HKDEUR,D,19841201,000000,17.502,17.502,17.502,17.502,0,0
HKDEUR,D,19841210,000000,17.667,17.667,17.667,17.667,0,0
HKDEUR,D,19841217,000000,17.679,17.679,17.679,17.679,0,0
HKDEUR,D,19841224,000000,17.696,17.696,17.696,17.696,0,0
HKDEUR,D,19850101,000000,17.866,17.866,17.866,17.866,0,0
HKDEUR,D,19850107,000000,18.21,18.21,18.21,18.21,0,0
HKDEUR,D,19850114,000000,18.015,18.015,18.015,18.015,0,0
HKDEUR,D,19850121,000000,18.303,18.303,18.303,18.303,0,0
HKDEUR,D,19850128,000000,18.296,18.296,18.296,18.296,0,0
HKDEUR,D,19850204,000000,18.241,18.241,18.241,18.241,0,0
HKDEUR,D,19850211,000000,18.496,18.496,18.496,18.496,0,0
HKDEUR,D,19850218,000000,18.905,18.905,18.905,18.905,0,0
HKDEUR,D,19850225,000000,19.051,19.051,19.051,19.051,0,0
HKDEUR,D,19850304,000000,19.247,19.247,19.247,19.247,0,0
HKDEUR,D,19850311,000000,19.902,19.902,19.902,19.902,0,0
HKDEUR,D,19850318,000000,19.264,19.264,19.264,19.264,0,0
HKDEUR,D,19850325,000000,19.074,19.074,19.074,19.074,0,0
HKDEUR,D,19850329,000000,19.075,19.075,19.075,19.075,0,0
HKDEUR,D,19850401,000000,18.043,18.043,18.043,18.043,0,0
HKDEUR,D,19850409,000000,17.823,17.823,17.823,17.823,0,0
HKDEUR,D,19850415,000000,18.048,18.048,18.048,18.048,0,0
HKDEUR,D,19850422,000000,17.368,17.368,17.368,17.368,0,0
HKDEUR,D,19850429,000000,17.432,17.432,17.432,17.432,0,0
HKDEUR,D,19850506,000000,17.749,17.749,17.749,17.749,0,0
HKDEUR,D,19850513,000000,18.553,18.553,18.553,18.553,0,0
HKDEUR,D,19850520,000000,17.547,17.547,17.547,17.547,0,0
HKDEUR,D,19850527,000000,17.463,17.463,17.463,17.463,0,0
HKDEUR,D,19850601,000000,17.791,17.791,17.791,17.791,0,0
HKDEUR,D,19850610,000000,17.397,17.397,17.397,17.397,0,0
HKDEUR,D,19850617,000000,17.777,17.777,17.777,17.777,0,0
HKDEUR,D,19850624,000000,17.444,17.444,17.444,17.444,0,0
HKDEUR,D,19850701,000000,17.571,17.571,17.571,17.571,0,0
HKDEUR,D,19850708,000000,17.511,17.511,17.511,17.511,0,0
HKDEUR,D,19850715,000000,17.158,17.158,17.158,17.158,0,0
HKDEUR,D,19850723,000000,16.541,16.541,16.541,16.541,0,0
HKDEUR,D,19850729,000000,16.383,16.383,16.383,16.383,0,0
HKDEUR,D,19850805,000000,16.252,16.252,16.252,16.252,0,0
HKDEUR,D,19850812,000000,16.524,16.524,16.524,16.524,0,0
HKDEUR,D,19850819,000000,15.974,15.974,15.974,15.974,0,0
HKDEUR,D,19850826,000000,15.943,15.943,15.943,15.943,0,0
HKDEUR,D,19850902,000000,16.017,16.017,16.017,16.017,0,0
HKDEUR,D,19850909,000000,16.282,16.282,16.282,16.282,0,0
HKDEUR,D,19850916,000000,16.849,16.849,16.849,16.849,0,0
HKDEUR,D,19850923,000000,16.681,16.681,16.681,16.681,0,0
HKDEUR,D,19850930,000000,15.757,15.757,15.757,15.757,0,0
HKDEUR,D,19851007,000000,15.526,15.526,15.526,15.526,0,0
HKDEUR,D,19851014,000000,15.337,15.337,15.337,15.337,0,0
HKDEUR,D,19851021,000000,15.501,15.501,15.501,15.501,0,0
HKDEUR,D,19851028,000000,15.259,15.259,15.259,15.259,0,0
HKDEUR,D,19851104,000000,14.715,14.715,14.715,14.715,0,0
HKDEUR,D,19851111,000000,15.165,15.165,15.165,15.165,0,0
HKDEUR,D,19851118,000000,15.215,15.215,15.215,15.215,0,0
HKDEUR,D,19851125,000000,15.147,15.147,15.147,15.147,0,0
HKDEUR,D,19851202,000000,14.93,14.93,14.93,14.93,0,0
HKDEUR,D,19851209,000000,14.753,14.753,14.753,14.753,0,0
HKDEUR,D,19851216,000000,14.803,14.803,14.803,14.803,0,0
HKDEUR,D,19851223,000000,14.709,14.709,14.709,14.709,0,0
HKDEUR,D,19860101,000000,14.764,14.764,14.764,14.764,0,0
HKDEUR,D,19860106,000000,14.416,14.416,14.416,14.416,0,0
HKDEUR,D,19860113,000000,14.258,14.258,14.258,14.258,0,0
HKDEUR,D,19860120,000000,14.455,14.455,14.455,14.455,0,0
HKDEUR,D,19860127,000000,14.445,14.445,14.445,14.445,0,0
HKDEUR,D,19860201,000000,14.233,14.233,14.233,14.233,0,0
HKDEUR,D,19860210,000000,14.276,14.276,14.276,14.276,0,0
HKDEUR,D,19860217,000000,14.085,14.085,14.085,14.085,0,0
HKDEUR,D,19860224,000000,14,14,14,14,0,0
HKDEUR,D,19860301,000000,13.544,13.544,13.544,13.544,0,0
HKDEUR,D,19860303,000000,13.544,13.544,13.544,13.544,0,0
HKDEUR,D,19860310,000000,13.123,13.123,13.123,13.123,0,0
HKDEUR,D,19860317,000000,13.542,13.542,13.542,13.542,0,0
HKDEUR,D,19860318,000000,13.542,13.542,13.542,13.542,0,0
HKDEUR,D,19860324,000000,13.302,13.302,13.302,13.302,0,0
HKDEUR,D,19860401,000000,13.635,13.635,13.635,13.635,0,0
HKDEUR,D,19860407,000000,13.78,13.78,13.78,13.78,0,0
HKDEUR,D,19860409,000000,13.78,13.78,13.78,13.78,0,0
HKDEUR,D,19860414,000000,14.118,14.118,14.118,14.118,0,0
HKDEUR,D,19860421,000000,13.904,13.904,13.904,13.904,0,0
HKDEUR,D,19860428,000000,13.138,13.138,13.138,13.138,0,0
HKDEUR,D,19860505,000000,12.983,12.983,12.983,12.983,0,0
HKDEUR,D,19860512,000000,13.163,13.163,13.163,13.163,0,0
HKDEUR,D,19860519,000000,12.977,12.977,12.977,12.977,0,0
HKDEUR,D,19860526,000000,13.187,13.187,13.187,13.187,0,0
HKDEUR,D,19860602,000000,13.533,13.533,13.533,13.533,0,0
HKDEUR,D,19860609,000000,13.492,13.492,13.492,13.492,0,0
HKDEUR,D,19860616,000000,13.303,13.303,13.303,13.303,0,0
HKDEUR,D,19860623,000000,13.25,13.25,13.25,13.25,0,0
HKDEUR,D,19860630,000000,13.263,13.263,13.263,13.263,0,0
HKDEUR,D,19860707,000000,13.029,13.029,13.029,13.029,0,0
HKDEUR,D,19860714,000000,13.031,13.031,13.031,13.031,0,0
HKDEUR,D,19860721,000000,13.055,13.055,13.055,13.055,0,0
HKDEUR,D,19860728,000000,12.844,12.844,12.844,12.844,0,0
HKDEUR,D,19860804,000000,12.808,12.808,12.808,12.808,0,0
