<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKDJPY,D,19840109,000000,30.123,30.123,30.123,30.123,0,0
HKDJPY,D,19840116,000000,29.939,29.939,29.939,29.939,0,0
HKDJPY,D,19840123,000000,30.066,30.066,30.066,30.066,0,0
HKDJPY,D,19840130,000000,30.01,30.01,30.01,30.01,0,0
HKDJPY,D,19840206,000000,30.109,30.109,30.109,30.109,0,0
HKDJPY,D,19840213,000000,30.123,30.123,30.123,30.123,0,0
HKDJPY,D,19840220,000000,30.064,30.064,30.064,30.064,0,0
HKDJPY,D,19840301,000000,29.911,29.911,29.911,29.911,0,0
HKDJPY,D,19840305,000000,29.921,29.921,29.921,29.921,0,0
HKDJPY,D,19840312,000000,28.619,28.619,28.619,28.619,0,0
HKDJPY,D,19840319,000000,28.542,28.542,28.542,28.542,0,0
HKDJPY,D,19840326,000000,28.848,28.848,28.848,28.848,0,0
HKDJPY,D,19840402,000000,28.789,28.789,28.789,28.789,0,0
HKDJPY,D,19840409,000000,28.836,28.836,28.836,28.836,0,0
HKDJPY,D,19840416,000000,28.813,28.813,28.813,28.813,0,0
HKDJPY,D,19840424,000000,28.882,28.882,28.882,28.882,0,0
HKDJPY,D,19840502,000000,28.834,28.834,28.834,28.834,0,0
HKDJPY,D,19840507,000000,29.057,29.057,29.057,29.057,0,0
HKDJPY,D,19840514,000000,29.176,29.176,29.176,29.176,0,0
HKDJPY,D,19840521,000000,29.51,29.51,29.51,29.51,0,0
HKDJPY,D,19840528,000000,29.813,29.813,29.813,29.813,0,0
HKDJPY,D,19840604,000000,29.676,29.676,29.676,29.676,0,0
HKDJPY,D,19840611,000000,29.32,29.32,29.32,29.32,0,0
HKDJPY,D,19840618,000000,29.744,29.744,29.744,29.744,0,0
HKDJPY,D,19840625,000000,29.763,29.763,29.763,29.763,0,0
HKDJPY,D,19840702,000000,30.355,30.355,30.355,30.355,0,0
HKDJPY,D,19840709,000000,30.368,30.368,30.368,30.368,0,0
HKDJPY,D,19840716,000000,30.72,30.72,30.72,30.72,0,0
HKDJPY,D,19840723,000000,30.948,30.948,30.948,30.948,0,0
HKDJPY,D,19840730,000000,31.427,31.427,31.427,31.427,0,0
HKDJPY,D,19840806,000000,31.176,31.176,31.176,31.176,0,0
HKDJPY,D,19840813,000000,30.988,30.988,30.988,30.988,0,0
HKDJPY,D,19840820,000000,30.875,30.875,30.875,30.875,0,0
HKDJPY,D,19840827,000000,30.782,30.782,30.782,30.782,0,0
HKDJPY,D,19840901,000000,30.742,30.742,30.742,30.742,0,0
HKDJPY,D,19840910,000000,31.06,31.06,31.06,31.06,0,0
HKDJPY,D,19840917,000000,31.219,31.219,31.219,31.219,0,0
HKDJPY,D,19840924,000000,31.538,31.538,31.538,31.538,0,0
HKDJPY,D,19841001,000000,31.488,31.488,31.488,31.488,0,0
HKDJPY,D,19841008,000000,31.373,31.373,31.373,31.373,0,0
HKDJPY,D,19841015,000000,31.656,31.656,31.656,31.656,0,0
HKDJPY,D,19841022,000000,31.821,31.821,31.821,31.821,0,0
HKDJPY,D,19841029,000000,31.384,31.384,31.384,31.384,0,0
HKDJPY,D,19841105,000000,31.458,31.458,31.458,31.458,0,0
HKDJPY,D,19841112,000000,31.091,31.091,31.091,31.091,0,0
HKDJPY,D,19841119,000000,30.632,30.632,30.632,30.632,0,0
HKDJPY,D,19841126,000000,31.25,31.25,31.25,31.25,0,0
HKDJPY,D,19841201,000000,31.507,31.507,31.507,31.507,0,0
HKDJPY,D,19841210,000000,31.55,31.55,31.55,31.55,0,0
HKDJPY,D,19841217,000000,31.495,31.495,31.495,31.495,0,0
HKDJPY,D,19841224,000000,31.507,31.507,31.507,31.507,0,0
HKDJPY,D,19850101,000000,31.598,31.598,31.598,31.598,0,0
HKDJPY,D,19850107,000000,32.276,32.276,32.276,32.276,0,0
HKDJPY,D,19850114,000000,32.418,32.418,32.418,32.418,0,0
HKDJPY,D,19850121,000000,32.583,32.583,32.583,32.583,0,0
HKDJPY,D,19850128,000000,32.5,32.5,32.5,32.5,0,0
HKDJPY,D,19850204,000000,32.523,32.523,32.523,32.523,0,0
HKDJPY,D,19850211,000000,33.259,33.259,33.259,33.259,0,0
HKDJPY,D,19850218,000000,33.712,33.712,33.712,33.712,0,0
HKDJPY,D,19850225,000000,33.45,33.45,33.45,33.45,0,0
HKDJPY,D,19850304,000000,33.114,33.114,33.114,33.114,0,0
HKDJPY,D,19850311,000000,33.627,33.627,33.627,33.627,0,0
HKDJPY,D,19850318,000000,33.278,33.278,33.278,33.278,0,0
HKDJPY,D,19850325,000000,33.198,33.198,33.198,33.198,0,0
HKDJPY,D,19850329,000000,32.43,32.43,32.43,32.43,0,0
HKDJPY,D,19850401,000000,32.4,32.4,32.4,32.4,0,0
HKDJPY,D,19850409,000000,32.436,32.436,32.436,32.436,0,0
HKDJPY,D,19850415,000000,32.729,32.729,32.729,32.729,0,0
HKDJPY,D,19850422,000000,32.193,32.193,32.193,32.193,0,0
HKDJPY,D,19850429,000000,31.94,31.94,31.94,31.94,0,0
HKDJPY,D,19850506,000000,32.377,32.377,32.377,32.377,0,0
HKDJPY,D,19850513,000000,32.706,32.706,32.706,32.706,0,0
HKDJPY,D,19850520,000000,32.151,32.151,32.151,32.151,0,0
HKDJPY,D,19850527,000000,32.122,32.122,32.122,32.122,0,0
HKDJPY,D,19850601,000000,32.38,32.38,32.38,32.38,0,0
HKDJPY,D,19850610,000000,32.176,32.176,32.176,32.176,0,0
HKDJPY,D,19850617,000000,32.228,32.228,32.228,32.228,0,0
HKDJPY,D,19850624,000000,31.838,31.838,31.838,31.838,0,0
HKDJPY,D,19850701,000000,32.05,32.05,32.05,32.05,0,0
HKDJPY,D,19850708,000000,32.06,32.06,32.06,32.06,0,0
HKDJPY,D,19850715,000000,31.858,31.858,31.858,31.858,0,0
HKDJPY,D,19850723,000000,30.741,30.741,30.741,30.741,0,0
HKDJPY,D,19850729,000000,30.724,30.724,30.724,30.724,0,0
HKDJPY,D,19850805,000000,30.603,30.603,30.603,30.603,0,0
HKDJPY,D,19850812,000000,30.729,30.729,30.729,30.729,0,0
HKDJPY,D,19850819,000000,30.331,30.331,30.331,30.331,0,0
HKDJPY,D,19850826,000000,30.44,30.44,30.44,30.44,0,0
HKDJPY,D,19850902,000000,30.359,30.359,30.359,30.359,0,0
HKDJPY,D,19850909,000000,30.519,30.519,30.519,30.519,0,0
HKDJPY,D,19850916,000000,30.973,30.973,30.973,30.973,0,0
HKDJPY,D,19850923,000000,31.162,31.162,31.162,31.162,0,0
HKDJPY,D,19850930,000000,29.742,29.742,29.742,29.742,0,0
HKDJPY,D,19851007,000000,27.854,27.854,27.854,27.854,0,0
HKDJPY,D,19851014,000000,27.694,27.694,27.694,27.694,0,0
HKDJPY,D,19851021,000000,27.774,27.774,27.774,27.774,0,0
HKDJPY,D,19851028,000000,27.547,27.547,27.547,27.547,0,0
HKDJPY,D,19851104,000000,27.211,27.211,27.211,27.211,0,0
HKDJPY,D,19851111,000000,26.693,26.693,26.693,26.693,0,0
HKDJPY,D,19851118,000000,26.312,26.312,26.312,26.312,0,0
HKDJPY,D,19851125,000000,26.013,26.013,26.013,26.013,0,0
HKDJPY,D,19851202,000000,25.884,25.884,25.884,25.884,0,0
HKDJPY,D,19851209,000000,26.345,26.345,26.345,26.345,0,0
HKDJPY,D,19851216,000000,26.074,26.074,26.074,26.074,0,0
HKDJPY,D,19851223,000000,25.935,25.935,25.935,25.935,0,0
HKDJPY,D,19860101,000000,26.006,26.006,26.006,26.006,0,0
HKDJPY,D,19860106,000000,25.697,25.697,25.697,25.697,0,0
HKDJPY,D,19860113,000000,25.814,25.814,25.814,25.814,0,0
HKDJPY,D,19860120,000000,25.899,25.899,25.899,25.899,0,0
HKDJPY,D,19860127,000000,25.878,25.878,25.878,25.878,0,0
HKDJPY,D,19860201,000000,25.121,25.121,25.121,25.121,0,0
HKDJPY,D,19860210,000000,24.588,24.588,24.588,24.588,0,0
HKDJPY,D,19860217,000000,24.058,24.058,24.058,24.058,0,0
HKDJPY,D,19860224,000000,23.452,23.452,23.452,23.452,0,0
HKDJPY,D,19860301,000000,23.274,23.274,23.274,23.274,0,0
HKDJPY,D,19860303,000000,23.274,23.274,23.274,23.274,0,0
HKDJPY,D,19860310,000000,22.922,22.922,22.922,22.922,0,0
HKDJPY,D,19860317,000000,23.133,23.133,23.133,23.133,0,0
HKDJPY,D,19860318,000000,23.133,23.133,23.133,23.133,0,0
HKDJPY,D,19860324,000000,22.375,22.375,22.375,22.375,0,0
HKDJPY,D,19860401,000000,22.981,22.981,22.981,22.981,0,0
HKDJPY,D,19860407,000000,22.868,22.868,22.868,22.868,0,0
HKDJPY,D,19860409,000000,22.868,22.868,22.868,22.868,0,0
HKDJPY,D,19860414,000000,23.273,23.273,23.273,23.273,0,0
HKDJPY,D,19860421,000000,23.079,23.079,23.079,23.079,0,0
HKDJPY,D,19860428,000000,21.852,21.852,21.852,21.852,0,0
HKDJPY,D,19860505,000000,21.47,21.47,21.47,21.47,0,0
HKDJPY,D,19860512,000000,21.376,21.376,21.376,21.376,0,0
HKDJPY,D,19860519,000000,20.692,20.692,20.692,20.692,0,0
HKDJPY,D,19860526,000000,21.352,21.352,21.352,21.352,0,0
HKDJPY,D,19860602,000000,21.619,21.619,21.619,21.619,0,0
HKDJPY,D,19860609,000000,21.883,21.883,21.883,21.883,0,0
HKDJPY,D,19860616,000000,21.452,21.452,21.452,21.452,0,0
HKDJPY,D,19860623,000000,21.363,21.363,21.363,21.363,0,0
HKDJPY,D,19860630,000000,21.322,21.322,21.322,21.322,0,0
HKDJPY,D,19860707,000000,20.916,20.916,20.916,20.916,0,0
HKDJPY,D,19860714,000000,20.657,20.657,20.657,20.657,0,0
HKDJPY,D,19860721,000000,20.506,20.506,20.506,20.506,0,0
HKDJPY,D,19860728,000000,19.985,19.985,19.985,19.985,0,0
HKDJPY,D,19860804,000000,20.002,20.002,20.002,20.002,0,0
HKDJPY,D,19860811,000000,19.88,19.88,19.88,19.88,0,0
HKDJPY,D,19860818,000000,19.728,19.728,19.728,19.728,0,0
HKDJPY,D,19860825,000000,19.707,19.707,19.707,19.707,0,0
HKDJPY,D,19860901,000000,19.712,19.712,19.712,19.712,0,0
HKDJPY,D,19860908,000000,19.708,19.708,19.708,19.708,0,0
HKDJPY,D,19860915,000000,19.91,19.91,19.91,19.91,0,0
HKDJPY,D,19860922,000000,19.918,19.918,19.918,19.918,0,0
HKDJPY,D,19860929,000000,19.738,19.738,19.738,19.738,0,0
HKDJPY,D,19861006,000000,19.784,19.784,19.784,19.784,0,0
HKDJPY,D,19861013,000000,19.769,19.769,19.769,19.769,0,0
HKDJPY,D,19861020,000000,19.801,19.801,19.801,19.801,0,0
HKDJPY,D,19861027,000000,19.831,19.831,19.831,19.831,0,0
HKDJPY,D,19861101,000000,20.407,20.407,20.407,20.407,0,0
HKDJPY,D,19861110,000000,21.103,21.103,21.103,21.103,0,0
HKDJPY,D,19861117,000000,20.779,20.779,20.779,20.779,0,0
HKDJPY,D,19861124,000000,20.997,20.997,20.997,20.997,0,0
HKDJPY,D,19861201,000000,21.044,21.044,21.044,21.044,0,0
HKDJPY,D,19861208,000000,20.789,20.789,20.789,20.789,0,0
HKDJPY,D,19861215,000000,20.803,20.803,20.803,20.803,0,0
HKDJPY,D,19861222,000000,21.016,21.016,21.016,21.016,0,0
HKDJPY,D,19861231,000000,20.507,20.507,20.507,20.507,0,0
HKDJPY,D,19870112,000000,20.441,20.441,20.441,20.441,0,0
HKDJPY,D,19870119,000000,20.067,20.067,20.067,20.067,0,0
HKDJPY,D,19870126,000000,19.613,19.613,19.613,19.613,0,0
HKDJPY,D,19870201,000000,19.595,19.595,19.595,19.595,0,0
HKDJPY,D,19870209,000000,19.49,19.49,19.49,19.49,0,0
HKDJPY,D,19870216,000000,19.625,19.625,19.625,19.625,0,0
HKDJPY,D,19870223,000000,19.668,19.668,19.668,19.668,0,0
HKDJPY,D,19870302,000000,19.75,19.75,19.75,19.75,0,0
HKDJPY,D,19870309,000000,19.674,19.674,19.674,19.674,0,0
HKDJPY,D,19870316,000000,19.723,19.723,19.723,19.723,0,0
HKDJPY,D,19870323,000000,19.394,19.394,19.394,19.394,0,0
HKDJPY,D,19870330,000000,19.017,19.017,19.017,19.017,0,0
HKDJPY,D,19870406,000000,18.711,18.711,18.711,18.711,0,0
HKDJPY,D,19870413,000000,18.617,18.617,18.617,18.617,0,0
HKDJPY,D,19870421,000000,18.127,18.127,18.127,18.127,0,0
HKDJPY,D,19870427,000000,18.183,18.183,18.183,18.183,0,0
HKDJPY,D,19870504,000000,17.902,17.902,17.902,17.902,0,0
HKDJPY,D,19870511,000000,17.751,17.751,17.751,17.751,0,0
HKDJPY,D,19870518,000000,17.866,17.866,17.866,17.866,0,0
HKDJPY,D,19870525,000000,17.961,17.961,17.961,17.961,0,0
HKDJPY,D,19870601,000000,18.174,18.174,18.174,18.174,0,0
HKDJPY,D,19870608,000000,18.561,18.561,18.561,18.561,0,0
HKDJPY,D,19870615,000000,18.24,18.24,18.24,18.24,0,0
HKDJPY,D,19870622,000000,18.435,18.435,18.435,18.435,0,0
HKDJPY,D,19870629,000000,18.778,18.778,18.778,18.778,0,0
HKDJPY,D,19870706,000000,18.762,18.762,18.762,18.762,0,0
HKDJPY,D,19870713,000000,19.161,19.161,19.161,19.161,0,0
HKDJPY,D,19870720,000000,19.277,19.277,19.277,19.277,0,0
HKDJPY,D,19870727,000000,19.575,19.575,19.575,19.575,0,0
HKDJPY,D,19870803,000000,19.374,19.374,19.374,19.374,0,0
HKDJPY,D,19870810,000000,19.385,19.385,19.385,19.385,0,0
HKDJPY,D,19870817,000000,19.352,19.352,19.352,19.352,0,0
HKDJPY,D,19870824,000000,18.963,18.963,18.963,18.963,0,0
HKDJPY,D,19870831,000000,18.3,18.3,18.3,18.3,0,0
HKDJPY,D,19870907,000000,18.146,18.146,18.146,18.146,0,0
HKDJPY,D,19870914,000000,18.184,18.184,18.184,18.184,0,0
HKDJPY,D,19870921,000000,18.523,18.523,18.523,18.523,0,0
HKDJPY,D,19870928,000000,18.464,18.464,18.464,18.464,0,0
HKDJPY,D,19871005,000000,18.672,18.672,18.672,18.672,0,0
HKDJPY,D,19871012,000000,18.761,18.761,18.761,18.761,0,0
HKDJPY,D,19871019,000000,18.461,18.461,18.461,18.461,0,0
HKDJPY,D,19871026,000000,18.249,18.249,18.249,18.249,0,0
HKDJPY,D,19871102,000000,18.157,18.157,18.157,18.157,0,0
