<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKDKRW,D,19840109,000000,102.42,102.42,102.42,102.42,0,0
HKDKRW,D,19840116,000000,102.42,102.42,102.42,102.42,0,0
HKDKRW,D,19840123,000000,102.42,102.42,102.42,102.42,0,0
HKDKRW,D,19840130,000000,102.42,102.42,102.42,102.42,0,0
HKDKRW,D,19840206,000000,102.42,102.42,102.42,102.42,0,0
HKDKRW,D,19840213,000000,102.42,102.42,102.42,102.42,0,0
HKDKRW,D,19840220,000000,103.28,103.28,103.28,103.28,0,0
HKDKRW,D,19840301,000000,102.17,102.17,102.17,102.17,0,0
HKDKRW,D,19840305,000000,102.19,102.19,102.19,102.19,0,0
HKDKRW,D,19840312,000000,102.21,102.21,102.21,102.21,0,0
HKDKRW,D,19840319,000000,101.47,101.47,101.47,101.47,0,0
HKDKRW,D,19840326,000000,102.19,102.19,102.19,102.19,0,0
HKDKRW,D,19840402,000000,102.19,102.19,102.19,102.19,0,0
HKDKRW,D,19840409,000000,102.19,102.19,102.19,102.19,0,0
HKDKRW,D,19840416,000000,102.19,102.19,102.19,102.19,0,0
HKDKRW,D,19840424,000000,102.17,102.17,102.17,102.17,0,0
HKDKRW,D,19840502,000000,102.92,102.92,102.92,102.92,0,0
HKDKRW,D,19840507,000000,102.16,102.16,102.16,102.16,0,0
HKDKRW,D,19840514,000000,102.9,102.9,102.9,102.9,0,0
HKDKRW,D,19840521,000000,102.9,102.9,102.9,102.9,0,0
HKDKRW,D,19840528,000000,102.9,102.9,102.9,102.9,0,0
HKDKRW,D,19840604,000000,102.16,102.16,102.16,102.16,0,0
HKDKRW,D,19840611,000000,102.92,102.92,102.92,102.92,0,0
HKDKRW,D,19840618,000000,102.9,102.9,102.9,102.9,0,0
HKDKRW,D,19840625,000000,102.9,102.9,102.9,102.9,0,0
HKDKRW,D,19840702,000000,102.88,102.88,102.88,102.88,0,0
HKDKRW,D,19840709,000000,102.9,102.9,102.9,102.9,0,0
HKDKRW,D,19840716,000000,103.62,103.62,103.62,103.62,0,0
HKDKRW,D,19840723,000000,103.6,103.6,103.6,103.6,0,0
HKDKRW,D,19840730,000000,103.6,103.6,103.6,103.6,0,0
HKDKRW,D,19840806,000000,103.6,103.6,103.6,103.6,0,0
HKDKRW,D,19840813,000000,103.6,103.6,103.6,103.6,0,0
HKDKRW,D,19840820,000000,102.86,102.86,102.86,102.86,0,0
HKDKRW,D,19840827,000000,103.6,103.6,103.6,103.6,0,0
