<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKDRON,D,19951023,000000,0.02869,0.02869,0.02869,0.02869,0,0
HKDRON,D,19951024,000000,0.02872,0.02872,0.02872,0.02872,0,0
HKDRON,D,19951025,000000,0.0289,0.0289,0.0289,0.0289,0,0
HKDRON,D,19951026,000000,0.0289,0.0289,0.0289,0.0289,0,0
HKDRON,D,19951027,000000,0.02889,0.02889,0.02889,0.02889,0,0
HKDRON,D,19951030,000000,0.02897,0.02897,0.02897,0.02897,0,0
HKDRON,D,19951031,000000,0.02896,0.02896,0.02896,0.02896,0,0
HKDRON,D,19951102,000000,0.02936,0.02936,0.02936,0.02936,0,0
HKDRON,D,19951103,000000,0.02971,0.02971,0.02971,0.02971,0,0
HKDRON,D,19951106,000000,0.02972,0.02972,0.02972,0.02972,0,0
HKDRON,D,19951107,000000,0.03036,0.03036,0.03036,0.03036,0,0
HKDRON,D,19951108,000000,0.03013,0.03013,0.03013,0.03013,0,0
HKDRON,D,19951109,000000,0.03036,0.03036,0.03036,0.03036,0,0
HKDRON,D,19951110,000000,0.03065,0.03065,0.03065,0.03065,0,0
HKDRON,D,19951113,000000,0.03071,0.03071,0.03071,0.03071,0,0
HKDRON,D,19951114,000000,0.03073,0.03073,0.03073,0.03073,0,0
HKDRON,D,19951115,000000,0.03078,0.03078,0.03078,0.03078,0,0
HKDRON,D,19951116,000000,0.03174,0.03174,0.03174,0.03174,0,0
HKDRON,D,19951117,000000,0.03298,0.03298,0.03298,0.03298,0,0
HKDRON,D,19951120,000000,0.03297,0.03297,0.03297,0.03297,0,0
HKDRON,D,19951121,000000,0.03297,0.03297,0.03297,0.03297,0,0
HKDRON,D,19951122,000000,0.03297,0.03297,0.03297,0.03297,0,0
HKDRON,D,19951123,000000,0.03296,0.03296,0.03296,0.03296,0,0
HKDRON,D,19951124,000000,0.03297,0.03297,0.03297,0.03297,0,0
HKDRON,D,19951127,000000,0.03288,0.03288,0.03288,0.03288,0,0
HKDRON,D,19951128,000000,0.03335,0.03335,0.03335,0.03335,0,0
HKDRON,D,19951129,000000,0.03292,0.03292,0.03292,0.03292,0,0
HKDRON,D,19951130,000000,0.03283,0.03283,0.03283,0.03283,0,0
HKDRON,D,19951201,000000,0.03284,0.03284,0.03284,0.03284,0,0
HKDRON,D,19951204,000000,0.03335,0.03335,0.03335,0.03335,0,0
HKDRON,D,19951205,000000,0.03356,0.03356,0.03356,0.03356,0,0
HKDRON,D,19951206,000000,0.03322,0.03322,0.03322,0.03322,0,0
HKDRON,D,19951207,000000,0.03377,0.03377,0.03377,0.03377,0,0
HKDRON,D,19951208,000000,0.03369,0.03369,0.03369,0.03369,0,0
HKDRON,D,19951211,000000,0.03372,0.03372,0.03372,0.03372,0,0
HKDRON,D,19951212,000000,0.03346,0.03346,0.03346,0.03346,0,0
HKDRON,D,19951213,000000,0.03361,0.03361,0.03361,0.03361,0,0
HKDRON,D,19951214,000000,0.03349,0.03349,0.03349,0.03349,0,0
HKDRON,D,19951215,000000,0.03375,0.03375,0.03375,0.03375,0,0
HKDRON,D,19951218,000000,0.03375,0.03375,0.03375,0.03375,0,0
HKDRON,D,19951219,000000,0.03374,0.03374,0.03374,0.03374,0,0
HKDRON,D,19951220,000000,0.03375,0.03375,0.03375,0.03375,0,0
HKDRON,D,19951221,000000,0.03374,0.03374,0.03374,0.03374,0,0
HKDRON,D,19951222,000000,0.03375,0.03375,0.03375,0.03375,0,0
HKDRON,D,19951227,000000,0.03375,0.03375,0.03375,0.03375,0,0
HKDRON,D,19951228,000000,0.03374,0.03374,0.03374,0.03374,0,0
HKDRON,D,19951229,000000,0.03398,0.03398,0.03398,0.03398,0,0
HKDRON,D,19960102,000000,0.03399,0.03399,0.03399,0.03399,0,0
HKDRON,D,19960103,000000,0.03397,0.03397,0.03397,0.03397,0,0
HKDRON,D,19960104,000000,0.03393,0.03393,0.03393,0.03393,0,0
HKDRON,D,19960105,000000,0.03405,0.03405,0.03405,0.03405,0,0
HKDRON,D,19960108,000000,0.03393,0.03393,0.03393,0.03393,0,0
HKDRON,D,19960109,000000,0.03407,0.03407,0.03407,0.03407,0,0
HKDRON,D,19960110,000000,0.0344,0.0344,0.0344,0.0344,0,0
HKDRON,D,19960111,000000,0.03388,0.03388,0.03388,0.03388,0,0
HKDRON,D,19960112,000000,0.03418,0.03418,0.03418,0.03418,0,0
HKDRON,D,19960115,000000,0.03459,0.03459,0.03459,0.03459,0,0
HKDRON,D,19960116,000000,0.03472,0.03472,0.03472,0.03472,0,0
HKDRON,D,19960117,000000,0.03444,0.03444,0.03444,0.03444,0,0
HKDRON,D,19960118,000000,0.0348,0.0348,0.0348,0.0348,0,0
HKDRON,D,19960119,000000,0.03473,0.03473,0.03473,0.03473,0,0
HKDRON,D,19960122,000000,0.03466,0.03466,0.03466,0.03466,0,0
HKDRON,D,19960123,000000,0.03414,0.03414,0.03414,0.03414,0,0
HKDRON,D,19960124,000000,0.03556,0.03556,0.03556,0.03556,0,0
HKDRON,D,19960125,000000,0.03646,0.03646,0.03646,0.03646,0,0
HKDRON,D,19960126,000000,0.03653,0.03653,0.03653,0.03653,0,0
HKDRON,D,19960129,000000,0.03665,0.03665,0.03665,0.03665,0,0
HKDRON,D,19960130,000000,0.03595,0.03595,0.03595,0.03595,0,0
HKDRON,D,19960131,000000,0.03569,0.03569,0.03569,0.03569,0,0
HKDRON,D,19960201,000000,0.03575,0.03575,0.03575,0.03575,0,0
HKDRON,D,19960202,000000,0.03573,0.03573,0.03573,0.03573,0,0
HKDRON,D,19960205,000000,0.03589,0.03589,0.03589,0.03589,0,0
HKDRON,D,19960206,000000,0.0359,0.0359,0.0359,0.0359,0,0
HKDRON,D,19960207,000000,0.0359,0.0359,0.0359,0.0359,0,0
HKDRON,D,19960208,000000,0.03588,0.03588,0.03588,0.03588,0,0
HKDRON,D,19960209,000000,0.03667,0.03667,0.03667,0.03667,0,0
HKDRON,D,19960212,000000,0.03634,0.03634,0.03634,0.03634,0,0
HKDRON,D,19960213,000000,0.03714,0.03714,0.03714,0.03714,0,0
HKDRON,D,19960214,000000,0.03726,0.03726,0.03726,0.03726,0,0
HKDRON,D,19960215,000000,0.0375,0.0375,0.0375,0.0375,0,0
HKDRON,D,19960216,000000,0.03751,0.03751,0.03751,0.03751,0,0
HKDRON,D,19960219,000000,0.03801,0.03801,0.03801,0.03801,0,0
HKDRON,D,19960220,000000,0.03785,0.03785,0.03785,0.03785,0,0
HKDRON,D,19960221,000000,0.03751,0.03751,0.03751,0.03751,0,0
HKDRON,D,19960222,000000,0.03749,0.03749,0.03749,0.03749,0,0
HKDRON,D,19960223,000000,0.03726,0.03726,0.03726,0.03726,0,0
HKDRON,D,19960226,000000,0.03726,0.03726,0.03726,0.03726,0,0
HKDRON,D,19960227,000000,0.03726,0.03726,0.03726,0.03726,0,0
HKDRON,D,19960228,000000,0.03789,0.03789,0.03789,0.03789,0,0
HKDRON,D,19960229,000000,0.03699,0.03699,0.03699,0.03699,0,0
HKDRON,D,19960301,000000,0.0379,0.0379,0.0379,0.0379,0,0
HKDRON,D,19960304,000000,0.03755,0.03755,0.03755,0.03755,0,0
HKDRON,D,19960305,000000,0.03837,0.03837,0.03837,0.03837,0,0
HKDRON,D,19960306,000000,0.03764,0.03764,0.03764,0.03764,0,0
HKDRON,D,19960307,000000,0.03776,0.03776,0.03776,0.03776,0,0
HKDRON,D,19960308,000000,0.03862,0.03862,0.03862,0.03862,0,0
HKDRON,D,19960311,000000,0.03813,0.03813,0.03813,0.03813,0,0
HKDRON,D,19960312,000000,0.03817,0.03817,0.03817,0.03817,0,0
HKDRON,D,19960313,000000,0.03918,0.03918,0.03918,0.03918,0,0
HKDRON,D,19960314,000000,0.03693,0.03693,0.03693,0.03693,0,0
HKDRON,D,19960315,000000,0.03745,0.03745,0.03745,0.03745,0,0
HKDRON,D,19960318,000000,0.03838,0.03838,0.03838,0.03838,0,0
HKDRON,D,19960319,000000,0.03815,0.03815,0.03815,0.03815,0,0
HKDRON,D,19960320,000000,0.03907,0.03907,0.03907,0.03907,0,0
HKDRON,D,19960321,000000,0.03841,0.03841,0.03841,0.03841,0,0
HKDRON,D,19960322,000000,0.03826,0.03826,0.03826,0.03826,0,0
HKDRON,D,19960325,000000,0.03751,0.03751,0.03751,0.03751,0,0
HKDRON,D,19960326,000000,0.03766,0.03766,0.03766,0.03766,0,0
HKDRON,D,19960327,000000,0.0375,0.0375,0.0375,0.0375,0,0
HKDRON,D,19960328,000000,0.03757,0.03757,0.03757,0.03757,0,0
HKDRON,D,19960329,000000,0.03757,0.03757,0.03757,0.03757,0,0
HKDRON,D,19960401,000000,0.03757,0.03757,0.03757,0.03757,0,0
HKDRON,D,19960402,000000,0.03759,0.03759,0.03759,0.03759,0,0
HKDRON,D,19960403,000000,0.03752,0.03752,0.03752,0.03752,0,0
HKDRON,D,19960404,000000,0.03752,0.03752,0.03752,0.03752,0,0
HKDRON,D,19960405,000000,0.03753,0.03753,0.03753,0.03753,0,0
HKDRON,D,19960409,000000,0.0375,0.0375,0.0375,0.0375,0,0
HKDRON,D,19960410,000000,0.03751,0.03751,0.03751,0.03751,0,0
HKDRON,D,19960411,000000,0.03756,0.03756,0.03756,0.03756,0,0
HKDRON,D,19960412,000000,0.03763,0.03763,0.03763,0.03763,0,0
HKDRON,D,19960415,000000,0.03762,0.03762,0.03762,0.03762,0,0
HKDRON,D,19960416,000000,0.03764,0.03764,0.03764,0.03764,0,0
HKDRON,D,19960417,000000,0.03763,0.03763,0.03763,0.03763,0,0
HKDRON,D,19960418,000000,0.03762,0.03762,0.03762,0.03762,0,0
HKDRON,D,19960419,000000,0.03764,0.03764,0.03764,0.03764,0,0
HKDRON,D,19960422,000000,0.03759,0.03759,0.03759,0.03759,0,0
HKDRON,D,19960423,000000,0.03762,0.03762,0.03762,0.03762,0,0
HKDRON,D,19960424,000000,0.03764,0.03764,0.03764,0.03764,0,0
HKDRON,D,19960425,000000,0.03765,0.03765,0.03765,0.03765,0,0
HKDRON,D,19960426,000000,0.03767,0.03767,0.03767,0.03767,0,0
HKDRON,D,19960429,000000,0.03766,0.03766,0.03766,0.03766,0,0
HKDRON,D,19960430,000000,0.0377,0.0377,0.0377,0.0377,0,0
HKDRON,D,19960506,000000,0.03772,0.03772,0.03772,0.03772,0,0
HKDRON,D,19960507,000000,0.0377,0.0377,0.0377,0.0377,0,0
HKDRON,D,19960508,000000,0.0377,0.0377,0.0377,0.0377,0,0
HKDRON,D,19960509,000000,0.03771,0.03771,0.03771,0.03771,0,0
HKDRON,D,19960510,000000,0.03771,0.03771,0.03771,0.03771,0,0
HKDRON,D,19960513,000000,0.03773,0.03773,0.03773,0.03773,0,0
HKDRON,D,19960514,000000,0.03778,0.03778,0.03778,0.03778,0,0
HKDRON,D,19960515,000000,0.03788,0.03788,0.03788,0.03788,0,0
HKDRON,D,19960516,000000,0.03787,0.03787,0.03787,0.03787,0,0
HKDRON,D,19960517,000000,0.03788,0.03788,0.03788,0.03788,0,0
HKDRON,D,19960520,000000,0.03794,0.03794,0.03794,0.03794,0,0
HKDRON,D,19960521,000000,0.03801,0.03801,0.03801,0.03801,0,0
HKDRON,D,19960522,000000,0.03807,0.03807,0.03807,0.03807,0,0
HKDRON,D,19960523,000000,0.03807,0.03807,0.03807,0.03807,0,0
HKDRON,D,19960524,000000,0.03807,0.03807,0.03807,0.03807,0,0
HKDRON,D,19960527,000000,0.0381,0.0381,0.0381,0.0381,0,0
HKDRON,D,19960528,000000,0.0381,0.0381,0.0381,0.0381,0,0
HKDRON,D,19960529,000000,0.03808,0.03808,0.03808,0.03808,0,0
HKDRON,D,19960530,000000,0.03816,0.03816,0.03816,0.03816,0,0
HKDRON,D,19960531,000000,0.03817,0.03817,0.03817,0.03817,0,0
HKDRON,D,19960603,000000,0.03817,0.03817,0.03817,0.03817,0,0
HKDRON,D,19960604,000000,0.03825,0.03825,0.03825,0.03825,0,0
HKDRON,D,19960605,000000,0.03836,0.03836,0.03836,0.03836,0,0
HKDRON,D,19960607,000000,0.0384,0.0384,0.0384,0.0384,0,0
HKDRON,D,19960610,000000,0.03843,0.03843,0.03843,0.03843,0,0
HKDRON,D,19960611,000000,0.03844,0.03844,0.03844,0.03844,0,0
HKDRON,D,19960612,000000,0.03855,0.03855,0.03855,0.03855,0,0
HKDRON,D,19960613,000000,0.03856,0.03856,0.03856,0.03856,0,0
HKDRON,D,19960614,000000,0.03861,0.03861,0.03861,0.03861,0,0
HKDRON,D,19960617,000000,0.03875,0.03875,0.03875,0.03875,0,0
HKDRON,D,19960618,000000,0.0388,0.0388,0.0388,0.0388,0,0
HKDRON,D,19960619,000000,0.03875,0.03875,0.03875,0.03875,0,0
HKDRON,D,19960620,000000,0.03875,0.03875,0.03875,0.03875,0,0
HKDRON,D,19960621,000000,0.0388,0.0388,0.0388,0.0388,0,0
HKDRON,D,19960624,000000,0.03886,0.03886,0.03886,0.03886,0,0
HKDRON,D,19960625,000000,0.03896,0.03896,0.03896,0.03896,0,0
HKDRON,D,19960626,000000,0.03903,0.03903,0.03903,0.03903,0,0
HKDRON,D,19960627,000000,0.03902,0.03902,0.03902,0.03902,0,0
HKDRON,D,19960628,000000,0.03915,0.03915,0.03915,0.03915,0,0
HKDRON,D,19960701,000000,0.03911,0.03911,0.03911,0.03911,0,0
HKDRON,D,19960702,000000,0.03911,0.03911,0.03911,0.03911,0,0
HKDRON,D,19960703,000000,0.03917,0.03917,0.03917,0.03917,0,0
HKDRON,D,19960704,000000,0.03934,0.03934,0.03934,0.03934,0,0
HKDRON,D,19960705,000000,0.03934,0.03934,0.03934,0.03934,0,0
HKDRON,D,19960708,000000,0.03934,0.03934,0.03934,0.03934,0,0
HKDRON,D,19960709,000000,0.03935,0.03935,0.03935,0.03935,0,0
HKDRON,D,19960710,000000,0.03937,0.03937,0.03937,0.03937,0,0
HKDRON,D,19960711,000000,0.03941,0.03941,0.03941,0.03941,0,0
HKDRON,D,19960712,000000,0.0394,0.0394,0.0394,0.0394,0,0
HKDRON,D,19960715,000000,0.03942,0.03942,0.03942,0.03942,0,0
HKDRON,D,19960716,000000,0.03946,0.03946,0.03946,0.03946,0,0
HKDRON,D,19960717,000000,0.03968,0.03968,0.03968,0.03968,0,0
HKDRON,D,19960718,000000,0.03958,0.03958,0.03958,0.03958,0,0
HKDRON,D,19960719,000000,0.03971,0.03971,0.03971,0.03971,0,0
HKDRON,D,19960722,000000,0.03976,0.03976,0.03976,0.03976,0,0
HKDRON,D,19960723,000000,0.03995,0.03995,0.03995,0.03995,0,0
HKDRON,D,19960724,000000,0.03996,0.03996,0.03996,0.03996,0,0
HKDRON,D,19960725,000000,0.04009,0.04009,0.04009,0.04009,0,0
HKDRON,D,19960726,000000,0.04034,0.04034,0.04034,0.04034,0,0
HKDRON,D,19960729,000000,0.04049,0.04049,0.04049,0.04049,0,0
HKDRON,D,19960730,000000,0.04048,0.04048,0.04048,0.04048,0,0
HKDRON,D,19960731,000000,0.04048,0.04048,0.04048,0.04048,0,0
HKDRON,D,19960801,000000,0.04045,0.04045,0.04045,0.04045,0,0
HKDRON,D,19960802,000000,0.04044,0.04044,0.04044,0.04044,0,0
HKDRON,D,19960805,000000,0.04045,0.04045,0.04045,0.04045,0,0
HKDRON,D,19960806,000000,0.04035,0.04035,0.04035,0.04035,0,0
HKDRON,D,19960807,000000,0.04044,0.04044,0.04044,0.04044,0,0
HKDRON,D,19960808,000000,0.04044,0.04044,0.04044,0.04044,0,0
HKDRON,D,19960809,000000,0.04047,0.04047,0.04047,0.04047,0,0
HKDRON,D,19960812,000000,0.04047,0.04047,0.04047,0.04047,0,0
HKDRON,D,19960813,000000,0.04049,0.04049,0.04049,0.04049,0,0
HKDRON,D,19960814,000000,0.04053,0.04053,0.04053,0.04053,0,0
HKDRON,D,19960816,000000,0.04072,0.04072,0.04072,0.04072,0,0
HKDRON,D,19960819,000000,0.04073,0.04073,0.04073,0.04073,0,0
HKDRON,D,19960820,000000,0.04073,0.04073,0.04073,0.04073,0,0
HKDRON,D,19960821,000000,0.04074,0.04074,0.04074,0.04074,0,0
HKDRON,D,19960822,000000,0.04077,0.04077,0.04077,0.04077,0,0
HKDRON,D,19960823,000000,0.04079,0.04079,0.04079,0.04079,0,0
HKDRON,D,19960826,000000,0.04085,0.04085,0.04085,0.04085,0,0
HKDRON,D,19960827,000000,0.04081,0.04081,0.04081,0.04081,0,0
HKDRON,D,19960828,000000,0.04086,0.04086,0.04086,0.04086,0,0
HKDRON,D,19960829,000000,0.04093,0.04093,0.04093,0.04093,0,0
HKDRON,D,19960830,000000,0.04085,0.04085,0.04085,0.04085,0,0
HKDRON,D,19960902,000000,0.04085,0.04085,0.04085,0.04085,0,0
HKDRON,D,19960903,000000,0.04088,0.04088,0.04088,0.04088,0,0
HKDRON,D,19960904,000000,0.04101,0.04101,0.04101,0.04101,0,0
HKDRON,D,19960905,000000,0.041,0.041,0.041,0.041,0,0
HKDRON,D,19960906,000000,0.04103,0.04103,0.04103,0.04103,0,0
HKDRON,D,19960909,000000,0.04107,0.04107,0.04107,0.04107,0,0
HKDRON,D,19960910,000000,0.04108,0.04108,0.04108,0.04108,0,0
HKDRON,D,19960911,000000,0.04117,0.04117,0.04117,0.04117,0,0
HKDRON,D,19960912,000000,0.04127,0.04127,0.04127,0.04127,0,0
HKDRON,D,19960913,000000,0.04138,0.04138,0.04138,0.04138,0,0
HKDRON,D,19960916,000000,0.04138,0.04138,0.04138,0.04138,0,0
HKDRON,D,19960917,000000,0.04149,0.04149,0.04149,0.04149,0,0
HKDRON,D,19960918,000000,0.04164,0.04164,0.04164,0.04164,0,0
HKDRON,D,19960919,000000,0.04177,0.04177,0.04177,0.04177,0,0
HKDRON,D,19960920,000000,0.04177,0.04177,0.04177,0.04177,0,0
HKDRON,D,19960923,000000,0.04178,0.04178,0.04178,0.04178,0,0
HKDRON,D,19960924,000000,0.04191,0.04191,0.04191,0.04191,0,0
HKDRON,D,19960925,000000,0.04191,0.04191,0.04191,0.04191,0,0
HKDRON,D,19960926,000000,0.0421,0.0421,0.0421,0.0421,0,0
HKDRON,D,19960927,000000,0.04199,0.04199,0.04199,0.04199,0,0
HKDRON,D,19960930,000000,0.04215,0.04215,0.04215,0.04215,0,0
HKDRON,D,19961001,000000,0.04215,0.04215,0.04215,0.04215,0,0
HKDRON,D,19961002,000000,0.0421,0.0421,0.0421,0.0421,0,0
HKDRON,D,19961003,000000,0.0421,0.0421,0.0421,0.0421,0,0
HKDRON,D,19961004,000000,0.0421,0.0421,0.0421,0.0421,0,0
HKDRON,D,19961007,000000,0.04211,0.04211,0.04211,0.04211,0,0
HKDRON,D,19961008,000000,0.04209,0.04209,0.04209,0.04209,0,0
HKDRON,D,19961009,000000,0.04223,0.04223,0.04223,0.04223,0,0
HKDRON,D,19961010,000000,0.04224,0.04224,0.04224,0.04224,0,0
HKDRON,D,19961011,000000,0.04241,0.04241,0.04241,0.04241,0,0
HKDRON,D,19961014,000000,0.04245,0.04245,0.04245,0.04245,0,0
HKDRON,D,19961015,000000,0.04255,0.04255,0.04255,0.04255,0,0
HKDRON,D,19961016,000000,0.04268,0.04268,0.04268,0.04268,0,0
HKDRON,D,19961017,000000,0.04268,0.04268,0.04268,0.04268,0,0
HKDRON,D,19961018,000000,0.04275,0.04275,0.04275,0.04275,0,0
HKDRON,D,19961021,000000,0.04274,0.04274,0.04274,0.04274,0,0
HKDRON,D,19961022,000000,0.04301,0.04301,0.04301,0.04301,0,0
HKDRON,D,19961023,000000,0.04294,0.04294,0.04294,0.04294,0,0
HKDRON,D,19961024,000000,0.04293,0.04293,0.04293,0.04293,0,0
HKDRON,D,19961025,000000,0.04315,0.04315,0.04315,0.04315,0,0
HKDRON,D,19961028,000000,0.04339,0.04339,0.04339,0.04339,0,0
HKDRON,D,19961029,000000,0.04354,0.04354,0.04354,0.04354,0,0
HKDRON,D,19961030,000000,0.04379,0.04379,0.04379,0.04379,0,0
HKDRON,D,19961031,000000,0.04378,0.04378,0.04378,0.04378,0,0
HKDRON,D,19961104,000000,0.04412,0.04412,0.04412,0.04412,0,0
HKDRON,D,19961105,000000,0.04424,0.04424,0.04424,0.04424,0,0
HKDRON,D,19961106,000000,0.04423,0.04423,0.04423,0.04423,0,0
HKDRON,D,19961107,000000,0.04456,0.04456,0.04456,0.04456,0,0
HKDRON,D,19961108,000000,0.04449,0.04449,0.04449,0.04449,0,0
HKDRON,D,19961112,000000,0.04475,0.04475,0.04475,0.04475,0,0
HKDRON,D,19961113,000000,0.04477,0.04477,0.04477,0.04477,0,0
HKDRON,D,19961114,000000,0.04502,0.04502,0.04502,0.04502,0,0
HKDRON,D,19961115,000000,0.04498,0.04498,0.04498,0.04498,0,0
HKDRON,D,19961118,000000,0.0451,0.0451,0.0451,0.0451,0,0
HKDRON,D,19961119,000000,0.04513,0.04513,0.04513,0.04513,0,0
HKDRON,D,19961120,000000,0.04531,0.04531,0.04531,0.04531,0,0
HKDRON,D,19961121,000000,0.04521,0.04521,0.04521,0.04521,0,0
HKDRON,D,19961122,000000,0.04606,0.04606,0.04606,0.04606,0,0
HKDRON,D,19961125,000000,0.04612,0.04612,0.04612,0.04612,0,0
HKDRON,D,19961126,000000,0.04635,0.04635,0.04635,0.04635,0,0
HKDRON,D,19961127,000000,0.04651,0.04651,0.04651,0.04651,0,0
HKDRON,D,19961128,000000,0.04651,0.04651,0.04651,0.04651,0,0
HKDRON,D,19961129,000000,0.04658,0.04658,0.04658,0.04658,0,0
HKDRON,D,19961202,000000,0.04664,0.04664,0.04664,0.04664,0,0
HKDRON,D,19961203,000000,0.04657,0.04657,0.04657,0.04657,0,0
HKDRON,D,19961204,000000,0.04667,0.04667,0.04667,0.04667,0,0
HKDRON,D,19961205,000000,0.0467,0.0467,0.0467,0.0467,0,0
HKDRON,D,19961206,000000,0.04676,0.04676,0.04676,0.04676,0,0
HKDRON,D,19961209,000000,0.04733,0.04733,0.04733,0.04733,0,0
HKDRON,D,19961210,000000,0.04773,0.04773,0.04773,0.04773,0,0
HKDRON,D,19961211,000000,0.04843,0.04843,0.04843,0.04843,0,0
HKDRON,D,19961212,000000,0.04841,0.04841,0.04841,0.04841,0,0
HKDRON,D,19961213,000000,0.04893,0.04893,0.04893,0.04893,0,0
HKDRON,D,19961216,000000,0.04891,0.04891,0.04891,0.04891,0,0
HKDRON,D,19961217,000000,0.05013,0.05013,0.05013,0.05013,0,0
HKDRON,D,19961218,000000,0.04909,0.04909,0.04909,0.04909,0,0
HKDRON,D,19961219,000000,0.05006,0.05006,0.05006,0.05006,0,0
HKDRON,D,19961220,000000,0.05162,0.05162,0.05162,0.05162,0,0
HKDRON,D,19961223,000000,0.05302,0.05302,0.05302,0.05302,0,0
HKDRON,D,19961224,000000,0.05295,0.05295,0.05295,0.05295,0,0
HKDRON,D,19961230,000000,0.05342,0.05342,0.05342,0.05342,0,0
HKDRON,D,19961231,000000,0.05331,0.05331,0.05331,0.05331,0,0
HKDRON,D,19970102,000000,0.05328,0.05328,0.05328,0.05328,0,0
HKDRON,D,19970103,000000,0.05327,0.05327,0.05327,0.05327,0,0
HKDRON,D,19970106,000000,0.05286,0.05286,0.05286,0.05286,0,0
HKDRON,D,19970107,000000,0.05434,0.05434,0.05434,0.05434,0,0
HKDRON,D,19970108,000000,0.05544,0.05544,0.05544,0.05544,0,0
HKDRON,D,19970109,000000,0.05573,0.05573,0.05573,0.05573,0,0
HKDRON,D,19970110,000000,0.05748,0.05748,0.05748,0.05748,0,0
HKDRON,D,19970113,000000,0.06136,0.06136,0.06136,0.06136,0,0
HKDRON,D,19970114,000000,0.06212,0.06212,0.06212,0.06212,0,0
HKDRON,D,19970115,000000,0.06191,0.06191,0.06191,0.06191,0,0
HKDRON,D,19970116,000000,0.06401,0.06401,0.06401,0.06401,0,0
HKDRON,D,19970117,000000,0.06837,0.06837,0.06837,0.06837,0,0
HKDRON,D,19970120,000000,0.0705,0.0705,0.0705,0.0705,0,0
HKDRON,D,19970121,000000,0.0706,0.0706,0.0706,0.0706,0,0
HKDRON,D,19970122,000000,0.07162,0.07162,0.07162,0.07162,0,0
HKDRON,D,19970123,000000,0.07314,0.07314,0.07314,0.07314,0,0
HKDRON,D,19970124,000000,0.07351,0.07351,0.07351,0.07351,0,0
HKDRON,D,19970127,000000,0.07413,0.07413,0.07413,0.07413,0,0
HKDRON,D,19970128,000000,0.07426,0.07426,0.07426,0.07426,0,0
HKDRON,D,19970129,000000,0.07681,0.07681,0.07681,0.07681,0,0
HKDRON,D,19970130,000000,0.07673,0.07673,0.07673,0.07673,0,0
HKDRON,D,19970131,000000,0.07687,0.07687,0.07687,0.07687,0,0
HKDRON,D,19970203,000000,0.0766,0.0766,0.0766,0.0766,0,0
HKDRON,D,19970204,000000,0.07799,0.07799,0.07799,0.07799,0,0
HKDRON,D,19970205,000000,0.07955,0.07955,0.07955,0.07955,0,0
HKDRON,D,19970206,000000,0.08212,0.08212,0.08212,0.08212,0,0
HKDRON,D,19970207,000000,0.08326,0.08326,0.08326,0.08326,0,0
HKDRON,D,19970210,000000,0.08637,0.08637,0.08637,0.08637,0,0
HKDRON,D,19970211,000000,0.08803,0.08803,0.08803,0.08803,0,0
HKDRON,D,19970212,000000,0.08803,0.08803,0.08803,0.08803,0,0
HKDRON,D,19970213,000000,0.09045,0.09045,0.09045,0.09045,0,0
HKDRON,D,19970214,000000,0.09318,0.09318,0.09318,0.09318,0,0
HKDRON,D,19970217,000000,0.09697,0.09697,0.09697,0.09697,0,0
HKDRON,D,19970218,000000,0.10301,0.10301,0.10301,0.10301,0,0
HKDRON,D,19970219,000000,0.10706,0.10706,0.10706,0.10706,0,0
HKDRON,D,19970220,000000,0.11121,0.11121,0.11121,0.11121,0,0
HKDRON,D,19970221,000000,0.11416,0.11416,0.11416,0.11416,0,0
HKDRON,D,19970224,000000,0.11204,0.11204,0.11204,0.11204,0,0
HKDRON,D,19970225,000000,0.11484,0.11484,0.11484,0.11484,0,0
HKDRON,D,19970226,000000,0.10567,0.10567,0.10567,0.10567,0,0
HKDRON,D,19970227,000000,0.09554,0.09554,0.09554,0.09554,0,0
