<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKDXAG,D,19840109,000000,1.6156,1.6156,1.6156,1.6156,0,0
HKDXAG,D,19840116,000000,1.5722,1.5722,1.5722,1.5722,0,0
HKDXAG,D,19840123,000000,1.5798,1.5798,1.5798,1.5798,0,0
HKDXAG,D,19840130,000000,1.5235,1.5235,1.5235,1.5235,0,0
HKDXAG,D,19840206,000000,1.4561,1.4561,1.4561,1.4561,0,0
HKDXAG,D,19840213,000000,1.4677,1.4677,1.4677,1.4677,0,0
HKDXAG,D,19840220,000000,1.4711,1.4711,1.4711,1.4711,0,0
HKDXAG,D,19840301,000000,1.3066,1.3066,1.3066,1.3066,0,0
HKDXAG,D,19840305,000000,1.258,1.258,1.258,1.258,0,0
HKDXAG,D,19840312,000000,1.3106,1.3106,1.3106,1.3106,0,0
HKDXAG,D,19840319,000000,1.3173,1.3173,1.3173,1.3173,0,0
HKDXAG,D,19840326,000000,1.3365,1.3365,1.3365,1.3365,0,0
HKDXAG,D,19840402,000000,1.3664,1.3664,1.3664,1.3664,0,0
HKDXAG,D,19840409,000000,1.3796,1.3796,1.3796,1.3796,0,0
HKDXAG,D,19840416,000000,1.3946,1.3946,1.3946,1.3946,0,0
HKDXAG,D,19840424,000000,1.3828,1.3828,1.3828,1.3828,0,0
HKDXAG,D,19840502,000000,1.3903,1.3903,1.3903,1.3903,0,0
HKDXAG,D,19840507,000000,1.462,1.462,1.462,1.462,0,0
HKDXAG,D,19840514,000000,1.4277,1.4277,1.4277,1.4277,0,0
HKDXAG,D,19840521,000000,1.3905,1.3905,1.3905,1.3905,0,0
HKDXAG,D,19840528,000000,1.3905,1.3905,1.3905,1.3905,0,0
HKDXAG,D,19840604,000000,1.3508,1.3508,1.3508,1.3508,0,0
HKDXAG,D,19840611,000000,1.4768,1.4768,1.4768,1.4768,0,0
HKDXAG,D,19840618,000000,1.4824,1.4824,1.4824,1.4824,0,0
HKDXAG,D,19840625,000000,1.532,1.532,1.532,1.532,0,0
HKDXAG,D,19840702,000000,1.511,1.511,1.511,1.511,0,0
HKDXAG,D,19840709,000000,1.6296,1.6296,1.6296,1.6296,0,0
HKDXAG,D,19840716,000000,1.68,1.68,1.68,1.68,0,0
HKDXAG,D,19840723,000000,1.7576,1.7576,1.7576,1.7576,0,0
HKDXAG,D,19840730,000000,1.7773,1.7773,1.7773,1.7773,0,0
HKDXAG,D,19840806,000000,1.6702,1.6702,1.6702,1.6702,0,0
HKDXAG,D,19840813,000000,1.6111,1.6111,1.6111,1.6111,0,0
HKDXAG,D,19840820,000000,1.7013,1.7013,1.7013,1.7013,0,0
HKDXAG,D,19840827,000000,1.6702,1.6702,1.6702,1.6702,0,0
HKDXAG,D,19840901,000000,1.6729,1.6729,1.6729,1.6729,0,0
HKDXAG,D,19840910,000000,1.7219,1.7219,1.7219,1.7219,0,0
HKDXAG,D,19840917,000000,1.7716,1.7716,1.7716,1.7716,0,0
HKDXAG,D,19840924,000000,1.6445,1.6445,1.6445,1.6445,0,0
HKDXAG,D,19841001,000000,1.666,1.666,1.666,1.666,0,0
HKDXAG,D,19841008,000000,1.7251,1.7251,1.7251,1.7251,0,0
HKDXAG,D,19841015,000000,1.7243,1.7243,1.7243,1.7243,0,0
HKDXAG,D,19841022,000000,1.7474,1.7474,1.7474,1.7474,0,0
HKDXAG,D,19841029,000000,1.7673,1.7673,1.7673,1.7673,0,0
HKDXAG,D,19841105,000000,1.653,1.653,1.653,1.653,0,0
HKDXAG,D,19841112,000000,1.6525,1.6525,1.6525,1.6525,0,0
HKDXAG,D,19841119,000000,1.6898,1.6898,1.6898,1.6898,0,0
HKDXAG,D,19841126,000000,1.7391,1.7391,1.7391,1.7391,0,0
HKDXAG,D,19841201,000000,1.736,1.736,1.736,1.736,0,0
HKDXAG,D,19841210,000000,1.8465,1.8465,1.8465,1.8465,0,0
HKDXAG,D,19841217,000000,1.9567,1.9567,1.9567,1.9567,0,0
HKDXAG,D,19841224,000000,1.9567,1.9567,1.9567,1.9567,0,0
HKDXAG,D,19850101,000000,1.9532,1.9532,1.9532,1.9532,0,0
HKDXAG,D,19850107,000000,2.0924,2.0924,2.0924,2.0924,0,0
HKDXAG,D,19850114,000000,2.1097,2.1097,2.1097,2.1097,0,0
HKDXAG,D,19850121,000000,2.023,2.023,2.023,2.023,0,0
HKDXAG,D,19850128,000000,2.0197,2.0197,2.0197,2.0197,0,0
HKDXAG,D,19850204,000000,2.0654,2.0654,2.0654,2.0654,0,0
HKDXAG,D,19850211,000000,2.0263,2.0263,2.0263,2.0263,0,0
HKDXAG,D,19850218,000000,2.0344,2.0344,2.0344,2.0344,0,0
HKDXAG,D,19850225,000000,2.3172,2.3172,2.3172,2.3172,0,0
HKDXAG,D,19850304,000000,2.1982,2.1982,2.1982,2.1982,0,0
HKDXAG,D,19850311,000000,2.2935,2.2935,2.2935,2.2935,0,0
HKDXAG,D,19850318,000000,2.1289,2.1289,2.1289,2.1289,0,0
HKDXAG,D,19850325,000000,2.0279,2.0279,2.0279,2.0279,0,0
HKDXAG,D,19850329,000000,1.9086,1.9086,1.9086,1.9086,0,0
HKDXAG,D,19850401,000000,1.9823,1.9823,1.9823,1.9823,0,0
HKDXAG,D,19850409,000000,1.9317,1.9317,1.9317,1.9317,0,0
HKDXAG,D,19850415,000000,1.9463,1.9463,1.9463,1.9463,0,0
HKDXAG,D,19850422,000000,2.0168,2.0168,2.0168,2.0168,0,0
HKDXAG,D,19850429,000000,1.9982,1.9982,1.9982,1.9982,0,0
HKDXAG,D,19850506,000000,2.0755,2.0755,2.0755,2.0755,0,0
HKDXAG,D,19850513,000000,1.9308,1.9308,1.9308,1.9308,0,0
HKDXAG,D,19850520,000000,2.0958,2.0958,2.0958,2.0958,0,0
HKDXAG,D,19850527,000000,2.0958,2.0958,2.0958,2.0958,0,0
HKDXAG,D,19850601,000000,2.0998,2.0998,2.0998,2.0998,0,0
HKDXAG,D,19850610,000000,2.0823,2.0823,2.0823,2.0823,0,0
HKDXAG,D,19850617,000000,2.0628,2.0628,2.0628,2.0628,0,0
HKDXAG,D,19850624,000000,2.0926,2.0926,2.0926,2.0926,0,0
