<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKDXPT,D,19840109,000000,3.4624,3.4624,3.4624,3.4624,0,0
HKDXPT,D,19840116,000000,3.4457,3.4457,3.4457,3.4457,0,0
HKDXPT,D,19840123,000000,3.4718,3.4718,3.4718,3.4718,0,0
HKDXPT,D,19840130,000000,3.3459,3.3459,3.3459,3.3459,0,0
HKDXPT,D,19840206,000000,3.3286,3.3286,3.3286,3.3286,0,0
HKDXPT,D,19840213,000000,3.3848,3.3848,3.3848,3.3848,0,0
HKDXPT,D,19840220,000000,3.3924,3.3924,3.3924,3.3924,0,0
HKDXPT,D,19840301,000000,3.2102,3.2102,3.2102,3.2102,0,0
HKDXPT,D,19840305,000000,3.1434,3.1434,3.1434,3.1434,0,0
HKDXPT,D,19840312,000000,3.2444,3.2444,3.2444,3.2444,0,0
HKDXPT,D,19840319,000000,3.2332,3.2332,3.2332,3.2332,0,0
HKDXPT,D,19840326,000000,3.2247,3.2247,3.2247,3.2247,0,0
HKDXPT,D,19840402,000000,3.3018,3.3018,3.3018,3.3018,0,0
HKDXPT,D,19840409,000000,3.2541,3.2541,3.2541,3.2541,0,0
HKDXPT,D,19840416,000000,3.2707,3.2707,3.2707,3.2707,0,0
HKDXPT,D,19840424,000000,3.1658,3.1658,3.1658,3.1658,0,0
HKDXPT,D,19840502,000000,3.3011,3.3011,3.3011,3.3011,0,0
HKDXPT,D,19840507,000000,3.3445,3.3445,3.3445,3.3445,0,0
HKDXPT,D,19840514,000000,3.3065,3.3065,3.3065,3.3065,0,0
HKDXPT,D,19840521,000000,3.2535,3.2535,3.2535,3.2535,0,0
HKDXPT,D,19840528,000000,3.2535,3.2535,3.2535,3.2535,0,0
HKDXPT,D,19840604,000000,3.2313,3.2313,3.2313,3.2313,0,0
HKDXPT,D,19840611,000000,3.3992,3.3992,3.3992,3.3992,0,0
HKDXPT,D,19840618,000000,3.3254,3.3254,3.3254,3.3254,0,0
HKDXPT,D,19840625,000000,3.396,3.396,3.396,3.396,0,0
HKDXPT,D,19840702,000000,3.4139,3.4139,3.4139,3.4139,0,0
HKDXPT,D,19840709,000000,3.5564,3.5564,3.5564,3.5564,0,0
HKDXPT,D,19840716,000000,3.6355,3.6355,3.6355,3.6355,0,0
HKDXPT,D,19840723,000000,3.8234,3.8234,3.8234,3.8234,0,0
HKDXPT,D,19840730,000000,3.8523,3.8523,3.8523,3.8523,0,0
HKDXPT,D,19840806,000000,3.7927,3.7927,3.7927,3.7927,0,0
HKDXPT,D,19840813,000000,3.7927,3.7927,3.7927,3.7927,0,0
HKDXPT,D,19840820,000000,3.7938,3.7938,3.7938,3.7938,0,0
HKDXPT,D,19840827,000000,3.7558,3.7558,3.7558,3.7558,0,0
