<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRKDKK,D,19951023,000000,1.0284,1.0284,1.0284,1.0284,0,0
HRKDKK,D,19951024,000000,1.0298,1.0298,1.0298,1.0298,0,0
HRKDKK,D,19951025,000000,1.0571,1.0571,1.0571,1.0571,0,0
HRKDKK,D,19951026,000000,1.0563,1.0563,1.0563,1.0563,0,0
HRKDKK,D,19951027,000000,1.0475,1.0475,1.0475,1.0475,0,0
HRKDKK,D,19951030,000000,1.0607,1.0607,1.0607,1.0607,0,0
HRKDKK,D,19951031,000000,1.0622,1.0622,1.0622,1.0622,0,0
HRKDKK,D,19951102,000000,1.0554,1.0554,1.0554,1.0554,0,0
HRKDKK,D,19951103,000000,1.0501,1.0501,1.0501,1.0501,0,0
HRKDKK,D,19951106,000000,1.042,1.042,1.042,1.042,0,0
HRKDKK,D,19951107,000000,1.0497,1.0497,1.0497,1.0497,0,0
HRKDKK,D,19951108,000000,1.0499,1.0499,1.0499,1.0499,0,0
HRKDKK,D,19951109,000000,1.0498,1.0498,1.0498,1.0498,0,0
HRKDKK,D,19951110,000000,1.0417,1.0417,1.0417,1.0417,0,0
HRKDKK,D,19951113,000000,1.038,1.038,1.038,1.038,0,0
HRKDKK,D,19951114,000000,1.0454,1.0454,1.0454,1.0454,0,0
HRKDKK,D,19951115,000000,1.0344,1.0344,1.0344,1.0344,0,0
HRKDKK,D,19951116,000000,1.0363,1.0363,1.0363,1.0363,0,0
HRKDKK,D,19951117,000000,1.0336,1.0336,1.0336,1.0336,0,0
HRKDKK,D,19951120,000000,1.0422,1.0422,1.0422,1.0422,0,0
HRKDKK,D,19951121,000000,1.0389,1.0389,1.0389,1.0389,0,0
HRKDKK,D,19951122,000000,1.0383,1.0383,1.0383,1.0383,0,0
HRKDKK,D,19951123,000000,1.0402,1.0402,1.0402,1.0402,0,0
HRKDKK,D,19951124,000000,1.0424,1.0424,1.0424,1.0424,0,0
HRKDKK,D,19951127,000000,1.0525,1.0525,1.0525,1.0525,0,0
HRKDKK,D,19951128,000000,1.0549,1.0549,1.0549,1.0549,0,0
HRKDKK,D,19951129,000000,1.0571,1.0571,1.0571,1.0571,0,0
HRKDKK,D,19951130,000000,1.0502,1.0502,1.0502,1.0502,0,0
HRKDKK,D,19951201,000000,1.0585,1.0585,1.0585,1.0585,0,0
HRKDKK,D,19951204,000000,1.0381,1.0381,1.0381,1.0381,0,0
HRKDKK,D,19951205,000000,1.0464,1.0464,1.0464,1.0464,0,0
HRKDKK,D,19951206,000000,1.0502,1.0502,1.0502,1.0502,0,0
HRKDKK,D,19951207,000000,1.0501,1.0501,1.0501,1.0501,0,0
HRKDKK,D,19951208,000000,1.0552,1.0552,1.0552,1.0552,0,0
HRKDKK,D,19951211,000000,1.0446,1.0446,1.0446,1.0446,0,0
HRKDKK,D,19951212,000000,1.0474,1.0474,1.0474,1.0474,0,0
HRKDKK,D,19951213,000000,1.0517,1.0517,1.0517,1.0517,0,0
HRKDKK,D,19951214,000000,1.0498,1.0498,1.0498,1.0498,0,0
HRKDKK,D,19951215,000000,1.0433,1.0433,1.0433,1.0433,0,0
HRKDKK,D,19951218,000000,1.0381,1.0381,1.0381,1.0381,0,0
HRKDKK,D,19951219,000000,1.0365,1.0365,1.0365,1.0365,0,0
HRKDKK,D,19951220,000000,1.0422,1.0422,1.0422,1.0422,0,0
HRKDKK,D,19951221,000000,1.0412,1.0412,1.0412,1.0412,0,0
HRKDKK,D,19951222,000000,1.043,1.043,1.043,1.043,0,0
HRKDKK,D,19951227,000000,1.0365,1.0365,1.0365,1.0365,0,0
HRKDKK,D,19951228,000000,1.0472,1.0472,1.0472,1.0472,0,0
HRKDKK,D,19951229,000000,1.0464,1.0464,1.0464,1.0464,0,0
HRKDKK,D,19960102,000000,1.0426,1.0426,1.0426,1.0426,0,0
HRKDKK,D,19960103,000000,1.05,1.05,1.05,1.05,0,0
HRKDKK,D,19960104,000000,1.0549,1.0549,1.0549,1.0549,0,0
HRKDKK,D,19960105,000000,1.044,1.044,1.044,1.044,0,0
HRKDKK,D,19960108,000000,1.0429,1.0429,1.0429,1.0429,0,0
HRKDKK,D,19960109,000000,1.0523,1.0523,1.0523,1.0523,0,0
HRKDKK,D,19960110,000000,1.0439,1.0439,1.0439,1.0439,0,0
HRKDKK,D,19960111,000000,1.0447,1.0447,1.0447,1.0447,0,0
HRKDKK,D,19960112,000000,1.0514,1.0514,1.0514,1.0514,0,0
HRKDKK,D,19960115,000000,1.0512,1.0512,1.0512,1.0512,0,0
HRKDKK,D,19960116,000000,1.0562,1.0562,1.0562,1.0562,0,0
HRKDKK,D,19960117,000000,1.0607,1.0607,1.0607,1.0607,0,0
HRKDKK,D,19960118,000000,1.0518,1.0518,1.0518,1.0518,0,0
HRKDKK,D,19960119,000000,1.0561,1.0561,1.0561,1.0561,0,0
HRKDKK,D,19960122,000000,1.0533,1.0533,1.0533,1.0533,0,0
HRKDKK,D,19960123,000000,1.0483,1.0483,1.0483,1.0483,0,0
HRKDKK,D,19960124,000000,1.058,1.058,1.058,1.058,0,0
HRKDKK,D,19960125,000000,1.0432,1.0432,1.0432,1.0432,0,0
HRKDKK,D,19960126,000000,1.0495,1.0495,1.0495,1.0495,0,0
HRKDKK,D,19960129,000000,1.0478,1.0478,1.0478,1.0478,0,0
HRKDKK,D,19960130,000000,1.0478,1.0478,1.0478,1.0478,0,0
HRKDKK,D,19960131,000000,1.0522,1.0522,1.0522,1.0522,0,0
HRKDKK,D,19960201,000000,1.0502,1.0502,1.0502,1.0502,0,0
HRKDKK,D,19960202,000000,1.0513,1.0513,1.0513,1.0513,0,0
HRKDKK,D,19960205,000000,1.0378,1.0378,1.0378,1.0378,0,0
HRKDKK,D,19960206,000000,1.035,1.035,1.035,1.035,0,0
HRKDKK,D,19960207,000000,1.0485,1.0485,1.0485,1.0485,0,0
HRKDKK,D,19960208,000000,1.0511,1.0511,1.0511,1.0511,0,0
HRKDKK,D,19960209,000000,1.0432,1.0432,1.0432,1.0432,0,0
HRKDKK,D,19960212,000000,1.0443,1.0443,1.0443,1.0443,0,0
HRKDKK,D,19960213,000000,1.0482,1.0482,1.0482,1.0482,0,0
HRKDKK,D,19960214,000000,1.0458,1.0458,1.0458,1.0458,0,0
HRKDKK,D,19960215,000000,1.0437,1.0437,1.0437,1.0437,0,0
HRKDKK,D,19960216,000000,1.0448,1.0448,1.0448,1.0448,0,0
HRKDKK,D,19960219,000000,1.0323,1.0323,1.0323,1.0323,0,0
HRKDKK,D,19960220,000000,1.0347,1.0347,1.0347,1.0347,0,0
HRKDKK,D,19960221,000000,1.0514,1.0514,1.0514,1.0514,0,0
HRKDKK,D,19960222,000000,1.0503,1.0503,1.0503,1.0503,0,0
HRKDKK,D,19960223,000000,1.0515,1.0515,1.0515,1.0515,0,0
HRKDKK,D,19960226,000000,1.0425,1.0425,1.0425,1.0425,0,0
HRKDKK,D,19960227,000000,1.0522,1.0522,1.0522,1.0522,0,0
HRKDKK,D,19960228,000000,1.0519,1.0519,1.0519,1.0519,0,0
HRKDKK,D,19960229,000000,1.0627,1.0627,1.0627,1.0627,0,0
HRKDKK,D,19960301,000000,1.0594,1.0594,1.0594,1.0594,0,0
HRKDKK,D,19960304,000000,1.0539,1.0539,1.0539,1.0539,0,0
HRKDKK,D,19960305,000000,1.0545,1.0545,1.0545,1.0545,0,0
HRKDKK,D,19960306,000000,1.0488,1.0488,1.0488,1.0488,0,0
HRKDKK,D,19960307,000000,1.0549,1.0549,1.0549,1.0549,0,0
HRKDKK,D,19960308,000000,1.0473,1.0473,1.0473,1.0473,0,0
HRKDKK,D,19960311,000000,1.0502,1.0502,1.0502,1.0502,0,0
HRKDKK,D,19960312,000000,1.0516,1.0516,1.0516,1.0516,0,0
HRKDKK,D,19960313,000000,1.0427,1.0427,1.0427,1.0427,0,0
HRKDKK,D,19960314,000000,1.0416,1.0416,1.0416,1.0416,0,0
HRKDKK,D,19960315,000000,1.0554,1.0554,1.0554,1.0554,0,0
HRKDKK,D,19960318,000000,1.0552,1.0552,1.0552,1.0552,0,0
HRKDKK,D,19960319,000000,1.0589,1.0589,1.0589,1.0589,0,0
HRKDKK,D,19960320,000000,1.0556,1.0556,1.0556,1.0556,0,0
HRKDKK,D,19960321,000000,1.0581,1.0581,1.0581,1.0581,0,0
HRKDKK,D,19960322,000000,1.0589,1.0589,1.0589,1.0589,0,0
HRKDKK,D,19960325,000000,1.0567,1.0567,1.0567,1.0567,0,0
HRKDKK,D,19960326,000000,1.0567,1.0567,1.0567,1.0567,0,0
HRKDKK,D,19960327,000000,1.0634,1.0634,1.0634,1.0634,0,0
