<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HRKXAG,D,19951023,000000,3.5526,3.5526,3.5526,3.5526,0,0
HRKXAG,D,19951024,000000,3.5526,3.5526,3.5526,3.5526,0,0
HRKXAG,D,19951025,000000,3.5853,3.5853,3.5853,3.5853,0,0
HRKXAG,D,19951026,000000,3.5809,3.5809,3.5809,3.5809,0,0
HRKXAG,D,19951027,000000,3.655,3.655,3.655,3.655,0,0
HRKXAG,D,19951030,000000,3.6388,3.6388,3.6388,3.6388,0,0
HRKXAG,D,19951031,000000,3.6319,3.6319,3.6319,3.6319,0,0
HRKXAG,D,19951102,000000,3.5949,3.5949,3.5949,3.5949,0,0
HRKXAG,D,19951103,000000,3.601,3.601,3.601,3.601,0,0
HRKXAG,D,19951106,000000,3.6078,3.6078,3.6078,3.6078,0,0
HRKXAG,D,19951107,000000,3.5697,3.5697,3.5697,3.5697,0,0
HRKXAG,D,19951108,000000,3.5698,3.5698,3.5698,3.5698,0,0
HRKXAG,D,19951109,000000,3.5345,3.5345,3.5345,3.5345,0,0
HRKXAG,D,19951110,000000,3.4955,3.4955,3.4955,3.4955,0,0
HRKXAG,D,19951113,000000,3.5743,3.5743,3.5743,3.5743,0,0
HRKXAG,D,19951114,000000,3.5743,3.5743,3.5743,3.5743,0,0
HRKXAG,D,19951115,000000,3.561,3.561,3.561,3.561,0,0
HRKXAG,D,19951116,000000,3.5743,3.5743,3.5743,3.5743,0,0
HRKXAG,D,19951117,000000,3.5476,3.5476,3.5476,3.5476,0,0
HRKXAG,D,19951120,000000,3.5543,3.5543,3.5543,3.5543,0,0
HRKXAG,D,19951121,000000,3.5946,3.5946,3.5946,3.5946,0,0
HRKXAG,D,19951122,000000,3.6638,3.6638,3.6638,3.6638,0,0
HRKXAG,D,19951123,000000,3.6498,3.6498,3.6498,3.6498,0,0
HRKXAG,D,19951124,000000,3.6289,3.6289,3.6289,3.6289,0,0
HRKXAG,D,19951127,000000,3.6428,3.6428,3.6428,3.6428,0,0
HRKXAG,D,19951128,000000,3.6325,3.6325,3.6325,3.6325,0,0
HRKXAG,D,19951129,000000,3.6676,3.6676,3.6676,3.6676,0,0
HRKXAG,D,19951130,000000,3.6064,3.6064,3.6064,3.6064,0,0
HRKXAG,D,19951201,000000,3.6272,3.6272,3.6272,3.6272,0,0
HRKXAG,D,19951204,000000,3.5893,3.5893,3.5893,3.5893,0,0
HRKXAG,D,19951205,000000,3.5938,3.5938,3.5938,3.5938,0,0
HRKXAG,D,19951206,000000,3.5869,3.5869,3.5869,3.5869,0,0
HRKXAG,D,19951207,000000,3.5938,3.5938,3.5938,3.5938,0,0
HRKXAG,D,19951208,000000,3.6075,3.6075,3.6075,3.6075,0,0
HRKXAG,D,19951211,000000,3.5877,3.5877,3.5877,3.5877,0,0
HRKXAG,D,19951212,000000,3.6154,3.6154,3.6154,3.6154,0,0
HRKXAG,D,19951213,000000,3.6508,3.6508,3.6508,3.6508,0,0
