<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUFEUR,D,19951023,000000,0.5863,0.5863,0.5863,0.5863,0,0
HUFEUR,D,19951024,000000,0.5861,0.5861,0.5861,0.5861,0,0
HUFEUR,D,19951025,000000,0.5867,0.5867,0.5867,0.5867,0,0
HUFEUR,D,19951026,000000,0.5871,0.5871,0.5871,0.5871,0,0
HUFEUR,D,19951027,000000,0.5808,0.5808,0.5808,0.5808,0,0
HUFEUR,D,19951030,000000,0.5855,0.5855,0.5855,0.5855,0,0
HUFEUR,D,19951031,000000,0.585,0.585,0.585,0.585,0,0
HUFEUR,D,19951102,000000,0.5856,0.5856,0.5856,0.5856,0,0
HUFEUR,D,19951103,000000,0.5854,0.5854,0.5854,0.5854,0,0
HUFEUR,D,19951106,000000,0.5835,0.5835,0.5835,0.5835,0,0
HUFEUR,D,19951107,000000,0.5843,0.5843,0.5843,0.5843,0,0
HUFEUR,D,19951108,000000,0.5826,0.5826,0.5826,0.5826,0,0
HUFEUR,D,19951109,000000,0.5836,0.5836,0.5836,0.5836,0,0
HUFEUR,D,19951110,000000,0.5832,0.5832,0.5832,0.5832,0,0
HUFEUR,D,19951113,000000,0.5805,0.5805,0.5805,0.5805,0,0
HUFEUR,D,19951114,000000,0.5821,0.5821,0.5821,0.5821,0,0
HUFEUR,D,19951115,000000,0.5803,0.5803,0.5803,0.5803,0,0
HUFEUR,D,19951116,000000,0.5795,0.5795,0.5795,0.5795,0,0
HUFEUR,D,19951117,000000,0.5788,0.5788,0.5788,0.5788,0,0
HUFEUR,D,19951120,000000,0.5803,0.5803,0.5803,0.5803,0,0
HUFEUR,D,19951121,000000,0.5785,0.5785,0.5785,0.5785,0,0
HUFEUR,D,19951122,000000,0.5792,0.5792,0.5792,0.5792,0,0
HUFEUR,D,19951123,000000,0.5781,0.5781,0.5781,0.5781,0,0
HUFEUR,D,19951124,000000,0.5775,0.5775,0.5775,0.5775,0,0
HUFEUR,D,19951127,000000,0.5797,0.5797,0.5797,0.5797,0,0
HUFEUR,D,19951128,000000,0.578,0.578,0.578,0.578,0,0
HUFEUR,D,19951129,000000,0.5798,0.5798,0.5798,0.5798,0,0
HUFEUR,D,19951130,000000,0.5752,0.5752,0.5752,0.5752,0,0
HUFEUR,D,19951201,000000,0.5792,0.5792,0.5792,0.5792,0,0
HUFEUR,D,19951204,000000,0.575,0.575,0.575,0.575,0,0
HUFEUR,D,19951205,000000,0.5782,0.5782,0.5782,0.5782,0,0
HUFEUR,D,19951206,000000,0.578,0.578,0.578,0.578,0,0
HUFEUR,D,19951207,000000,0.5782,0.5782,0.5782,0.5782,0,0
HUFEUR,D,19951208,000000,0.5778,0.5778,0.5778,0.5778,0,0
HUFEUR,D,19951211,000000,0.5796,0.5796,0.5796,0.5796,0,0
HUFEUR,D,19951212,000000,0.5786,0.5786,0.5786,0.5786,0,0
HUFEUR,D,19951213,000000,0.5791,0.5791,0.5791,0.5791,0,0
HUFEUR,D,19951214,000000,0.5795,0.5795,0.5795,0.5795,0,0
HUFEUR,D,19951215,000000,0.5762,0.5762,0.5762,0.5762,0,0
HUFEUR,D,19951218,000000,0.5771,0.5771,0.5771,0.5771,0,0
HUFEUR,D,19951219,000000,0.5754,0.5754,0.5754,0.5754,0,0
HUFEUR,D,19951220,000000,0.5782,0.5782,0.5782,0.5782,0,0
HUFEUR,D,19951221,000000,0.5766,0.5766,0.5766,0.5766,0,0
HUFEUR,D,19951222,000000,0.5773,0.5773,0.5773,0.5773,0,0
HUFEUR,D,19951227,000000,0.5708,0.5708,0.5708,0.5708,0,0
HUFEUR,D,19951228,000000,0.5689,0.5689,0.5689,0.5689,0,0
HUFEUR,D,19951229,000000,0.566,0.566,0.566,0.566,0,0
HUFEUR,D,19960102,000000,0.5681,0.5681,0.5681,0.5681,0,0
HUFEUR,D,19960103,000000,0.5694,0.5694,0.5694,0.5694,0,0
HUFEUR,D,19960104,000000,0.5719,0.5719,0.5719,0.5719,0,0
HUFEUR,D,19960105,000000,0.5744,0.5744,0.5744,0.5744,0,0
HUFEUR,D,19960108,000000,0.5714,0.5714,0.5714,0.5714,0,0
HUFEUR,D,19960109,000000,0.571,0.571,0.571,0.571,0,0
HUFEUR,D,19960110,000000,0.5689,0.5689,0.5689,0.5689,0,0
HUFEUR,D,19960111,000000,0.568,0.568,0.568,0.568,0,0
HUFEUR,D,19960112,000000,0.5671,0.5671,0.5671,0.5671,0,0
HUFEUR,D,19960115,000000,0.5672,0.5672,0.5672,0.5672,0,0
HUFEUR,D,19960116,000000,0.571,0.571,0.571,0.571,0,0
HUFEUR,D,19960117,000000,0.5734,0.5734,0.5734,0.5734,0,0
HUFEUR,D,19960118,000000,0.5711,0.5711,0.5711,0.5711,0,0
HUFEUR,D,19960119,000000,0.5686,0.5686,0.5686,0.5686,0,0
HUFEUR,D,19960122,000000,0.5749,0.5749,0.5749,0.5749,0,0
HUFEUR,D,19960123,000000,0.5737,0.5737,0.5737,0.5737,0,0
HUFEUR,D,19960124,000000,0.5726,0.5726,0.5726,0.5726,0,0
HUFEUR,D,19960125,000000,0.5737,0.5737,0.5737,0.5737,0,0
HUFEUR,D,19960126,000000,0.571,0.571,0.571,0.571,0,0
HUFEUR,D,19960129,000000,0.5741,0.5741,0.5741,0.5741,0,0
HUFEUR,D,19960130,000000,0.5722,0.5722,0.5722,0.5722,0,0
HUFEUR,D,19960131,000000,0.5736,0.5736,0.5736,0.5736,0,0
HUFEUR,D,19960201,000000,0.5724,0.5724,0.5724,0.5724,0,0
HUFEUR,D,19960202,000000,0.5717,0.5717,0.5717,0.5717,0,0
HUFEUR,D,19960205,000000,0.5717,0.5717,0.5717,0.5717,0,0
HUFEUR,D,19960206,000000,0.5673,0.5673,0.5673,0.5673,0,0
HUFEUR,D,19960207,000000,0.5666,0.5666,0.5666,0.5666,0,0
HUFEUR,D,19960208,000000,0.5648,0.5648,0.5648,0.5648,0,0
HUFEUR,D,19960209,000000,0.5673,0.5673,0.5673,0.5673,0,0
HUFEUR,D,19960212,000000,0.5672,0.5672,0.5672,0.5672,0,0
HUFEUR,D,19960213,000000,0.5684,0.5684,0.5684,0.5684,0,0
HUFEUR,D,19960214,000000,0.5639,0.5639,0.5639,0.5639,0,0
HUFEUR,D,19960215,000000,0.5692,0.5692,0.5692,0.5692,0,0
HUFEUR,D,19960216,000000,0.5668,0.5668,0.5668,0.5668,0,0
HUFEUR,D,19960219,000000,0.558,0.558,0.558,0.558,0,0
HUFEUR,D,19960220,000000,0.5614,0.5614,0.5614,0.5614,0,0
HUFEUR,D,19960221,000000,0.5629,0.5629,0.5629,0.5629,0,0
HUFEUR,D,19960222,000000,0.5588,0.5588,0.5588,0.5588,0,0
HUFEUR,D,19960223,000000,0.559,0.559,0.559,0.559,0,0
HUFEUR,D,19960226,000000,0.562,0.562,0.562,0.562,0,0
HUFEUR,D,19960227,000000,0.556,0.556,0.556,0.556,0,0
HUFEUR,D,19960228,000000,0.5564,0.5564,0.5564,0.5564,0,0
HUFEUR,D,19960229,000000,0.5572,0.5572,0.5572,0.5572,0,0
HUFEUR,D,19960301,000000,0.5607,0.5607,0.5607,0.5607,0,0
HUFEUR,D,19960304,000000,0.558,0.558,0.558,0.558,0,0
HUFEUR,D,19960305,000000,0.5582,0.5582,0.5582,0.5582,0,0
HUFEUR,D,19960306,000000,0.5582,0.5582,0.5582,0.5582,0,0
HUFEUR,D,19960307,000000,0.5612,0.5612,0.5612,0.5612,0,0
HUFEUR,D,19960308,000000,0.5615,0.5615,0.5615,0.5615,0,0
HUFEUR,D,19960311,000000,0.563,0.563,0.563,0.563,0,0
HUFEUR,D,19960312,000000,0.5634,0.5634,0.5634,0.5634,0,0
HUFEUR,D,19960313,000000,0.5596,0.5596,0.5596,0.5596,0,0
HUFEUR,D,19960314,000000,0.5594,0.5594,0.5594,0.5594,0,0
HUFEUR,D,19960315,000000,0.5564,0.5564,0.5564,0.5564,0,0
HUFEUR,D,19960318,000000,0.5574,0.5574,0.5574,0.5574,0,0
HUFEUR,D,19960319,000000,0.5596,0.5596,0.5596,0.5596,0,0
HUFEUR,D,19960320,000000,0.5572,0.5572,0.5572,0.5572,0,0
HUFEUR,D,19960321,000000,0.558,0.558,0.558,0.558,0,0
HUFEUR,D,19960322,000000,0.5581,0.5581,0.5581,0.5581,0,0
HUFEUR,D,19960325,000000,0.5567,0.5567,0.5567,0.5567,0,0
HUFEUR,D,19960326,000000,0.5557,0.5557,0.5557,0.5557,0,0
HUFEUR,D,19960327,000000,0.5588,0.5588,0.5588,0.5588,0,0
HUFEUR,D,19960328,000000,0.5562,0.5562,0.5562,0.5562,0,0
HUFEUR,D,19960329,000000,0.5561,0.5561,0.5561,0.5561,0,0
HUFEUR,D,19960401,000000,0.556,0.556,0.556,0.556,0,0
HUFEUR,D,19960402,000000,0.5548,0.5548,0.5548,0.5548,0,0
HUFEUR,D,19960403,000000,0.5529,0.5529,0.5529,0.5529,0,0
HUFEUR,D,19960404,000000,0.553,0.553,0.553,0.553,0,0
HUFEUR,D,19960405,000000,0.5526,0.5526,0.5526,0.5526,0,0
HUFEUR,D,19960409,000000,0.5551,0.5551,0.5551,0.5551,0,0
HUFEUR,D,19960410,000000,0.5529,0.5529,0.5529,0.5529,0,0
HUFEUR,D,19960411,000000,0.5532,0.5532,0.5532,0.5532,0,0
HUFEUR,D,19960412,000000,0.5538,0.5538,0.5538,0.5538,0,0
HUFEUR,D,19960415,000000,0.5506,0.5506,0.5506,0.5506,0,0
HUFEUR,D,19960416,000000,0.5553,0.5553,0.5553,0.5553,0,0
HUFEUR,D,19960417,000000,0.5549,0.5549,0.5549,0.5549,0,0
HUFEUR,D,19960418,000000,0.5537,0.5537,0.5537,0.5537,0,0
HUFEUR,D,19960419,000000,0.5502,0.5502,0.5502,0.5502,0,0
HUFEUR,D,19960422,000000,0.5495,0.5495,0.5495,0.5495,0,0
HUFEUR,D,19960423,000000,0.5497,0.5497,0.5497,0.5497,0,0
HUFEUR,D,19960424,000000,0.55,0.55,0.55,0.55,0,0
HUFEUR,D,19960425,000000,0.5513,0.5513,0.5513,0.5513,0,0
HUFEUR,D,19960426,000000,0.5535,0.5535,0.5535,0.5535,0,0
HUFEUR,D,19960429,000000,0.5489,0.5489,0.5489,0.5489,0,0
HUFEUR,D,19960430,000000,0.5532,0.5532,0.5532,0.5532,0,0
HUFEUR,D,19960506,000000,0.5508,0.5508,0.5508,0.5508,0,0
HUFEUR,D,19960507,000000,0.55,0.55,0.55,0.55,0,0
HUFEUR,D,19960508,000000,0.5537,0.5537,0.5537,0.5537,0,0
HUFEUR,D,19960509,000000,0.5533,0.5533,0.5533,0.5533,0,0
HUFEUR,D,19960510,000000,0.5528,0.5528,0.5528,0.5528,0,0
