<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HUFRUB,D,19951023,000000,0.03466,0.03466,0.03466,0.03466,0,0
HUFRUB,D,19951024,000000,0.03461,0.03461,0.03461,0.03461,0,0
HUFRUB,D,19951025,000000,0.03455,0.03455,0.03455,0.03455,0,0
HUFRUB,D,19951026,000000,0.03448,0.03448,0.03448,0.03448,0,0
HUFRUB,D,19951027,000000,0.03449,0.03449,0.03449,0.03449,0,0
HUFRUB,D,19951030,000000,0.03435,0.03435,0.03435,0.03435,0,0
HUFRUB,D,19951031,000000,0.0343,0.0343,0.0343,0.0343,0,0
HUFRUB,D,19951102,000000,0.03422,0.03422,0.03422,0.03422,0,0
HUFRUB,D,19951103,000000,0.03417,0.03417,0.03417,0.03417,0,0
HUFRUB,D,19951106,000000,0.03422,0.03422,0.03422,0.03422,0,0
HUFRUB,D,19951107,000000,0.03423,0.03423,0.03423,0.03423,0,0
HUFRUB,D,19951108,000000,0.03416,0.03416,0.03416,0.03416,0,0
HUFRUB,D,19951109,000000,0.03407,0.03407,0.03407,0.03407,0,0
HUFRUB,D,19951110,000000,0.03414,0.03414,0.03414,0.03414,0,0
HUFRUB,D,19951113,000000,0.03415,0.03415,0.03415,0.03415,0,0
HUFRUB,D,19951114,000000,0.03416,0.03416,0.03416,0.03416,0,0
HUFRUB,D,19951115,000000,0.03435,0.03435,0.03435,0.03435,0,0
HUFRUB,D,19951116,000000,0.03417,0.03417,0.03417,0.03417,0,0
HUFRUB,D,19951117,000000,0.03441,0.03441,0.03441,0.03441,0,0
HUFRUB,D,19951120,000000,0.03431,0.03431,0.03431,0.03431,0,0
HUFRUB,D,19951121,000000,0.03427,0.03427,0.03427,0.03427,0,0
HUFRUB,D,19951122,000000,0.03447,0.03447,0.03447,0.03447,0,0
HUFRUB,D,19951123,000000,0.03444,0.03444,0.03444,0.03444,0,0
