<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRAUD,D,19931025,000000,7.1031,7.1031,7.1031,7.1031,0,0
IDRAUD,D,19931026,000000,7.114,7.114,7.114,7.114,0,0
IDRAUD,D,19931027,000000,7.1106,7.1106,7.1106,7.1106,0,0
IDRAUD,D,19931028,000000,7.1668,7.1668,7.1668,7.1668,0,0
IDRAUD,D,19931029,000000,7.1451,7.1451,7.1451,7.1451,0,0
IDRAUD,D,19931102,000000,7.1331,7.1331,7.1331,7.1331,0,0
IDRAUD,D,19931103,000000,7.0713,7.0713,7.0713,7.0713,0,0
IDRAUD,D,19931104,000000,7.0447,7.0447,7.0447,7.0447,0,0
IDRAUD,D,19931105,000000,7.0623,7.0623,7.0623,7.0623,0,0
IDRAUD,D,19931108,000000,7.0725,7.0725,7.0725,7.0725,0,0
IDRAUD,D,19931109,000000,7.1237,7.1237,7.1237,7.1237,0,0
IDRAUD,D,19931110,000000,7.1592,7.1592,7.1592,7.1592,0,0
IDRAUD,D,19931112,000000,7.1837,7.1837,7.1837,7.1837,0,0
IDRAUD,D,19931115,000000,7.2741,7.2741,7.2741,7.2741,0,0
IDRAUD,D,19931116,000000,7.2906,7.2906,7.2906,7.2906,0,0
IDRAUD,D,19931117,000000,7.2608,7.2608,7.2608,7.2608,0,0
IDRAUD,D,19931118,000000,7.2064,7.2064,7.2064,7.2064,0,0
IDRAUD,D,19931119,000000,7.1781,7.1781,7.1781,7.1781,0,0
IDRAUD,D,19931122,000000,7.1876,7.1876,7.1876,7.1876,0,0
IDRAUD,D,19931123,000000,7.204,7.204,7.204,7.204,0,0
IDRAUD,D,19931124,000000,7.1758,7.1758,7.1758,7.1758,0,0
IDRAUD,D,19931125,000000,7.1797,7.1797,7.1797,7.1797,0,0
IDRAUD,D,19931126,000000,7.1581,7.1581,7.1581,7.1581,0,0
IDRAUD,D,19931129,000000,7.1887,7.1887,7.1887,7.1887,0,0
IDRAUD,D,19931130,000000,7.2017,7.2017,7.2017,7.2017,0,0
IDRAUD,D,19931201,000000,7.2096,7.2096,7.2096,7.2096,0,0
IDRAUD,D,19931202,000000,7.2257,7.2257,7.2257,7.2257,0,0
IDRAUD,D,19931203,000000,7.1708,7.1708,7.1708,7.1708,0,0
IDRAUD,D,19931206,000000,7.1042,7.1042,7.1042,7.1042,0,0
IDRAUD,D,19931207,000000,7.1127,7.1127,7.1127,7.1127,0,0
IDRAUD,D,19931208,000000,7.1574,7.1574,7.1574,7.1574,0,0
IDRAUD,D,19931209,000000,7.0903,7.0903,7.0903,7.0903,0,0
IDRAUD,D,19931210,000000,7.0681,7.0681,7.0681,7.0681,0,0
IDRAUD,D,19931213,000000,7.1047,7.1047,7.1047,7.1047,0,0
IDRAUD,D,19931214,000000,7.0836,7.0836,7.0836,7.0836,0,0
IDRAUD,D,19931215,000000,7.0824,7.0824,7.0824,7.0824,0,0
IDRAUD,D,19931216,000000,7.0554,7.0554,7.0554,7.0554,0,0
IDRAUD,D,19931217,000000,7.0431,7.0431,7.0431,7.0431,0,0
IDRAUD,D,19931220,000000,7.0266,7.0266,7.0266,7.0266,0,0
IDRAUD,D,19931221,000000,7.0066,7.0066,7.0066,7.0066,0,0
IDRAUD,D,19931222,000000,6.9846,6.9846,6.9846,6.9846,0,0
IDRAUD,D,19931223,000000,6.9902,6.9902,6.9902,6.9902,0,0
IDRAUD,D,19931224,000000,7.019,7.019,7.019,7.019,0,0
IDRAUD,D,19931227,000000,7.0003,7.0003,7.0003,7.0003,0,0
IDRAUD,D,19931228,000000,7.0033,7.0033,7.0033,7.0033,0,0
IDRAUD,D,19931229,000000,6.9888,6.9888,6.9888,6.9888,0,0
IDRAUD,D,19931230,000000,7.0243,7.0243,7.0243,7.0243,0,0
IDRAUD,D,19931231,000000,7.0201,7.0201,7.0201,7.0201,0,0
IDRAUD,D,19940103,000000,6.9951,6.9951,6.9951,6.9951,0,0
IDRAUD,D,19940104,000000,7.0012,7.0012,7.0012,7.0012,0,0
IDRAUD,D,19940105,000000,6.9439,6.9439,6.9439,6.9439,0,0
IDRAUD,D,19940106,000000,6.939,6.939,6.939,6.939,0,0
IDRAUD,D,19940107,000000,6.955,6.955,6.955,6.955,0,0
IDRAUD,D,19940110,000000,6.9419,6.9419,6.9419,6.9419,0,0
IDRAUD,D,19940111,000000,6.9449,6.9449,6.9449,6.9449,0,0
IDRAUD,D,19940112,000000,6.8424,6.8424,6.8424,6.8424,0,0
IDRAUD,D,19940113,000000,6.8699,6.8699,6.8699,6.8699,0,0
IDRAUD,D,19940114,000000,6.8322,6.8322,6.8322,6.8322,0,0
IDRAUD,D,19940117,000000,6.858,6.858,6.858,6.858,0,0
IDRAUD,D,19940118,000000,6.8193,6.8193,6.8193,6.8193,0,0
