<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRHKD,D,19931025,000000,36.757,36.757,36.757,36.757,0,0
IDRHKD,D,19931026,000000,36.779,36.779,36.779,36.779,0,0
IDRHKD,D,19931027,000000,36.803,36.803,36.803,36.803,0,0
IDRHKD,D,19931028,000000,36.808,36.808,36.808,36.808,0,0
IDRHKD,D,19931029,000000,36.777,36.777,36.777,36.777,0,0
IDRHKD,D,19931102,000000,36.789,36.789,36.789,36.789,0,0
IDRHKD,D,19931103,000000,36.804,36.804,36.804,36.804,0,0
IDRHKD,D,19931104,000000,36.819,36.819,36.819,36.819,0,0
IDRHKD,D,19931105,000000,36.827,36.827,36.827,36.827,0,0
IDRHKD,D,19931108,000000,36.855,36.855,36.855,36.855,0,0
IDRHKD,D,19931109,000000,36.893,36.893,36.893,36.893,0,0
IDRHKD,D,19931110,000000,36.907,36.907,36.907,36.907,0,0
IDRHKD,D,19931112,000000,36.957,36.957,36.957,36.957,0,0
IDRHKD,D,19931115,000000,36.988,36.988,36.988,36.988,0,0
IDRHKD,D,19931116,000000,36.951,36.951,36.951,36.951,0,0
IDRHKD,D,19931117,000000,36.92,36.92,36.92,36.92,0,0
IDRHKD,D,19931118,000000,36.86,36.86,36.86,36.86,0,0
IDRHKD,D,19931119,000000,36.799,36.799,36.799,36.799,0,0
IDRHKD,D,19931122,000000,36.694,36.694,36.694,36.694,0,0
IDRHKD,D,19931123,000000,36.698,36.698,36.698,36.698,0,0
IDRHKD,D,19931124,000000,36.808,36.808,36.808,36.808,0,0
IDRHKD,D,19931125,000000,36.814,36.814,36.814,36.814,0,0
IDRHKD,D,19931126,000000,36.823,36.823,36.823,36.823,0,0
IDRHKD,D,19931129,000000,36.781,36.781,36.781,36.781,0,0
IDRHKD,D,19931130,000000,36.738,36.738,36.738,36.738,0,0
IDRHKD,D,19931201,000000,36.696,36.696,36.696,36.696,0,0
IDRHKD,D,19931202,000000,36.716,36.716,36.716,36.716,0,0
IDRHKD,D,19931203,000000,36.683,36.683,36.683,36.683,0,0
IDRHKD,D,19931206,000000,36.695,36.695,36.695,36.695,0,0
IDRHKD,D,19931207,000000,36.732,36.732,36.732,36.732,0,0
IDRHKD,D,19931208,000000,36.731,36.731,36.731,36.731,0,0
IDRHKD,D,19931209,000000,36.719,36.719,36.719,36.719,0,0
IDRHKD,D,19931210,000000,36.711,36.711,36.711,36.711,0,0
IDRHKD,D,19931213,000000,36.737,36.737,36.737,36.737,0,0
IDRHKD,D,19931214,000000,36.714,36.714,36.714,36.714,0,0
IDRHKD,D,19931215,000000,36.717,36.717,36.717,36.717,0,0
IDRHKD,D,19931216,000000,36.734,36.734,36.734,36.734,0,0
IDRHKD,D,19931217,000000,36.743,36.743,36.743,36.743,0,0
IDRHKD,D,19931220,000000,36.753,36.753,36.753,36.753,0,0
IDRHKD,D,19931221,000000,36.747,36.747,36.747,36.747,0,0
IDRHKD,D,19931222,000000,36.731,36.731,36.731,36.731,0,0
IDRHKD,D,19931223,000000,36.722,36.722,36.722,36.722,0,0
IDRHKD,D,19931224,000000,36.71,36.71,36.71,36.71,0,0
IDRHKD,D,19931227,000000,36.713,36.713,36.713,36.713,0,0
IDRHKD,D,19931228,000000,36.709,36.709,36.709,36.709,0,0
IDRHKD,D,19931229,000000,36.69,36.69,36.69,36.69,0,0
IDRHKD,D,19931230,000000,36.605,36.605,36.605,36.605,0,0
IDRHKD,D,19931231,000000,36.622,36.622,36.622,36.622,0,0
IDRHKD,D,19940103,000000,36.683,36.683,36.683,36.683,0,0
IDRHKD,D,19940104,000000,36.675,36.675,36.675,36.675,0,0
IDRHKD,D,19940105,000000,36.698,36.698,36.698,36.698,0,0
IDRHKD,D,19940106,000000,36.724,36.724,36.724,36.724,0,0
IDRHKD,D,19940107,000000,36.773,36.773,36.773,36.773,0,0
IDRHKD,D,19940110,000000,36.773,36.773,36.773,36.773,0,0
IDRHKD,D,19940111,000000,36.824,36.824,36.824,36.824,0,0
