<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRHRK,D,19951023,000000,23.194,23.194,23.194,23.194,0,0
IDRHRK,D,19951024,000000,23.173,23.173,23.173,23.173,0,0
IDRHRK,D,19951025,000000,22.658,22.658,22.658,22.658,0,0
IDRHRK,D,19951026,000000,22.718,22.718,22.718,22.718,0,0
IDRHRK,D,19951027,000000,22.638,22.638,22.638,22.638,0,0
IDRHRK,D,19951030,000000,22.724,22.724,22.724,22.724,0,0
IDRHRK,D,19951031,000000,22.739,22.739,22.739,22.739,0,0
IDRHRK,D,19951102,000000,22.926,22.926,22.926,22.926,0,0
IDRHRK,D,19951103,000000,23.024,23.024,23.024,23.024,0,0
IDRHRK,D,19951106,000000,23.022,23.022,23.022,23.022,0,0
IDRHRK,D,19951107,000000,22.973,22.973,22.973,22.973,0,0
IDRHRK,D,19951108,000000,22.953,22.953,22.953,22.953,0,0
IDRHRK,D,19951109,000000,23.045,23.045,23.045,23.045,0,0
IDRHRK,D,19951110,000000,23.035,23.035,23.035,23.035,0,0
IDRHRK,D,19951113,000000,23.07,23.07,23.07,23.07,0,0
IDRHRK,D,19951114,000000,23.025,23.025,23.025,23.025,0,0
IDRHRK,D,19951115,000000,23.005,23.005,23.005,23.005,0,0
IDRHRK,D,19951116,000000,22.954,22.954,22.954,22.954,0,0
IDRHRK,D,19951117,000000,23.021,23.021,23.021,23.021,0,0
IDRHRK,D,19951120,000000,23.028,23.028,23.028,23.028,0,0
IDRHRK,D,19951121,000000,23.004,23.004,23.004,23.004,0,0
IDRHRK,D,19951122,000000,23.001,23.001,23.001,23.001,0,0
IDRHRK,D,19951123,000000,22.986,22.986,22.986,22.986,0,0
IDRHRK,D,19951124,000000,22.988,22.988,22.988,22.988,0,0
IDRHRK,D,19951127,000000,22.886,22.886,22.886,22.886,0,0
IDRHRK,D,19951128,000000,22.97,22.97,22.97,22.97,0,0
IDRHRK,D,19951129,000000,22.926,22.926,22.926,22.926,0,0
IDRHRK,D,19951130,000000,23.095,23.095,23.095,23.095,0,0
IDRHRK,D,19951201,000000,23.107,23.107,23.107,23.107,0,0
IDRHRK,D,19951204,000000,23.351,23.351,23.351,23.351,0,0
IDRHRK,D,19951205,000000,23.122,23.122,23.122,23.122,0,0
IDRHRK,D,19951206,000000,23.15,23.15,23.15,23.15,0,0
IDRHRK,D,19951207,000000,23.099,23.099,23.099,23.099,0,0
IDRHRK,D,19951208,000000,23.114,23.114,23.114,23.114,0,0
IDRHRK,D,19951211,000000,23.219,23.219,23.219,23.219,0,0
IDRHRK,D,19951212,000000,23.262,23.262,23.262,23.262,0,0
IDRHRK,D,19951213,000000,23.279,23.279,23.279,23.279,0,0
IDRHRK,D,19951214,000000,23.174,23.174,23.174,23.174,0,0
IDRHRK,D,19951215,000000,23.237,23.237,23.237,23.237,0,0
IDRHRK,D,19951218,000000,23.21,23.21,23.21,23.21,0,0
IDRHRK,D,19951219,000000,23.335,23.335,23.335,23.335,0,0
IDRHRK,D,19951220,000000,23.335,23.335,23.335,23.335,0,0
IDRHRK,D,19951221,000000,23.335,23.335,23.335,23.335,0,0
IDRHRK,D,19951222,000000,23.335,23.335,23.335,23.335,0,0
IDRHRK,D,19951227,000000,23.213,23.213,23.213,23.213,0,0
IDRHRK,D,19951228,000000,23.043,23.043,23.043,23.043,0,0
IDRHRK,D,19951229,000000,22.967,22.967,22.967,22.967,0,0
IDRHRK,D,19960102,000000,23.174,23.174,23.174,23.174,0,0
IDRHRK,D,19960103,000000,23.128,23.128,23.128,23.128,0,0
IDRHRK,D,19960104,000000,23.191,23.191,23.191,23.191,0,0
IDRHRK,D,19960105,000000,23.154,23.154,23.154,23.154,0,0
IDRHRK,D,19960108,000000,23.209,23.209,23.209,23.209,0,0
IDRHRK,D,19960109,000000,23.074,23.074,23.074,23.074,0,0
IDRHRK,D,19960110,000000,23.105,23.105,23.105,23.105,0,0
IDRHRK,D,19960111,000000,23.042,23.042,23.042,23.042,0,0
IDRHRK,D,19960112,000000,23.08,23.08,23.08,23.08,0,0
IDRHRK,D,19960115,000000,23.053,23.053,23.053,23.053,0,0
IDRHRK,D,19960116,000000,23.09,23.09,23.09,23.09,0,0
IDRHRK,D,19960117,000000,23.09,23.09,23.09,23.09,0,0
IDRHRK,D,19960118,000000,23.452,23.452,23.452,23.452,0,0
IDRHRK,D,19960119,000000,23.427,23.427,23.427,23.427,0,0
IDRHRK,D,19960122,000000,23.524,23.524,23.524,23.524,0,0
IDRHRK,D,19960123,000000,23.524,23.524,23.524,23.524,0,0
IDRHRK,D,19960124,000000,23.467,23.467,23.467,23.467,0,0
IDRHRK,D,19960125,000000,23.682,23.682,23.682,23.682,0,0
IDRHRK,D,19960126,000000,23.733,23.733,23.733,23.733,0,0
IDRHRK,D,19960129,000000,23.877,23.877,23.877,23.877,0,0
IDRHRK,D,19960130,000000,23.754,23.754,23.754,23.754,0,0
IDRHRK,D,19960131,000000,23.72,23.72,23.72,23.72,0,0
IDRHRK,D,19960201,000000,23.73,23.73,23.73,23.73,0,0
IDRHRK,D,19960202,000000,23.714,23.714,23.714,23.714,0,0
IDRHRK,D,19960205,000000,23.739,23.739,23.739,23.739,0,0
IDRHRK,D,19960206,000000,23.81,23.81,23.81,23.81,0,0
IDRHRK,D,19960207,000000,23.618,23.618,23.618,23.618,0,0
IDRHRK,D,19960208,000000,23.529,23.529,23.529,23.529,0,0
IDRHRK,D,19960209,000000,23.559,23.559,23.559,23.559,0,0
IDRHRK,D,19960212,000000,23.549,23.549,23.549,23.549,0,0
IDRHRK,D,19960213,000000,23.505,23.505,23.505,23.505,0,0
IDRHRK,D,19960214,000000,23.476,23.476,23.476,23.476,0,0
IDRHRK,D,19960215,000000,23.476,23.476,23.476,23.476,0,0
IDRHRK,D,19960216,000000,23.368,23.368,23.368,23.368,0,0
IDRHRK,D,19960219,000000,23.435,23.435,23.435,23.435,0,0
IDRHRK,D,19960220,000000,23.378,23.378,23.378,23.378,0,0
IDRHRK,D,19960221,000000,23.077,23.077,23.077,23.077,0,0
IDRHRK,D,19960222,000000,23.003,23.003,23.003,23.003,0,0
IDRHRK,D,19960223,000000,23.15,23.15,23.15,23.15,0,0
IDRHRK,D,19960226,000000,23.082,23.082,23.082,23.082,0,0
IDRHRK,D,19960227,000000,22.688,22.688,22.688,22.688,0,0
IDRHRK,D,19960228,000000,23.034,23.034,23.034,23.034,0,0
IDRHRK,D,19960229,000000,23.078,23.078,23.078,23.078,0,0
IDRHRK,D,19960301,000000,23.301,23.301,23.301,23.301,0,0
IDRHRK,D,19960304,000000,23.284,23.284,23.284,23.284,0,0
IDRHRK,D,19960305,000000,23.374,23.374,23.374,23.374,0,0
IDRHRK,D,19960306,000000,23.487,23.487,23.487,23.487,0,0
IDRHRK,D,19960307,000000,23.465,23.465,23.465,23.465,0,0
IDRHRK,D,19960308,000000,23.487,23.487,23.487,23.487,0,0
IDRHRK,D,19960311,000000,23.46,23.46,23.46,23.46,0,0
IDRHRK,D,19960312,000000,23.447,23.447,23.447,23.447,0,0
IDRHRK,D,19960313,000000,23.463,23.463,23.463,23.463,0,0
IDRHRK,D,19960314,000000,23.462,23.462,23.462,23.462,0,0
IDRHRK,D,19960315,000000,23.135,23.135,23.135,23.135,0,0
IDRHRK,D,19960318,000000,23.484,23.484,23.484,23.484,0,0
IDRHRK,D,19960319,000000,23.355,23.355,23.355,23.355,0,0
IDRHRK,D,19960320,000000,23.067,23.067,23.067,23.067,0,0
IDRHRK,D,19960321,000000,23.045,23.045,23.045,23.045,0,0
IDRHRK,D,19960322,000000,23.299,23.299,23.299,23.299,0,0
IDRHRK,D,19960325,000000,23.022,23.022,23.022,23.022,0,0
IDRHRK,D,19960326,000000,23.137,23.137,23.137,23.137,0,0
IDRHRK,D,19960327,000000,23.141,23.141,23.141,23.141,0,0
IDRHRK,D,19960328,000000,23.008,23.008,23.008,23.008,0,0
IDRHRK,D,19960329,000000,23.008,23.008,23.008,23.008,0,0
IDRHRK,D,19960401,000000,23.019,23.019,23.019,23.019,0,0
IDRHRK,D,19960402,000000,23.137,23.137,23.137,23.137,0,0
IDRHRK,D,19960403,000000,23.115,23.115,23.115,23.115,0,0
IDRHRK,D,19960404,000000,23.096,23.096,23.096,23.096,0,0
IDRHRK,D,19960405,000000,23.096,23.096,23.096,23.096,0,0
IDRHRK,D,19960409,000000,23.084,23.084,23.084,23.084,0,0
IDRHRK,D,19960410,000000,23.117,23.117,23.117,23.117,0,0
IDRHRK,D,19960411,000000,23.117,23.117,23.117,23.117,0,0
IDRHRK,D,19960412,000000,23.122,23.122,23.122,23.122,0,0
IDRHRK,D,19960415,000000,23.13,23.13,23.13,23.13,0,0
IDRHRK,D,19960416,000000,23.112,23.112,23.112,23.112,0,0
IDRHRK,D,19960417,000000,23.124,23.124,23.124,23.124,0,0
IDRHRK,D,19960418,000000,23.173,23.173,23.173,23.173,0,0
IDRHRK,D,19960419,000000,23.175,23.175,23.175,23.175,0,0
IDRHRK,D,19960422,000000,23.158,23.158,23.158,23.158,0,0
IDRHRK,D,19960423,000000,23.161,23.161,23.161,23.161,0,0
IDRHRK,D,19960424,000000,23.166,23.166,23.166,23.166,0,0
IDRHRK,D,19960425,000000,23.125,23.125,23.125,23.125,0,0
IDRHRK,D,19960426,000000,23.153,23.153,23.153,23.153,0,0
IDRHRK,D,19960429,000000,23.154,23.154,23.154,23.154,0,0
IDRHRK,D,19960430,000000,23.173,23.173,23.173,23.173,0,0
IDRHRK,D,19960506,000000,23.239,23.239,23.239,23.239,0,0
IDRHRK,D,19960507,000000,23.224,23.224,23.224,23.224,0,0
IDRHRK,D,19960508,000000,23.195,23.195,23.195,23.195,0,0
IDRHRK,D,19960509,000000,23.205,23.205,23.205,23.205,0,0
IDRHRK,D,19960510,000000,23.09,23.09,23.09,23.09,0,0
IDRHRK,D,19960513,000000,23.192,23.192,23.192,23.192,0,0
IDRHRK,D,19960514,000000,23.163,23.163,23.163,23.163,0,0
IDRHRK,D,19960515,000000,23.192,23.192,23.192,23.192,0,0
IDRHRK,D,19960516,000000,23.197,23.197,23.197,23.197,0,0
IDRHRK,D,19960517,000000,23.197,23.197,23.197,23.197,0,0
IDRHRK,D,19960520,000000,23.796,23.796,23.796,23.796,0,0
IDRHRK,D,19960521,000000,23.484,23.484,23.484,23.484,0,0
IDRHRK,D,19960522,000000,23.782,23.782,23.782,23.782,0,0
IDRHRK,D,19960523,000000,23.888,23.888,23.888,23.888,0,0
IDRHRK,D,19960524,000000,23.902,23.902,23.902,23.902,0,0
IDRHRK,D,19960527,000000,23.753,23.753,23.753,23.753,0,0
IDRHRK,D,19960528,000000,23.895,23.895,23.895,23.895,0,0
IDRHRK,D,19960529,000000,23.816,23.816,23.816,23.816,0,0
IDRHRK,D,19960530,000000,23.874,23.874,23.874,23.874,0,0
IDRHRK,D,19960531,000000,23.847,23.847,23.847,23.847,0,0
IDRHRK,D,19960603,000000,23.583,23.583,23.583,23.583,0,0
IDRHRK,D,19960604,000000,23.489,23.489,23.489,23.489,0,0
IDRHRK,D,19960605,000000,23.408,23.408,23.408,23.408,0,0
IDRHRK,D,19960607,000000,23.391,23.391,23.391,23.391,0,0
IDRHRK,D,19960610,000000,23.441,23.441,23.441,23.441,0,0
IDRHRK,D,19960611,000000,23.522,23.522,23.522,23.522,0,0
IDRHRK,D,19960612,000000,23.51,23.51,23.51,23.51,0,0
IDRHRK,D,19960613,000000,23.588,23.588,23.588,23.588,0,0
IDRHRK,D,19960614,000000,23.593,23.593,23.593,23.593,0,0
IDRHRK,D,19960617,000000,23.32,23.32,23.32,23.32,0,0
IDRHRK,D,19960618,000000,23.28,23.28,23.28,23.28,0,0
IDRHRK,D,19960619,000000,23.219,23.219,23.219,23.219,0,0
IDRHRK,D,19960620,000000,23.351,23.351,23.351,23.351,0,0
IDRHRK,D,19960621,000000,23.238,23.238,23.238,23.238,0,0
IDRHRK,D,19960624,000000,23.369,23.369,23.369,23.369,0,0
IDRHRK,D,19960625,000000,23.485,23.485,23.485,23.485,0,0
IDRHRK,D,19960626,000000,23.452,23.452,23.452,23.452,0,0
IDRHRK,D,19960627,000000,23.351,23.351,23.351,23.351,0,0
IDRHRK,D,19960628,000000,23.326,23.326,23.326,23.326,0,0
IDRHRK,D,19960701,000000,23.311,23.311,23.311,23.311,0,0
IDRHRK,D,19960702,000000,23.248,23.248,23.248,23.248,0,0
IDRHRK,D,19960703,000000,23.295,23.295,23.295,23.295,0,0
IDRHRK,D,19960704,000000,23.202,23.202,23.202,23.202,0,0
IDRHRK,D,19960705,000000,23.102,23.102,23.102,23.102,0,0
IDRHRK,D,19960708,000000,23.274,23.274,23.274,23.274,0,0
IDRHRK,D,19960709,000000,23.175,23.175,23.175,23.175,0,0
IDRHRK,D,19960710,000000,23.235,23.235,23.235,23.235,0,0
IDRHRK,D,19960711,000000,23.216,23.216,23.216,23.216,0,0
IDRHRK,D,19960712,000000,23.153,23.153,23.153,23.153,0,0
IDRHRK,D,19960715,000000,23.167,23.167,23.167,23.167,0,0
IDRHRK,D,19960716,000000,23.167,23.167,23.167,23.167,0,0
IDRHRK,D,19960717,000000,22.942,22.942,22.942,22.942,0,0
IDRHRK,D,19960718,000000,22.723,22.723,22.723,22.723,0,0
IDRHRK,D,19960719,000000,22.632,22.632,22.632,22.632,0,0
