<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRILS,D,19931025,000000,13.728,13.728,13.728,13.728,0,0
IDRILS,D,19931026,000000,13.779,13.779,13.779,13.779,0,0
IDRILS,D,19931027,000000,13.795,13.795,13.795,13.795,0,0
IDRILS,D,19931028,000000,13.825,13.825,13.825,13.825,0,0
IDRILS,D,19931029,000000,13.839,13.839,13.839,13.839,0,0
IDRILS,D,19931102,000000,13.86,13.86,13.86,13.86,0,0
IDRILS,D,19931103,000000,13.913,13.913,13.913,13.913,0,0
IDRILS,D,19931104,000000,13.89,13.89,13.89,13.89,0,0
IDRILS,D,19931105,000000,13.882,13.882,13.882,13.882,0,0
IDRILS,D,19931108,000000,13.899,13.899,13.899,13.899,0,0
IDRILS,D,19931109,000000,13.92,13.92,13.92,13.92,0,0
IDRILS,D,19931110,000000,13.962,13.962,13.962,13.962,0,0
IDRILS,D,19931112,000000,13.975,13.975,13.975,13.975,0,0
IDRILS,D,19931115,000000,13.975,13.975,13.975,13.975,0,0
IDRILS,D,19931116,000000,13.948,13.948,13.948,13.948,0,0
IDRILS,D,19931117,000000,13.969,13.969,13.969,13.969,0,0
IDRILS,D,19931118,000000,13.953,13.953,13.953,13.953,0,0
IDRILS,D,19931119,000000,13.978,13.978,13.978,13.978,0,0
IDRILS,D,19931122,000000,13.954,13.954,13.954,13.954,0,0
IDRILS,D,19931123,000000,13.982,13.982,13.982,13.982,0,0
IDRILS,D,19931124,000000,14.008,14.008,14.008,14.008,0,0
IDRILS,D,19931125,000000,13.972,13.972,13.972,13.972,0,0
IDRILS,D,19931126,000000,14.003,14.003,14.003,14.003,0,0
IDRILS,D,19931129,000000,14.036,14.036,14.036,14.036,0,0
IDRILS,D,19931130,000000,14.043,14.043,14.043,14.043,0,0
IDRILS,D,19931201,000000,14.04,14.04,14.04,14.04,0,0
IDRILS,D,19931202,000000,14.03,14.03,14.03,14.03,0,0
IDRILS,D,19931203,000000,14.007,14.007,14.007,14.007,0,0
IDRILS,D,19931206,000000,14.006,14.006,14.006,14.006,0,0
IDRILS,D,19931207,000000,14.002,14.002,14.002,14.002,0,0
IDRILS,D,19931208,000000,13.993,13.993,13.993,13.993,0,0
IDRILS,D,19931209,000000,13.989,13.989,13.989,13.989,0,0
IDRILS,D,19931210,000000,13.98,13.98,13.98,13.98,0,0
IDRILS,D,19931213,000000,13.991,13.991,13.991,13.991,0,0
IDRILS,D,19931214,000000,14.014,14.014,14.014,14.014,0,0
IDRILS,D,19931215,000000,14.015,14.015,14.015,14.015,0,0
IDRILS,D,19931216,000000,14.011,14.011,14.011,14.011,0,0
IDRILS,D,19931217,000000,14.023,14.023,14.023,14.023,0,0
IDRILS,D,19931220,000000,14.048,14.048,14.048,14.048,0,0
IDRILS,D,19931221,000000,14.063,14.063,14.063,14.063,0,0
IDRILS,D,19931222,000000,14.057,14.057,14.057,14.057,0,0
IDRILS,D,19931223,000000,14.05,14.05,14.05,14.05,0,0
IDRILS,D,19931224,000000,14.048,14.048,14.048,14.048,0,0
IDRILS,D,19931227,000000,14.061,14.061,14.061,14.061,0,0
IDRILS,D,19931228,000000,14.065,14.065,14.065,14.065,0,0
IDRILS,D,19931229,000000,14.065,14.065,14.065,14.065,0,0
IDRILS,D,19931230,000000,14.092,14.092,14.092,14.092,0,0
IDRILS,D,19931231,000000,14.074,14.074,14.074,14.074,0,0
IDRILS,D,19940103,000000,14.079,14.079,14.079,14.079,0,0
IDRILS,D,19940104,000000,14.104,14.104,14.104,14.104,0,0
IDRILS,D,19940105,000000,14.097,14.097,14.097,14.097,0,0
IDRILS,D,19940106,000000,14.102,14.102,14.102,14.102,0,0
IDRILS,D,19940107,000000,14.137,14.137,14.137,14.137,0,0
IDRILS,D,19940110,000000,14.108,14.108,14.108,14.108,0,0
IDRILS,D,19940111,000000,14.122,14.122,14.122,14.122,0,0
IDRILS,D,19940112,000000,14.101,14.101,14.101,14.101,0,0
IDRILS,D,19940113,000000,13.995,13.995,13.995,13.995,0,0
IDRILS,D,19940114,000000,13.946,13.946,13.946,13.946,0,0
IDRILS,D,19940117,000000,13.976,13.976,13.976,13.976,0,0
IDRILS,D,19940118,000000,13.994,13.994,13.994,13.994,0,0
IDRILS,D,19940119,000000,14.029,14.029,14.029,14.029,0,0
IDRILS,D,19940120,000000,13.987,13.987,13.987,13.987,0,0
IDRILS,D,19940121,000000,13.998,13.998,13.998,13.998,0,0
IDRILS,D,19940124,000000,14.035,14.035,14.035,14.035,0,0
IDRILS,D,19940125,000000,14.016,14.016,14.016,14.016,0,0
IDRILS,D,19940126,000000,14.016,14.016,14.016,14.016,0,0
IDRILS,D,19940127,000000,14.069,14.069,14.069,14.069,0,0
IDRILS,D,19940128,000000,14.094,14.094,14.094,14.094,0,0
IDRILS,D,19940131,000000,14.04,14.04,14.04,14.04,0,0
IDRILS,D,19940201,000000,13.997,13.997,13.997,13.997,0,0
IDRILS,D,19940202,000000,13.978,13.978,13.978,13.978,0,0
IDRILS,D,19940203,000000,13.978,13.978,13.978,13.978,0,0
IDRILS,D,19940204,000000,13.972,13.972,13.972,13.972,0,0
IDRILS,D,19940207,000000,14.014,14.014,14.014,14.014,0,0
IDRILS,D,19940208,000000,14.03,14.03,14.03,14.03,0,0
IDRILS,D,19940209,000000,14.012,14.012,14.012,14.012,0,0
IDRILS,D,19940210,000000,14.009,14.009,14.009,14.009,0,0
IDRILS,D,19940211,000000,14.003,14.003,14.003,14.003,0,0
IDRILS,D,19940214,000000,13.976,13.976,13.976,13.976,0,0
IDRILS,D,19940215,000000,13.922,13.922,13.922,13.922,0,0
IDRILS,D,19940216,000000,13.884,13.884,13.884,13.884,0,0
IDRILS,D,19940217,000000,13.881,13.881,13.881,13.881,0,0
IDRILS,D,19940218,000000,13.824,13.824,13.824,13.824,0,0
IDRILS,D,19940221,000000,13.842,13.842,13.842,13.842,0,0
IDRILS,D,19940222,000000,13.758,13.758,13.758,13.758,0,0
IDRILS,D,19940223,000000,13.797,13.797,13.797,13.797,0,0
IDRILS,D,19940224,000000,13.896,13.896,13.896,13.896,0,0
IDRILS,D,19940225,000000,13.883,13.883,13.883,13.883,0,0
IDRILS,D,19940228,000000,13.781,13.781,13.781,13.781,0,0
IDRILS,D,19940301,000000,13.742,13.742,13.742,13.742,0,0
IDRILS,D,19940302,000000,13.706,13.706,13.706,13.706,0,0
IDRILS,D,19940303,000000,13.705,13.705,13.705,13.705,0,0
IDRILS,D,19940304,000000,13.723,13.723,13.723,13.723,0,0
IDRILS,D,19940307,000000,13.785,13.785,13.785,13.785,0,0
IDRILS,D,19940308,000000,13.804,13.804,13.804,13.804,0,0
IDRILS,D,19940309,000000,13.757,13.757,13.757,13.757,0,0
IDRILS,D,19940310,000000,13.736,13.736,13.736,13.736,0,0
IDRILS,D,19940311,000000,13.736,13.736,13.736,13.736,0,0
IDRILS,D,19940314,000000,13.727,13.727,13.727,13.727,0,0
IDRILS,D,19940315,000000,13.848,13.848,13.848,13.848,0,0
IDRILS,D,19940316,000000,13.759,13.759,13.759,13.759,0,0
IDRILS,D,19940317,000000,13.731,13.731,13.731,13.731,0,0
IDRILS,D,19940318,000000,13.745,13.745,13.745,13.745,0,0
IDRILS,D,19940321,000000,13.794,13.794,13.794,13.794,0,0
IDRILS,D,19940322,000000,13.75,13.75,13.75,13.75,0,0
IDRILS,D,19940323,000000,13.746,13.746,13.746,13.746,0,0
IDRILS,D,19940324,000000,13.733,13.733,13.733,13.733,0,0
IDRILS,D,19940325,000000,13.7,13.7,13.7,13.7,0,0
IDRILS,D,19940328,000000,13.689,13.689,13.689,13.689,0,0
IDRILS,D,19940329,000000,13.717,13.717,13.717,13.717,0,0
IDRILS,D,19940330,000000,13.761,13.761,13.761,13.761,0,0
IDRILS,D,19940331,000000,13.691,13.691,13.691,13.691,0,0
IDRILS,D,19940401,000000,13.673,13.673,13.673,13.673,0,0
IDRILS,D,19940405,000000,13.774,13.774,13.774,13.774,0,0
IDRILS,D,19940406,000000,13.791,13.791,13.791,13.791,0,0
IDRILS,D,19940407,000000,13.785,13.785,13.785,13.785,0,0
IDRILS,D,19940408,000000,13.785,13.785,13.785,13.785,0,0
IDRILS,D,19940411,000000,13.777,13.777,13.777,13.777,0,0
IDRILS,D,19940412,000000,13.787,13.787,13.787,13.787,0,0
IDRILS,D,19940413,000000,13.786,13.786,13.786,13.786,0,0
IDRILS,D,19940414,000000,13.772,13.772,13.772,13.772,0,0
IDRILS,D,19940415,000000,13.75,13.75,13.75,13.75,0,0
IDRILS,D,19940418,000000,13.754,13.754,13.754,13.754,0,0
IDRILS,D,19940419,000000,13.758,13.758,13.758,13.758,0,0
IDRILS,D,19940420,000000,13.731,13.731,13.731,13.731,0,0
IDRILS,D,19940421,000000,13.684,13.684,13.684,13.684,0,0
IDRILS,D,19940422,000000,13.681,13.681,13.681,13.681,0,0
IDRILS,D,19940425,000000,13.759,13.759,13.759,13.759,0,0
IDRILS,D,19940426,000000,13.801,13.801,13.801,13.801,0,0
IDRILS,D,19940427,000000,13.838,13.838,13.838,13.838,0,0
IDRILS,D,19940428,000000,13.86,13.86,13.86,13.86,0,0
IDRILS,D,19940429,000000,13.839,13.839,13.839,13.839,0,0
IDRILS,D,19940504,000000,13.848,13.848,13.848,13.848,0,0
IDRILS,D,19940505,000000,13.874,13.874,13.874,13.874,0,0
IDRILS,D,19940506,000000,13.884,13.884,13.884,13.884,0,0
IDRILS,D,19940509,000000,13.871,13.871,13.871,13.871,0,0
IDRILS,D,19940510,000000,13.858,13.858,13.858,13.858,0,0
IDRILS,D,19940511,000000,13.865,13.865,13.865,13.865,0,0
