<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRINR,D,19931025,000000,1.4945,1.4945,1.4945,1.4945,0,0
IDRINR,D,19931026,000000,1.4959,1.4959,1.4959,1.4959,0,0
IDRINR,D,19931027,000000,1.4968,1.4968,1.4968,1.4968,0,0
IDRINR,D,19931028,000000,1.4956,1.4956,1.4956,1.4956,0,0
IDRINR,D,19931029,000000,1.4952,1.4952,1.4952,1.4952,0,0
IDRINR,D,19931102,000000,1.4956,1.4956,1.4956,1.4956,0,0
IDRINR,D,19931103,000000,1.4968,1.4968,1.4968,1.4968,0,0
IDRINR,D,19931104,000000,1.4971,1.4971,1.4971,1.4971,0,0
IDRINR,D,19931105,000000,1.4971,1.4971,1.4971,1.4971,0,0
IDRINR,D,19931108,000000,1.4986,1.4986,1.4986,1.4986,0,0
IDRINR,D,19931109,000000,1.4999,1.4999,1.4999,1.4999,0,0
IDRINR,D,19931110,000000,1.5007,1.5007,1.5007,1.5007,0,0
IDRINR,D,19931112,000000,1.5016,1.5016,1.5016,1.5016,0,0
IDRINR,D,19931115,000000,1.5062,1.5062,1.5062,1.5062,0,0
IDRINR,D,19931116,000000,1.503,1.503,1.503,1.503,0,0
IDRINR,D,19931117,000000,1.5013,1.5013,1.5013,1.5013,0,0
IDRINR,D,19931118,000000,1.4995,1.4995,1.4995,1.4995,0,0
IDRINR,D,19931119,000000,1.497,1.497,1.497,1.497,0,0
IDRINR,D,19931122,000000,1.4928,1.4928,1.4928,1.4928,0,0
IDRINR,D,19931123,000000,1.4938,1.4938,1.4938,1.4938,0,0
IDRINR,D,19931124,000000,1.4966,1.4966,1.4966,1.4966,0,0
IDRINR,D,19931125,000000,1.5018,1.5018,1.5018,1.5018,0,0
IDRINR,D,19931126,000000,1.4976,1.4976,1.4976,1.4976,0,0
IDRINR,D,19931129,000000,1.496,1.496,1.496,1.496,0,0
IDRINR,D,19931130,000000,1.4944,1.4944,1.4944,1.4944,0,0
IDRINR,D,19931201,000000,1.4944,1.4944,1.4944,1.4944,0,0
IDRINR,D,19931202,000000,1.4936,1.4936,1.4936,1.4936,0,0
IDRINR,D,19931203,000000,1.4935,1.4935,1.4935,1.4935,0,0
IDRINR,D,19931206,000000,1.494,1.494,1.494,1.494,0,0
IDRINR,D,19931207,000000,1.4956,1.4956,1.4956,1.4956,0,0
IDRINR,D,19931208,000000,1.4953,1.4953,1.4953,1.4953,0,0
IDRINR,D,19931209,000000,1.4944,1.4944,1.4944,1.4944,0,0
IDRINR,D,19931210,000000,1.4943,1.4943,1.4943,1.4943,0,0
IDRINR,D,19931213,000000,1.4955,1.4955,1.4955,1.4955,0,0
IDRINR,D,19931214,000000,1.4944,1.4944,1.4944,1.4944,0,0
IDRINR,D,19931215,000000,1.4945,1.4945,1.4945,1.4945,0,0
IDRINR,D,19931216,000000,1.4943,1.4943,1.4943,1.4943,0,0
IDRINR,D,19931217,000000,1.4946,1.4946,1.4946,1.4946,0,0
IDRINR,D,19931220,000000,1.4957,1.4957,1.4957,1.4957,0,0
IDRINR,D,19931221,000000,1.4946,1.4946,1.4946,1.4946,0,0
IDRINR,D,19931222,000000,1.4944,1.4944,1.4944,1.4944,0,0
IDRINR,D,19931223,000000,1.4944,1.4944,1.4944,1.4944,0,0
IDRINR,D,19931224,000000,1.4948,1.4948,1.4948,1.4948,0,0
IDRINR,D,19931227,000000,1.4944,1.4944,1.4944,1.4944,0,0
IDRINR,D,19931228,000000,1.4942,1.4942,1.4942,1.4942,0,0
IDRINR,D,19931229,000000,1.4939,1.4939,1.4939,1.4939,0,0
IDRINR,D,19931230,000000,1.4903,1.4903,1.4903,1.4903,0,0
IDRINR,D,19931231,000000,1.488,1.488,1.488,1.488,0,0
IDRINR,D,19940103,000000,1.4928,1.4928,1.4928,1.4928,0,0
IDRINR,D,19940104,000000,1.4933,1.4933,1.4933,1.4933,0,0
IDRINR,D,19940105,000000,1.4943,1.4943,1.4943,1.4943,0,0
IDRINR,D,19940106,000000,1.4949,1.4949,1.4949,1.4949,0,0
