<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRXAG,D,19931025,000000,107.63,107.63,107.63,107.63,0,0
IDRXAG,D,19931026,000000,108.42,108.42,108.42,108.42,0,0
IDRXAG,D,19931027,000000,106.77,106.77,106.77,106.77,0,0
IDRXAG,D,19931028,000000,108.42,108.42,108.42,108.42,0,0
IDRXAG,D,19931029,000000,108.9,108.9,108.9,108.9,0,0
IDRXAG,D,19931102,000000,113.61,113.61,113.61,113.61,0,0
IDRXAG,D,19931103,000000,110.5,110.5,110.5,110.5,0,0
IDRXAG,D,19931104,000000,108.77,108.77,108.77,108.77,0,0
IDRXAG,D,19931105,000000,105.88,105.88,105.88,105.88,0,0
IDRXAG,D,19931108,000000,105.97,105.97,105.97,105.97,0,0
IDRXAG,D,19931109,000000,105.37,105.37,105.37,105.37,0,0
IDRXAG,D,19931110,000000,104.27,104.27,104.27,104.27,0,0
IDRXAG,D,19931112,000000,106.05,106.05,106.05,106.05,0,0
IDRXAG,D,19931115,000000,105.18,105.18,105.18,105.18,0,0
IDRXAG,D,19931116,000000,104.87,104.87,104.87,104.87,0,0
IDRXAG,D,19931117,000000,103.85,103.85,103.85,103.85,0,0
IDRXAG,D,19931118,000000,102.16,102.16,102.16,102.16,0,0
IDRXAG,D,19931119,000000,101.11,101.11,101.11,101.11,0,0
IDRXAG,D,19931122,000000,101.02,101.02,101.02,101.02,0,0
IDRXAG,D,19931123,000000,100.91,100.91,100.91,100.91,0,0
IDRXAG,D,19931124,000000,101.55,101.55,101.55,101.55,0,0
IDRXAG,D,19931125,000000,101.59,101.59,101.59,101.59,0,0
IDRXAG,D,19931126,000000,101.59,101.59,101.59,101.59,0,0
IDRXAG,D,19931129,000000,106.02,106.02,106.02,106.02,0,0
IDRXAG,D,19931130,000000,106.61,106.61,106.61,106.61,0,0
IDRXAG,D,19931201,000000,101.34,101.34,101.34,101.34,0,0
IDRXAG,D,19931202,000000,102.16,102.16,102.16,102.16,0,0
IDRXAG,D,19931203,000000,97.968,97.968,97.968,97.968,0,0
IDRXAG,D,19931206,000000,97.795,97.795,97.795,97.795,0,0
IDRXAG,D,19931207,000000,96.108,96.108,96.108,96.108,0,0
IDRXAG,D,19931208,000000,94.938,94.938,94.938,94.938,0,0
IDRXAG,D,19931209,000000,95.102,95.102,95.102,95.102,0,0
IDRXAG,D,19931210,000000,93.975,93.975,93.975,93.975,0,0
IDRXAG,D,19931213,000000,91.997,91.997,91.997,91.997,0,0
IDRXAG,D,19931214,000000,93.231,93.231,93.231,93.231,0,0
IDRXAG,D,19931215,000000,93.226,93.226,93.226,93.226,0,0
IDRXAG,D,19931216,000000,94.867,94.867,94.867,94.867,0,0
IDRXAG,D,19931217,000000,94.51,94.51,94.51,94.51,0,0
IDRXAG,D,19931220,000000,93.055,93.055,93.055,93.055,0,0
IDRXAG,D,19931221,000000,93.986,93.986,93.986,93.986,0,0
IDRXAG,D,19931222,000000,94.161,94.161,94.161,94.161,0,0
IDRXAG,D,19931223,000000,94.161,94.161,94.161,94.161,0,0
IDRXAG,D,19931224,000000,94.724,94.724,94.724,94.724,0,0
IDRXAG,D,19931227,000000,93.193,93.193,93.193,93.193,0,0
IDRXAG,D,19931228,000000,93.549,93.549,93.549,93.549,0,0
IDRXAG,D,19931229,000000,93,93,93,93,0,0
IDRXAG,D,19931230,000000,93.154,93.154,93.154,93.154,0,0
IDRXAG,D,19931231,000000,92.906,92.906,92.906,92.906,0,0
IDRXAG,D,19940103,000000,90.96,90.96,90.96,90.96,0,0
IDRXAG,D,19940104,000000,91.507,91.507,91.507,91.507,0,0
IDRXAG,D,19940105,000000,94.303,94.303,94.303,94.303,0,0
IDRXAG,D,19940106,000000,93.26,93.26,93.26,93.26,0,0
IDRXAG,D,19940107,000000,95.252,95.252,95.252,95.252,0,0
IDRXAG,D,19940110,000000,94.87,94.87,94.87,94.87,0,0
IDRXAG,D,19940111,000000,93.233,93.233,93.233,93.233,0,0
IDRXAG,D,19940112,000000,93.834,93.834,93.834,93.834,0,0
IDRXAG,D,19940113,000000,91.338,91.338,91.338,91.338,0,0
IDRXAG,D,19940114,000000,90.406,90.406,90.406,90.406,0,0
IDRXAG,D,19940117,000000,88.99,88.99,88.99,88.99,0,0
IDRXAG,D,19940118,000000,89.121,89.121,89.121,89.121,0,0
IDRXAG,D,19940119,000000,89.006,89.006,89.006,89.006,0,0
IDRXAG,D,19940120,000000,89.9,89.9,89.9,89.9,0,0
IDRXAG,D,19940121,000000,92.709,92.709,92.709,92.709,0,0
IDRXAG,D,19940124,000000,92.282,92.282,92.282,92.282,0,0
IDRXAG,D,19940125,000000,92.792,92.792,92.792,92.792,0,0
IDRXAG,D,19940126,000000,92.166,92.166,92.166,92.166,0,0
IDRXAG,D,19940127,000000,95.404,95.404,95.404,95.404,0,0
IDRXAG,D,19940128,000000,94.498,94.498,94.498,94.498,0,0
IDRXAG,D,19940131,000000,92.177,92.177,92.177,92.177,0,0
IDRXAG,D,19940201,000000,89.591,89.591,89.591,89.591,0,0
IDRXAG,D,19940202,000000,89.002,89.002,89.002,89.002,0,0
IDRXAG,D,19940203,000000,87.146,87.146,87.146,87.146,0,0
IDRXAG,D,19940204,000000,87.603,87.603,87.603,87.603,0,0
IDRXAG,D,19940207,000000,91.144,91.144,91.144,91.144,0,0
IDRXAG,D,19940208,000000,89.952,89.952,89.952,89.952,0,0
IDRXAG,D,19940209,000000,88.979,88.979,88.979,88.979,0,0
IDRXAG,D,19940210,000000,89.095,89.095,89.095,89.095,0,0
IDRXAG,D,19940211,000000,89.9,89.9,89.9,89.9,0,0
IDRXAG,D,19940214,000000,88.406,88.406,88.406,88.406,0,0
IDRXAG,D,19940215,000000,90.316,90.316,90.316,90.316,0,0
IDRXAG,D,19940216,000000,89.74,89.74,89.74,89.74,0,0
IDRXAG,D,19940217,000000,90.149,90.149,90.149,90.149,0,0
IDRXAG,D,19940218,000000,90.969,90.969,90.969,90.969,0,0
IDRXAG,D,19940221,000000,90.549,90.549,90.549,90.549,0,0
IDRXAG,D,19940222,000000,89.555,89.555,89.555,89.555,0,0
IDRXAG,D,19940223,000000,89.181,89.181,89.181,89.181,0,0
IDRXAG,D,19940224,000000,90.386,90.386,90.386,90.386,0,0
IDRXAG,D,19940225,000000,89.436,89.436,89.436,89.436,0,0
IDRXAG,D,19940228,000000,87.003,87.003,87.003,87.003,0,0
IDRXAG,D,19940301,000000,88.128,88.128,88.128,88.128,0,0
IDRXAG,D,19940302,000000,88.223,88.223,88.223,88.223,0,0
IDRXAG,D,19940303,000000,88.892,88.892,88.892,88.892,0,0
IDRXAG,D,19940304,000000,88.928,88.928,88.928,88.928,0,0
IDRXAG,D,19940307,000000,89.958,89.958,89.958,89.958,0,0
IDRXAG,D,19940308,000000,89.56,89.56,89.56,89.56,0,0
IDRXAG,D,19940309,000000,87.834,87.834,87.834,87.834,0,0
IDRXAG,D,19940310,000000,86.615,86.615,86.615,86.615,0,0
IDRXAG,D,19940311,000000,86.613,86.613,86.613,86.613,0,0
IDRXAG,D,19940314,000000,85.499,85.499,85.499,85.499,0,0
IDRXAG,D,19940315,000000,85.226,85.226,85.226,85.226,0,0
IDRXAG,D,19940316,000000,86.413,86.413,86.413,86.413,0,0
IDRXAG,D,19940317,000000,86.968,86.968,86.968,86.968,0,0
IDRXAG,D,19940318,000000,86.188,86.188,86.188,86.188,0,0
IDRXAG,D,19940321,000000,86.182,86.182,86.182,86.182,0,0
IDRXAG,D,19940322,000000,82.672,82.672,82.672,82.672,0,0
IDRXAG,D,19940323,000000,83.393,83.393,83.393,83.393,0,0
IDRXAG,D,19940324,000000,81.324,81.324,81.324,81.324,0,0
IDRXAG,D,19940325,000000,80.452,80.452,80.452,80.452,0,0
IDRXAG,D,19940328,000000,81.742,81.742,81.742,81.742,0,0
IDRXAG,D,19940329,000000,82.41,82.41,82.41,82.41,0,0
IDRXAG,D,19940330,000000,82.635,82.635,82.635,82.635,0,0
IDRXAG,D,19940331,000000,80.609,80.609,80.609,80.609,0,0
IDRXAG,D,19940401,000000,80.599,80.599,80.599,80.599,0,0
IDRXAG,D,19940405,000000,83.62,83.62,83.62,83.62,0,0
IDRXAG,D,19940406,000000,84.48,84.48,84.48,84.48,0,0
IDRXAG,D,19940407,000000,85.05,85.05,85.05,85.05,0,0
IDRXAG,D,19940408,000000,84.581,84.581,84.581,84.581,0,0
IDRXAG,D,19940411,000000,88.097,88.097,88.097,88.097,0,0
