<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDRXPD,D,19931025,000000,361.23,361.23,361.23,361.23,0,0
IDRXPD,D,19931026,000000,366.97,366.97,366.97,366.97,0,0
IDRXPD,D,19931027,000000,365.46,365.46,365.46,365.46,0,0
IDRXPD,D,19931028,000000,367.54,367.54,367.54,367.54,0,0
IDRXPD,D,19931029,000000,366.92,366.92,366.92,366.92,0,0
IDRXPD,D,19931102,000000,371.03,371.03,371.03,371.03,0,0
IDRXPD,D,19931103,000000,368.61,368.61,368.61,368.61,0,0
IDRXPD,D,19931104,000000,363.96,363.96,363.96,363.96,0,0
IDRXPD,D,19931105,000000,368.76,368.76,368.76,368.76,0,0
IDRXPD,D,19931108,000000,369.95,369.95,369.95,369.95,0,0
IDRXPD,D,19931109,000000,368.59,368.59,368.59,368.59,0,0
IDRXPD,D,19931110,000000,368.77,368.77,368.77,368.77,0,0
IDRXPD,D,19931112,000000,371.04,371.04,371.04,371.04,0,0
IDRXPD,D,19931115,000000,366.73,366.73,366.73,366.73,0,0
IDRXPD,D,19931116,000000,364.77,364.77,364.77,364.77,0,0
IDRXPD,D,19931117,000000,370.04,370.04,370.04,370.04,0,0
IDRXPD,D,19931118,000000,368.42,368.42,368.42,368.42,0,0
IDRXPD,D,19931119,000000,370.01,370.01,370.01,370.01,0,0
IDRXPD,D,19931122,000000,369.48,369.48,369.48,369.48,0,0
IDRXPD,D,19931123,000000,379.62,379.62,379.62,379.62,0,0
IDRXPD,D,19931124,000000,381.61,381.61,381.61,381.61,0,0
IDRXPD,D,19931125,000000,381.79,381.79,381.79,381.79,0,0
IDRXPD,D,19931126,000000,381.79,381.79,381.79,381.79,0,0
IDRXPD,D,19931129,000000,391.79,391.79,391.79,391.79,0,0
IDRXPD,D,19931130,000000,393.61,393.61,393.61,393.61,0,0
IDRXPD,D,19931201,000000,387.67,387.67,387.67,387.67,0,0
IDRXPD,D,19931202,000000,384.04,384.04,384.04,384.04,0,0
IDRXPD,D,19931203,000000,385.04,385.04,385.04,385.04,0,0
IDRXPD,D,19931206,000000,379.32,379.32,379.32,379.32,0,0
IDRXPD,D,19931207,000000,373.13,373.13,373.13,373.13,0,0
IDRXPD,D,19931208,000000,371.88,371.88,371.88,371.88,0,0
IDRXPD,D,19931209,000000,375.9,375.9,375.9,375.9,0,0
IDRXPD,D,19931210,000000,374.42,374.42,374.42,374.42,0,0
IDRXPD,D,19931213,000000,371.87,371.87,371.87,371.87,0,0
IDRXPD,D,19931214,000000,374.4,374.4,374.4,374.4,0,0
IDRXPD,D,19931215,000000,376.75,376.75,376.75,376.75,0,0
IDRXPD,D,19931216,000000,376.91,376.91,376.91,376.91,0,0
IDRXPD,D,19931217,000000,379.4,379.4,379.4,379.4,0,0
IDRXPD,D,19931220,000000,378.29,378.29,378.29,378.29,0,0
IDRXPD,D,19931221,000000,378.34,378.34,378.34,378.34,0,0
IDRXPD,D,19931222,000000,380.41,380.41,380.41,380.41,0,0
IDRXPD,D,19931223,000000,379.2,379.2,379.2,379.2,0,0
IDRXPD,D,19931224,000000,379.2,379.2,379.2,379.2,0,0
IDRXPD,D,19931227,000000,380.84,380.84,380.84,380.84,0,0
IDRXPD,D,19931228,000000,379.58,379.58,379.58,379.58,0,0
IDRXPD,D,19931229,000000,383.25,383.25,383.25,383.25,0,0
IDRXPD,D,19931230,000000,382.08,382.08,382.08,382.08,0,0
IDRXPD,D,19931231,000000,381.81,381.81,381.81,381.81,0,0
IDRXPD,D,19940103,000000,379.85,379.85,379.85,379.85,0,0
IDRXPD,D,19940104,000000,372.49,372.49,372.49,372.49,0,0
IDRXPD,D,19940105,000000,376.32,376.32,376.32,376.32,0,0
IDRXPD,D,19940106,000000,378.08,378.08,378.08,378.08,0,0
IDRXPD,D,19940107,000000,380.4,380.4,380.4,380.4,0,0
IDRXPD,D,19940110,000000,386.88,386.88,386.88,386.88,0,0
IDRXPD,D,19940111,000000,385.14,385.14,385.14,385.14,0,0
