<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILSAUD,D,19931025,000000,0.5174,0.5174,0.5174,0.5174,0,0
ILSAUD,D,19931026,000000,0.5163,0.5163,0.5163,0.5163,0,0
ILSAUD,D,19931027,000000,0.5155,0.5155,0.5155,0.5155,0,0
ILSAUD,D,19931028,000000,0.5184,0.5184,0.5184,0.5184,0,0
ILSAUD,D,19931029,000000,0.5163,0.5163,0.5163,0.5163,0,0
ILSAUD,D,19931102,000000,0.5147,0.5147,0.5147,0.5147,0,0
ILSAUD,D,19931103,000000,0.5082,0.5082,0.5082,0.5082,0,0
ILSAUD,D,19931104,000000,0.5072,0.5072,0.5072,0.5072,0,0
ILSAUD,D,19931105,000000,0.5088,0.5088,0.5088,0.5088,0,0
ILSAUD,D,19931108,000000,0.5089,0.5089,0.5089,0.5089,0,0
ILSAUD,D,19931109,000000,0.5118,0.5118,0.5118,0.5118,0,0
ILSAUD,D,19931110,000000,0.5128,0.5128,0.5128,0.5128,0,0
ILSAUD,D,19931112,000000,0.5141,0.5141,0.5141,0.5141,0,0
ILSAUD,D,19931115,000000,0.5205,0.5205,0.5205,0.5205,0,0
ILSAUD,D,19931116,000000,0.5227,0.5227,0.5227,0.5227,0,0
ILSAUD,D,19931117,000000,0.5198,0.5198,0.5198,0.5198,0,0
ILSAUD,D,19931118,000000,0.5165,0.5165,0.5165,0.5165,0,0
ILSAUD,D,19931119,000000,0.5135,0.5135,0.5135,0.5135,0,0
ILSAUD,D,19931122,000000,0.5151,0.5151,0.5151,0.5151,0,0
ILSAUD,D,19931123,000000,0.5152,0.5152,0.5152,0.5152,0,0
ILSAUD,D,19931124,000000,0.5123,0.5123,0.5123,0.5123,0,0
ILSAUD,D,19931125,000000,0.5139,0.5139,0.5139,0.5139,0,0
ILSAUD,D,19931126,000000,0.5112,0.5112,0.5112,0.5112,0,0
ILSAUD,D,19931129,000000,0.5122,0.5122,0.5122,0.5122,0,0
ILSAUD,D,19931130,000000,0.5128,0.5128,0.5128,0.5128,0,0
ILSAUD,D,19931201,000000,0.5135,0.5135,0.5135,0.5135,0,0
ILSAUD,D,19931202,000000,0.515,0.515,0.515,0.515,0,0
ILSAUD,D,19931203,000000,0.5119,0.5119,0.5119,0.5119,0,0
ILSAUD,D,19931206,000000,0.5072,0.5072,0.5072,0.5072,0,0
ILSAUD,D,19931207,000000,0.508,0.508,0.508,0.508,0,0
ILSAUD,D,19931208,000000,0.5115,0.5115,0.5115,0.5115,0,0
ILSAUD,D,19931209,000000,0.5068,0.5068,0.5068,0.5068,0,0
ILSAUD,D,19931210,000000,0.5056,0.5056,0.5056,0.5056,0,0
ILSAUD,D,19931213,000000,0.5078,0.5078,0.5078,0.5078,0,0
ILSAUD,D,19931214,000000,0.5055,0.5055,0.5055,0.5055,0,0
ILSAUD,D,19931215,000000,0.5053,0.5053,0.5053,0.5053,0,0
ILSAUD,D,19931216,000000,0.5036,0.5036,0.5036,0.5036,0,0
ILSAUD,D,19931217,000000,0.5023,0.5023,0.5023,0.5023,0,0
ILSAUD,D,19931220,000000,0.5002,0.5002,0.5002,0.5002,0,0
ILSAUD,D,19931221,000000,0.49822,0.49822,0.49822,0.49822,0,0
ILSAUD,D,19931222,000000,0.49687,0.49687,0.49687,0.49687,0,0
ILSAUD,D,19931223,000000,0.49751,0.49751,0.49751,0.49751,0,0
ILSAUD,D,19931224,000000,0.49964,0.49964,0.49964,0.49964,0,0
ILSAUD,D,19931227,000000,0.49785,0.49785,0.49785,0.49785,0,0
ILSAUD,D,19931228,000000,0.49792,0.49792,0.49792,0.49792,0,0
ILSAUD,D,19931229,000000,0.4969,0.4969,0.4969,0.4969,0,0
ILSAUD,D,19931230,000000,0.49848,0.49848,0.49848,0.49848,0,0
ILSAUD,D,19931231,000000,0.49882,0.49882,0.49882,0.49882,0,0
ILSAUD,D,19940103,000000,0.49686,0.49686,0.49686,0.49686,0,0
ILSAUD,D,19940104,000000,0.4964,0.4964,0.4964,0.4964,0,0
ILSAUD,D,19940105,000000,0.49257,0.49257,0.49257,0.49257,0,0
ILSAUD,D,19940106,000000,0.49206,0.49206,0.49206,0.49206,0,0
ILSAUD,D,19940107,000000,0.49196,0.49196,0.49196,0.49196,0,0
ILSAUD,D,19940110,000000,0.49206,0.49206,0.49206,0.49206,0,0
ILSAUD,D,19940111,000000,0.49179,0.49179,0.49179,0.49179,0,0
ILSAUD,D,19940112,000000,0.48523,0.48523,0.48523,0.48523,0,0
ILSAUD,D,19940113,000000,0.49089,0.49089,0.49089,0.49089,0,0
ILSAUD,D,19940114,000000,0.4899,0.4899,0.4899,0.4899,0,0
ILSAUD,D,19940117,000000,0.49069,0.49069,0.49069,0.49069,0,0
ILSAUD,D,19940118,000000,0.48729,0.48729,0.48729,0.48729,0,0
ILSAUD,D,19940119,000000,0.48492,0.48492,0.48492,0.48492,0,0
ILSAUD,D,19940120,000000,0.48351,0.48351,0.48351,0.48351,0,0
ILSAUD,D,19940121,000000,0.47875,0.47875,0.47875,0.47875,0,0
ILSAUD,D,19940124,000000,0.47982,0.47982,0.47982,0.47982,0,0
ILSAUD,D,19940125,000000,0.47878,0.47878,0.47878,0.47878,0,0
ILSAUD,D,19940126,000000,0.47576,0.47576,0.47576,0.47576,0,0
